table with row headers in column A and column headers in rows 3 through 4.  (leading dots indicate sub-parts),,,,,,,
"Annual Estimates of Housing Units for Counties in Kentucky: April 1, 2000 to July 1, 2004",,,,,,,
Geographic Area,Housing unit estimates,,,,,"April 1, 2000",
,"July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates base,Census
Kentucky,"1,842,971","1,822,075","1,802,054","1,782,158","1,757,277","1,751,118","1,750,927"
.Adair County,"7,837","7,843","7,846","7,838","7,801","7,792","7,792"
.Allen County,"8,327","8,277","8,232","8,175","8,080","8,057","8,057"
.Anderson County,"8,466","8,267","8,110","7,967","7,795","7,752","7,752"
.Ballard County,"3,952","3,929","3,910","3,885","3,847","3,837","3,837"
.Barren County,"17,424","17,372","17,336","17,220","17,119","17,095","17,095"
.Bath County,"5,191","5,156","5,123","5,080","5,011","4,994","4,994"
.Bell County,"13,700","13,650","13,591","13,512","13,374","13,341","13,341"
.Boone County,"40,145","38,567","36,808","35,168","33,714","33,351","33,351"
.Bourbon County,"8,753","8,698","8,625","8,544","8,388","8,349","8,349"
.Boyd County,"22,267","22,212","22,161","22,106","22,002","21,976","21,976"
.Boyle County,"11,992","11,846","11,714","11,597","11,454","11,418","11,418"
.Bracken County,"3,831","3,810","3,791","3,767","3,725","3,715","3,715"
.Breathitt County,"7,065","7,028","6,991","6,935","6,836","6,812","6,812"
.Breckinridge County,"10,200","10,186","10,128","10,049","9,921","9,890","9,890"
.Bullitt County,"26,338","25,474","24,736","24,073","23,342","23,160","23,160"
.Butler County,"5,990","5,962","5,935","5,896","5,831","5,815","5,815"
.Caldwell County,"6,276","6,257","6,242","6,199","6,140","6,126","6,126"
.Calloway County,"16,685","16,552","16,405","16,293","16,113","16,069","16,069"
.Campbell County,"38,094","37,746","37,499","37,203","36,959","36,898","36,898"
.Carlisle County,"2,564","2,550","2,538","2,522","2,496","2,490","2,490"
.Carroll County,"4,543","4,527","4,506","4,484","4,448","4,439","4,439"
.Carter County,"12,019","11,952","11,883","11,744","11,575","11,534","11,534"
.Casey County,"7,473","7,434","7,397","7,348","7,263","7,242","7,242"
.Christian County,"28,337","28,175","28,017","27,747","27,315","27,207","27,182"
.Clark County,"15,096","14,767","14,471","14,142","13,827","13,749","13,749"
.Clay County,"9,766","9,711","9,659","9,590","9,469","9,439","9,439"
.Clinton County,"4,987","4,969","4,954","4,937","4,897","4,888","4,888"
.Crittenden County,"4,545","4,527","4,503","4,473","4,422","4,410","4,410"
.Cumberland County,"3,591","3,592","3,592","3,587","3,571","3,567","3,567"
.Daviess County,"41,662","41,154","40,157","39,465","38,638","38,432","38,432"
.Edmonson County,"6,334","6,295","6,259","6,210","6,125","6,104","6,104"
.Elliott County,"3,231","3,210","3,191","3,165","3,118","3,107","3,107"
.Estill County,"7,016","6,984","6,955","6,914","6,842","6,824","6,824"
.Fayette County,"124,907","122,814","120,703","119,132","116,760","116,167","116,167"
