Inspections,,,,,,,,,,
"Source: U.S. Immigration and Naturalization Service, available at: http://www.ins.gov/graphics/aboutins/statistics/index.htm",,,,,,,,,,
Reporting Date: 8/02,,,,,,,,,,
Updating Date: 10/02,,,,,,,,,,
Unit of Measurement: thousand of inspections,,,,,,,,,,

,Total,Air,Land,Sea,Inadmissible,,,,,
Date,Inspections,Admissions,Admissions,Admissions,(Inspections),,,,,
Sep-99,43683756,6222335,36290144,831450,69509,,43683.756,6222.335,36290.144,831.45
Oct-99,43504687,6384580,36015109,782010,56997,,43504.687,6384.58,36015.109,782.01
Nov-99,41410662,5824169,34374450,825169,54253,,41410.662,5824.169,34374.45,825.169
Dec-99,43241066,5482122,36481084,868802,58749,,43241.066,5482.122,36481.084,868.802
Jan-00,42044503,5878628,34765260,925012,75410,,42044.503,5878.628,34765.26,925.012
Feb-00,41269799,5624141,34320549,890815,60745,,41269.799,5624.141,34320.549,890.815
Mar-00,44640150,6774789,36358487,992956,64944,,44640.15,6774.789,36358.487,992.956
Apr-00,44205548,6857634,35833747,1004330,63571,,44205.548,6857.634,35833.747,1004.33
May-00,45284382,6694120,37195220,915138,67916,,45284.382,6694.12,37195.22,915.138
Jun-00,45687239,7226564,36945275,1035317,59166,,45687.239,7226.564,36945.275,1035.317
Jul-00,49398814,8241928,39404861,1211369,74732,,49398.814,8241.928,39404.861,1211.369
Aug-00,49158439,8093686,39397761,1185513,74693,,49158.439,8093.686,39397.761,1185.513
Sep-00,44338970,6784265,36282584,932701,63831,,44338.97,6784.265,36282.584,932.701
Oct-00,43093909,6651787,35243057,846899,58242,,43093.909,6651.787,35243.057,846.899
Nov-00,42121245,6139973,34637687,922324,49283,,42121.245,6139.973,34637.687,922.324
Dec-00,44389730,6096280,36825720,1030474,50393,,44389.73,6096.28,36825.72,1030.474
Jan-01,42316943,6433465,34432506,944831,64980,,42316.943,6433.465,34432.506,944.831
Feb-01,39028997,5648511,32047079,889905,55086,,39028.997,5648.511,32047.079,889.905
Mar-01,44783649,6994126,36217961,1048582,59149,,44783.649,6994.126,36217.961,1048.582
Apr-01,43471332,6811420,35185854,976875,55036,,43471.332,6811.42,35185.854,976.875
May-01,42426960,6542365,34522493,914812,54954,,42426.96,6542.365,34522.493,914.812
Jun-01,42029503,7183978,33351307,1030971,55966,,42029.503,7183.978,33351.307,1030.971
Jul-01,46543678,8127344,36730412,1162391,67600,,46543.678,8127.344,36730.412,1162.391
Aug-01,47198988,7969367,37558400,1181320,69298,,47198.988,7969.367,37558.4,1181.32
Sep-01,33169518,4794306,27194673,910832,60250,,33169.518,4794.306,27194.673,910.832
Oct-01,30651449,4476887,25080387,797989,74036,,30651.449,4476.887,25080.387,797.989
Nov-01,32004543,4456884,26298785,898190,45872,,32004.543,4456.884,26298.785,898.19
Dec-01,35338305,4922147,29012386,1016549,58403,,35338.305,4922.147,29012.386,1016.549
Jan-02,35949334,5591992,28890979,982977,66960,,35949.334,5591.992,28890.979,982.977
Feb-02,33194190,4908372,26973762,918736,53238,,33194.19,4908.372,26973.762,918.736
Mar-02,38883829,6291545,31044623,1077774,61194,,38883.829,6291.545,31044.623,1077.774
Apr-02,37137781,5848248,29877954,971865,59699,,37137.781,5848.248,29877.954,971.865
May-02,38727465,5850698,31460769,1002103,58479,,38727.465,5850.698,31460.769,1002.103
Jun-02,39053394,6377706,31071727,1137907,60493,,39053.394,6377.706,31071.727,1137.907
Jul-02,43405252,7334582,34389058,1167397,66253,,43405.252,7334.582,34389.058,1167.397
Aug-02,42574281,7457112,33398521,1236683,70653,,,,,
Sep-02,,,,,,,,,,
Oct-02,,,,,,,,,,
