Non-native plant species of Sequoia and Kings Canyon National Parks

See legend at end of document for column heading definitions. 

Common Name,Scientific Name,Family,Lifeform,BRDCat
GRASSES,,,,
annual beard grass,Polypogon monspeliensis (L.) Desf.,Poaceae,G,2
annual bluegrass,Poa annua L.,Poaceae,G,4
Australian chess,Bromus arenarius Labill.,Poaceae,G,4
bahiagrass,Paspalum notatum J. Fleugge,Poaceae,G,4
barnyard grass,Echinochloa crus-galli (L.) P. Beauv.,Poaceae,G,2
bermuda grass,Cynodon dactylon (L.) Pers.,Poaceae,G,4
big quaking grass,Briza maxima L.,Poaceae,G,4
brome fescue,Vulpia bromoides (L.) S.F. Gray,Poaceae,G,2
bulbous bluegrass,Poa bulbosa L.,Poaceae,G,2
Canadian bluegrass,Poa compressa L.,Poaceae,G,2
cheat grass,Bromus tectorum L.,Poaceae,G,3
Chilean chess,Bromus trinii Desv.,Poaceae,G,4
Chilean rabbitsfoot grass,Polypogon australis Brongn.,Poaceae,G,1
common velvet grass,Holcus lanatus L.,Poaceae,G,2
crabgrass,Digitaria sanguinalis (L.) Scop.,Poaceae,G,4
cultivated timothy,Phleum pratense L.,Poaceae,G,2
dallis grass,Paspalum dilatatum Poiret,Poaceae,G,4
ditch beard grass,Polypogon interruptus Kunth,Poaceae,G,1
fall panicgrass,Panicum dichotomiflorum Michaux,Poaceae,G,4
fowl bluegrass,Poa palustris L.,Poaceae,G,1
foxtail chess,Bromus madritensis L. ssp. madritensis,Poaceae,G,4
foxtail fescue,Vulpia myuros (L.) C. Gmelin var. hirsuta (Hackel),Poaceae,G,4
foxtail fescue,Vulpia myuros (L.) C. Gmelin var. myuros,Poaceae,G,4
giant reed,Arundo donax L.,Poaceae,G,1
goldentop,Lamarckia aurea (L.) Moench,Poaceae,G,4
green bristlegrass,Setaria viridis (L.) P. Beauv.,Poaceae,G,4
hedgehog dogtail,Cynosurus echinatus L.,Poaceae,G,4
hood canarygrass,Phalaris paradoxa L.,Poaceae,G,2
Italian ryegrass,Lolium multiflorum Lam.,Poaceae,G,4
johnsongrass,Sorghum halepense (L.) Pers.,Poaceae,G,2
Kentucky bluegrass,Poa pratensis L. ssp. pratensis,Poaceae,G,3
leporinum barley,Hordeum murinum L. ssp. leporinum (Link) Arcang.,Poaceae,G,4
little quaking grass,Briza minor L.,Poaceae,G,4
littleseed canarygrass,Phalaris minor Retz.,Poaceae,G,2
lovegrass,Eragrostis cilianensis (All.) Janchen,Poaceae,G,4
meadow fescue,Festuca pratensis Hudson,Poaceae,G,2
mediterranean barley,Hordeum marinum Hudson ssp. gussoneanum (Parl.) Th,Poaceae,G,4
Mediterranean beard grass,Polypogon maritimus Willd.,Poaceae,G,4
nit grass,Gastridium ventricosum (Gouan) Schinz & Thell.,Poaceae,G,4
orchard grass,Dactylis glomerata L.,Poaceae,G,1
perennial ryegrass,Lolium perenne L.,Poaceae,G,2
poverty brome,Bromus sterilis L.,Poaceae,G,4
red brome,Bromus madritensis L. ssp. rubens (L.) Husnot,Poaceae,G,4
redtop,Agrostis gigantea Roth.,Poaceae,G,1
reed canary grass,Phalaris arundinacea L.,Poaceae,G,1
rescue grass,Bromus catharticus Vahl,Poaceae,G,4
ripgut grass,Bromus diandrus Roth.,Poaceae,G,4
ryegrass,Lolium temulentum L.,Poaceae,G,4
silver European hairgrass,Aira caryophyllea L.,Poaceae,G,4
slender wild oat,Avena barbata Link,Poaceae,G,4
smilo grass,Piptatherum miliaceum (L.) Cosson,Poaceae,G,2
soft chess,Bromus hordeaceus L.,Poaceae,G,4
sorghum,Sorghum bicolor (L.) Moench,Poaceae,G,4
swampgrass,Crypsis schoenoides (L.) Lam.,Poaceae,G,4
tall fescue,Festuca arundinacea Schreber,Poaceae,G,1
tall oatgrass,Arrhenatherum elatius (L.) J.S. Presl & C. Presl,Poaceae,G,4
wall barley,Hordeum murinum L. ssp. murinum,Poaceae,G,4
wheat,Triticum aestivum L.,Poaceae,G,4
wild oat,Avena fatua L.,Poaceae,G,4
yellow bristlegrass,Setaria pumila (Poiret) Roemer & Schultes,Poaceae,G,4
FORBS,,,,
alfalfa,Medicago sativa L.,Fabaceae,F,1
Bermuda buttercup,Oxalis pes-caprae L.,Oxalidaceae,F,1
big chickweed,Cerastium fontanum Baumg. ssp. vulgare (Hartman) G,Caryophyllaceae,F,4
black bindweed,Polygonum convolvulus L.,Polygonaceae,F,4
black medik,Medicago lupulina L.,Fabaceae,F,4
black mustard,Brassica nigra (L.) Koch,Brassicaceae,F,4
brass buttons,Cotula australis (Sieber) Hook. f.,Asteraceae,F,4
bull thistle,Cirsium vulgare (Savi) Ten.,Asteraceae,F,3
bur-chervil,Anthriscus caucalis M. Bieb.,Apiaceae,F,4
California burclover,Medicago polymorpha L.,Fabaceae,F,4
"carpet-weed, indian chickweed",Mollugo verticillata L.,Molluginaceae,F,4
cheeseweed,Malva parviflora L.,Malvaceae,F,4
clustered dock,Rumex conglomeratus Murray,Polygonaceae,F,4
common catchfly,Silene gallica L.,Caryophyllaceae,F,4
common chickweed,Stellaria media (L.) Villars,Caryophyllaceae,F,4
common henbit,Lamium amplexicaule L.,Lamiaceae,F,4
common knotweed,Polygonum arenastrum Boreau,Polygonaceae,F,4
common mallow,Malva neglecta Wallr.,Malvaceae,F,4
common Mediterranean grass,Schismus barbatus (L.) Thell.,Poaceae,F,4
common plantain,Plantago major L.,Plantaginaceae,F,4
common sow thistle,Sonchus oleraceus L.,Asteraceae,F,4
common vetch,Vicia sativa L.,Fabaceae,F,1
corn speedwell,Veronica arvensis L.,Scrophulariaceae,F,4
creeping woodsorrel,Oxalis corniculata L.,Oxalidaceae,F,4
cretanweed,Hedypnois cretica (L.) Dum.-Cours.,Asteraceae,F,4
crimson clover,Trifolium incarnatum L.,Fabaceae,F,4
"cudweed, everlasting",Gnaphalium luteo-album L.,Asteraceae,F,4
curly dock,Rumex crispus L.,Polygonaceae,F,4
curveseed butterwort,Ranunculus testiculatus Crantz,Ranunculaceae,F,1
cutleaf geranium,Geranium dissectum L.,Geraniaceae,F,4
dandelion,Taraxacum officinale Wigg.,Asteraceae,F,4
dead nettle,Lamium purpureum L.,Lamiaceae,F,4
dove's foot geranium,Geranium molle L.,Geraniaceae,F,4
dwarf nettle,Urtica urens L.,Urticaceae,F,1
early winter cress,Barbarea verna (Miller) Asch.,Brassicaceae,F,4
English daisy,Bellis perennis L.,Asteraceae,F,4
English plantain,Plantago lanceolata L.,Plantaginaceae,F,4
evening primrose,Oenothera laciniata Hill,Onagraceae,F,4
feverfew,Tanacetum parthenium (L.) Schultz-Bip.,Asteraceae,F,1
field burrweed,Soliva sessilis Ruiz Lopez & Pavon,Asteraceae,F,4
field madder,Sherardia arvensis L.,Rubiaceae,F,4
four-leaved allseed,Polycarpon tetraphyllum (L.) L.,Caryophyllaceae,F,4
foxglove,Digitalis purpurea L.,Scrophulariaceae,F,1
hairy vetch,Vicia villosa Roth ssp. villosa,Fabaceae,F,4
hairypink,Petrorhagia dubia (Raf.) G. Lopez & Romo,Caryophyllaceae,F,4
