Non-native plant Species Of Sequoia And Kings Canyon National Parks-Expanded List

See legend at end of document for column heading definitions. 

JCode,ITISCode,PLANTSCode,JFamily,JTrinomial,CommonName,Lifeform,BRDCat,CALEPPCCat,CDFACat,Status
1,22303,TAMAR2,Tamaricaceae,Tamarix sp. L.,tamarisk,T,1,A-1,C,6
10,22277,CISTU,Cistaceae,Cistus sp. L.,rock rose,S,1,NMI,,6
11,43191,IRIS,Iridaceae,Iris sp. L.,iris,F,2,,,6
12,503422,LEAE,Liliaceae,Leucojum aestivum L.,summer snowflake,F,2,,,9
13,41172,POAU3,Poaceae,Polypogon australis Brongn.,Chilean rabbitsfoot grass,G,1,,,9
2,19223,CARYA,Juglandaceae,Carya sp. Nutt.,hickory,T,2,,,6
3,23853,DIOSP,Ebenaceae,Diospyros sp. L.,persimmon,T,2,,,6
4,19249,JUCA,Juglandaceae,Juglans californica S. Wats.,southern California walnut,T,1,,,9
6,24765,PRPE3,Rosaceae,Prunus persica (L.) Batsch,peach,T,2,,,9
8,28629,VIVI5,Vitaceae,Vitis vinifera L.,wine grape,V,1,,,9
9,34313,CABI8,Bignoniaceae,Catalpa bignonioides,southern catalpa,T,1,,,8
AGGI10,40414,AGGI2,Poaceae,Agrostis gigantea Roth.,redtop,G,1,,,2
AICA10,41376,AICA,Poaceae,Aira caryophyllea L.,silver European hairgrass,G,4,,,2
AMAL10,20719,AMAL,Amaranthaceae,Amaranthus albus L.,tumbleweed,F,4,,,2
AMAR10,28631,AMAR5,Vitaceae,Ampelopsis arborea Koehne,peppervine,V,1,,,3
ANAR10,24043,ANAR,Primulaceae,Anagallis arvensis L.,scarlet pimpernel,F,4,,,2
ANCA31,29586,ANCA14,Apiaceae,Anthriscus caucalis M. Bieb.,bur-chervil,F,4,,,2
ANCO30,36330,ANCO2,Asteraceae,Anthemis cotula L.,stinkweed,F,4,,,2
ARDO30,41450,ARDO4,Poaceae,Arundo donax L.,giant reed,G,1,A-1,C,2
AREL10,41443,AREL3,Poaceae,Arrhenatherum elatius (L.) J.S. Presl & C. Presl,tall oatgrass,G,4,,,2
ARSE10,184237,-9,Caryophyllaceae,Arenaria serpyllifolia L. ssp. serpyllifolia,thymeleaf sandwort,F,4,,,2
AVBA10,41456,AVBA,Poaceae,Avena barbata Link,slender wild oat,G,4,AG,,2
AVFA10,41458,AVFA,Poaceae,Avena fatua L.,wild oat,G,4,AG,,2
BAVE10,22743,BAVE,Brassicaceae,Barbarea verna (Miller) Asch.,early winter cress,F,4,,,2
BEPE10,36826,BEPE2,Asteraceae,Bellis perennis L.,English daisy,F,4,,,2
BRAR10,40492,BRAR3,Poaceae,Bromus arenarius Labill.,Australian chess,G,4,,,2
BRCA30,501066,BRCA6,Poaceae,Bromus catharticus Vahl,rescue grass,G,4,,,3
BRDI10,40498,BRDI3,Poaceae,Bromus diandrus Roth.,ripgut grass,G,4,AG,,2
BRHO11,501070,BRHO2,Poaceae,Bromus hordeaceus L.,soft chess,G,4,,,2
BRMA10,41529,BRMA,Poaceae,Briza maxima L.,big quaking grass,G,4,,,2
BRMA31,525345,BRMAR,Poaceae,Bromus madritensis L. ssp. rubens (L.) Husnot,red brome,G,4,A-2,,2
BRMA32,-9,-9,Poaceae,Bromus madritensis L. ssp. madritensis,foxtail chess,G,4,,,2
BRMI10,41531,BRMI2,Poaceae,Briza minor L.,little quaking grass,G,4,,,2
BRNI10,23061,BRNI,Brassicaceae,Brassica nigra (L.) Koch,black mustard,F,4,B,,2
BRST10,40522,BRST2,Poaceae,Bromus sterilis L.,poverty brome,G,4,,,2
BRTE12,40524,BRTE,Poaceae,Bromus tectorum L.,cheat grass,G,3,A-1,,2
BRTR10,40525,BRTR2,Poaceae,Bromus trinii Desv.,Chilean chess,G,4,,,2
CABU10,22766,CABU2,Brassicaceae,Capsella bursa-pastoris (L.) Medikus,shepherd's purse,F,4,,,2
CAPY20,35788,CAPY2,Asteraceae,Carduus pycnocephalus L.,Italian thistle,F,1,B,C,2
CATI10,501305,CATI,Asteraceae,Carthamus tinctorius L.,safflower,F,4,,,5
CEFO11,523831,CEFOV2,Caryophyllaceae,Cerastium fontanum Baumg. ssp. vulgare (Hartman) G,big chickweed,F,4,,,3
CEGL10,19955,CEGL2,Caryophyllaceae,Cerastium glomeratum Thuill.,mouse-ear chickweed,F,4,,,2
