Report Date/Time:   09-14-07 02:46:06


                             DAPS
                         DAY  -  257

                        PDTS THAT ARE ACTIVE


 OWNER   ADDRESS  FIRST ACTIVE  LAST ACTIVE    LAST TIME
--------------------------------------------------------------------------------
AAWQMO  0AA0203C       2007221      2007256       144927
AAWQMO  0AA07040       2006018      2007256       235020
AAWQMO  0AA093B2       2006018      2007256       235040
AAWQMO  0AA0B55E       2007124      2007256       235056
AAWQMO  0AA0D0B8       2006018      2007256       235115
AAWQMO  0AA0F654       2006054      2007256       235139
AAWQMO  0AA1175C       2006200      2007256       235159
ADFSFD  007005AC       2007146      2007256       232920
ADFSFD  007016DA       2007158      2007256       202933
AKFDRN  9A7005C6       2006018      2007256       235605
AKFISH  A99004F4       2007140      2007256       232335
AKFISH  A990316E       2005197      2007256       232405
AKFISH  A99047FE       2005198      2007256       232415
AKFISH  A9906112       2007120      2007256       232435
ALBERT  444006E0       2006205      2007256       224508
ALBERT  4440200C       2006214      2007256       224518
ALBERT  444045EA       2000244      2007256       232315
ALBERT  44407070       2007089      2007256       232657
ALBERT  44409382       2006018      2007256       234443
ALBERT  4440B56E       2006277      2007256       234443
ALBERT  4440C3FE       2007227      2007256       143342
ALBERT  4440D088       2006018      2007256       234443
ALBERT  4440E512       2006018      2007256       234443
ALBERT  444122F6       2007171      2007256       232524
ALBERT  44413180       2007073      2007256       234443
ALBERT  44414710       2006018      2007256       234443
ALBERT  44415466       2007094      2007256       234443
ALBERT  444161FC       2006018      2007256       204346
ALBERT  4441728A       2006311      2007256       204419
ALBERT  4441820E       2007103      2007256       232712
ALBERT  4441A4E2       2006018      2007256       234746
ALBERT  4441B794       2006342      2007256       234443
ALBERT  4441D272       2006018      2007256       232755
ALBERT  4441E7E8       2007031      2007256       234443
ALBERT  44421062       2007103      2007256       234443
ALBERT  44425368       2006063      2007256       214612
ALBERT  444266F2       2007093      2007256       234443
ALBERT  44427584       2006018      2007256       214832
ALBERT  44428500       2006018      2007256       214932
ALBERT  44429676       2007087      2007256       234443
ALBERT  4442A3EC       2006018      2007256       232847
ALBERT  4442C60A       2006018      2007256       232915
ALBERT  444301EE       2006291      2007256       234443
ALBERT  44436408       2006018      2007256       213345
ALBERT  4443D786       2006229      2007256       232540
