-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :     NCEP_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
DUM1        49718.000    1995     1     1     0
DUM1        52274.750    2001    12    31    18
DUM1     -1940883.779  1628483.353 -5833718.017
DUM1          -66.665      140.002       -1.365
DUM1     NORTH_Offset  EAST_Offset    UP_Offset
49718.00    -0.524615     0.045385    -1.199134
49718.25    -0.580726     0.075814    -1.296489
49718.50    -0.656149     0.011337    -2.099607
49718.75    -0.586250    -0.002109    -1.896712
49719.00    -0.580071    -0.011414    -1.703066
49719.25    -0.494552     0.090437    -1.044709
49719.50    -0.362954     0.157352    -0.732387
49719.75    -0.194366     0.233525     0.160181
49720.00    -0.191412     0.221873     0.357273
49720.25    -0.138360     0.267002     0.755257
49720.50    -0.066284     0.291255     0.772178
49720.75    -0.097514     0.196249     0.596008
49721.00    -0.120870     0.153557     0.849216
49721.25    -0.138078     0.146890     0.978689
49721.50    -0.258353     0.058381     0.148651
49721.75    -0.222389    -0.031289     0.443863
49722.00    -0.338609    -0.139857     0.440776
49722.25    -0.340308    -0.117824     0.904786
49722.50    -0.362869    -0.141262     0.749260
49722.75    -0.450357    -0.205887     0.484762
49723.00    -0.581990    -0.248863     0.154287
49723.25    -0.647882    -0.268878    -0.040816
49723.50    -0.583594    -0.293216    -0.029032
49723.75    -0.494164    -0.330799     0.189161
49724.00    -0.535567    -0.373944     0.083452
49724.25    -0.634002    -0.392826    -0.371139
49724.50    -0.620734    -0.440931    -0.860022
49724.75    -0.621344    -0.482230    -0.970228
49725.00    -0.557509    -0.438360    -0.764795
49725.25    -0.490402    -0.314129    -0.519958
49725.50    -0.486724    -0.268735    -0.900251
49725.75    -0.484935    -0.246633    -1.177823
49726.00    -0.471522    -0.239157    -0.948885
49726.25    -0.389284    -0.068780    -0.449770
49726.50    -0.382219    -0.047618    -0.667847
49726.75    -0.252212     0.038469    -0.167552
49727.00    -0.217545     0.074221     0.258626
49727.25    -0.171735     0.124107     0.399304
49727.50    -0.149338     0.104493    -0.038276
49727.75    -0.118606     0.010583    -0.213885
49728.00    -0.208167    -0.075452    -0.486979
49728.25    -0.151913    -0.034101     0.000631
49728.50    -0.108114    -0.048780    -0.100422
49728.75     0.061609    -0.076009     0.580586
49729.00     0.020467    -0.119511     0.712264
49729.25     0.140448    -0.013862     1.277977
49729.50     0.218330     0.028404     1.440224
49729.75     0.201712     0.010215     1.383159
49730.00     0.157537     0.016044     1.354836
49730.25     0.191602     0.071427     1.496148
49730.50     0.124241     0.025354     0.905578
49730.75     0.130754    -0.017425     0.797244
49731.00     0.120604    -0.092999     0.813233
49731.25     0.119341    -0.084295     1.018922
49731.50     0.068597    -0.099888     0.580206
49731.75     0.087678    -0.103377     0.623741
49732.00    -0.057607    -0.208207     0.209209
49732.25    -0.018668    -0.166429     0.747057
49732.50    -0.089672    -0.195410     0.196809
49732.75    -0.036366    -0.234940     0.425455
49733.00    -0.034846    -0.267335     0.706085
49733.25    -0.038137    -0.217934     0.880709
49733.50     0.024077    -0.161986     0.892551
49733.75     0.056557    -0.146189     1.098177
49734.00     0.018914    -0.189048     1.107068
49734.25    -0.048001    -0.169357     1.007278
49734.50    -0.037280    -0.179253     0.755528
49734.75    -0.087624    -0.245735     0.491324
49735.00    -0.135897    -0.315098     0.372312
49735.25    -0.229148    -0.267832     0.191731
49735.50    -0.259285    -0.232476    -0.207216
49735.75    -0.251384    -0.204024    -0.256571
49736.00    -0.230858    -0.153706     0.239812
49736.25    -0.179584    -0.033036     1.034700
49736.50    -0.124464    -0.018001     1.010556
49736.75    -0.097486    -0.058329     0.899227
49737.00    -0.199936    -0.189052     0.483299
49737.25    -0.206861    -0.186196     0.190677
49737.50    -0.211263    -0.228899    -0.511043
49737.75    -0.150502    -0.284797    -0.489527
49738.00    -0.231222    -0.373977    -0.732990
49738.25    -0.276824    -0.312577    -0.621459
49738.50    -0.274989    -0.338440    -1.015244
49738.75    -0.258148    -0.275236    -0.926645
49739.00    -0.271616    -0.310243    -0.887135
49739.25    -0.277486    -0.192335    -0.484259
49739.50    -0.263863    -0.154263    -0.861072
49739.75    -0.130921    -0.124240    -0.326807
49740.00    -0.088614    -0.105116     0.020144
49740.25    -0.002144    -0.013355     0.633281
49740.50     0.224219     0.034331     1.227370
49740.75     0.301878     0.008176     1.505548
49741.00     0.407777     0.057766     1.919277
49741.25     0.426060     0.147797     2.367570
49741.50     0.455332     0.160426     2.285055
49741.75     0.403978     0.095120     2.195148
49742.00     0.356347     0.069202     2.160635
49742.25     0.195514     0.023842     1.610662
49742.50     0.188169     0.023733     1.185048
49742.75     0.110333    -0.077178     0.895296
49743.00    -0.028651    -0.179214     0.381801
49743.25    -0.134679    -0.274131    -0.037737
49743.50    -0.147253    -0.297263    -0.509821
49743.75    -0.115948    -0.341522    -0.516841
49744.00    -0.125533    -0.354225    -0.493181
49744.25    -0.082306    -0.297430    -0.134548
49744.50    -0.036583    -0.265140    -0.165259
49744.75     0.015806    -0.292682    -0.005026
49745.00    -0.060420    -0.381750    -0.259848
49745.25    -0.031354    -0.332588     0.117572
49745.50    -0.160106    -0.391464    -0.753361
49745.75    -0.223735    -0.433552    -1.059777
49746.00    -0.458251    -0.507474    -1.747121
49746.25    -0.598768    -0.502836    -1.946821
49746.50    -0.779152    -0.542264    -2.781543
49746.75    -0.774234    -0.533610    -2.532249
49747.00    -0.893247    -0.605112    -2.882319
49747.25    -0.860726    -0.533153    -2.463222
49747.50    -0.976564    -0.539081    -3.195087
49747.75    -0.865383    -0.460963    -2.621882
49748.00    -0.895624    -0.412734    -2.402624
49748.25    -0.896940    -0.379898    -1.994545
49748.50    -0.756936    -0.277994    -1.526574
49748.75    -0.669297    -0.288700    -1.063112
49749.00    -0.686887    -0.380974    -0.943757
49749.25    -0.634201    -0.355903    -0.465319
49749.50    -0.642244    -0.371312    -0.759052
49749.75    -0.562531    -0.361415    -0.580451
49750.00    -0.554753    -0.348637    -0.397554
