Report Date/Time:   02-10-08 03:14:28


                             DAPS
                         DAY  -   41

                        PDTS THAT ARE ACTIVE


 OWNER   ADDRESS  FIRST ACTIVE  LAST ACTIVE    LAST TIME
--------------------------------------------------------------------------------
AAWQMO  0AA0203C       2009039      2009040       204927
AAWQMO  0AA093B2       2006018      2009040       235040
AAWQMO  0AA1175C       2006200      2009040       235159
AAWQMO  0AA131B0       2008198      2009040       235216
AAWQMO  0AA14720       2008198      2009040       235226
AKFDRN  9A7005C6       2008303      2009040       235605
AKFDRN  9A7016B0       2009014      2009040       235614
AKFDRN  9A70232A       2007289      2009040       235624
AKFDRN  9A70305C       2007283      2009040       235634
AKFISH  A990316E       2005197      2009040       232405
AKFISH  A99047FE       2008229      2009040       232415
ALBERT  444006E0       2008144      2009040       234507
ALBERT  44401596       2009035      2009040       235641
ALBERT  4440200C       2007337      2009040       234518
ALBERT  444045EA       2009008      2009040       232313
ALBERT  444080F4       2009001      2009040       235659
ALBERT  44409382       2007337      2009040       233155
ALBERT  4440B56E       2008275      2009040       233210
ALBERT  4440C3FE       2008106      2009040       234043
ALBERT  4440F664       2007337      2009040       233225
ALBERT  444122F6       2007337      2009040       232524
ALBERT  44413180       2007337      2009040       233009
ALBERT  44414710       2008337      2009040       233252
ALBERT  44415466       2007337      2009040        23025
ALBERT  444161FC       2008122      2009040       234345
ALBERT  4441728A       2008120      2009040       234104
ALBERT  44419178       2009021      2009040       234543
ALBERT  4441A4E2       2008122      2009040       234755
ALBERT  4441B794       2008231      2009040       233308
ALBERT  4441C104       2008306      2009041          256
ALBERT  4441D272       2007337      2009040       232754
ALBERT  4441E7E8       2007337      2009040       233325
ALBERT  4441F49E       2009029      2009041          407
ALBERT  44420314       2009009      2009040        10407
ALBERT  44421062       2008042      2009040       233040
ALBERT  44425368       2008079      2009040       234113
ALBERT  444266F2       2007337      2009040       233055
ALBERT  44428500       2007337      2009040       214911
ALBERT  44429676       2007337      2009040       233109
ALBERT  4442A3EC       2006018      2009040       232836
ALBERT  444301EE       2007337      2009040       233340
ALBERT  44431298       2008234      2009040       234537
ALBERT  444342E4       2009028      2009040       100407
ALBERT  44436408       2006018      2009040       213355
ALBERT  4443D786       2006229      2009040       232542
ALBERT  4443E21C       2007213      2009040       233355
ALBERT  4443F16A       2008009      2009040       233410
ALBERT  444403DA       2006018      2009040       232555
ALBERT  444440D0       2008297      2009040       233525
ALBERT  4444754A       2007352      2009040       235714
ALBERT  44459442       2008340      2009040       232608
ALBERT  4445B2AE       2008255      2009040       233440
ALBERT  4446062E       2008116      2009040       233126
ALBERT  44461558       2007059      2009040       233153
ALBERT  444620C2       2008249      2009040       233214
                        PDTS THAT ARE ACTIVE


 OWNER   ADDRESS  FIRST ACTIVE  LAST ACTIVE    LAST TIME
--------------------------------------------------------------------------------
ALBERT  444633B4       2008052      2009040       233232
ALBERT  44464524       2006257      2009040       234035
ALBERT  444670BE       2008018      2009040       233125
ALBERT  4446803A       2008289      2009040       234429
ALBERT  4446934C       2007289      2009040       235728
ALBERT  4446A6D6       2008333      2009040       233012
ALBERT  4446C330       2008350      2009040       230717
ALBERT  4446E5DC       2008212      2009040       234129
ALBERT  444704D4       2007190      2009040       231554
ALBERT  444754A8       2008350      2009040       230728
ALBERT  44477244       2009035      2009040       235743
ALBERT  444782C0       2008359      2009040       233611
ALBERT  4447B75A       2007337      2009040       235758
ALBERT  4447E726       2007338      2009040       235814
ALBERT  4447F450       2006018      2009040       233834
ALBERT  44480246       2008292      2009041          351
ALBERT  44481130       2008340      2009040       225844
ALBERT  444824AA       2006018      2009040       233938
ALBERT  444837DC       2006018      2009040       233945
ALBERT  4448414C       2006018      2009040       234028
ALBERT  444867A0       2006018      2009040       234052
ALBERT  44488452       2006172      2009040       234131
ALBERT  44489724       2007102      2009040       233139
ALBERT  4448A2BE       2008295      2009040       234607
ALBERT  4448B1C8       2007297      2009040       234617
ALBERT  4448C758       2006018      2009040       234257
ALBERT  4448F2C2       2007080      2009040       233155
ALBERT  444900BC       2004013      2009040       232113
ALBERT  44492650       2006179      2009040       234638
ALBERT  44493526       2008116      2009040       235828
ALBERT  444943B6       2006018      2009040       234124
ALBERT  444950C0       2008126      2009040       234240
ALBERT  4449655A       2007088      2009040       233210
ALBERT  4449A044       2008219      2009040       234249
ALBERT  4449D6D4       2009009      2009040       234947
ALBERT  4449E34E       2007284      2009040       232624
ALBERT  4449F038       2006018      2009040       232639
ALBERT  444A07B2       2006263      2009040       231709
ALBERT  444A14C4       2003126      2009040       231725
ALBERT  444A215E       2008172      2009040       233348
ALBERT  444A3228       2003342      2009040       231754
ALBERT  444A44B8       2007046      2009040       231813
ALBERT  444A57CE       2004188      2009040       231827
ALBERT  444A6254       2004014      2009040       231845
ALBERT  444A7122       2008081      2009040       231901
ALBERT  444A81A6       2003309      2009040       231908
ALBERT  444A92D0       2006335      2009040       231924
ALBERT  444AA74A       2008102      2009040       231938
ALBERT  444AB43C       2009016      2009040       231954
ALBERT  444AD1DA       2008168      2009040       231746
ALBERT  444AE440       2005159      2009040       231757
ALBERT  444AF736       2005206      2009040       231807
ALBERT  444B0548       2008189      2009040       231817
ALBERT  444B163E       2006074      2009040       231827
ALBERT  444B23A4       2005145      2009040       231837
                        PDTS THAT ARE ACTIVE


 OWNER   ADDRESS  FIRST ACTIVE  LAST ACTIVE    LAST TIME
--------------------------------------------------------------------------------
ALBERT  444B30D2       2008016      2009040       231847
ALBERT  444B4642       2006167      2009040       231857
ALBERT  444B60AE       2005067      2009040       231913
ALBERT  444B73D8       2008134      2009040       231927
ALBERT  444B835C       2005068      2009040       231937
ALBERT  444B902A       2008205      2009040       231946
ALBERT  444BA5B0       2006236      2009040       231957
ALBERT  444BB6C6       2008227      2009040       232007
ALBERT  444BC056       2005319      2009040       232017
ALBERT  444BD320       2006195      2009040       232027
ALBERT  444BE6BA       2007198      2009040       232037
ALBERT  444C2190       2008253      2009040       232117
ALBERT  444C32E6       2007151      2009040       232409
ALBERT  444C4476       2008358      2009040       232424
ALBERT  444C5700       2004008      2009040       232438
ALBERT  444C629A       2006102      2009040       232455
ALBERT  444C71EC       2004169      2009040       232509
ALBERT  444C8168       2006018      2009040       232526
ALBERT  444C921E       2006018      2009040       232541
ALBERT  444CA784       2008312      2009040       232557
ALBERT  444CB4F2       2008356      2009040       232608
ALBERT  444CC262       2006018      2009040       232625
ALBERT  444CD114       2006264      2009040       232642
ALBERT  444CE48E       2008353      2009040       232657
ALBERT  444CF7F8       2006062      2009040       232709
ALBERT  444D0586       2006018      2009040       232726
ALBERT  444D16F0       2008315      2009040       232742
ALBERT  444D236A       2006018      2009040       232757
ALBERT  444D301C       2006058      2009040       232810
ALBERT  444D468C       2006018      2009040       232826
ALBERT  444D55FA       2006018      2009040       232839
ALBERT  444D6060       2008186      2009040       232854
ALBERT  444D7316       2008038      2009040       233009
ALBERT  444D8392       2006018      2009040       233028
ALBERT  444D90E4       2006067      2009040       233039
ALBERT  444DA57E       2006018      2009040       233054
ALBERT  444DB608       2006096      2009040       234008
ALBERT  444DC098       2008287      2009040       234019
ALBERT  444DD3EE       2006018      2009040       234050
ALBERT  444DE674       2006018      2009040       234055
ALBERT  444DF502       2008093      2009040       235010
ALBERT  444E0288       2006316      2009040       235026
ALBERT  444E11FE       2006340      2009040       235039
ALBERT  444E2464       2006018      2009040       235055
ALBERT  444E3712       2007275      2009040       235108
ALBERT  444E4182       2006018      2009040       235126
ALBERT  444E52F4       2006018      2009040       235140
ALBERT  444E7418       2008186      2009040       234608
ALBERT  444E849C       2008312      2009040       234631
ALBERT  444E97EA       2006018      2009040       234651
ALBERT  444EA270       2006018      2009040       234716
ALBERT  444EB106       2008274      2009040       234731
ALBERT  444ED4E0       2006286      2009040       234752
ALBERT  444F269E       2007172      2009040       233124
ALBERT  444F35E8       2007171      2009040       233138
                        PDTS THAT ARE ACTIVE


 OWNER   ADDRESS  FIRST ACTIVE  LAST ACTIVE    LAST TIME
--------------------------------------------------------------------------------
ALBERT  444F4378       2007297      2009040       234648
ALBERT  444F500E       2007197      2009040       234708
ALBERT  444F6594       2008102      2009040       234723
ALBERT  444F76E2       2008226      2009040       234738
ALBERT  444F9510       2007094      2009040       233225
ALBERT  444FA08A       2007093      2009040       233239
ALBERT  444FB3FC       2007116      2009040       233255
ALBERT  4452829E       2007046      2009040       234909
ALBERT  445291E8       2007024      2009040       234924
ALBERT  4452A472       2007122      2009040       234939
ALBERT  4452B704       2007026      2009040       234954
ALBERT  4452C194       2007031      2009040       235008
ALBERT  4452D2E2       2007032      2009040       235023
ALBERT  4452E778       2007046      2009040       235038
ALBERT  4452F40E       2007018      2009040       235053
ALBERT  44530670       2007017      2009040       235109
ALBERT  44531506       2007073      2009040       235124
ALBERT  4453209C       2007004      2009040       235138
ALBERT  445333EA       2008353      2009040       235154
ALBERT  4453457A       2006347      2009040       235208
ALBERT  44536396       2007013      2009040       235238
ALBERT  445370E0       2007010      2009040       235254
ALBERT  44538064       2007005      2009040       235309
ALBERT  44539312       2007016      2009040       235323
ALBERT  4453A688       2006311      2009040       235341
ALBERT  4453B5FE       2007102      2009040       235353
ALBERT  4453C36E       2008353      2009040       235409
ALBERT  4453D018       2008046      2009040       235424
ALBERT  4453E582       2007031      2009040       235438
ALBERT  4453F6F4       2007031      2009040       235454
ALBERT  44540444       2007011      2009040       235508
ALBERT  44541732       2007108      2009040       235524
ALBERT  445422A8       2009003      2009040       235538
ALBERT  445431DE       2006348      2009040       235553
ALBERT  4454474E       2007060      2009040       235609
ALBERT  44545438       2007108      2009040       235623
ALBERT  445461A2       2007204      2009040       235638
ALBERT  445472D4       2008191      2009040       235654
ALBERT  44549126       2006272      2009040       235727
ALBERT  4454A4BC       2009014      2009040       235740
ALBERT  4454B7CA       2007164      2009040       234818
ALBERT  4454E7B6       2009029      2009040       234847
ALBERT  4454F4C0       2008332      2009040       234858
ALBERT  445506BE       2009027      2009040       235752
ALBERT  44552052       2008120      2009040       235812
