Begin Header
	version	6.0.0
	Date	Wed May 04 16:46:14 EDT 2005
	Image File	C:\My Documents\Results\LBL samples\2005_03_E39_KCl\E39_Qiang_N_Cy3_13090826.tif
	Page	0
	Page Name	
	Inverted	false
	Begin Field Dimensions
		Field	Metarows	Metacols	Rows	Cols
		A	8	4	16	18
	End Field Dimensions
	Begin Measurement parameters
		Segmentation Method	auto
		Signal Low	0.0
		Signal High	0.0
		Background Low	0.0
		Background High	0.0
		Background Buffer	3.0
		Background Width	3.0
	End Measurement parameters
	Begin Alerts
		Control Type	Minimum threshold	If tested	Percentage allowed	If failed	Maximum threshold	If tested	Percentage allowed	If failed	CV threshold	If tested	If failed
	End Alerts
	Begin Quality Flags
		Begin Flagging Settings
			Empty Spots	true	Threshold:	3.0
			Poor Spots	true
			Begin Poor Spots Parameters
				Background contamination flag	true	Threshold:	0.9995
				Background tested against subgrid data only	true
				Signal contamination flag	false	Threshold:	0.9995
				Signal contamination test connected to background contamination threshold	false
				Ignored percentage flag	true	Threshold:	25.0
				Open perimeter flag	true	Threshold:	25.0
				Shape regularity flag	true	Threshold:	0.6
				Area To Perimeter Ratio flag	false	Threshold:	0.65
				Offset flag	true	Threshold:	60.0
			End Poor Spots Parameters
			Negative Spots	true
		End Flagging Settings
		Begin Flagged spots
			# of Empty Spots: 2503
			# of Poor Spots: 116
			# of Negative Spots: 12
			# of Manually Flagged Spots: 0
		End Flagged spots
		
	End Quality Flags
End Header
Begin Raw Data
	Field	Meta Row	Meta Column	Row	Column	Gene ID	Flag	Signal Mean	Background Mean	Signal Median	Background Median	Signal Mode	Background Mode	Signal Area	Background Area	Signal Total	Background Total	Signal Stdev	Background Stdev	Shape Regularity	Ignored Area	Spot Area	Ignored Median	Area To Perimeter	Open Perimeter	XCoord	YCoord	Diameter	Position offset	Offset X	Offset Y	Expected X	Expected Y	CM-X	CM-Y	CM Offset	CM Offset-X	CM Offset-Y	Min Diam	Max Diam	Control	Failed Control	Background contamination present	Signal contamination present	Ignored % failed	Open perimeter failed	Shape regularity failed	Perim-to-area failed	Offset failed	Empty spot	Negative spot	Selected spot	Saturated spot
	A	1	1	1	1	ORF01514	0	14622.1259	505.9878	13395.0	406.0	13058.0	388.8715	111.0	329.0	1623056.0	166470.0	7329.3237	507.2588	0.7161	0.0	111.0	0.0	1.0	0.0	146.5	151.5	11.0	0.367	0.3186	0.1822	146.1813	151.3177	146.5045	151.063	0.4114	0.3231	-0.2547	10.994	12.9657		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	2	ORF01469	0	7229.9257	439.5775	7106.5	348.0	7365.4062	390.6915	108.0	329.0	780832.0	144621.0	3080.0297	530.3116	0.7012	4.0	112.0	15259.0	1.0	0.0	167.5	151.5	11.0	0.2956	-0.0569	0.2901	167.5569	151.2098	167.5833	151.1111	0.1022	0.0263	-0.0987	10.5713	13.2585		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	3	ORF01588	0	11449.1308	444.9476	10053.0	371.0	9756.6279	337.8627	115.0	363.0	1316650.0	161516.0	6152.6997	388.3742	0.7718	6.0	121.0	1345.5	1.0	0.0	188.0	152.0	12.0	0.9289	0.2594	0.892	187.7405	151.1079	187.9913	151.913	0.8432	0.2507	0.805	11.2776	13.1619		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	4	ORF01550	0	14958.4912	456.5833	15766.5	365.0	16185.83	222.9123	110.0	396.0	1645434.0	180807.0	4209.6171	324.5585	0.7051	0.0	110.0	0.0	1.0	0.0	209.5	151.5	11.0	1.0682	0.9455	0.497	208.5544	151.0029	209.6727	151.909	1.4393	1.1182	0.9061	11.3492	12.4293		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	5	ORF01511	0	8839.6777	454.6156	9723.5	389.0	10594.706	367.0597	124.0	359.0	1096120.0	163207.0	3548.4016	394.5117	0.8	0.0	124.0	0.0	1.0	0.0	230.5	151.5	11.0	0.8248	-0.5545	0.6106	231.0545	150.8893	229.9516	151.3709	1.2034	-1.1028	0.4816	12.1637	13.0934		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	6	ORF01465	0	4976.7338	420.7252	4901.0	359.0	4908.75	266.3392	109.0	353.0	542464.0	148516.0	1582.8487	303.8334	0.7077	0.0	109.0	0.0	1.0	0.0	250.5	151.5	11.0	0.711	-0.053	0.709	250.553	150.7909	251.11	151.7155	1.0795	0.557	0.9246	11.2393	12.5469		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	7	ORF00850	0	11839.7539	415.9023	12969.5	367.0	16645.7246	290.8362	114.0	348.0	1349732.0	144734.0	5241.6772	249.5071	0.7402	0.0	114.0	0.0	1.0	0.0	272.5	151.5	11.0	0.8198	0.0070	0.8198	272.4929	150.6801	272.7543	151.3596	0.728	0.2614	0.6794	11.7259	12.4967		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	8	ORF00816	0	13070.3642	448.6501	11913.0	378.0	11604.5	244.9669	118.0	323.0	1542303.0	144914.0	7153.3725	301.19	0.7662	0.0	118.0	0.0	1.0	0.0	293.5	151.5	11.0	1.0248	0.4441	0.9236	293.0558	150.5763	293.2033	151.8644	1.2964	0.1475	1.288	11.488	13.2116		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	9	ORF00923	0	10653.0253	426.2	11371.0	358.5	12417.414	288.7635	118.0	410.0	1257057.0	174742.0	4309.9946	270.5347	0.7612	0.0	118.0	0.0	1.0	0.0	314.0	150.0	12.0	0.6065	0.3802	-0.4725	313.6197	150.4725	314.4745	150.0762	0.9422	0.8548	-0.3962	11.6642	13.0811		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	10	ORF00884	0	8509.9541	451.5184	8825.0	392.0	8782.2226	347.6166	108.0	353.0	919075.0	159386.0	2777.798	328.888	0.7012	0.0	108.0	0.0	1.0	0.0	334.5	150.5	11.0	1.2536	-1.2458	0.1391	335.7458	150.3608	335.287	150.3333	0.4596	-0.4588	-0.0275	11.2843	12.3323		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	11	ORF00847	0	11360.3105	470.8217	11907.0	422.0	12102.9472	344.2941	119.0	387.0	1351877.0	182208.0	4457.5288	260.9769	0.7777	0.0	119.0	0.0	1.0	0.0	356.5	150.5	11.0	0.2439	0.0061	0.2438	356.4938	150.2561	356.605	150.4789	0.249	0.1112	0.2228	11.9236	12.7999		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	12	ORF00812	0	24049.1679	570.945	24258.0	475.0	29633.5683	329.4276	119.0	364.0	2861851.0	207824.0	9627.997	393.9355	0.7628	0.0	119.0	0.0	1.0	0.0	377.5	149.5	11.0	0.6737	-0.18	-0.6492	377.68	150.1492	377.4705	149.9579	0.2836	-0.2095	-0.1912	11.8205	12.9591		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	13	ORF00205	0	12583.5224	480.927	12680.0	426.5	12852.8691	291.7443	113.0	370.0	1421938.0	177943.0	5440.2812	279.9418	0.7337	0.0	113.0	0.0	1.0	0.0	398.5	149.5	11.0	0.8846	0.6948	-0.5476	397.8051	150.0476	398.2301	149.8672	0.4616	0.4249	-0.1803	11.4914	12.6783		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	14	ORF00161	0	11527.9218	525.685	11645.0	437.0	11792.7773	479.6437	102.0	381.0	1175848.0	200286.0	4469.7734	785.1171	0.6623	0.0	102.0	0.0	1.0	0.0	418.5	149.5	11.0	0.5753	-0.3691	-0.4412	418.8691	149.9412	419.1274	149.7843	0.3022	0.2583	-0.1569	10.6727	12.3315		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	15	ORF00285	0	6814.75	459.5994	7144.5	389.5	7618.225	389.5109	104.0	402.0	708734.0	184759.0	2358.2939	392.4912	0.9203	0.0	104.0	0.0	1.0	0.0	439.5	148.5	11.0	1.5101	0.6951	-1.3406	438.8048	149.8406	439.8653	148.8173	1.4737	1.0605	-1.0233	11.2789	11.8586		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	16	ORF00243	0	7694.4086	443.1354	6874.0	396.0	6670.706	266.4198	115.0	369.0	884857.0	163517.0	3933.7702	261.1611	0.7419	0.0	115.0	0.0	1.0	0.0	461.0	149.0	12.0	0.797	0.3195	-0.7302	460.6804	149.7302	461.4782	148.9391	1.1235	0.7978	-0.791	11.5876	12.7768		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	17	ORF00202	0	7158.4907	479.2449	6882.5	417.5	6857.7094	307.509	110.0	396.0	787434.0	189781.0	3124.7929	330.2373	0.7236	0.0	110.0	0.0	1.0	0.0	482.5	148.5	11.0	1.4698	0.9461	-1.1248	481.5538	149.6248	482.7545	149.0272	1.3411	1.2006	-0.5975	11.4255	12.4178		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	18	ORF00158	0	13338.8486	446.0668	13881.5	393.0	13808.1669	225.0084	112.0	329.0	1493951.0	146756.0	6542.957	287.7337	0.7272	0.0	112.0	0.0	1.0	0.0	503.5	149.5	11.0	0.8196	0.8194	-0.0182	502.6805	149.5182	503.5	149.0	0.9695	0.8194	-0.5182	11.2966	12.7131		0	0	0	0	0	0	0	0	0	0	0	0
