Table 5-3: Arizona Truck Characteristics and Use: 1997 ,,,,,,,
(Percent unless otherwise specified),,,,,,,
Vehicular and operational characteristics,All trucks,"Trucks, excluding pickups, panels, vans, sport utilities, and station wagons",Vehicular and operational characteristics,All trucks,"Trucks, excluding pickups, panels, vans, sport utilities, and station wagons",,
,,,,,,,
"Total, number (thousands)","1,390.0",71.3,,,,,
,,,,,,,
Major use,100.0,100.0,Year model,100.0,100.0,,
Agriculture,2.1,4.3,1 to 2 years old,14.2,15.9,,
Forestry and lumbering,0.2,0.6,3 to 4 years old,18.2,13.7,,
Mining and quarrying,0.3,2.4,Over 4 years old,67.6,70.4,,
Construction,10.8,29.3,,,,,
Manufacturing,0.3,3.4,Vehicle acquisition,100.0,100.0,,
Wholesale and retail trade,4.8,17.5,Purchased new,39.5,43.6,,
For-hire transportation,0.9,14.8,Purchased used,52.5,43.1,,
Utilities and service,5.7,14.6,Leased from someone or,,,,
Personal transportation,72.8,3.9,    not reported,8.0,13.3,,
Other and not reported,2.1,9.2,,,
,,,Truck type,100.0,100.0
Body type,100.0,100.0,Single-unit trucks,97.6,69.6
"Pickup, panel, minivan, and ",,,  2 axles,97.2,60.9
   sport utility,94.9,,  3 axles or more,0.4,8.7
Platform and cattlerack,1.4,26.4,Combination,2.4,30.4
Van,1.4,27.1,  3 axles,0.7,3.3
Public utility,0.1,2.0,  4 axles,0.7,7.0
Multistop or stepvans,0.6,11.3,  5 axles or more,1.0,20.1
Dump,0.5,10.2,  Trailer not specified,V,V
Tank for liquids or dry bulk,0.2,4.7,,,
Other or not reported,0.9,18.4,Range of operation,100.0,100.0
,,,Local,74.4,50.4
Vehicle size,100.0,100.0,Short-range,16.2,26.6
Light,95.8,27.1,Long-range,5.9,16.9
Medium,1.5,20.3,Off-the-road or not,,
Light-heavy,0.7,13.5,    reported,3.5,6.1,,,,,,,,,,
Heavy-heavy,2.0,39.0,,,,,,,,,,,,,
,,,Fuel type,100.0,100.0,,,,,,,,,,
Annual miles driven,100.0,100.0,Gasoline,93.7,35.5,,,,,,,,,,
"Less than 5,000",16.2,16.0,"Diesel, liquefied gas,",,,,,,,,,,,,
"5,000 to 9,999",17.0,12.0,   and other,6.2,61.3,,,,,,,,,,
"10,000 to 19,999",43.9,26.7,Not reported,0.2,3.3,,,,,,,,,,
"20,000 to 29,999",14.5,15.2,,,,,,,,,,,,,
"30,000 or more",8.4,30.1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
KEY: V = less than .05 percent.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Commerce, U.S. Census Bureau, Vehicle Inventory and Use Survey, state-specific report, Washington, DC: 1999, available at http://www.census.gov/econ/www/viusmain.html as of Dec. 27, 2001.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,

,,,,,,









,,,,,,




















,,,,,,,,,,,,,,,,,,,,
