Statistics (+/- 3 hr window)
***************************************************************************************************
Lwn412
In Situ data flags applied: SHADE
---------------------------------------------------------------------------------------------------
dataid      cruise      mon dd yyyy hh:mm      lat       lon    tdiff    pix      SAT         ENV     ratio  % diff     filename
------ ---------------  --- -- ---- -------  -------   -------  -----    ---    ---------   --------  ------ ------- -----------------------
104738 boussole_buoy_l  Aug 11 2004 11:15AM  43.3700    7.9000    -65     25    1.341409    1.226600   1.094   9.360  T2004224101000.L2_LAC
104201 boussole_spmr_e  Jul 31 2004  8:03AM  43.3700    7.9000    145     25    0.790826    1.167935   0.677  32.289  T2004213102500.L2_LAC
104118 boussole_spmr_e  Jan 28 2004 11:00AM  43.3700    7.9000    -25     15    0.465500    0.694361   0.670  32.960  T2004028103500.L2_LAC
104981 boussole_buoy_l  Jul 14 2006 12:45PM  43.3700    7.9000   -143     25    0.499087    1.244423   0.401  59.894  T2006195102000.L2_LAC
104613 boussole_buoy_e  Jun 13 2006 11:45AM  43.3700    7.9000    -40     25    0.913273    0.821282   1.112  11.201  T2006164110500.L2_LAC
  1363         hot-145  Feb 27 2003  9:12PM  22.7500 -158.0000      6     25    1.942809    2.269589   0.856  14.398  T2003058211500.L2_LAC
210839         cal0411  Nov 16 2004  5:04PM  33.1501 -123.2220    125     25    0.782895    1.057011   0.741  25.933  T2004321190500.L2_LAC
104999 boussole_buoy_l  Aug 26 2006 12:45PM  43.3700    7.9000   -161     25    0.279200    0.673041   0.415  58.517  T2006238100000.L2_LAC
104481 boussole_buoy_e  Mar  9 2005 12:15PM  43.3700    7.9000   -138     15    0.988000    0.657487   1.503  50.269  T2005068095500.L2_LAC
104661 boussole_buoy_l  Nov 13 2004 12:00PM  43.3700    7.9000    -99     24    0.315737    0.802422   0.394  60.652  T2004318102000.L2_LAC
103975 boussole_spmr_e  Jul 22 2002 11:11AM  43.3700    7.9000    -16     25    1.117131    0.864228   1.293  29.263  T2002203105500.L2_LAC
104177 boussole_spmr_e  Jun  5 2004 12:07PM  43.3700    7.9000    -50     25    1.206000    1.143708   1.054   5.446  T2004157111500.L2_LAC
104497 boussole_buoy_e  May 19 2005 12:30PM  43.3700    7.9000   -147     25    0.278182    0.757217   0.367  63.263  T2005139100000.L2_LAC
 14837 rv_point_sur_ap  Apr 22 2003  8:30PM  36.4823 -122.3710    -92     25    0.233542    0.451619   0.517  48.288  T2003112185500.L2_LAC
104827 boussole_buoy_l  Mar  9 2005 12:15PM  43.3700    7.9000   -138     15    0.988000    0.775066   1.275  27.473  T2005068095500.L2_LAC
114013 hab_gulf_of_mex  Aug 17 2006  5:00PM  26.5552  -94.6058    -10     13    1.805333    1.881361   0.960   4.041  T2006229165000.L2_LAC
 54930         hot-176  Dec 14 2005  9:19PM  22.7500 -158.0000    -34     25    2.094867    2.139878   0.979   2.103  T2005348204500.L2_LAC
212436          i8si9n  Feb 25 2007  6:27AM -54.3683   86.1369   -145     25    0.588095    1.494607   0.394  60.652  T2007056040000.L2_LAC
104750 boussole_buoy_l  Aug 26 2004 11:30AM  43.3700    7.9000    -26     25    0.779400    0.806893   0.966   3.407  T2004239110000.L2_LAC
211960             a22  Oct 25 2003  4:11PM  12.3740  -65.9883    -87     20    1.656945    1.660241   0.998   0.199  T2003298144000.L2_LAC
104498 boussole_buoy_e  May 24 2005 11:45AM  43.3700    7.9000    -83     25    0.305591    0.983915   0.311  68.941  T2005144102000.L2_LAC
113926          car128  Nov  2 2006  4:08PM  10.5000  -64.6700    -84     13    0.689667    1.057475   0.652  34.782  T2006306144000.L2_LAC
104638 boussole_buoy_e  Jul 25 2006 12:30PM  43.3700    7.9000   -146     25    0.714619    1.102267   0.648  35.168  T2006206100000.L2_LAC
104612 boussole_buoy_e  Jun 12 2006  9:30AM  43.3700    7.9000     52     25    0.230727    0.788997   0.292  70.757  T2006163102000.L2_LAC
104637 boussole_buoy_e  Jul 23 2006 12:45PM  43.3700    7.9000   -149     25    0.578000    1.111944   0.520  48.019  T2006204101500.L2_LAC
 19018       gp7-01-ka  Oct 17 2001 11:41PM   4.7000 -170.0080   -121     25    1.406800    1.298462   1.083   8.344  T2001290214000.L2_LAC
 25909         hot-165  Nov 26 2004 10:39PM  21.3400 -158.2700    -71     25    1.894818    2.112730   0.897  10.314  T2004331212500.L2_LAC
104845 boussole_buoy_l  May 25 2005 12:15PM  43.3700    7.9000    -70     25    0.829048    0.654267   1.267  26.714  T2005145110000.L2_LAC
104216 boussole_spmr_e  Aug 11 2004 12:01PM  43.3700    7.9000   -111     25    1.341409    1.355728   0.989   1.056  T2004224101000.L2_LAC
104151 boussole_spmr_e  Apr 11 2004 11:22AM  43.3700    7.9000    -11     25    0.760318    0.380105   2.000 100.029  T2004102111000.L2_LAC
104960 boussole_buoy_l  Jun 13 2006 11:45AM  43.3700    7.9000    -40     25    0.913273    0.808233   1.130  12.996  T2006164110500.L2_LAC
104485 boussole_buoy_e  Apr 21 2005  9:45AM  43.3700    7.9000     92     25    0.406333    0.291541   1.394  39.374  T2005111111500.L2_LAC
104998 boussole_buoy_l  Aug 21 2006 12:30PM  43.3700    7.9000   -165     25    0.843500    0.578000   1.459  45.934  T2006233094500.L2_LAC
103885 boussole_spmr_e  Sep  2 2001  9:27AM  43.3700    7.9000     62     25    0.764739    1.067056   0.717  28.332  T2001245102500.L2_LAC
  5765         bats154  Jul 21 2001  3:28PM  32.1409  -63.9964     20     19    2.384688    1.949148   1.224  22.345  T2001202154500.L2_LAC
212481          i8si9n  Apr 26 2007  3:44AM  15.9994   89.8494     23     25    2.025200    1.455108   1.392  39.179  T2007116040500.L2_LAC
 10654           car55  Jun  6 2000  2:10PM  10.5000  -64.6700     75     25    0.750364    0.691268   1.086   8.549  T2000158152500.L2_LAC
 19482       gp6-00-ka  Oct 31 2000 11:40PM   0.0000 -169.9680    -68     25    1.135826    0.998740   1.137  13.726  T2000305223000.L2_LAC
104634 boussole_buoy_e  Jul 14 2006 12:45PM  43.3700    7.9000   -143     25    0.499087    1.327145   0.376  62.394  T2006195102000.L2_LAC
104365 boussole_buoy_e  May 21 2004 11:30AM  43.3700    7.9000    -68     25    0.849316    1.064492   0.798  20.214  T2004142102000.L2_LAC
104676 boussole_buoy_l  May 15 2004 12:30PM  43.3700    7.9000    -91     25    0.991091    0.948127   1.045   4.531  T2004136105500.L2_LAC
  9975      cats_feb01  Feb 20 2001  2:51PM  17.6000  -67.0000     59     24    1.646381    1.254956   1.312  31.190  T2001051155000.L2_LAC
104847 boussole_buoy_l  May 28 2005 12:45PM  43.3700    7.9000   -168     25    0.578050    0.816209   0.708  29.179  T2005148095500.L2_LAC
211276   amlr2004_leg1  Jan 21 2004  4:07PM -60.9983  -57.5162   -111     23    1.580857    0.932674   1.695  69.497  T2004021141500.L2_LAC
104752 boussole_buoy_l  Aug 28 2004 11:15AM  43.3700    7.9000    -23     25    0.788238    0.807867   0.976   2.430  T2004241105000.L2_LAC
103933 boussole_spmr_e  May 21 2002 11:18AM  43.3700    7.9000    -36     25    0.971400    0.889785   1.092   9.172  T2002141104000.L2_LAC
104985 boussole_buoy_l  Jul 25 2006 12:30PM  43.3700    7.9000   -146     25    0.714619    1.109159   0.644  35.571  T2006206100000.L2_LAC
103924 boussole_spmr_e  May 20 2002 11:10AM  43.3700    7.9000    -70     25    0.861810    0.901677   0.956   4.422  T2002140095500.L2_LAC
104312 boussole_spmr_e  Jun 12 2006  9:45AM  43.3700    7.9000     37     25    0.230727    0.789552   0.292  70.777  T2006163102000.L2_LAC
  9969      cats_aug00  Aug  2 2000  4:11PM  17.6000  -67.0000    -55     25    1.196318    0.835804   1.431  43.134  T2000215151500.L2_LAC
 10656           car56  Jul  7 2000  2:46PM  10.5000  -64.6700     -4     25    0.051857    0.387896   0.134  86.631  T2000189144000.L2_LAC
104486 boussole_buoy_e  Apr 25 2005 11:30AM  43.3700    7.9000    -37     25    0.252333    0.450627   0.560  44.004  T2005115105000.L2_LAC
104959 boussole_buoy_l  Jun 12 2006  9:30AM  43.3700    7.9000     52     25    0.230727    0.770033   0.300  70.037  T2006163102000.L2_LAC
104662 boussole_buoy_l  Nov 17 2004 12:00PM  43.3700    7.9000   -123     25    0.428700    0.769691   0.557  44.302  T2004322095500.L2_LAC
104832 boussole_buoy_l  Apr 25 2005 11:30AM  43.3700    7.9000    -37     25    0.252333    0.445017   0.567  43.298  T2005115105000.L2_LAC
104336 boussole_spmr_e  Jul  8 2006  8:55AM  43.3700    7.9000    124     25    0.656391    1.169808   0.561  43.889  T2006189105500.L2_LAC
104372 boussole_buoy_e  May 30 2004 12:00PM  43.3700    7.9000   -104     25    0.938250    0.815235   1.151  15.089  T2004151101500.L2_LAC
 11282         hot-152  Oct 13 2003 11:22PM  21.3400 -158.2700   -149     21    2.057158    1.908597   1.078   7.784  T2003286205000.L2_LAC
104125 boussole_spmr_e  Jan 30 2004  1:01PM  43.3700    7.9000   -158     25    0.399667    0.715141   0.559  44.114  T2004030102000.L2_LAC
  1331         hot-121  Dec 19 2000 10:34PM  22.7500 -158.0000    -64     25    2.399800    2.356582   1.018   1.834  T2000354213000.L2_LAC
104360 boussole_buoy_e  May 15 2004 12:30PM  43.3700    7.9000    -91     25    0.991091    0.905671   1.094   9.432  T2004136105500.L2_LAC
104988 boussole_buoy_l  Jul 29 2006 12:00PM  43.3700    7.9000    -43     15    1.736917    0.998708   1.739  73.916  T2006210111500.L2_LAC
104096 boussole_spmr_e  Sep 24 2003 11:08AM  43.3700    7.9000    -46     20    1.352833    1.591672   0.850  15.006  T2003267102000.L2_LAC
104685 boussole_buoy_l  May 29 2004 12:00PM  43.3700    7.9000    -49     25    1.298857    0.975644   1.331  33.128  T2004150111000.L2_LAC
104843 boussole_buoy_l  May 19 2005 12:30PM  43.3700    7.9000   -147     25    0.278182    0.591335   0.470  52.957  T2005139100000.L2_LAC
  4698        amlr2002  Jan 22 2002  1:45PM -60.9990  -56.4980     39     20    1.410529    0.955508   1.476  47.621  T2002022142000.L2_LAC
 23520              c4  Mar  1 2001  3:25PM  23.9087  -76.0387     17     25    2.153783    2.055236   1.048   4.795  T2001060154000.L2_LAC
104681 boussole_buoy_l  May 21 2004 11:30AM  43.3700    7.9000    -68     25    0.849316    1.091045   0.778  22.156  T2004142102000.L2_LAC
  5975       batsval32  Oct 24 2002  4:40PM  25.6683  -65.0547   -130     25    3.259228    2.840410   1.147  14.745  T2002297143000.L2_LAC
104751 boussole_buoy_l  Aug 27 2004 12:15PM  43.3700    7.9000   -126     25    0.521174    0.740137   0.704  29.584  T2004240100500.L2_LAC
 54931         hot-177  Jan 23 2006 10:34PM  21.3400 -158.2700    -60     25    2.148096    1.965086   1.093   9.313  T2006023213000.L2_LAC
212476          i8si9n  Apr 21 2007  4:18AM   9.9531   85.6631     71     20    1.608000    1.594572   1.008   0.842  T2007111052500.L2_LAC
  5184         bats163  Apr 18 2002  4:16PM  32.0561  -64.2247    -77     25    2.142052    2.029767   1.055   5.532  T2002108145500.L2_LAC
104850 boussole_buoy_l  May  7 2005 12:00PM  43.3700    7.9000    -43     25    1.259191    0.486640   2.587 158.752  T2005127111500.L2_LAC
 10704           car86  Feb 11 2003  4:53PM  10.5000  -64.6700   -127     25    0.236667    0.209061   1.132  13.205  T2003042144500.L2_LAC
104369 boussole_buoy_e  May 29 2004 12:00PM  43.3700    7.9000    -49     25    1.298857    0.832714   1.560  55.979  T2004150111000.L2_LAC
 14836 rv_point_sur_ap  Apr 22 2003  5:19PM  36.5442 -122.1420     99     22    0.306444    0.366138   0.837  16.303  T2003112185500.L2_LAC
 10690           car76  Mar 12 2002  4:10PM  10.5000  -64.6700    -84     25    0.367864    0.287010   1.282  28.171  T2002071144500.L2_LAC
104975 boussole_buoy_l  Jul  1 2006  9:30AM  43.3700    7.9000     83     25    0.897381    0.943735   0.951   4.912  T2006182105000.L2_LAC
104358 boussole_buoy_e  May 14 2004 11:45AM  43.3700    7.9000    -89     25    0.410773    0.682071   0.602  39.776  T2004135101500.L2_LAC
104139 boussole_spmr_e  Mar  4 2004 10:00AM  43.3700    7.9000     11     25    0.510818    0.783078   0.652  34.768  T2004064101000.L2_LAC
104844 boussole_buoy_l  May 24 2005 11:45AM  43.3700    7.9000    -83     25    0.305591    0.743743   0.411  58.912  T2005144102000.L2_LAC
  4990         bats168  Sep 19 2002  3:26PM  32.1542  -64.3578     10     16    2.309154    1.918115   1.204  20.387  T2002262153500.L2_LAC
  5748         bats153  Jun  4 2001  4:12PM  31.7736  -64.2797    -78     20    2.651222    2.328520   1.139  13.859  T2001155145000.L2_LAC
  5044         bats169  Oct  9 2002  3:38PM  32.1681  -64.4978    -27     15    1.554077    1.295302   1.200  19.978  T2002282151000.L2_LAC
104674 boussole_buoy_l  May 14 2004 11:45AM  43.3700    7.9000    -89     25    0.410773    0.736086   0.558  44.195  T2004135101500.L2_LAC
104397 boussole_buoy_e  Jun  4 2004  9:30AM  43.3700    7.9000     65     25    0.875143    0.688673   1.271  27.077  T2004156103000.L2_LAC
  1404         hot-126  May 14 2001 10:46PM  21.3400 -158.2700    -91     25    2.322667    2.324504   0.999   0.079  T2001134211500.L2_LAC
  1890         cal0004  Apr 12 2000  5:33PM  32.4200 -119.9630     58     25    1.037826    1.084792   0.957   4.329  T2000103183000.L2_LAC
  4714        amlr2002  Feb  9 2002  1:00PM -61.0900  -68.1860     71     13    2.073250    2.121074   0.978   2.255  T2002040141000.L2_LAC
 16359           car96  Jan 13 2004  3:07PM  10.5000  -64.6700    -21     25    0.292091    0.389208   0.751  24.953  T2004013144500.L2_LAC
104170 boussole_spmr_e  Jun  4 2004  9:58AM  43.3700    7.9000     37     25    0.875143    1.099198   0.796  20.383  T2004156103000.L2_LAC
104645 boussole_buoy_e  Jul  7 2006 12:45PM  43.3700    7.9000   -149     21    0.494412    1.314629   0.376  62.392  T2006188101500.L2_LAC
  1333         hot-124  Mar 21 2001 10:28PM  22.7500 -158.0000    -36     22    2.432222    2.436977   0.998   0.195  T2001080215000.L2_LAC
104651 boussole_buoy_e  Aug 21 2006 12:30PM  43.3700    7.9000   -165     25    0.843500    0.676503   1.247  24.685  T2006233094500.L2_LAC
  1329         hot-120  Nov 28 2000 10:52PM  21.3400 -158.2700   -100     19    1.689118    1.780074   0.949   5.110  T2000333211000.L2_LAC
104763 boussole_buoy_l  Sep  1 2004 12:00PM  43.3700    7.9000    -92     25    0.631667    0.783189   0.806  19.347  T2004245102500.L2_LAC
 10666           car63  Feb 16 2001  3:37PM  10.5000  -64.6700    -59     25    0.112824    0.232123   0.486  51.395  T2001047143500.L2_LAC
 23521              c4  Mar  1 2001  4:27PM  23.9509  -76.0847    -45     25    2.108095    1.890059   1.115  11.536  T2001060154000.L2_LAC
  1565         cal0211  Nov 15 2002  7:20PM  32.4230 -119.9650    -33     25    0.908429    0.840596   1.081   8.070  T2002319184500.L2_LAC
104641 boussole_buoy_e  Jul 29 2006 12:00PM  43.3700    7.9000    -43     15    1.736917    1.019739   1.703  70.330  T2006210111500.L2_LAC
  1359         hot-141  Nov  5 2002 10:05PM  22.7500 -158.0000    -35     25    2.160953    2.215263   0.976   2.452  T2002309213000.L2_LAC
104984 boussole_buoy_l  Jul 23 2006 12:45PM  43.3700    7.9000   -149     25    0.578000    1.101620   0.525  47.532  T2006204101500.L2_LAC
104252 boussole_spmr_e  Oct  9 2005 11:01AM  43.3700    7.9000     -3     25    0.970200    0.849585   1.142  14.197  T2005282105500.L2_LAC
104018 boussole_spmr_e  Mar 17 2003 11:33AM  43.3700    7.9000    -27     25    0.603826    0.751351   0.804  19.635  T2003076110500.L2_LAC
104846 boussole_buoy_l  May 27 2005 11:30AM  43.3700    7.9000    -38     25    0.726455    0.921856   0.788  21.196  T2005147105000.L2_LAC
104748 boussole_buoy_l  Aug 22 2004 11:30AM  43.3700    7.9000    -99     25    0.989381    0.865448   1.143  14.320  T2004235095000.L2_LAC
103979 boussole_spmr_e  Sep  3 2002 10:00AM  43.3700    7.9000     36     25    1.049000    0.894794   1.172  17.234  T2002246103500.L2_LAC
104831 boussole_buoy_l  Apr 21 2005  9:45AM  43.3700    7.9000     92     25    0.406333    0.247856   1.639  63.940  T2005111111500.L2_LAC
211965             a22  Nov  2 2003  6:15PM  24.8727  -65.9910   -165     18    2.784875    2.569737   1.084   8.372  T2003306153000.L2_LAC
104653 boussole_buoy_e  Aug  6 2006 12:15PM  43.3700    7.9000   -107     25   -0.071364    0.573116  -0.124 112.452  T2006218102500.L2_LAC
104039 boussole_spmr_e  May 29 2003 11:02AM  43.3700    7.9000     -3     25    1.539095    0.945855   1.627  62.720  T2003149105500.L2_LAC
113919          car119  Feb  7 2006  4:29PM  10.5000  -64.6700   -130     25    0.482350    0.345553   1.396  39.588  T2006038141500.L2_LAC
104713 boussole_buoy_l  Jun  4 2004  9:30AM  43.3700    7.9000     65     25    0.875143    0.483249   1.811  81.096  T2004156103000.L2_LAC
104647 boussole_buoy_e  Aug  1 2006 12:15PM  43.3700    7.9000   -125     25    0.491217    1.121678   0.438  56.207  T2006213101000.L2_LAC
  1341         hot-132  Nov 16 2001 10:32PM  22.7500 -158.0000    -46     25    1.810369    1.792849   1.010   0.977  T2001320214500.L2_LAC
103901 boussole_spmr_e  Nov  3 2001 11:14AM  43.3700    7.9000    -35     25    0.642143    0.954384   0.673  32.716  T2001307103500.L2_LAC
104184 boussole_spmr_e  Jul  5 2004 11:31AM  43.3700    7.9000   -100     25    0.817348    1.196760   0.683  31.703  T2004187095000.L2_LAC
  1343         hot-134  Jan 14 2002 11:01PM  21.3400 -158.2700    -95     25    1.945667    2.118203   0.919   8.145  T2002014212500.L2_LAC
  5258         bats177  Jul  4 2003  3:42PM  31.6122  -64.2617     -8     25    2.225100    2.379062   0.935   6.472  T2003185153000.L2_LAC
103987 boussole_spmr_e  Oct  5 2002 10:00AM  43.3700    7.9000     36     25    0.980190    1.071726   0.915   8.541  T2002278103500.L2_LAC
113928          car130  Feb  6 2007  4:38PM  10.5000  -64.6700   -113     25   -0.172714    0.235568  -0.733 173.318  T2007037144500.L2_LAC
 19472       gp6-00-ka  Oct 18 2000 10:03PM   0.0000 -154.9990    -38     16    1.156467    1.867991   0.619  38.090  T2000292212000.L2_LAC
