19,"t","December 31, 2008: Released December 31, 2008, by National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
19,"t","Apples, all - Historic data, Oregon, 1950-2000"
19,"h","","","","","","",""
19,"h","","","","Production","Production","",""
19,"h","","Bearing","Yield 1/","","","Price per","Value of"
19,"h","Year","acreage","per acre","Total","Utilized","pound","utilized production"
19,"h","","","","","","",""
19,"u","","Acres","Pounds","Million pounds","Million pounds","Dollars","1,000 dollars"
19,"d","1951",7100,15410,109.4,109.4,0.045,4600
19,"d","1952",7000,17830,124.8,124.8,0.053,6221
19,"d","1953",6900,13490,93.1,93.1,0.061,5251
19,"d","1954",6800,18430,125.3,125.3,0.052,6075
19,"d","1955",6500,17350,112.8,112.8,0.050,5210
19,"d","1956",6100,14330,87.4,87.4,0.063,5043
19,"d","1957",5700,26110,148.8,148.8,0.040,5684
19,"d","1958",5400,,,,,
19,"d","1959",5200,18730,97.4,97.4,0.035,3428
19,"d","1960",5300,16300,86.4,86.4,0.037,3188
19,"d","1961",5400,15110,81.6,81.6,0.043,3541
19,"d","1962",5600,18860,105.6,105.6,0.036,3759
19,"d","1963",5700,22740,129.6,129.6,0.025,3292
19,"d","1964",5800,15900,92.2,92.2,0.028,2554
19,"d","1965",6000,18630,111.8,111.8,0.033,3723
19,"d","1966",6100,19670,120.0,120.0,0.034,4116
19,"d","1967",6200,20000,124.0,124.0,0.055,6870
19,"d","1968",6100,14260,87.0,87.0,0.058,5063
19,"d","1969",6000,27830,167.0,167.0,0.029,4860
19,"d","1970",6100,18850,115.0,115.0,0.044,5095
19,"d","1971",6200,20160,125.0,125.0,0.051,6350
19,"d","1972",6200,16940,105.0,105.0,0.058,6069
19,"d","1973",6100,27380,167.0,167.0,0.065,10855
19,"d","1974",6100,27050,165.0,165.0,0.062,10230
19,"d","1975",6200,24190,150.0,150.0,0.048,7200
19,"d","1976",6300,26980,170.0,170.0,0.072,12240
19,"d","1977",6400,22970,147.0,147.0,0.092,13524
19,"d","1978",6500,21850,142.0,142.0,0.111,15762
19,"d","1979",6500,26150,170.0,170.0,0.110,18700
19,"d","1980",6700,29100,195.0,195.0,0.076,14802
19,"d","1981",6900,22460,155.0,155.0,0.114,17682
19,"d","1982",7000,21400,150.0,150.0,0.100,15045
19,"d","1983",7000,22100,155.0,155.0,0.101,15675
19,"d","1984",7100,18300,130.0,130.0,0.101,13114
19,"d","1985",7500,21300,160.0,160.0,0.126,20200
19,"d","1986",8500,12400,105.0,105.0,0.106,11081
19,"d","1987",9400,22300,210.0,205.0,0.054,11145
19,"d","1988",10500,14800,155.0,155.0,0.119,18370
19,"d","1989",10000,16000,160.0,160.0,0.050,7947
19,"d","1990",9500,18900,180.0,180.0,0.112,20205
19,"d","1991",9500,12600,120.0,120.0,0.186,22330
19,"d","1992",8000,21900,175.0,175.0,0.103,18070
19,"d","1993",8300,19300,160.0,160.0,0.131,20920
19,"d","1994",8500,23500,200.0,200.0,0.107,21400
19,"d","1995",8600,16300,140.0,140.0,0.116,16205
19,"d","1996",8700,17900,156.0,156.0,0.091,14224
19,"d","1997",8700,18400,160.0,160.0,0.238,38032
19,"d","1998",8500,21200,180.0,143.0,0.141,20229
19,"d","1999",8200,18300,150.0,145.0,0.109,15845
19,"d","2000",7900,21100,167.0,162.0,0.119,19346
19,"c",""
19,"f","1/  Yield is based on total production, which includes unharvested production and fruit harvested but not sold due to market."
