cd_name,file_path,file_compressed_name,file_name,woce_date,latitude,longitude,depth_min,depth_max,temperature_min,temperature_max,salinity_min,salinity_max
woce-uot,./data/basins/sc/atlantic/1997/q1/,atq11997.tgz,923707.nc,19970309,45.4500,-40.4600,0.00000,1220.00,4.40000,12.9000,,
woce-uot,./data/basins/sc/atlantic/1997/q1/,atq11997.tgz,923703.nc,19970309,45.5500,-39.8600,0.00000,1221.00,4.50000,12.3000,,
woce-uot,./data/basins/sc/atlantic/1997/q1/,atq11997.tgz,923682.nc,19970310,46.6000,-31.0000,0.00000,1221.00,4.50000,12.7000,,
woce-uot,./data/basins/sc/atlantic/1997/q1/,atq11997.tgz,923660.nc,19970311,47.4600,-23.4000,0.00000,1210.00,4.80000,12.0000,,
woce-uot,./data/basins/sc/atlantic/1997/q1/,atq11997.tgz,923684.nc,19970320,45.0500,-32.5300,2.00000,1199.00,4.40000,13.9000,,
woce-uot,./data/basins/sc/atlantic/1997/q1/,atq11997.tgz,924060.nc,19970321,43.5300,-40.9600,2.00000,938.000,4.60000,10.8000,,
woce-uot,./data/basins/sc/atlantic/1997/q1/,atq11997.tgz,904949.nc,19970211,-11.8000,-1.95000,0.00000,512.000,7.20000,23.6000,,
woce-uot,./data/basins/sc/atlantic/1997/q1/,atq11997.tgz,919129.nc,19970215,4.4333,-13.4667,0.00000,512.000,7.10000,27.6000,,
woce-uot,./data/basins/sc/atlantic/1997/q1/,atq11997.tgz,919130.nc,19970215,6.4167,-14.3333,0.00000,512.000,7.50000,28.5000,,
woce-uot,./data/basins/sc/atlantic/1997/q1/,atq11997.tgz,900900.nc,19970124,2.1667,-11.0000,0.00000,512.000,6.40000,25.6000,,
woce-uot,./data/basins/sc/atlantic/1997/q1/,atq11997.tgz,918086.nc,19970112,47.4833,-55.7833,2.00000,13.0000,3.00000,3.10000,,
woce-uot,./data/basins/sc/atlantic/1997/q1/,atq11997.tgz,918087.nc,19970113,47.5000,-55.7667,2.00000,12.0000,2.80000,4.10000,,
woce-uot,./data/basins/sc/atlantic/1997/q1/,atq11997.tgz,918088.nc,19970119,47.5333,-55.3667,2.00000,26.0000,2.90000,4.00000,,
woce-uot,./data/basins/sc/atlantic/1997/q1/,atq11997.tgz,918083.nc,19970119,47.5333,-54.8667,2.00000,26.0000,3.10000,3.30000,,
woce-uot,./data/basins/sc/atlantic/1997/q1/,atq11997.tgz,918084.nc,19970120,47.5833,-54.8500,2.00000,36.0000,2.70000,3.20000,,
woce-uot,./data/basins/sc/atlantic/1997/q1/,atq11997.tgz,918089.nc,19970122,47.4833,-55.3500,2.00000,109.000,2.30000,3.00000,,
woce-uot,./data/basins/sc/atlantic/1997/q1/,atq11997.tgz,918090.nc,19970123,47.5333,-55.4000,2.00000,48.0000,2.60000,3.70000,,
