/begin_header
/missing=-999
/delimiter=space
!
! Ozone attenuation coefficient derived from Table 13 in Nicolet (1981)
!
!	Nicolet, M. (1981) "The solar spectral irradiance and its action 
!		in the atmopsheric photodissociation processes", 
!		Planet. Space Sci. 29, 951-974.
!
/fields=wavelength,ko3
/units=nm,cm^-1
/end_header
380.0 0.00000
381.0 2.60615E-05
382.0 5.21230E-05
383.0 7.81844E-05
384.0 0.000104246
385.0 0.000130307
386.0 0.000156369
387.0 0.000182430
388.0 0.000208492
389.0 0.000234553
390.0 0.000260615
391.0 0.000286676
392.0 0.000312738
393.0 0.000338799
394.0 0.000364861
395.0 0.000390922
396.0 0.000416984
397.0 0.000443045
398.0 0.000469107
399.0 0.000495168
400.0 0.000521230
401.0 0.000547291
402.0 0.000573352
403.0 0.000599414
404.0 0.000625475
405.0 0.000651537
406.0 0.000677598
407.0 0.000703660
408.0 0.000729721
409.0 0.000755783
410.0 0.000781844
411.0 0.000794203
412.0 0.000806562
413.0 0.000818921
414.0 0.000831280
415.0 0.000843640
416.0 0.000889314
417.0 0.000934989
418.0 0.000980664
419.0 0.00102634
420.0 0.00107201
421.0 0.00120904
422.0 0.00134606
423.0 0.00148309
424.0 0.00162011
425.0 0.00175713
426.0 0.00177272
427.0 0.00178830
428.0 0.00180388
429.0 0.00181947
430.0 0.00183505
431.0 0.00193339
432.0 0.00203172
433.0 0.00213006
434.0 0.00222839
435.0 0.00232673
436.0 0.00253307
437.0 0.00273941
438.0 0.00294575
439.0 0.00315210
440.0 0.00335844
441.0 0.00348740
442.0 0.00361637
443.0 0.00374533
444.0 0.00387429
445.0 0.00400326
446.0 0.00412147
447.0 0.00423969
448.0 0.00435791
449.0 0.00447613
450.0 0.00459434
451.0 0.00481466
452.0 0.00503497
453.0 0.00525528
454.0 0.00547560
455.0 0.00569591
456.0 0.00647507
457.0 0.00725423
458.0 0.00803338
459.0 0.00881254
460.0 0.00959170
461.0 0.00965081
462.0 0.00970991
463.0 0.00976902
464.0 0.00982813
465.0 0.00988724
466.0 0.0100914
467.0 0.0102956
468.0 0.0104998
469.0 0.0107040
470.0 0.0109082
471.0 0.0113542
472.0 0.0118002
473.0 0.0122462
474.0 0.0126922
475.0 0.0131382
476.0 0.0143311
477.0 0.0155240
478.0 0.0167170
479.0 0.0179099
480.0 0.0191028
481.0 0.0198121
482.0 0.0205214
483.0 0.0212307
484.0 0.0219400
485.0 0.0226493
486.0 0.0225687
487.0 0.0224881
488.0 0.0224075
489.0 0.0223269
490.0 0.0222463
491.0 0.0226815
492.0 0.0231168
493.0 0.0235521
494.0 0.0239873
495.0 0.0244226
496.0 0.0260937
497.0 0.0277649
498.0 0.0294360
499.0 0.0311072
500.0 0.0327784
501.0 0.0349278
502.0 0.0370772
503.0 0.0392266
504.0 0.0413760
505.0 0.0435254
506.0 0.0433104
507.0 0.0430955
508.0 0.0428805
509.0 0.0426656
510.0 0.0424507
511.0 0.0425581
512.0 0.0426656
513.0 0.0427731
514.0 0.0428805
515.0 0.0429880
516.0 0.0439552
517.0 0.0449225
518.0 0.0458897
519.0 0.0468569
520.0 0.0478242
521.0 0.0493825
522.0 0.0509408
523.0 0.0524991
524.0 0.0540574
525.0 0.0556157
526.0 0.0581950
527.0 0.0607743
528.0 0.0633536
529.0 0.0659328
530.0 0.0685121
531.0 0.0695331
532.0 0.0705541
533.0 0.0715750
534.0 0.0725960
535.0 0.0736170
536.0 0.0743692
537.0 0.0751215
538.0 0.0758738
539.0 0.0766261
540.0 0.0773784
541.0 0.0783994
542.0 0.0794203
543.0 0.0804413
544.0 0.0814623
545.0 0.0824832
546.0 0.0830206
547.0 0.0835579
548.0 0.0840953
549.0 0.0846326
550.0 0.0851700
551.0 0.0861909
552.0 0.0872119
553.0 0.0882329
554.0 0.0892538
555.0 0.0902748
556.0 0.0930690
557.0 0.0958632
558.0 0.0986575
559.0 0.101452
560.0 0.104246
561.0 0.106557
562.0 0.108867
563.0 0.111178
564.0 0.113488
565.0 0.115799
566.0 0.117733
567.0 0.119668
568.0 0.121602
569.0 0.123537
570.0 0.125471
571.0 0.125901
572.0 0.126331
573.0 0.126761
574.0 0.127191
575.0 0.127621
576.0 0.126546
577.0 0.125471
578.0 0.124397
579.0 0.123322
580.0 0.122247
581.0 0.121172
582.0 0.120098
583.0 0.119023
584.0 0.117948
585.0 0.116874
586.0 0.117250
587.0 0.117626
588.0 0.118002
589.0 0.118378
590.0 0.118754
591.0 0.119775
592.0 0.120796
593.0 0.121817
594.0 0.122838
595.0 0.123859
596.0 0.125364
597.0 0.126868
598.0 0.128373
599.0 0.129878
600.0 0.131382
601.0 0.131113
602.0 0.130845
603.0 0.130576
604.0 0.130307
605.0 0.130039
606.0 0.128427
607.0 0.126815
608.0 0.125203
609.0 0.123591
610.0 0.121978
611.0 0.120366
612.0 0.118754
613.0 0.117142
614.0 0.115530
615.0 0.113918
616.0 0.112091
617.0 0.110264
618.0 0.108437
619.0 0.106610
620.0 0.104783
621.0 0.103171
622.0 0.101559
623.0 0.0999471
624.0 0.0983351
625.0 0.0967230
626.0 0.0957020
627.0 0.0946811
628.0 0.0936601
629.0 0.0926391
630.0 0.0916182
631.0 0.0903285
632.0 0.0890389
633.0 0.0877493
634.0 0.0864596
635.0 0.0851700
636.0 0.0828594
637.0 0.0805488
638.0 0.0782382
639.0 0.0759276
640.0 0.0736170
641.0 0.0729184
642.0 0.0722198
643.0 0.0715213
644.0 0.0708227
645.0 0.0701242
646.0 0.0691032
647.0 0.0680822
648.0 0.0670613
649.0 0.0660403
650.0 0.0650194
651.0 0.0638372
652.0 0.0626550
653.0 0.0614728
654.0 0.0602907
655.0 0.0591085
656.0 0.0581413
657.0 0.0571740
658.0 0.0562068
659.0 0.0552396
660.0 0.0542724
661.0 0.0533589
662.0 0.0524454
663.0 0.0515319
664.0 0.0506184
665.0 0.0497049
666.0 0.0487376
667.0 0.0477704
668.0 0.0468032
669.0 0.0458360
670.0 0.0448687
671.0 0.0441702
672.0 0.0434716
673.0 0.0427731
674.0 0.0420745
675.0 0.0413760
676.0 0.0407311
677.0 0.0400863
678.0 0.0394415
679.0 0.0387967
680.0 0.0381519
681.0 0.0372384
682.0 0.0363249
683.0 0.0354114
684.0 0.0344979
685.0 0.0335844
686.0 0.0328858
687.0 0.0321873
688.0 0.0314887
689.0 0.0307902
690.0 0.0300916
691.0 0.0295543
692.0 0.0290169
693.0 0.0284796
694.0 0.0279422
695.0 0.0274049
696.0 0.0268675
697.0 0.0263302
698.0 0.0257928
699.0 0.0252555
700.0 0.0247181
701.0 0.0242882
702.0 0.0238583
703.0 0.0234285
704.0 0.0229986
705.0 0.0225687
706.0 0.0221926
707.0 0.0218164
708.0 0.0214403
709.0 0.0210641
710.0 0.0206880
711.0 0.0202581
712.0 0.0198282
713.0 0.0193983
714.0 0.0189685
715.0 0.0185386
716.0 0.0182162
717.0 0.0178938
718.0 0.0175713
719.0 0.0172489
720.0 0.0169265
721.0 0.0166041
722.0 0.0162817
723.0 0.0159593
724.0 0.0156369
725.0 0.0153145
726.0 0.0150727
727.0 0.0148309
728.0 0.0145891
729.0 0.0143472
730.0 0.0141054
731.0 0.0138368
732.0 0.0135681
733.0 0.0132994
734.0 0.0130307
735.0 0.0127621
736.0 0.0126116
737.0 0.0124611
738.0 0.0123107
739.0 0.0121602
740.0 0.0120098
741.0 0.0118647
742.0 0.0117196
743.0 0.0115745
744.0 0.0114294
745.0 0.0112844
746.0 0.0110425
747.0 0.0108007
748.0 0.0105589
749.0 0.0103171
750.0 0.0100753
751.0 0.00980664
752.0 0.00953796
753.0 0.00926929
754.0 0.00900061
755.0 0.00873194
756.0 0.00855461
757.0 0.00837729
758.0 0.00819996
759.0 0.00802264
760.0 0.00784531
761.0 0.00775933
762.0 0.00767336
763.0 0.00758738
764.0 0.00750141
765.0 0.00741543
766.0 0.00738319
767.0 0.00735095
768.0 0.00731871
769.0 0.00728647
770.0 0.00725423
771.0 0.00730796
772.0 0.00736169
773.0 0.00741543
774.0 0.00746917
775.0 0.00752290
776.0 0.00754977
777.0 0.00757664
778.0 0.00760350
779.0 0.00763037
780.0 0.00765724
781.0 0.00747991
782.0 0.00730259
783.0 0.00712526
784.0 0.00694794
785.0 0.00677061
786.0 0.00659866
787.0 0.00642671
788.0 0.00625475
789.0 0.00608280
790.0 0.00591085
791.0 0.00570666
792.0 0.00550246
793.0 0.00529827
794.0 0.00509408
795.0 0.00488989
796.0 0.00478779
797.0 0.00468569
798.0 0.00458360
799.0 0.00448150
800.0 0.00437940
801.0 0.00444388
802.0 0.00450837
803.0 0.00457285
804.0 0.00463733
805.0 0.00470181
806.0 0.00478242
807.0 0.00486302
808.0 0.00494362
809.0 0.00502422
810.0 0.00510483
811.0 0.00507796
812.0 0.00505109
813.0 0.00502422
814.0 0.00499736
815.0 0.00497049
816.0 0.00488989
817.0 0.00480928
818.0 0.00472868
819.0 0.00464808
820.0 0.00456748
821.0 0.00447075
822.0 0.00437403
823.0 0.00427731
824.0 0.00418058
825.0 0.00408386
826.0 0.00403013
827.0 0.00397639
828.0 0.00392266
829.0 0.00386892
830.0 0.00381519
831.0 0.00380444
832.0 0.00379369
833.0 0.00378294
834.0 0.00377220
835.0 0.00376145
836.0 0.00376145
837.0 0.00376145
838.0 0.00376145
839.0 0.00376145
840.0 0.00376145
841.0 0.00377220
842.0 0.00378294
843.0 0.00379369
844.0 0.00380444
845.0 0.00381519
846.0 0.00383131
847.0 0.00384743
848.0 0.00386355
849.0 0.00387967
850.0 0.00389579
851.0 0.00381787
852.0 0.00373996
853.0 0.00366204
854.0 0.00358412
855.0 0.00350621
856.0 0.00342829
857.0 0.00335038
858.0 0.00327246
859.0 0.00319455
860.0 0.00311663
861.0 0.00303871
862.0 0.00296080
863.0 0.00288288
864.0 0.00280497
865.0 0.00272705
866.0 0.00264914
867.0 0.00257122
868.0 0.00249330
869.0 0.00241539
870.0 0.00233747
871.0 0.00225956
872.0 0.00218164
873.0 0.00210373
874.0 0.00202581
875.0 0.00194789
876.0 0.00186998
877.0 0.00179206
878.0 0.00171415
879.0 0.00163623
880.0 0.00155832
881.0 0.00148040
882.0 0.00140248
883.0 0.00132457
884.0 0.00124665
885.0 0.00116874
886.0 0.00109082
887.0 0.00101290
888.0 0.000934989
889.0 0.000857073
890.0 0.000779158
891.0 0.000701242
892.0 0.000623326
