-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    NCEP_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
POR2        49718.000    1995     1     1     0
POR2        52274.750    2001    12    31    18
POR2      1541609.017 -4404571.897  4333253.896
POR2           43.071      -70.710      -14.259
POR2     NORTH_Offset  EAST_Offset    UP_Offset
49718.00     0.239957    -0.636684    -2.159330
49718.25     0.151410    -0.448879    -1.240739
49718.50     0.277976    -0.009791     0.178401
49718.75    -0.119840    -0.079518     1.115001
49719.00     0.094393    -0.184128     1.346625
49719.25     0.061073     0.039136     1.904781
49719.50    -0.088894     0.236390     2.435062
49719.75    -0.515397    -0.102012     2.104585
49720.00    -0.369892    -0.372683     1.391635
49720.25    -0.524685    -0.454082     0.374688
49720.50    -0.464914    -0.310387    -0.280785
49720.75    -0.565385    -0.440809    -0.746663
49721.00    -0.204632    -0.482349    -0.852884
49721.25    -0.281747    -0.421732    -0.458042
49721.50    -0.110328    -0.226498     0.259885
49721.75    -0.316436    -0.402987     0.925664
49722.00     0.173360    -0.584243     1.008447
49722.25     0.219567    -0.634739     1.121322
49722.50     0.556986    -0.452198     1.339920
49722.75     0.446051    -0.551280     1.526906
49723.00     0.839689    -0.518274     2.104311
49723.25     0.855763    -0.413262     2.495371
49723.50     0.940566    -0.267796     2.540649
49723.75     0.526232    -0.329474     2.729360
49724.00     0.545835    -0.383531     3.150394
49724.25     0.180640    -0.202489     3.888435
49724.50    -0.268258     0.060157     5.213514
49724.75    -0.746885    -0.433421     4.729408
49725.00    -0.442355    -0.731056     2.379943
49725.25    -0.629180    -0.694131     0.728063
49725.50    -0.533544    -0.529922     0.003225
49725.75    -0.824699    -0.583255    -0.312098
49726.00    -0.400316    -0.661339    -0.603964
49726.25    -0.516533    -0.585683    -0.668957
49726.50    -0.344022    -0.434891    -0.915247
49726.75    -0.529141    -0.599826    -1.711686
49727.00     0.049788    -0.719101    -2.608032
49727.25     0.098256    -0.651793    -3.420917
49727.50     0.386970    -0.497649    -3.998425
49727.75     0.401396    -0.602776    -4.571179
49728.00     0.962568    -0.565380    -4.666243
49728.25     1.062803    -0.470172    -4.922860
49728.50     1.317797    -0.166334    -4.627733
49728.75     1.084013    -0.219273    -4.617627
49729.00     1.313803    -0.165905    -4.143219
49729.25     0.879332    -0.014537    -3.524316
49729.50     0.784554     0.305148    -2.473116
49729.75     0.180869     0.146948    -1.693389
49730.00     0.050189     0.076836    -1.006102
49730.25    -0.406379    -0.002100    -0.889771
49730.50    -0.413456     0.000962    -0.923306
49730.75    -0.572490    -0.297283    -2.147585
49731.00    -0.364133    -0.412640    -2.685790
49731.25    -0.401646    -0.415363    -3.055872
49731.50    -0.405219    -0.189818    -2.731573
49731.75    -0.751767    -0.354998    -3.035845
49732.00    -0.627456    -0.367417    -2.496731
49732.25    -0.922774    -0.326136    -2.069935
49732.50    -1.031215    -0.156133    -1.028583
49732.75    -1.363547    -0.359631    -0.454444
49733.00    -1.159672    -0.452679    -0.070190
49733.25    -1.305966    -0.434441    -0.382856
49733.50    -1.205058    -0.281645    -0.448996
49733.75    -1.190351    -0.416475    -1.288416
49734.00    -0.971277    -0.513690    -1.356884
49734.25    -0.978700    -0.565858    -1.675737
49734.50    -0.767984    -0.465617    -1.583726
49734.75    -0.760851    -0.676397    -2.393692
49735.00    -0.371410    -0.805752    -3.049321
49735.25    -0.224940    -0.709135    -3.776107
49735.50    -0.189405    -0.531024    -4.027151
49735.75    -0.368393    -0.667198    -4.497571
49736.00    -0.069729    -0.752550    -4.341933
49736.25    -0.299548    -0.633035    -3.528237
49736.50    -0.339990    -0.372398    -2.683554
49736.75    -0.760046    -0.389429    -2.075927
49737.00    -0.617197    -0.359550    -1.439513
49737.25    -0.835172    -0.102163    -0.575291
49737.50    -0.963511     0.271823     0.580716
49737.75    -1.359322     0.320647     1.470433
49738.00    -1.302126     0.308038     2.276240
49738.25    -1.445794     0.389773     2.968480
49738.50    -1.468577     0.508974     3.198755
49738.75    -1.666909     0.311933     2.601409
49739.00    -1.408221     0.101419     2.153829
49739.25    -1.438480     0.040158     1.936624
49739.50    -1.421231     0.133520     1.956518
49739.75    -1.594056    -0.045336     1.787613
49740.00    -1.244954    -0.207126     1.639309
49740.25    -1.331707    -0.205974     1.654296
49740.50    -1.319179    -0.081189     1.493401
49740.75    -1.429557    -0.200942     1.083405
49741.00    -1.331125    -0.284134     0.611778
