        CERES Azimuth Position File

 Terra Satellite Orbit Inclination:  98.140
    GERB longitude:   -3.4  (if different - recompile!!)
    * DOY 2004001 = 01 January 2004

------------------------------------------------------------
--DOY*------ hhmmss ---orbit -- XT_Azimuth     (lat  lon)
------------------------------------------------------------
2006001     072906     32124      175.44       -3.96  44.28
2006001     072946     32124      177.66       -6.35  43.77
2006001     073025     32124      179.93       -8.74  43.25
2006001     073105     32124      182.22      -11.13  42.73
2006001     073145     32124      184.52      -13.52  42.20
2006001     073224     32124      186.83      -15.91  41.67
2006001     073304     32124      189.12      -18.29  41.13
2006001     073343     32124      191.40      -20.68  40.58
2006001     073423     32124      193.64      -23.06  40.01
2006001     073503     32124      195.84      -25.44  39.44
2006001     073542     32124      197.99      -27.82  38.84
2006001     073628     32124      200.42      -30.59  38.12
2006001     073715     32124      202.76      -33.36  37.37
2006001     073801     32124      205.00      -36.12  36.59
2006001     073847     32124      207.14      -38.88  35.76
2006001     073854     32124      180.00      -39.27  35.64

2006001     085500     32125      124.06       42.98  31.09
2006001     085632     32125      126.31       37.46  29.33
2006001     085745     32125      128.53       33.11  28.08
2006001     085844     32125      130.73       29.54  27.12
2006001     085937     32125      133.02       26.37  26.32
2006001     090023     32125      135.33       23.58  25.64
2006001     090103     32125      137.57       21.20  25.06
2006001     090142     32125      140.07       18.81  24.51
2006001     090215     32125      142.38       16.82  24.06
2006001     090248     32125      144.92       14.83  23.61
2006001     090315     32125      147.12       13.23  23.25
2006001     090341     32125      149.49       11.64  22.90
2006001     090407     32125      152.02       10.04  22.56
2006001     090434     32125      154.73        8.45  22.21
2006001     090454     32125      156.87        7.25  21.95
2006001     090513     32125      159.12        6.06  21.69
2006001     090533     32125      161.46        4.86  21.44
2006001     090553     32125      163.89        3.66  21.18
2006001     090613     32125      166.41        2.47  20.93
2006001     090633     32125      169.02        1.27  20.67
2006001     090652     32125      171.69        0.07  20.42
2006001     090712     32125      174.43       -1.12  20.16
2006001     090732     32125      177.22       -2.32  19.91
2006001     090752     32125      180.04       -3.51  19.65
2006001     090812     32125      182.89       -4.71  19.40
2006001     090831     32125      185.74       -5.91  19.14
2006001     090851     32125      188.59       -7.10  18.88
2006001     090911     32125      191.41       -8.30  18.63
2006001     090931     32125      194.19       -9.49  18.37
2006001     090951     32125      196.92      -10.69  18.11
2006001     091010     32125      199.59      -11.88  17.84
2006001     091030     32125      202.18      -13.08  17.58
2006001     091050     32125      204.69      -14.27  17.32
2006001     091110     32125      207.12      -15.46  17.05
2006001     091130     32125      209.45      -16.66  16.78
2006001     091149     32125      211.69      -17.85  16.51
2006001     091209     32125      213.83      -19.04  16.24
2006001     091236     32125      216.53      -20.63  15.87
2006001     091302     32125      219.06      -22.22  15.49
2006001     091328     32125      221.43      -23.81  15.11
2006001     091355     32125      223.63      -25.40  14.73
2006001     091428     32125      226.18      -27.38  14.23
2006001     091501     32125      228.50      -29.36  13.73
2006001     091534     32125      230.63      -31.33  13.20
2006001     091613     32125      232.95      -33.71  12.55
2006001     091700     32125      235.34      -36.47  11.77
2006001     091746     32125      237.47      -39.22  10.93
2006001     091839     32125      239.61      -42.37   9.91
2006001     091945     32125      241.90      -46.29   8.52
2006001     092057     32125      244.00      -50.58   6.80
2006001     092150     32125      180.00      -53.68   5.36

2006001     103100     32126       93.47       53.24  10.49
2006001     104021     32126       91.33       19.69  -0.01
2006001     104537     32126      206.57        0.56  -4.20
2006001     104544     32126      181.87        0.16  -4.29
2006001     104551     32126      157.84       -0.24  -4.37
2006001     104557     32126      140.61       -0.64  -4.46
2006001     104604     32126      129.53       -1.04  -4.54
2006001     104610     32126      122.31       -1.44  -4.63
2006001     104617     32126      117.39       -1.84  -4.71
2006001     104624     32126      113.85       -2.24  -4.80
2006001     104630     32126      111.22       -2.64  -4.88
2006001     104643     32126      107.56       -3.43  -5.05
2006001     104657     32126      105.16       -4.23  -5.22
2006001     104716     32126      102.82       -5.43  -5.48
2006001     104749     32126      100.51       -7.42  -5.91
2006001     104855     32126       98.28      -11.40  -6.77
2006001     105227     32126       96.16      -24.12  -9.69
2006001     105955     32126      180.00      -50.89 -18.06

2006001     121000     32127      242.71       52.82 -14.43
2006001     121119     32127      240.47       48.14 -16.44
2006001     121225     32127      238.24       44.21 -17.91
2006001     121324     32127      235.90       40.67 -19.11
2006001     121417     32127      233.50       37.51 -20.09
2006001     121503     32127      231.12       34.74 -20.91
2006001     121543     32127      228.85       32.37 -21.56
2006001     121622     32127      226.34       29.99 -22.20
2006001     121655     32127      224.03       28.01 -22.71
2006001     121728     32127      221.54       26.02 -23.21
2006001     121755     32127      219.39       24.43 -23.60
2006001     121821     32127      217.11       22.84 -23.98
2006001     121848     32127      214.67       21.25 -24.36
2006001     121914     32127      212.09       19.66 -24.73
2006001     121940     32127      209.36       18.07 -25.10
2006001     122000     32127      207.22       16.87 -25.37
2006001     122020     32127      205.00       15.68 -25.64
2006001     122040     32127      202.70       14.48 -25.91
2006001     122100     32127      200.33       13.28 -26.18
2006001     122119     32127      197.89       12.09 -26.44
2006001     122139     32127      195.40       10.89 -26.70
2006001     122159     32127      192.86        9.70 -26.96
