       2      10      22      99      20      45       0     -999.000
      Alt            U            V       U_quality    V_quality
      15.0000     0.949923     -8.88252    0.0105604    0.0108105
      25.0000      1.46262     -9.14658   0.00887519   0.00911029
      35.0000      1.96296     -9.21236   0.00840961   0.00870951
      45.0000      2.15005     -8.91337    0.0103133    0.0109599
      55.0000      2.18645     -8.57308    0.0131058    0.0144641
      65.0000      2.09009     -8.39940    0.0168535    0.0198436
      75.0000      1.68032     -8.38347    0.0266140    0.0355015
      85.0000     0.800774     -9.91380    0.0300227    0.0353950
      95.0000     0.170608     -10.4261    0.0269043    0.0300694
      105.000     0.150158     -10.4717    0.0192604    0.0205634
      115.000     0.262318     -10.4805    0.0153241    0.0161537
      125.000     0.381038     -10.4748    0.0148631    0.0155994
      135.000     0.439947     -10.5067    0.0145054    0.0151794
      145.000     0.489459     -10.5390    0.0143148    0.0149469
      155.000     0.568990     -10.5107    0.0144888    0.0151147
      165.000     0.654522     -10.4495    0.0145970    0.0152355
      175.000     0.730026     -10.4079    0.0149183    0.0155514
      185.000     0.817485     -10.3989    0.0156442    0.0162913
      195.000     0.930438     -10.4023    0.0162505    0.0168845
      205.000      1.06095     -10.4198    0.0159143    0.0165361
      215.000      1.20862     -10.4554    0.0151254    0.0156822
      225.000      1.34238     -10.4884    0.0148092    0.0153486
      235.000      1.44750     -10.5125    0.0153418    0.0159021
      245.000      1.53085     -10.5278    0.0162212    0.0167990
      255.000      1.61711     -10.5277    0.0170700    0.0176779
      265.000      1.69810     -10.5066    0.0179516    0.0185702
      275.000      1.76368     -10.4699    0.0187611    0.0193815
      285.000      1.82486     -10.4398    0.0197113    0.0203442
      295.000      1.86437     -10.4363    0.0206517    0.0212858
      305.000      1.87962     -10.4479    0.0214940    0.0221314
      315.000      1.87941     -10.4775    0.0219247    0.0225725
      325.000      1.88875     -10.5190    0.0220011    0.0226798
      335.000      1.91131     -10.5396    0.0223360    0.0230367
      345.000      1.96483     -10.5352    0.0231431    0.0238451
      355.000      2.03691     -10.5348    0.0244162    0.0251209
      365.000      2.11870     -10.5409    0.0253415    0.0260395
      375.000      2.21221     -10.5622    0.0294119    0.0302548
      385.000      2.30226     -10.5852    0.0296004    0.0305162
      395.000      2.38893     -10.5832    0.0302580    0.0312807
      405.000      2.47740     -10.5679    0.0312789    0.0324559
      415.000      2.54519     -10.5366    0.0276468    0.0288126
      425.000      2.65177     -10.4745    0.0283909    0.0298226
      435.000      2.74447     -10.3960    0.0293373    0.0309505
      445.000      2.75431     -10.3050    0.0306191    0.0325090
      455.000      2.80202     -10.2333    0.0315992    0.0336007
      465.000      2.84350     -10.1958    0.0326153    0.0351509
      475.000      2.87425     -10.2603    0.0330053    0.0360570
      485.000      2.92915     -10.2970    0.0330893    0.0369131
      495.000      2.99425     -10.3693    0.0326358    0.0368187
      505.000      3.04863     -10.4105    0.0331828    0.0386425
      515.000      3.10384     -10.4490    0.0350883    0.0422322
      525.000      3.14389     -10.4704    0.0366264    0.0460369
      535.000      3.10801     -10.4205    0.0392126    0.0499334
      545.000      3.07444     -10.3478    0.0424794    0.0547955
      555.000      3.09678     -10.2358    0.0454573    0.0600264
      565.000      3.14107     -10.1280    0.0488103    0.0657232
      575.000      3.14162     -9.98317    0.0533031    0.0721522
      585.000      3.12466     -9.78049    0.0579826    0.0782868
      595.000      3.11163     -9.53129    0.0645092    0.0886805
      605.000      3.09804     -9.38704    0.0695530    0.0974753
      615.000      3.22355     -9.50518    0.0734232     0.104006
      625.000      3.46483     -9.52774    0.0792523     0.113847
      635.000      3.54571     -9.16060    0.0791552     0.112727
      645.000      3.56697     -8.82953    0.0976893     0.129806
      655.000      3.82805     -8.94563     0.121426     0.150673
      665.000      3.86977     -9.33733     0.124975     0.155743
      675.000     -999.000     -999.000     -999.000     -999.000
      685.000     -999.000     -999.000     -999.000     -999.000
      695.000     -999.000     -999.000     -999.000     -999.000
      705.000     -999.000     -999.000     -999.000     -999.000
      715.000     -999.000     -999.000     -999.000     -999.000
      725.000     -999.000     -999.000     -999.000     -999.000
      735.000     -999.000     -999.000     -999.000     -999.000
      745.000     -999.000     -999.000     -999.000     -999.000
      755.000     -999.000     -999.000     -999.000     -999.000
      765.000     -999.000     -999.000     -999.000     -999.000
      775.000     -999.000     -999.000     -999.000     -999.000
      785.000     -999.000     -999.000     -999.000     -999.000
      795.000     -999.000     -999.000     -999.000     -999.000
      805.000     -999.000     -999.000     -999.000     -999.000
      815.000     -999.000     -999.000     -999.000     -999.000
      825.000     -999.000     -999.000     -999.000     -999.000
      835.000     -999.000     -999.000     -999.000     -999.000
      845.000     -999.000     -999.000     -999.000     -999.000
      855.000     -999.000     -999.000     -999.000     -999.000
      865.000     -999.000     -999.000     -999.000     -999.000
      875.000     -999.000     -999.000     -999.000     -999.000
      885.000     -999.000     -999.000     -999.000     -999.000
      895.000     -999.000     -999.000     -999.000     -999.000
      905.000     -999.000     -999.000     -999.000     -999.000
      915.000     -999.000     -999.000     -999.000     -999.000
      925.000     -999.000     -999.000     -999.000     -999.000
      935.000     -999.000     -999.000     -999.000     -999.000
      945.000     -999.000     -999.000     -999.000     -999.000
      955.000     -999.000     -999.000     -999.000     -999.000
      965.000     -999.000     -999.000     -999.000     -999.000
      975.000     -999.000     -999.000     -999.000     -999.000
      985.000     -999.000     -999.000     -999.000     -999.000
      995.000     -999.000     -999.000     -999.000     -999.000
       2      10      22      99      20      60       0     -999.000
      Alt            U            V       U_quality    V_quality
      15.0000     0.948260     -8.79115   0.00880972   0.00617186
      25.0000      1.25681     -9.02071   0.00793510   0.00575557
      35.0000      1.68928     -9.28373   0.00728426   0.00554594
      45.0000      1.93211     -9.45852   0.00829360   0.00664816
      55.0000      1.92783     -9.66072    0.0102957   0.00807530
      65.0000      1.66262     -10.0653    0.0114386   0.00824732
      75.0000      1.23922     -10.4661    0.0120460   0.00764758
      85.0000      1.02906     -10.6616    0.0118954   0.00695686
      95.0000     0.921177     -10.7215    0.0119258   0.00685365
      105.000     0.853446     -10.7378    0.0115125   0.00671426
      115.000     0.836680     -10.7577    0.0112682   0.00663174
      125.000     0.875360     -10.8082    0.0115555   0.00686139
      135.000     0.906314     -10.8504    0.0117393   0.00698202
      145.000     0.940827     -10.8830    0.0123594   0.00736545
      155.000     0.969739     -10.9025    0.0120810   0.00717183
      165.000      1.01412     -10.8926    0.0123979   0.00737259
      175.000      1.06203     -10.8750    0.0123224   0.00733186
      185.000      1.10485     -10.8729    0.0126921   0.00760890
      195.000      1.14755     -10.8565    0.0127307   0.00766469
      205.000      1.21435     -10.8329    0.0127697   0.00774421
      215.000      1.29629     -10.8012    0.0127554   0.00776925
      225.000      1.36391     -10.7778    0.0129598   0.00794292
      235.000      1.40686     -10.7847    0.0133638   0.00822287
      245.000      1.46697     -10.8067    0.0136371   0.00843232
      255.000      1.51425     -10.8204    0.0137600   0.00854234
      265.000      1.55471     -10.8259    0.0143377   0.00895328
      275.000      1.57889     -10.8167    0.0145271   0.00911419
      285.000      1.60153     -10.7933    0.0150373   0.00950824
      295.000      1.62425     -10.7669    0.0153539   0.00975296
      305.000      1.63031     -10.7457    0.0156553   0.00998210
      315.000      1.64715     -10.7476    0.0159106    0.0101948
      325.000      1.69102     -10.7630    0.0159056    0.0102102
      335.000      1.71739     -10.7576    0.0163375    0.0106013
      345.000      1.73096     -10.7225    0.0162307    0.0105090
      355.000      1.75751     -10.6971    0.0172533    0.0112574
      365.000      1.79113     -10.6780    0.0171036    0.0111517
      375.000      1.82456     -10.6675    0.0185333    0.0122138
      385.000      1.87285     -10.6549    0.0190219    0.0126273
      395.000      1.91513     -10.6262    0.0201793    0.0135323
      405.000      1.98974     -10.6175    0.0202551    0.0137563
      415.000      2.05012     -10.5924    0.0197765    0.0136499
      425.000      2.11128     -10.5482    0.0203513    0.0142571
      435.000      2.19204     -10.5040    0.0209076    0.0148155
      445.000      2.24201     -10.4656    0.0216905    0.0154726
      455.000      2.29598     -10.4108    0.0233105    0.0168208
      465.000      2.34277     -10.3705    0.0237118    0.0173787
      475.000      2.39398     -10.3681    0.0242159    0.0180401
      485.000      2.46749     -10.3604    0.0241242    0.0181939
      495.000      2.55109     -10.3455    0.0237854    0.0182132
      505.000      2.60682     -10.3249    0.0248038    0.0194040
      515.000      2.68422     -10.3156    0.0253304    0.0202754
      525.000      2.77898     -10.3037    0.0258937    0.0211892
      535.000      2.79844     -10.2895    0.0273637    0.0227267
      545.000      2.79940     -10.2530    0.0285458    0.0241282
      555.000      2.86755     -10.1963    0.0304768    0.0262098
      565.000      2.92687     -10.1265    0.0325124    0.0285502
      575.000      2.95676     -10.0185    0.0347273    0.0311797
      585.000      2.93932     -9.91438    0.0379890    0.0348096
      595.000      2.87811     -9.87054    0.0394293    0.0368526
      605.000      2.95439     -9.81667    0.0411170    0.0391200
      615.000      3.18510     -9.77791    0.0440685    0.0421146
      625.000      3.37793     -9.73888    0.0463895    0.0447349
      635.000      3.42332     -9.73087    0.0463745    0.0451656
      645.000      3.38995     -9.57326    0.0515281    0.0504941
      655.000      3.38090     -9.46484    0.0579173    0.0564558
      665.000      3.35863     -9.47229    0.0667766    0.0634119
      675.000      3.45741     -9.33666    0.0832209    0.0806795
      685.000      3.36239     -9.22340    0.0940708    0.0928270
      695.000      3.21214     -9.13680     0.101267     0.102778
      705.000      3.38139     -9.11482    0.0918090    0.0977849
      715.000      3.47518     -9.28221    0.0903731    0.0986063
      725.000      3.47985     -9.36573    0.0830460    0.0973525
      735.000      3.55516     -9.36442    0.0969839     0.104438
      745.000      3.50186     -9.18513     0.121097     0.130094
      755.000      3.49963     -9.08861     0.140442     0.136065
      765.000      3.45713     -8.92549     0.138812     0.146671
      775.000     -999.000     -999.000     -999.000     -999.000
      785.000     -999.000     -999.000     -999.000     -999.000
      795.000     -999.000     -999.000     -999.000     -999.000
      805.000     -999.000     -999.000     -999.000     -999.000
      815.000     -999.000     -999.000     -999.000     -999.000
      825.000     -999.000     -999.000     -999.000     -999.000
      835.000     -999.000     -999.000     -999.000     -999.000
      845.000     -999.000     -999.000     -999.000     -999.000
      855.000     -999.000     -999.000     -999.000     -999.000
      865.000     -999.000     -999.000     -999.000     -999.000
      875.000     -999.000     -999.000     -999.000     -999.000
      885.000     -999.000     -999.000     -999.000     -999.000
      895.000     -999.000     -999.000     -999.000     -999.000
      905.000     -999.000     -999.000     -999.000     -999.000
      915.000     -999.000     -999.000     -999.000     -999.000
      925.000     -999.000     -999.000     -999.000     -999.000
      935.000     -999.000     -999.000     -999.000     -999.000
      945.000     -999.000     -999.000     -999.000     -999.000
      955.000     -999.000     -999.000     -999.000     -999.000
      965.000     -999.000     -999.000     -999.000     -999.000
      975.000     -999.000     -999.000     -999.000     -999.000
      985.000     -999.000     -999.000     -999.000     -999.000
      995.000     -999.000     -999.000     -999.000     -999.000
       2      10      22      99      21      15       0     -999.000
      Alt            U            V       U_quality    V_quality
      15.0000      1.14435     -8.68225   0.00913930   0.00474685
      25.0000      1.18463     -8.85494   0.00900640   0.00474869
      35.0000      1.19908     -9.15721   0.00908062   0.00489352
      45.0000      1.21319     -9.70258   0.00992985   0.00550329
      55.0000      1.17786     -10.1823    0.0103734   0.00579484
      65.0000      1.09521     -10.4127   0.00966821   0.00538327
      75.0000      1.04974     -10.5520   0.00908999   0.00504687
      85.0000      1.06854     -10.6396   0.00877571   0.00486469
      95.0000      1.11008     -10.6983   0.00860470   0.00475928
      105.000      1.11315     -10.7255   0.00857522   0.00474540
      115.000      1.10433     -10.7491   0.00844643   0.00468657
      125.000      1.10817     -10.7820   0.00872220   0.00486389
      135.000      1.12322     -10.7995   0.00891340   0.00499028
      145.000      1.16390     -10.8162   0.00946234   0.00532357
      155.000      1.19837     -10.8316   0.00944050   0.00531168
      165.000      1.22551     -10.8371   0.00997134   0.00561176
      175.000      1.25717     -10.8445   0.00995577   0.00558630
      185.000      1.28232     -10.8586    0.0103488   0.00580468
      195.000      1.30422     -10.8512    0.0104160   0.00583064
      205.000      1.32870     -10.8381    0.0107466   0.00600979
      215.000      1.36761     -10.8260    0.0108935   0.00609254
      225.000      1.39754     -10.8241    0.0109997   0.00615092
      235.000      1.41485     -10.8345    0.0113325   0.00634006
      245.000      1.44193     -10.8534    0.0115993   0.00649091
      255.000      1.47448     -10.8603    0.0117603   0.00659576
      265.000      1.50808     -10.8562    0.0124222   0.00697110
      275.000      1.55633     -10.8534    0.0121847   0.00685227
      285.000      1.57026     -10.8427    0.0127055   0.00717325
      295.000      1.56879     -10.8242    0.0134787   0.00763200
      305.000      1.57912     -10.8059    0.0138751   0.00788000
      315.000      1.61927     -10.7995    0.0144651   0.00821884
      325.000      1.66491     -10.8049    0.0146304   0.00829088
      335.000      1.67732     -10.7998    0.0154127   0.00875371
      345.000      1.69375     -10.7822    0.0152605   0.00866036
      355.000      1.70395     -10.7764    0.0155957   0.00890951
      365.000      1.71546     -10.7680    0.0147759   0.00843000
      375.000      1.73300     -10.7504    0.0157445   0.00899851
      385.000      1.76026     -10.7182    0.0165281   0.00943598
      395.000      1.75430     -10.6856    0.0183011    0.0104824
      405.000      1.74277     -10.6564    0.0182977    0.0105143
      415.000      1.75267     -10.6375    0.0185961    0.0106959
      425.000      1.80037     -10.6177    0.0190734    0.0109800
      435.000      1.83087     -10.5977    0.0197900    0.0113839
      445.000      1.84377     -10.5868    0.0198828    0.0114476
      455.000      1.87096     -10.5584    0.0221466    0.0127631
      465.000      1.91965     -10.5084    0.0232331    0.0134282
      475.000      1.98227     -10.4902    0.0234025    0.0135292
      485.000      1.99804     -10.4941    0.0227552    0.0131322
      495.000      2.04328     -10.4669    0.0239496    0.0138111
      505.000      2.07113     -10.4277    0.0253506    0.0146361
      515.000      2.13946     -10.4031    0.0256154    0.0147908
      525.000      2.20138     -10.3565    0.0290764    0.0168122
      535.000      2.20804     -10.2922    0.0326764    0.0189384
      545.000      2.23215     -10.2578    0.0350376    0.0203306
      555.000      2.25232     -10.2115    0.0376414    0.0218103
      565.000      2.31120     -10.1975    0.0371586    0.0214344
      575.000      2.38785     -10.1248    0.0416696    0.0240954
      585.000      2.41062     -10.1309    0.0446949    0.0260131
      595.000      2.43342     -10.1528    0.0414846    0.0244093
      605.000      2.49214     -10.0843    0.0431533    0.0254419
      615.000      2.63571     -9.99564    0.0499013    0.0294615
      625.000      2.69975     -9.95875    0.0554175    0.0327351
      635.000      2.55185     -9.87030    0.0698171    0.0413479
      645.000      2.44460     -9.82523    0.0785305    0.0470506
      655.000      2.41917     -9.81759    0.0769411    0.0462007
      665.000      2.40262     -9.74928    0.0814326    0.0490152
      675.000      2.26634     -9.62296    0.0918444    0.0547930
      685.000      2.31727     -9.68284    0.0977021    0.0573600
      695.000      2.34699     -9.73835     0.101482    0.0598618
      705.000      2.23875     -9.49062     0.136434    0.0807344
      715.000      2.42379     -9.60649     0.127586    0.0748551
      725.000      2.42347     -9.59253     0.120169    0.0697964
      735.000      2.23799     -9.44061     0.132614    0.0763036
      745.000      2.34961     -9.51313     0.151727    0.0896113
      755.000      2.69162     -9.62723     0.181445     0.107131
      765.000     -999.000     -999.000     -999.000     -999.000
      775.000     -999.000     -999.000     -999.000     -999.000
      785.000     -999.000     -999.000     -999.000     -999.000
      795.000     -999.000     -999.000     -999.000     -999.000
      805.000     -999.000     -999.000     -999.000     -999.000
      815.000     -999.000     -999.000     -999.000     -999.000
      825.000     -999.000     -999.000     -999.000     -999.000
      835.000     -999.000     -999.000     -999.000     -999.000
      845.000     -999.000     -999.000     -999.000     -999.000
      855.000     -999.000     -999.000     -999.000     -999.000
      865.000     -999.000     -999.000     -999.000     -999.000
      875.000     -999.000     -999.000     -999.000     -999.000
      885.000     -999.000     -999.000     -999.000     -999.000
      895.000     -999.000     -999.000     -999.000     -999.000
      905.000     -999.000     -999.000     -999.000     -999.000
      915.000     -999.000     -999.000     -999.000     -999.000
      925.000     -999.000     -999.000     -999.000     -999.000
      935.000     -999.000     -999.000     -999.000     -999.000
      945.000     -999.000     -999.000     -999.000     -999.000
      955.000     -999.000     -999.000     -999.000     -999.000
      965.000     -999.000     -999.000     -999.000     -999.000
      975.000     -999.000     -999.000     -999.000     -999.000
      985.000     -999.000     -999.000     -999.000     -999.000
      995.000     -999.000     -999.000     -999.000     -999.000
       2      10      22      99      21      30       0     -999.000
      Alt            U            V       U_quality    V_quality
      15.0000      1.28375     -8.67684   0.00997783   0.00471016
      25.0000      1.36178     -8.79789   0.00992408   0.00475768
      35.0000      1.31556     -9.06870    0.0102098   0.00501397
      45.0000      1.19478     -9.61343    0.0116643   0.00593286
      55.0000      1.16665     -10.1190    0.0124436   0.00640935
      65.0000      1.12660     -10.3463    0.0115345   0.00592505
      75.0000      1.06466     -10.4730    0.0106133   0.00542695
      85.0000      1.06216     -10.5596    0.0103664   0.00529514
      95.0000      1.12560     -10.6397    0.0100019   0.00508583
      105.000      1.16450     -10.6897    0.0100485   0.00510157
      115.000      1.19981     -10.7362   0.00983375   0.00498664
      125.000      1.21778     -10.7761    0.0101650   0.00516441
      135.000      1.22293     -10.8050    0.0101471   0.00517528
      145.000      1.24624     -10.8379    0.0105119   0.00540619
      155.000      1.29914     -10.8583    0.0104554   0.00540771
      165.000      1.31656     -10.8738    0.0112171   0.00583452
      175.000      1.34809     -10.8972    0.0113404   0.00589150
      185.000      1.37064     -10.9312    0.0118815   0.00617044
      195.000      1.38306     -10.9436    0.0118162   0.00611244
      205.000      1.40200     -10.9589    0.0119655   0.00617393
      215.000      1.43785     -10.9584    0.0123047   0.00633616
      225.000      1.47781     -10.9642    0.0125771   0.00646440
      235.000      1.49209     -10.9790    0.0128342   0.00658865
      245.000      1.48876     -11.0001    0.0129020   0.00661978
      255.000      1.51451     -11.0050    0.0127693   0.00657087
      265.000      1.56788     -10.9994    0.0129062   0.00666723
      275.000      1.66001     -10.9943    0.0127757   0.00663176
      285.000      1.71459     -10.9950    0.0133714   0.00696635
      295.000      1.73642     -10.9878    0.0142096   0.00741884
      305.000      1.76450     -10.9702    0.0146587   0.00767404
      315.000      1.80551     -10.9619    0.0156021   0.00817936
      325.000      1.84159     -10.9631    0.0158174   0.00827199
      335.000      1.87405     -10.9602    0.0170113   0.00890743
      345.000      1.91583     -10.9518    0.0165251   0.00863590
      355.000      1.94802     -10.9465    0.0167692   0.00882286
      365.000      1.99946     -10.9359    0.0168545   0.00886104
      375.000      2.06170     -10.9238    0.0179479   0.00947797
      385.000      2.12329     -10.9134    0.0186737   0.00982426
      395.000      2.12345     -10.8782    0.0207925    0.0110118
      405.000      2.08805     -10.8427    0.0207932    0.0110235
      415.000      2.03756     -10.8101    0.0214834    0.0114204
      425.000      2.08459     -10.7995    0.0224111    0.0118994
      435.000      2.12484     -10.7954    0.0235068    0.0124876
      445.000      2.15430     -10.7883    0.0239847    0.0127452
      455.000      2.19333     -10.7452    0.0272779    0.0144903
      465.000      2.26203     -10.7142    0.0288514    0.0153608
      475.000      2.32907     -10.7052    0.0290308    0.0154814
      485.000      2.38689     -10.7005    0.0298109    0.0159739
      495.000      2.45588     -10.7043    0.0325010    0.0174545
      505.000      2.47171     -10.6752    0.0326544    0.0175519
      515.000      2.47306     -10.6596    0.0318327    0.0170006
      525.000      2.52335     -10.6292    0.0371872    0.0199055
      535.000      2.52732     -10.5700    0.0421174    0.0225375
      545.000      2.55598     -10.5592    0.0450449    0.0241058
      555.000      2.59124     -10.5370    0.0477317    0.0255053
      565.000      2.68697     -10.5044    0.0495022    0.0266529
      575.000      2.81165     -10.4278    0.0550961    0.0297447
      585.000      2.81079     -10.4157    0.0584498    0.0315454
      595.000      2.90517     -10.4764    0.0587897    0.0318508
      605.000      3.02388     -10.4538    0.0581803    0.0318874
      615.000      3.02395     -10.3970    0.0630601    0.0347685
      625.000      3.08840     -10.3620    0.0683408    0.0376410
      635.000      3.03509     -10.3386    0.0807941    0.0442510
      645.000      3.00856     -10.3863    0.0870429    0.0480481
      655.000      3.16607     -10.4117    0.0816138    0.0454582
      665.000      3.43618     -10.3921    0.0910044    0.0507523
      675.000      3.45793     -10.3804     0.100435    0.0553850
      685.000      3.54839     -10.4649     0.103653    0.0569715
      695.000      3.75144     -10.5213     0.103649    0.0573875
      705.000      3.71563     -10.3824     0.139663    0.0760451
      715.000      4.01312     -10.4589     0.125193    0.0678419
      725.000      4.03811     -10.4170     0.118546    0.0634626
      735.000      3.82031     -10.4063     0.128158    0.0698224
      745.000      4.01127     -10.5939     0.113186    0.0614016
      755.000      4.09248     -10.6397     0.116829    0.0640124
      765.000      3.98036     -10.5143     0.155717    0.0853616
      775.000      3.90686     -10.5430     0.156548    0.0846015
      785.000      4.34421     -10.5130     0.133036    0.0719555
      795.000      4.39979     -10.4492     0.133970    0.0725679
      805.000      4.53886     -10.3544     0.144470    0.0782689
      815.000      5.00484     -10.2127     0.171958    0.0926933
      825.000      4.83684     -10.1838     0.179917    0.0957220
      835.000      4.57174     -10.3815     0.167221    0.0892691
      845.000      4.66874     -10.6367     0.129665    0.0689653
      855.000      4.79134     -10.7938     0.120335    0.0639080
      865.000      5.16609     -10.6945     0.128945    0.0674018
      875.000      5.18598     -10.7653     0.115841    0.0606235
      885.000      5.22305     -10.7640     0.145531    0.0750858
      895.000      5.35930     -10.6888     0.175918    0.0910736
      905.000      4.83897     -10.9127     0.145154    0.0767239
      915.000      4.76115     -11.1898     0.127339    0.0661897
      925.000      5.06672     -11.0733     0.134061    0.0709035
      935.000      5.03248     -11.0850     0.150904    0.0779253
      945.000      4.90703     -11.1750     0.135024    0.0707988
      955.000      4.70072     -11.2039     0.145750    0.0771431
      965.000      4.70139     -11.2249     0.161198    0.0852417
      975.000      4.75976     -11.3415     0.193299     0.100151
      985.000     -999.000     -999.000     -999.000     -999.000
      995.000     -999.000     -999.000     -999.000     -999.000
       2      10      22      99      21      45       0     -999.000
      Alt            U            V       U_quality    V_quality
      15.0000      1.46217     -8.51886    0.0220179   0.00919129
      25.0000      1.43832     -8.68756    0.0197391   0.00838061
      35.0000      1.33345     -8.96252    0.0191280   0.00836189
      45.0000      1.25939     -9.47140    0.0204128   0.00931912
      55.0000      1.32853     -9.97002    0.0208419   0.00968869
      65.0000      1.32318     -10.2414    0.0191406   0.00886877
      75.0000      1.24779     -10.4112    0.0174885   0.00803642
      85.0000      1.20970     -10.5302    0.0166571   0.00763045
      95.0000      1.23670     -10.6292    0.0158856   0.00723828
      105.000      1.27027     -10.6970    0.0159437   0.00726276
      115.000      1.34565     -10.7627    0.0156122   0.00710301
      125.000      1.43642     -10.8147    0.0159807   0.00728906
      135.000      1.50067     -10.8571    0.0158752   0.00726125
      145.000      1.54324     -10.9073    0.0161668   0.00746332
      155.000      1.61605     -10.9492    0.0158457   0.00735341
      165.000      1.63517     -10.9823    0.0166093   0.00775935
      175.000      1.66579     -11.0205    0.0166672   0.00778156
      185.000      1.67103     -11.0624    0.0170610   0.00798931
      195.000      1.71167     -11.0879    0.0166542   0.00779482
      205.000      1.77396     -11.1112    0.0163064   0.00764988
      215.000      1.84118     -11.1052    0.0166758   0.00781620
      225.000      1.91045     -11.1026    0.0172945   0.00810585
      235.000      1.92668     -11.1171    0.0173557   0.00813068
      245.000      1.93237     -11.1392    0.0172169   0.00807484
      255.000      1.95006     -11.1463    0.0172048   0.00809316
      265.000      1.99644     -11.1489    0.0169119   0.00801037
      275.000      2.06063     -11.1466    0.0166509   0.00792160
      285.000      2.10827     -11.1541    0.0170762   0.00816279
      295.000      2.15253     -11.1599    0.0175154   0.00835485
      305.000      2.19503     -11.1522    0.0175040   0.00835986
      315.000      2.21885     -11.1465    0.0184423   0.00884354
      325.000      2.22833     -11.1401    0.0189031   0.00910782
      335.000      2.26960     -11.1315    0.0199727   0.00966432
      345.000      2.31193     -11.1113    0.0200214   0.00966937
      355.000      2.36185     -11.1076    0.0202421   0.00981809
      365.000      2.41508     -11.1046    0.0209824    0.0101572
      375.000      2.44907     -11.0968    0.0217325    0.0105840
      385.000      2.50670     -11.1177    0.0216864    0.0105146
      395.000      2.54103     -11.0912    0.0231333    0.0113020
      405.000      2.53310     -11.0592    0.0236088    0.0115330
      415.000      2.49946     -11.0426    0.0239719    0.0117803
      425.000      2.50352     -11.0195    0.0256005    0.0126048
      435.000      2.55319     -10.9953    0.0263341    0.0130240
      445.000      2.62766     -10.9916    0.0262205    0.0129709
      455.000      2.65030     -10.9612    0.0278080    0.0137807
      465.000      2.66464     -10.9611    0.0284632    0.0141650
