-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :   ECMWF_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
HOB2        49718.000    1995     1     1     0
HOB2        52274.750    2001    12    31    18
HOB2     -3950071.361  2522415.185 -4311638.362
HOB2          -42.805      147.439       41.066
HOB2     NORTH_Offset  EAST_Offset    UP_Offset
49718.00    -0.146088     0.440693     0.109163
49718.25     0.033526     0.432056     0.302400
49718.50     0.219493    -0.164182    -1.478631
49718.75     0.102353     0.002633    -2.057845
49719.00     0.509944    -0.174224    -2.887843
49719.25     0.738773    -0.339670    -2.275337
49719.50     0.687801    -0.711510    -2.656811
49719.75     0.431258    -0.356237    -2.140198
49720.00     0.624196    -0.234603    -2.275581
49720.25     0.502172    -0.184557    -0.797483
49720.50     0.283532    -0.520587    -0.740208
49720.75     0.032275    -0.124600    -0.301378
49721.00     0.405179     0.027904    -0.281523
49721.25     0.405409     0.218042     0.586843
49721.50     0.662831    -0.193650    -0.418001
49721.75     0.744181     0.414037    -0.428323
49722.00     1.314426     0.614004    -0.457202
49722.25     1.680154     0.923257     0.808216
49722.50     1.948965     0.632711     0.308606
49722.75     1.941646     1.203948     1.056664
49723.00     2.461772     1.221435     0.698048
49723.25     2.606514     1.264928     1.120242
49723.50     2.623891     0.911901    -0.112076
49723.75     2.227893     1.400605    -0.320141
49724.00     2.242966     1.666130    -1.149738
49724.25     1.953515     1.785037    -0.453809
49724.50     1.743277     1.360507    -1.012565
49724.75     1.263632     1.677072    -0.742958
49725.00     1.417333     1.634461    -0.948910
49725.25     1.058204     1.521340     0.369048
49725.50     0.881058     0.962220    -0.336086
49725.75     0.554658     1.064957    -0.234679
49726.00     0.811366     0.848627    -0.858381
49726.25     0.715396     0.708455     0.137968
49726.50     0.637108     0.193324    -0.528580
49726.75     0.186236     0.415862    -0.265131
49727.00     0.497631     0.400018    -0.822501
49727.25     0.410261     0.359022     0.102211
49727.50     0.388874    -0.094160    -0.783170
49727.75     0.169184     0.294072    -0.736123
49728.00     0.645242     0.360618    -1.451530
49728.25     0.727051     0.420997    -0.569357
49728.50     0.801166    -0.026167    -1.419229
49728.75     0.558116     0.382378    -1.168117
49729.00     0.882642     0.445023    -1.616820
49729.25     0.730089     0.571514    -0.423398
49729.50     0.650471     0.102461    -0.952540
49729.75     0.214696     0.517402    -0.300297
49730.00     0.425166     0.554749    -0.012363
49730.25     0.175839     0.598567     1.340158
49730.50     0.082357     0.179562     0.953282
49730.75    -0.361619     0.559721     1.505271
49731.00    -0.167086     0.704170     1.135705
49731.25    -0.220484     0.929653     2.267730
49731.50    -0.253696     0.631181     2.021117
49731.75    -0.622918     1.043666     2.747190
49732.00    -0.346408     1.275805     2.886044
49732.25    -0.407600     1.483076     4.023462
49732.50    -0.469035     1.243464     3.282005
49732.75    -0.713536     1.581581     3.310703
49733.00    -0.500940     1.733569     2.992917
49733.25    -0.601755     1.836222     4.206542
49733.50    -0.668548     1.383871     3.604845
49733.75    -0.896569     1.634001     3.668451
49734.00    -0.553261     1.685845     3.360349
49734.25    -0.436141     1.726940     4.198412
49734.50    -0.262192     1.279981     3.257743
49734.75    -0.440219     1.517758     3.173295
49735.00    -0.059123     1.603808     2.652731
49735.25     0.027705     1.525020     3.304353
49735.50     0.071947     1.016571     2.850407
49735.75    -0.141900     1.180630     3.004500
49736.00     0.242029     1.120810     3.013542
49736.25     0.257485     1.121520     4.450277
49736.50     0.328347     0.573639     4.283410
49736.75    -0.059499     0.741385     5.180205
49737.00    -0.086279     0.802276     5.820832
49737.25    -0.183099     0.752609     7.038447
49737.50    -0.314439     0.176404     6.092597
49737.75    -0.624689     0.511398     5.668050
49738.00    -0.352105     0.620134     4.401211
49738.25    -0.174621     0.586643     3.975951
49738.50    -0.176234     0.189588     2.422156
49738.75    -0.422507     0.550996     2.003980
49739.00    -0.194812     0.721712     1.071447
49739.25    -0.228751     0.829041     1.734710
49739.50    -0.296916     0.432479     0.965562
49739.75    -0.574645     0.679573     1.075048
49740.00    -0.309448     0.744459     0.760875
49740.25    -0.299618     0.773166     2.043332
49740.50    -0.321960     0.315071     1.321511
49740.75    -0.640636     0.540918     1.311370
49741.00    -0.457081     0.499601     0.983555
49741.25    -0.540366     0.540924     1.615964
49741.50    -0.600062     0.049679     0.948563
49741.75    -1.044812     0.427128     1.261128
49742.00    -0.928717     0.587153     0.849395
49742.25    -1.012052     0.706321     1.628753
49742.50    -1.028901     0.299907     0.930114
49742.75    -1.380126     0.734936     1.368960
49743.00    -1.105794     0.902132     1.058799
49743.25    -1.173860     1.122689     2.117362
49743.50    -1.267254     0.801209     1.682517
49743.75    -1.663953     1.219681     1.908743
49744.00    -1.371169     1.320375     1.597113
49744.25    -1.491918     1.454816     2.782141
49744.50    -1.557949     1.037177     2.242415
49744.75    -1.876093     1.426354     2.478992
49745.00    -1.768382     1.545215     2.338632
49745.25    -1.875611     1.573885     3.296242
49745.50    -1.793723     1.087548     2.695200
49745.75    -2.009457     1.383357     3.004510
49746.00    -1.603883     1.540886     2.705379
49746.25    -1.388457     1.633177     3.490343
49746.50    -1.263499     1.333645     2.918283
49746.75    -1.552505     1.865880     3.263800
49747.00    -1.217950     2.140249     3.367113
49747.25    -1.305913     2.398731     4.518814
49747.50    -1.300966     2.163166     3.379985
49747.75    -1.571968     2.553825     2.936800
49748.00    -1.238039     2.766380     2.156492
49748.25    -1.197013     2.833957     2.448552
49748.50    -1.200614     2.561529     1.603595
49748.75    -1.403240     2.873901     1.630168
49749.00    -1.110793     3.039816     1.366043
49749.25    -1.039211     2.979598     2.354593
49749.50    -1.057069     2.417447     2.312871
49749.75    -1.236221     2.597616     3.027483
49750.00    -0.930194     2.432170     3.035071
49750.25    -0.836076     2.182277     3.957691
49750.50    -0.968139     1.570876     3.371802
49750.75    -1.371706     1.601997     3.603233
49751.00    -1.119078     1.443089     3.178201
49751.25    -0.936599     1.143561     3.602601
49751.50    -0.813629     0.481820     2.547650
49751.75    -0.947493     0.638577     2.369774
49752.00    -0.489078     0.685740     1.847375
49752.25    -0.363863     0.551936     2.703875
49752.50    -0.302843    -0.007419     2.160373
49752.75    -0.442825     0.245253     2.455103
49753.00    -0.070136     0.359784     2.514080
49753.25     0.158661     0.407863     3.288308
49753.50     0.503239    -0.117598     1.474507
49753.75     0.525713     0.160576     0.783652
49754.00     1.091284     0.192481    -0.417735
49754.25     1.448423     0.098885    -0.626385
49754.50     1.698160    -0.500617    -2.155019
49754.75     1.471259    -0.313392    -2.116884
49755.00     1.823459    -0.284636    -2.551840
49755.25     1.787792    -0.291460    -1.619500
49755.50     1.815577    -0.919553    -2.665056
49755.75     1.457467    -0.670323    -2.707896
49756.00     1.618503    -0.519052    -3.033587
49756.25     1.423208    -0.546262    -1.931906
49756.50     1.384599    -0.990354    -2.478866
49756.75     1.039153    -0.670057    -2.108022
49757.00     1.215695    -0.473182    -2.266810
49757.25     1.151729    -0.399951    -1.405045
49757.50     1.073210    -0.726823    -2.013009
49757.75     0.559975    -0.262956    -1.721073
49758.00     0.748792    -0.050996    -2.045018
49758.25     0.551475     0.040105    -1.192285
49758.50     0.461104    -0.361854    -1.996042
49758.75     0.044451     0.026792    -1.608529
49759.00     0.248625     0.216449    -1.713170
49759.25     0.061830     0.389213    -0.352075
49759.50    -0.100268     0.046494    -0.725435
49759.75    -0.571572     0.452743    -0.187023
49760.00    -0.382399     0.594742    -0.065520
49760.25    -0.534539     0.788982     1.491871
49760.50    -0.622880     0.419077     0.853832
49760.75    -1.019550     0.972123     1.168573
49761.00    -0.772436     1.160263     1.202297
49761.25    -0.706355     1.218367     2.271601
49761.50    -0.579531     0.679051     1.345427
49761.75    -0.791800     0.894342     1.393217
49762.00    -0.410921     0.952855     1.009275
49762.25    -0.290434     0.923945     1.691310
49762.50    -0.226861     0.508770     0.862090
49762.75    -0.416635     0.842367     0.912924
49763.00    -0.088422     1.079673     0.681610
49763.25    -0.235531     1.124295     1.880108
49763.50    -0.233200     0.692412     1.476534
49763.75    -0.575500     0.941055     1.763043
49764.00    -0.285151     1.049421     1.669857
49764.25    -0.300783     0.960092     2.202521
49764.50    -0.014063     0.382177     0.752930
49764.75    -0.176663     0.540438     0.340900
49765.00     0.319875     0.499734    -0.345952
49765.25     0.516149     0.381252     0.281626
49765.50     0.778268    -0.160946    -0.490604
49765.75     0.236998     0.088490    -0.185054
49766.00     0.457493     0.212306    -0.503004
49766.25     0.106380     0.255109     0.482624
49766.50    -0.212069    -0.118664    -0.037856
49766.75    -0.859921     0.213713     0.332782
49767.00    -0.545155     0.438805     0.024076
49767.25    -0.595340     0.637421     0.811670
49767.50    -0.568964     0.436647    -0.105173
49767.75    -0.881095     0.780140    -0.169402
49768.00    -0.653387     0.979819    -0.425865
49768.25    -0.788377     1.008315     0.733577
49768.50    -0.621587     0.526583     0.162430
49768.75    -0.705193     0.830151     0.288585
49769.00    -0.271229     0.953896     0.073669
49769.25    -0.120363     0.899324     1.090741
49769.50    -0.236088     0.280399     0.675904
49769.75    -0.601994     0.507006     1.126221
49770.00    -0.309508     0.592137     0.631443
49770.25    -0.411716     0.399358     0.722361
49770.50    -0.451293    -0.099037    -0.660965
49770.75    -0.886157     0.075736    -0.862457
49771.00    -0.580816     0.140295    -1.699193
49771.25    -0.637031     0.127698    -0.924095
49771.50    -0.616222    -0.356624    -1.692927
49771.75    -0.768954    -0.170782    -1.701696
49772.00    -0.379322    -0.060252    -1.872293
49772.25    -0.338003    -0.118331    -0.659451
49772.50    -0.201636    -0.653168    -1.243241
49772.75    -0.512779    -0.404893    -1.017245
49773.00    -0.111415    -0.257175    -1.204660
49773.25    -0.037750    -0.359605    -0.155262
49773.50    -0.055620    -0.835509    -0.900799
49773.75    -0.573943    -0.560988    -0.625947
49774.00    -0.309776    -0.399099    -1.319357
49774.25    -0.294018    -0.497290    -0.692344
49774.50    -0.355263    -1.080717    -1.276051
49774.75    -0.802897    -0.805203    -0.848853
49775.00    -0.534455    -0.759082    -0.991613
49775.25    -0.635480    -0.751292     0.297595
49775.50    -0.554009    -1.291691    -0.426222
49775.75    -0.892200    -0.950061    -0.183213
49776.00    -0.620605    -0.826823    -0.447797
49776.25    -0.604570    -0.856822     0.356531
49776.50    -0.410212    -1.375466    -0.636482
49776.75    -0.889845    -1.024415    -0.409940
49777.00    -0.549509    -0.815844    -0.595816
49777.25    -0.561791    -0.718505     0.399971
49777.50    -0.615796    -1.075338    -0.255328
49777.75    -1.076758    -0.659747    -0.038936
49778.00    -0.709582    -0.300706    -0.490712
49778.25    -0.763939    -0.195194     0.384180
49778.50    -0.769014    -0.517438    -0.235203
49778.75    -1.035109    -0.217740    -0.110544
49779.00    -0.559199    -0.044626    -0.306550
49779.25    -0.401898    -0.051792     0.804143
49779.50    -0.214247    -0.544324     0.068835
49779.75    -0.418247    -0.397756     0.057267
49780.00    -0.057094    -0.395909    -0.072761
49780.25    -0.122880    -0.431412     1.297162
49780.50    -0.269181    -0.874455     0.740579
49780.75    -0.741594    -0.513450     1.077993
49781.00    -0.543049    -0.306341     1.025996
49781.25    -0.542789    -0.336688     1.842077
49781.50    -0.422942    -0.808121     0.627101
49781.75    -0.767510    -0.524203     0.471420
49782.00    -0.392511    -0.344317    -0.042178
49782.25    -0.589945    -0.358020     0.903036
49782.50    -0.856484    -0.798605     0.432479
49782.75    -1.523568    -0.395773     0.941566
49783.00    -1.474716    -0.097653     1.365450
49783.25    -1.797057     0.090769     3.202163
49783.50    -1.918590    -0.255465     2.891696
49783.75    -2.456603     0.128900     3.517312
49784.00    -2.029441     0.339390     3.571291
49784.25    -1.878911     0.369759     4.522562
49784.50    -1.718322    -0.024733     3.438289
49784.75    -1.951608     0.270304     3.307010
49785.00    -1.262409     0.402793     2.231238
49785.25    -1.034200     0.345864     2.642085
49785.50    -0.758178    -0.091354     1.353294
49785.75    -0.864812     0.247391     1.073648
49786.00    -0.358905     0.381085     0.266556
49786.25    -0.425791     0.497026     1.293341
49786.50    -0.443487     0.132394     0.392742
49786.75    -0.855765     0.504826     0.665566
49787.00    -0.546407     0.773740     0.863709
49787.25    -0.610561     0.964879     2.689577
49787.50    -0.554115     0.672526     2.706442
49787.75    -0.915406     1.079745     3.700412
49788.00    -0.387250     1.146970     3.243943
49788.25    -0.192645     1.127677     3.199875
49788.50    -0.095857     0.654735     1.571482
49788.75    -0.626331     0.950378     1.412126
49789.00    -0.624454     0.973873     0.921463
49789.25    -1.070952     0.939584     2.066678
49789.50    -1.374280     0.467014     1.586922
49789.75    -1.939419     0.743525     1.945256
49790.00    -1.800933     0.864938     1.759408
49790.25    -2.176666     0.891697     2.466770
49790.50    -2.240429     0.341553     1.062455
49790.75    -2.625567     0.613609     0.821696
49791.00    -1.877629     0.727110    -0.066031
49791.25    -1.627519     0.712365     0.345150
49791.50    -1.346385     0.191630    -0.853749
49791.75    -1.556306     0.415727    -0.824571
49792.00    -0.972243     0.360079    -1.066023
49792.25    -1.007072     0.369285     0.242660
49792.50    -0.987202    -0.124716    -0.212029
49792.75    -1.200877     0.144631    -0.196618
49793.00    -0.732236     0.261518    -0.507545
49793.25    -0.720114     0.316652     0.793027
49793.50    -0.395206    -0.175322     0.203587
49793.75    -0.346895     0.136327     0.378587
49794.00     0.319843     0.295103     0.126673
49794.25     0.577389     0.168485     0.374907
49794.50     1.019512    -0.438764    -1.156194
49794.75     0.956408    -0.118397    -1.429870
49795.00     1.566985     0.141197    -2.009462
49795.25     1.720092     0.243495    -1.608801
49795.50     1.861451    -0.112206    -2.413551
49795.75     1.360260     0.360061    -2.184927
49796.00     1.669391     0.614691    -2.309766
49796.25     1.493175     0.748900    -0.960995
49796.50     1.414803     0.463878    -1.312036
49796.75     1.035775     0.956528    -0.828297
49797.00     1.228602     1.358432    -0.541953
49797.25     0.693022     1.545388     1.265871
49797.50     0.635793     1.101397     0.692780
49797.75     0.027293     1.468196     1.125652
49798.00     0.203755     1.701789     1.059896
49798.25    -0.027923     1.602091     1.817573
49798.50    -0.152712     1.099440     0.541292
49798.75    -0.727945     1.311658     0.516091
49799.00    -0.493439     1.209687     0.191278
49799.25    -0.652352     1.225415     1.623068
49799.50    -0.859606     0.834152     1.479153
49799.75    -1.410902     1.213978     2.529938
49800.00    -0.894841     1.107966     2.040015
49800.25    -0.798628     0.975496     2.544221
49800.50    -0.508725     0.356994     0.569129
49800.75    -0.494380     0.530473    -0.141569
49801.00     0.120435     0.426343    -1.217813
49801.25     0.275920     0.081208    -0.416847
49801.50     0.666066    -0.894858    -1.567349
49801.75     0.600673    -0.809807    -1.155129
49802.00     0.898778    -0.856842    -1.197721
49802.25     0.772079    -1.043776    -0.086175
49802.50     0.790841    -1.814095    -1.375670
49802.75     0.227221    -1.679648    -1.477415
49803.00     0.552418    -1.643938    -2.388799
49803.25     0.411175    -1.588774    -1.693408
49803.50     0.354014    -2.036014    -2.777723
49803.75    -0.274082    -1.539181    -2.394225
49804.00    -0.040479    -1.378093    -2.829756
49804.25    -0.208945    -1.169044    -1.385354
49804.50    -0.080495    -1.470830    -1.982771
49804.75    -0.323634    -0.945480    -1.389287
49805.00     0.141157    -0.756520    -1.355195
49805.25     0.056136    -0.595759     0.009640
49805.50     0.157931    -0.924158    -0.722493
49805.75    -0.355258    -0.406819     0.376067
49806.00    -0.291789    -0.029006     0.950645
49806.25    -0.535645     0.184001     1.960088
49806.50    -0.558889    -0.211724     0.970385
49806.75    -0.971297     0.343248     0.988692
49807.00    -0.506911     0.625306     0.388101
49807.25    -0.417600     0.773384     1.367565
49807.50    -0.197798     0.390768     0.566523
49807.75    -0.407129     0.820775     1.114977
49808.00     0.076876     0.974608     1.537355
49808.25     0.179994     0.991119     2.671882
49808.50     0.411224     0.526210     1.451757
49808.75     0.276803     0.764732     1.180340
49809.00     0.799536     0.769356     0.170556
49809.25     1.003007     0.553835    -0.314719
49809.50     1.328303    -0.176826    -2.242965
49809.75     1.090862     0.015448    -2.571584
49810.00     1.401928     0.175312    -3.095039
49810.25     1.165831     0.241633    -1.850765
49810.50     1.099393    -0.225996    -2.297869
49810.75     0.691874     0.096036    -1.608147
49811.00     0.860044     0.039402    -1.267325
49811.25     0.711942     0.341932     0.265256
49811.50     0.681108     0.042781    -0.459629
49811.75    -2.134715     2.963907     6.994372
49812.00     0.410068     0.791487    -0.370702
49812.25     0.210935     0.868419     0.714368
49812.50     0.125120     0.383860     0.031572
49812.75    -0.296626     0.919298     0.742819
49813.00    -0.073470     1.091666     1.192850
49813.25    -0.063923     1.023859     2.659429
49813.50    -0.036769     0.358290     2.024940
49813.75    -0.319992     0.676371     2.473384
49814.00    -0.078404     0.639217     2.094673
49814.25    -0.249684     0.361387     2.581047
49814.50    -0.326516    -0.315279     1.299974
49814.75    -0.611759     0.130402     1.490339
49815.00    -0.343380     0.210409     0.874446
49815.25    -0.287424     0.141712     1.298115
49815.50    -0.422987    -0.273965     0.153351
49815.75    -0.781358     0.329739     0.379840
49816.00    -0.691484     0.658354     0.414624
49816.25    -0.755516     0.719763     1.409453
49816.50    -0.753273     0.311543     0.472286
49816.75    -1.101335     0.812468     0.711359
49817.00    -0.697609     0.940015     0.339919
49817.25    -0.698130     0.845043     0.918695
49817.50    -0.621701     0.170718    -0.390911
49817.75    -0.766405     0.521681    -0.323834
49818.00    -0.282107     0.522429    -0.833526
49818.25    -0.113124     0.340277    -0.077179
