-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :   ECMWF_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
ROCK        49718.000    1995     1     1     0
ROCK        52274.750    2001    12    31    18
ROCK     -2533219.884 -4631543.705  3568400.368
ROCK           34.236     -118.676      553.385
ROCK     NORTH_Offset  EAST_Offset    UP_Offset
49718.00     1.022445     0.459665    -1.472815
49718.25     0.950027     0.524399    -1.674020
49718.50     1.313433     0.189673    -1.261381
49718.75     1.444148     0.467802    -2.461102
49719.00     1.444505     0.236843    -1.359400
49719.25     1.267536     0.112655    -1.216333
49719.50     1.120375    -0.228889    -0.543163
49719.75     0.823892     0.090173    -1.215595
49720.00     0.789878     0.053008    -0.452474
49720.25     0.469157     0.094516    -0.481724
49720.50     0.356021    -0.078824    -0.200853
49720.75     0.339876     0.201372    -0.832696
49721.00     0.438818     0.162433    -0.012483
49721.25     0.261783     0.302808    -0.430185
49721.50     0.439499     0.075422     0.430606
49721.75     0.367656     0.531364     0.568225
49722.00     0.129337     0.364907     3.016592
49722.25    -0.152492     0.175816     4.196813
49722.50     0.204012    -0.287160     4.974903
49722.75     0.413541     0.018379     3.873065
49723.00     0.818037    -0.124492     4.401763
49723.25     0.769707     0.053669     3.388511
49723.50     0.880464    -0.061637     3.435739
49723.75     0.619705     0.537028     1.892202
49724.00     0.409322     0.741614     2.243983
49724.25    -0.243754     1.006404     1.953801
49724.50    -0.495866     0.764872     2.407142
49724.75    -0.621425     1.086521     1.047598
49725.00    -0.572821     0.972680     1.524525
49725.25    -0.988111     1.027625     0.650924
49725.50    -0.818751     0.732505     0.827098
49725.75    -0.695602     1.009125    -0.563150
49726.00    -0.422021     0.816370    -0.109236
49726.25    -0.577874     0.792855    -0.469310
49726.50    -0.484533     0.418630     0.337300
49726.75    -0.582251     0.621196    -0.370531
49727.00    -0.417743     0.472869     0.737058
49727.25    -0.612677     0.475007     0.826475
49727.50    -0.514149     0.113127     1.691308
49727.75    -0.498775     0.373121     1.147162
49728.00    -0.288553     0.175579     2.617894
49728.25    -0.295916     0.130201     2.443041
49728.50    -0.006521    -0.222867     2.726127
49728.75     0.091588     0.094522     1.573977
49729.00     0.153158    -0.023847     2.301489
49729.25    -0.254966     0.110447     1.677635
49729.50    -0.260174    -0.184752     2.090669
49729.75    -0.356667     0.183231     0.644530
49730.00    -0.476553     0.059053     1.116586
49730.25    -0.776987     0.185411     0.292083
49730.50    -0.851294    -0.059211     0.597469
49730.75    -1.049962     0.344220    -0.611702
