round_num	bidder_num	max_elig	rmng_waivr	waivr_ind
101	3252	248336	1	
101	3251	43589	5	
101	3327	6200000	5	
101	3399	4207775	1	
101	3400	0	0	
101	3235	0	0	
101	3338	4838593	3	
101	3306	95728	5	
101	3380	21206	1	
101	3300	100902	4	
101	3354	0	0	
101	3283	330216	4	
101	3228	116163	3	
101	3404	25489	3	
101	3390	61200	2	
101	3385	846688	0	
101	3382	2472799	1	
101	3362	7758383	4	
101	3267	9033	0	
101	3218	2492167	3	
101	3356	0	0	
101	3304	408132	2	
101	3214	0	0	
101	3373	22474	5	
101	3247	103777	0	
101	3329	1169815	5	
101	3297	22510	4	
101	3257	22211	3	
101	3293	125168	5	
101	3406	30187	4	
101	3407	94298	4	
101	3269	679114	3	
101	3331	0	0	
101	3378	12818	3	
101	3314	1114078	2	
101	3222	0	0	
101	3312	11634	4	
101	3263	8564180	2	
101	3290	162080	2	
101	3339	0	0	
101	3379	266327	2	
101	3243	2552	3	
101	3281	308470	0	
101	3285	2183902	2	
101	3299	269427	5	
101	3333	91546	5	
101	3256	0	0	
101	3340	195616	1	
101	3313	23814	4	
101	3355	303449	0	
101	3296	108955	4	
101	3321	133811	0	
101	3239	363918	0	
101	3227	326254	0	
101	3262	0	0	
101	3307	2463102	2	
101	3381	374622	5	
101	3291	0	0	
101	3278	95076	4	
101	3401	0	0	
101	3292	37052	1	
101	3393	103180	3	
101	3303	0	0	
101	3345	0	0	
101	3372	0	0	
101	3387	21775	1	
101	3233	297948	4	
101	3391	639542	4	
101	3384	1398719	2	
101	3289	89839	3	
101	3359	41294	1	
101	3215	539145	0	
101	3231	232422	5	
101	3288	19561	5	
101	3394	125000	3	
101	3392	398183	2	
101	3352	354833	5	
101	3386	30213211	1	
101	3330	23492	1	
101	3295	0	0	
101	3209	50000	5	
101	3398	56317	1	
101	3403	80545	0	
101	3276	530519	2	
101	3286	20194	5	
101	3366	0	0	
101	3305	15935	2	
101	3342	44253	3	
101	3335	26492	3	
101	3221	286794	1	
101	3357	14880	3	
101	3348	2500	5	
101	3254	0	0	
101	3395	0	0	
101	3337	16313	3	
101	3258	168459	0	
101	3350	0	0	
101	3368	0	0	
101	3388	0	0	
101	3375	10948	0	
101	3397	0	0	
101	3405	253655	3	
101	3245	0	0	
101	3308	0	0	
101	3326	0	0	
101	3376	134000	3	
101	3242	486643	4	
101	3250	29331	2	
101	3319	0	0	
101	3316	0	0	
101	3377	18325	3	
101	3389	29886	1	
101	3208	947049	2	
101	3271	66881	0	
101	3318	0	0	
101	3361	0	0	
101	3383	82504	2	
101	3232	57702	1	
101	3280	0	0	
101	3279	1156915	1	
101	3371	0	0	
101	3325	89971	0	
101	3364	126314	1	
101	3309	1394679	1	
101	3402	107433	4	
101	3284	0	0	
101	3363	534402	3	
101	3261	0	0	
101	3270	429728	2	
101	3343	4317475	5	
101	3315	315731	4	
101	3204	14388	0	
101	3358	885205	2	
101	3302	400000	5	
101	3324	80431637	4	
101	3332	80653	1	
101	3336	7086	5	
101	3365	13000000	0	
101	3360	0	0	
