Export Name|PCHA/FireFamily Plus
Version|2.0
Creation Date|01/29/2008 10:38
Selection Criteria|NPS - Intermountain Region - WASHITA BATTLEFIELD NHP (OKWBP)|Fire Cause Natural, Human and not specified|All fire reports (complete and incomplete)|01/01/1972 through 12/31/2007|All fire types and protection types
Record Count|42
FireId|Organization|Unit|UnitIdentifier|FireName|FireNumber|FireCode|FireType|ProtectionType|StartTime|InitAttTime|ControlTime|ControlAcres|GeneralCause|Datum|Latitude|Longitude|Slope|Elevation|Aspect|MsgcModel|Owner|CompletionCode
269429|NPS|IMRO|OKWBP|UNIT26|9914||3|7||02/17/1999 00:00|||||||||||05|Complete
269417|NPS|IMRO|OKWBP|SHOTWELL|9902||3|7||03/02/1999 00:00|||||||||||08|Complete
269418|NPS|IMRO|OKWBP|PETERSON|9903||3|7||03/02/1999 00:00|||||||||||08|Complete
269430|NPS|IMRO|OKWBP|UNIT87|9915||3|7||03/11/1999 00:00|||||||||||05|Complete
269431|NPS|IMRO|OKWBP|UNIT 58|9916||3|7||03/25/1999 00:00|||||||||||05|Complete
269419|NPS|IMRO|OKWBP|CHAPELHILL|9904||3|7||05/04/1999 00:00|||||||||||08|Complete
269416|NPS|IMRO|OKWBP|WHEATFIELD|9901||4|8|05/05/1999 14:30||05/05/1999 16:00|56.8||NAD83|35.6250|-99.7087|1|2|5||03|Incomplete
269420|NPS|IMRO|OKWBP|ROLL|9905||3|7||05/14/1999 00:00|||||||||||08|Complete
269421|NPS|IMRO|OKWBP|CRAWFORD|9906||3|7||07/04/1999 00:00|||||||||||08|Complete
269422|NPS|IMRO|OKWBP|MADDOX|9907||3|7||07/07/1999 00:00|||||||||||08|Complete
269423|NPS|IMRO|OKWBP|HUGHES|9908||3|7||07/10/1999 00:00|||||||||||08|Complete
269426|NPS|IMRO|OKWBP|RIVERBEND|9911||3|7||08/15/1999 00:00|||||||||||08|Complete
269427|NPS|IMRO|OKWBP|KEAHEY|9912||3|7||08/27/1999 00:00|||||||||||08|Complete
269428|NPS|IMRO|OKWBP|KEAHEY2|9913||3|7||08/28/1999 00:00|||||||||||08|Complete
269432|NPS|IMRO|OKWBP|GWARTNEY|1||3|7||01/25/2000 00:00|||||||||||08|Complete
269433|NPS|IMRO|OKWBP|PYEATT|2||3|7||02/02/2000 00:00|||||||||||08|Complete
269434|NPS|IMRO|OKWBP|REYDON|3||3|7||02/10/2000 00:00|||||||||||07|Complete
269447|NPS|IMRO|OKWBP|UNIT 40|16||3|7||02/27/2000 00:00|||||||||||05|Complete
269435|NPS|IMRO|OKWBP|BOTTOMS|4||3|7||04/05/2000 00:00|||||||||||08|Complete
269436|NPS|IMRO|OKWBP|KEAHEY|5||3|7||07/05/2000 00:00|||||||||||08|Complete
269424|NPS|IMRO|OKWBP|DOBSONYARD|9909||3|7||07/19/2000 00:00|||||||||||07|Complete
269439|NPS|IMRO|OKWBP|BOND|8||3|7||07/28/2000 00:00|||||||||||02|Complete
269441|NPS|IMRO|OKWBP|CHARLIE|10||3|7||08/02/2000 00:00|||||||||||05|Complete
269443|NPS|IMRO|OKWBP|MINE|12||3|7||08/02/2000 00:00|||||||||||05|Complete
269442|NPS|IMRO|OKWBP|WILDHORSE|11||3|7||08/02/2000 00:00|||||||||||05|Complete
269444|NPS|IMRO|OKWBP|SKINNER|13||3|7||08/04/2000 00:00|||||||||||05|Complete
269445|NPS|IMRO|OKWBP|BULL|14||3|7||08/05/2000 00:00|||||||||||05|Complete
269446|NPS|IMRO|OKWBP|UMBRELLA|15||3|7||08/06/2000 00:00|||||||||||05|Complete
269440|NPS|IMRO|OKWBP|STAR|9||3|7||08/08/2000 00:00|||||||||||05|Complete
269437|NPS|IMRO|OKWBP|MALES|6||3|7||09/04/2000 00:00|||||||||||08|Complete
269438|NPS|IMRO|OKWBP|JENKS|7||3|7||09/26/2000 00:00|||||||||||08|Complete
269425|NPS|IMRO|OKWBP|STATELINE|9910||3|7||12/19/2000 00:00|||||||||||08|Complete
269448|NPS|IMRO|OKWBP|WALKER|201||1|6|02/18/2002 11:00|02/18/2002 11:30|02/18/2002 18:00|200.0|||||||||08|Complete
269449|NPS|IMRO|OKWBP|GOLFCOURSE|202||1|6|02/20/2002 14:30|02/20/2002 14:45|02/20/2002 18:30|250.0|9||||||||08|Complete
269450|NPS|IMRO|OKWBP|SPOTTEDCOR|203||3|7||03/05/2002 00:00|||||||||||02|Complete
269451|NPS|IMRO|OKWBP|SE FIELDRX|301||4|8|03/06/2003 17:30||03/06/2003 19:30|67.0||NAD83|35.62180|-99.69570|1|2|0|L|03|Complete
269452|NPS|IMRO|OKWBP|SW FIELDRX|302||4|8|04/04/2003 14:30||04/04/2003 16:00|33.0||NAD83|35.61954|-99.70567|1|2|0|L|03|Complete
269453|NPS|IMRO|OKWBP|CENTRALRX|401||4|8|02/15/2004 11:20||02/15/2004 14:30|119.0||NAD83|35.62483|-99.69545|1|2|0|A|03|Complete
269454|NPS|IMRO|OKWBP|SE FIELD R|402||4|8|11/06/2004 11:30||11/06/2004 13:00|63.0||NAD83|35.62180|-99.69570|1|2|0|L|03|Complete
269455|NPS|IMRO|OKWBP|NW FIELD|501||4|8|04/02/2005 15:00||04/02/2005 17:00|47.0||NAD83|35.62180|-99.69570|1|2|0|A|03|Complete
539988|NPS|IMRO|OKWBP|Washita Southeast RX|7002|SERX|4|8|02/08/2007 09:00||02/09/2007 16:00|103.6||NAD83|35.6194|-99.7061|1|2|0|L|03|Incomplete
539994|NPS|IMRO|OKWBP|Washita|7003|C9QD|1|1|02/16/2007 15:30|02/16/2007 15:30|02/16/2007 17:00|6.0|5|NAD83|35.6175|-99.7003|1|2|0|L|03|Complete
