_LRT_EF_COVERAGE_SRC_EZ.PGM_SYS_ACRNM,V_LRT_EF_COVERAGE_SRC_EZ.PGM_SYS_ID,V_LRT_EF_COVERAGE_SRC_EZ.REGISTRY_ID,V_LRT_EF_COVERAGE_SRC_EZ.COUNTY_NAME,V_LRT_EF_COVERAGE_SRC_EZ.STATE_CODE
RCRAINFO,WI0000918326,110000421188,SHAWANO,WI
WI-ESR,492168,110000494448,FOND DU LAC,WI
WI-ESR,109409,110000423293,FOND DU LAC,WI
TRIS,54929FWDCR105EA,110000423266,WAUPACA,WI
WI-ESR,447485,110002037581,MARINETTE,WI
TRIS,54157WSCNSW1830,110002121515,MARINETTE,WI
WI-ESR,8910,110006141683,MARINETTE,WI
RCRAINFO,WID988589347,110009519137,WAUKESHA,WI
TRIS,53105CHLKF33102,110002120570,RACINE,WI
TRIS,53126QCKCB3700Q,110002120598,RACINE,WI
TRIS,53115WKSHF611SU,110000417264,WALWORTH,WI
NCDB,I05#19870824RV006 1,110002121855,EAU CLAIRE,WI
WI-ESR,9958,110008058555,WAUKESHA,WI
TRIS,53121GTZNC530SH,110000417291,WALWORTH,WI
TRIS,53216NTRST4051N,110000418842,MILWAUKEE,WI
TRIS,53132GNTMT5801W,110000494260,MILWAUKEE,WI
TRIS,53110LDSHC5481S,110000417228,MILWAUKEE,WI
TRIS,54451PHLLP939SO,110000422025,TAYLOR,WI
TRIS,54208STLLF5335S,110000494368,BROWN,WI
TRIS,54162KLMFD323TH,110002121524,BROWN,WI
TRIS,54409VLCNB1529N,110000421892,LANGLADE,WI
TRIS,53186QLTYL1242L,110001925524,WAUKESHA,WI
TRIS,53186RC   401SE,110000418030,WAUKESHA,WI
TRIS,53050RMRMF925SS,110001130605,DODGE,WI
TRIS,53114THLRSPOBOX,110000727330,WALWORTH,WI
TRIS,53186GNRLL3114N,110002120767,WAUKESHA,WI
TRIS,53186HBSTR818PR,110000850829,WAUKESHA,WI
TRIS,53115HBBRDRTE3B,110000417255,WALWORTH,WI
WI-ESR,398109,110000417255,WALWORTH,WI
TRIS,53901SSCTD301BR,110002121427,COLUMBIA,WI
TRIS,53215MYNRD2856S,110000418833,MILWAUKEE,WI
TRIS,53538MRSFD801RO,110000538605,JEFFERSON,WI
TRIS,54729CHPPW1350H,110000422775,CHIPPEWA,WI
WI-ESR,407530,110016900558,DODGE,WI
TRIS,53186WKSHR324WC,110000418067,WAUKESHA,WI
TRIS,53523DVNCD108HW,110006148061,DANE,WI
TRIS,53523SHKPR300EN,110000419583,DANE,WI
TRIS,53186KDVLB437WN,110002120776,WAUKESHA,WI
TRIS,53186MTRCS1323S,110000417987,MILWAUKEE,WI
TRIS,53821MCHCC405EA,110000875740,CRAWFORD,WI
TRIS,54702RMRFD313NH,110001921831,EAU CLAIRE,WI
RCRAINFO,WIR000124040,110024259586,MONROE,WI
WI-ESR,119839,110000767956,LAFAYETTE,WI
RCRAINFO,WID980995153,110000767956,LAFAYETTE,WI
TRIS,53531MPWSC54GOL,110012705055,DANE,WI
TRIS,53532BRTNR813BU,110000419618,DANE,WI
TRIS,53046CHMRT19725,110000416407,WAUKESHA,WI
WI-ESR,119876,110007832729,WAUPACA,WI
TRIS,54949TRLTN1220D,110009515827,WAUPACA,WI
TRIS,54950MRNPL222SP,110002035315,WAUPACA,WI
TRIS,53218GRTLK6120W,110001130810,MILWAUKEE,WI
NEI,NEI57109,110000742705,GRANT,WI
TRIS,54703RCKWL1935T,110005503909,EAU CLAIRE,WI
WI-ESR,452538,110002335679,WAUKESHA,WI
TRIS,53042CNTRY1220W,110015680164,MANITOWOC,WI
TRIS,53536VRCPR273WA,110009516041,ROCK,WI
TRIS,53538FRTPC201EA,110001130801,JEFFERSON,WI
TRIS,54829STLLC1360F,110009518628,BARRON,WI
RCRAINFO,WID003934619,110035784862,LANGLADE,WI
EGRID,4076,110002121515,MARINETTE,WI
EGRID,4080,110028043971,JUNEAU,WI
EGRID,50614,110028043828,MARATHON,WI
EGRID,3998,110028045327,DUNN,WI
EGRID,4014,110028044293,CHIPPEWA,WI
EGRID,54408,110028044220,DANE,WI
EGRID,55861,110028044159,PORTAGE,WI
EGRID,3972,110028045452,PORTAGE,WI
EGRID,3973,110028044131,PORTAGE,WI
EGRID,3974,110028045844,WOOD,WI
EGRID,3988,110028044195,RUSK,WI
EGRID,55011,110000594009,JEFFERSON,WI
EGRID,56166,110028044097,SHEBOYGAN,WI
WI-ESR,494410,110000419805,JEFFERSON,WI
EGRID,7793,110028045737,OUTAGAMIE,WI
EGRID,7058,110028044113,DOUGLAS,WI
EGRID,7822,110028045728,OUTAGAMIE,WI
EGRID,56069,110028043739,GREEN LAKE,WI
EGRID,50408,110028043962,MARINETTE,WI
RCRAINFO,WID006172928,110002433162,DUNN,WI
WI-ESR,9010,110000605872,SHEBOYGAN,WI
WI-ESR,25564843,110000605925,VERNON,WI
AIRS/AFS,5505500065,110000570891,JEFFERSON,WI
TRIS,53597MRSHL6MARS,110037072057,DANE,WI
NCDB,I05#199302246268  7,110000594205,MARATHON,WI
NCDB,I05#199302246268  8,110000594205,MARATHON,WI
WI-ESR,96523,110000547926,WINNEBAGO,WI
ICIS,2589899,110000547926,WINNEBAGO,WI
RBLC,24959,110002120721,RACINE,WI
NCDB,C05#LA9WRFY99050,110005542261,WINNEBAGO,WI
ICIS,6683905,110000560447,WALWORTH,WI
RCRAINFO,WID010285997,110000572381,MARATHON,WI
WI-ESR,113289,110000420483,COLUMBIA,WI
ICIS,6684701,110000573077,WALWORTH,WI
NPDES,WI0002666,110000541575,FOND DU LAC,WI
RCRAINFO,WID062068341,110000541575,FOND DU LAC,WI
WI-ESR,119278,110000541575,FOND DU LAC,WI
ICIS,7732743,110000542707,BROWN,WI
NCDB,I05#19920818NV004 1,110000422962,DOUGLAS,WI
ICIS,13103,110000422962,DOUGLAS,WI
WI-ESR,496771,110014400889,LA CROSSE,WI
WI-ESR,116253,110000752944,DANE,WI
WI-ESR,8036,110000419609,DANE,WI
ICIS,8026651,110000714460,LAFAYETTE,WI
ICIS,7345169,110009517193,BROWN,WI
RCRAINFO,WIR000036327,110000545919,MANITOWOC,WI
RBLC,23359,110017413547,WOOD,WI
ICIS,7344819,110000564176,RACINE,WI
NPDES,WI0002003,110000578679,DODGE,WI
WI-ESR,8818,110000578679,DODGE,WI
ICIS,8026485,110000723940,KEWAUNEE,WI
ICIS,8026652,110000579017,DOUGLAS,WI
RCRAINFO,WID980613319,110000742796,WOOD,WI
NPDES,WI0003620,110000422114,WOOD,WI
AIRS/AFS,5500908556,110016940471,BROWN,WI
NEI,NEI42883,110002036369,WAUKESHA,WI
ICIS,5415326,110000719795,DANE,WI
TRIS,53120PLYMT261YU,110023013148,WALWORTH,WI
NPDES,WI0025038,110000564684,WINNEBAGO,WI
ICIS,600035173,110000560848,MILWAUKEE,WI
ICIS,600030724,110021338140,MILWAUKEE,WI
RCRAINFO,WID054103767,110000858572,KENOSHA,WI
TRIS,53935NTDWSW1231,110031001421,COLUMBIA,WI
TRIS,54130FXNRGN231E,110023013228,OUTAGAMIE,WI
WI-ESR,178268,110005522746,SHEBOYGAN,WI
WI-ESR,30417126,110002054650,PORTAGE,WI
WI-ESR,410812,110000420269,DANE,WI
WI-ESR,8562,110000417273,WALWORTH,WI
TRIS,54952SPPRM69WAS,110000423426,WINNEBAGO,WI
TRIS,54956FXVLL213MI,110000423435,WINNEBAGO,WI
TRIS,53039FRMNT330MI,110000416336,DODGE,WI
TRIS,53050MYVLL1STAN,110000742590,DODGE,WI
TRIS,53110LCSML5656S,110000417219,MILWAUKEE,WI
TRIS,53207MLPRT2829S,110000418423,MILWAUKEE,WI
TRIS,53208THFLK3001W,110000418502,MILWAUKEE,WI
TRIS,54806NRTHR122N1,110000422846,ASHLAND,WI
TRIS,54020NRTHR805SE,110000420768,POLK,WI
TRIS,54143SPCLT2STAN,110000421080,MARINETTE,WI
TRIS,53916KRFTN419SO,110000420456,DODGE,WI
TRIS,54476CNTRL351AL,110000422150,MARATHON,WI
RCRAINFO,WI0001012889,110008231136,WAUKESHA,WI
RCRAINFO,WIR000002295,110008248262,ADAMS,WI
RCRAINFO,WIR000001370,110008248137,WASHINGTON,WI
PCS,WI0020125,110010889823,POLK,WI
WI-ESR,455451,110002051494,LINCOLN,WI
PCS,WI0028207,110010887629,BROWN,WI
WI-ESR,396739,110010887656,SAUK,WI
WI-ESR,129729,110002050431,RACINE,WI
WI-ESR,456054,110010887111,SAUK,WI
NPDES,WI0020176,110010889850,KEWAUNEE,WI
PCS,WI0020508,110010890018,OUTAGAMIE,WI
WI-ESR,455485,110010896307,DODGE,WI
NPDES,WI0020877,110010889690,OCONTO,WI
PCS,WI0002518,110000419770,JEFFERSON,WI
PCS,WI0002585,110010890465,DANE,WI
NPDES,WI0003204,110000422908,RUSK,WI
PCS,WI0002836,110010848244,ST. CROIX,WI
NCDB,I05#1989081600526 2,110010888209,KENOSHA,WI
WI-ESR,457680,110000875376,CRAWFORD,WI
PCS,WI0020257,110000875376,CRAWFORD,WI
NPDES,WI0029041,110010887237,SAUK,WI
PCS,WI0029050,110010887246,VILAS,WI
NPDES,WI0020311,110010889921,ASHLAND,WI
WI-ESR,455499,110010890036,CHIPPEWA,WI
PCS,WI0020575,110010890036,CHIPPEWA,WI
PCS,WI0029289,110010887317,GRANT,WI
NPDES,WI0029319,110010887326,LINCOLN,WI
WI-ESR,169283,110010887335,SHEBOYGAN,WI
NPDES,WI0029335,110010887335,SHEBOYGAN,WI
WI-ESR,456113,110010887353,VILAS,WI
PCS,WI0029459,110010887362,BUFFALO,WI
PCS,WI0020885,110010889707,CLARK,WI
WI-ESR,455515,110010848128,GRANT,WI
PCS,WI0031194,110002051635,JEFFERSON,WI
