"State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"CA","ABICB","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","716.80045","765.58594","108.28187","12.43327","585.59511","80.96497","6.83570","-157.27751","15.26505","33.21458","-10.23315","19.79704","18.73954","769.11757","642.46184","848.41090","1092.17099","474.99075","746.80056","448.77159","739.36885","907.32565","884.51889","1251.46149","1016.42681","76.26973"
"CA","ABICP","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","141.99692","151.66124","21.45045","2.46301","116.00537","16.03902","1.35414","-31.15640","3.02398","6.57975","-2.02717","3.92176","3.71227","152.36085","127.27057","168.06872","216.35717","94.09484","147.93989","88.90087","146.46768","179.73963","175.22165","247.91234","201.35238","15.10890"
"CA","ARICB","70774.23143","76144.71352","78080.19940","80479.18521","83422.03673","78915.22805","80100.43033","73535.15058","78732.00371","86848.51496","80189.82455","80854.88162","81142.71002","87351.64108","79024.01439","87238.73266","93449.23997","99518.97052","101859.85475","142557.64497","122308.71643","65241.51341","65153.73579","73769.44040","101279.49514","91894.48861","102016.55248","109215.74369","101814.98849","99513.65754","98621.05793","94569.61171","89971.09246","82504.34456","81207.59550","81036.22890","82279.99878","76390.54321","103333.97885","135149.88388","135103.89368","125554.83899","118493.16441","90543.81675","91629.57949","87109.93925","80492.43371"
"CA","ARICP","10665.19461","11474.48968","11766.15422","12127.66504","12571.13272","11891.98735","12070.58926","11081.24632","11864.37669","13087.47965","12084.06036","12184.27993","12227.65371","13163.29733","11908.38071","13146.28280","14082.16395","14996.83100","15349.58631","21482.46609","18431.09048","9831.45169","9818.22420","11116.55220","15262.13007","13847.87351","15373.19959","16458.06867","15342.82527","14996.03037","14861.52169","14250.99634","13558.03081","12432.84276","12237.43151","12211.60773","12399.03538","11511.53454","15571.72677","20366.16695","20359.23654","18920.25904","17856.11278","13644.33646","13807.95351","13126.87451","12129.66150"
"CA","ARTCB","70774.23143","76144.71352","78080.19940","80479.18521","83422.03673","78915.22805","80100.43033","73535.15058","78732.00371","86848.51496","80189.82455","80854.88162","81142.71002","87351.64108","79024.01439","87238.73266","93449.23997","99518.97052","101859.85475","142557.64497","122308.71643","65241.51341","65153.73579","73769.44040","101279.49514","91894.48861","102016.55248","109215.74369","101814.98849","99513.65754","98621.05793","94569.61171","89971.09246","82504.34456","81207.59550","81036.22890","82279.99878","76390.54321","103333.97885","135149.88388","135103.89368","125554.83899","118493.16441","90543.81675","91629.57949","87109.93925","80492.43371"
"CA","ARTCP","10665.19461","11474.48968","11766.15422","12127.66504","12571.13272","11891.98735","12070.58926","11081.24632","11864.37669","13087.47965","12084.06036","12184.27993","12227.65371","13163.29733","11908.38071","13146.28280","14082.16395","14996.83100","15349.58631","21482.46609","18431.09048","9831.45169","9818.22420","11116.55220","15262.13007","13847.87351","15373.19959","16458.06867","15342.82527","14996.03037","14861.52169","14250.99634","13558.03081","12432.84276","12237.43151","12211.60773","12399.03538","11511.53454","15571.72677","20366.16695","20359.23654","18920.25904","17856.11278","13644.33646","13807.95351","13126.87451","12129.66150"
"CA","AVACB","27172.79566","17354.57387","24954.59057","22040.13004","19461.47419","16869.61579","16100.91529","14297.93304","14375.77724","11905.41663","11023.92457","10277.92634","10476.50325","10288.81230","9987.76725","8280.49038","7925.92406","8314.33117","8851.95331","8489.30686","1440.35084","666.29885","5778.98447","5891.37284","5286.48564","6836.82559","6754.36651","5470.31487","6621.49860","6575.02464","5581.15729","5506.39045","5344.53078","4134.01927","4003.23407","4073.36023","3880.92199","4222.32913","2899.15444","4166.70279","3651.28584","2706.15809","3024.76261","3033.03487","2794.01813","2675.17054","2326.65677"
"CA","AVACP","5382.88345","3437.91083","4943.46089","4366.11134","3855.28411","3341.84148","3189.56325","2832.39561","2847.81641","2358.44228","2183.82024","2036.03929","2075.37703","2038.19578","1978.55928","1640.35071","1570.11174","1647.05451","1753.55652","1681.71689","285.33099","131.99264","1144.80675","1167.07069","1047.24359","1354.36323","1338.02823","1083.65984","1311.70733","1302.50092","1105.61753","1090.80635","1058.74223","818.94201","793.03369","806.92556","768.80388","836.43604","574.31744","825.41656","723.31336","536.08520","599.20020","600.83892","553.49012","529.94662","460.90665"
"CA","AVTCB","27172.79566","17354.57387","24954.59057","22040.13004","19461.47419","16869.61579","16100.91529","14297.93304","14375.77724","11905.41663","11023.92457","10277.92634","10476.50325","10288.81230","9987.76725","8280.49038","7925.92406","8314.33117","8851.95331","8489.30686","1440.35084","666.29885","5778.98447","5891.37284","5286.48564","6836.82559","6754.36651","5470.31487","6621.49860","6575.02464","5581.15729","5506.39045","5344.53078","4134.01927","4003.23407","4073.36023","3880.92199","4222.32913","2899.15444","4166.70279","3651.28584","2706.15809","3024.76261","3033.03487","2794.01813","2675.17054","2326.65677"
"CA","AVTCP","5382.88345","3437.91083","4943.46089","4366.11134","3855.28411","3341.84148","3189.56325","2832.39561","2847.81641","2358.44228","2183.82024","2036.03929","2075.37703","2038.19578","1978.55928","1640.35071","1570.11174","1647.05451","1753.55652","1681.71689","285.33099","131.99264","1144.80675","1167.07069","1047.24359","1354.36323","1338.02823","1083.65984","1311.70733","1302.50092","1105.61753","1090.80635","1058.74223","818.94201","793.03369","806.92556","768.80388","836.43604","574.31744","825.41656","723.31336","536.08520","599.20020","600.83892","553.49012","529.94662","460.90665"
"CA","CLACB","587.18034","258.16534","153.00731","165.53859","190.96712","198.78496","145.24218","122.13041","117.12871","90.78755","86.02360","59.39125","42.79227","42.74254","27.74433","8.05822","4.72822","4.34688","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"CA","CLACP","22.53860","9.92365","5.88410","6.37483","7.36428","7.69813","5.66177","4.79467","4.60271","3.61223","3.53648","2.47609","1.79308","1.78735","1.16873","0.35058","0.21392","0.19292","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"CA","CLCCB","64.01328","54.86162","57.01357","36.10245","67.75401","110.69679","136.86396","127.75365","97.79670","992.98685","1055.23616","35.35060","47.67591","0.00000","19.75136","0.00000","0.00000","0.00000","67.52352","66.91650","73.02539","37.76308","38.65506","38.80105","637.34100","973.77691","0.00000","10.72650","113.31316","194.41920","465.36780","841.15688","3.65234","2700.17793","3281.95074","2692.62110","3627.58961","2232.35953","2426.33481","575.84576","500.25089","0.50317","0.97558","4.61940","168.03082","410.29377","30.52574"
"CA","CLCCP","2.78162","2.38593","2.48024","1.57186","2.95227","4.83553","6.00166","5.62553","4.30876","44.06704","47.72533","1.61164","2.17983","0.00000","0.91662","0.00000","0.00000","0.00000","3.04385","2.98994","3.16000","1.63979","1.65998","1.67999","27.54022","41.34021","0.00000","0.47278","4.87032","8.69000","20.07280","36.35060","0.15826","116.38096","141.21900","115.58298","155.81091","96.63664","102.69370","24.25632","21.02778","0.02137","0.03871","0.18795","7.50154","18.08235","1.29645"
"CA","CLEIB","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","8508.00103","18840.00300","25499.00035","26709.99501","27751.00394","26580.99813","23327.99818","20000.00068","17965.00389","20082.00199","22120.99782","22069.99935","21112.00362","22895.99554","21714.99713","22534.99980","20692.43421","21921.12306"
"CA","CLEIP","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","501.46000","910.00000","1186.59000","1241.18000","1362.70000","1205.23000","1057.18000","852.58000","822.13000","902.57000","943.23000","938.90000","897.11000","970.29100","889.61800","924.41800","872.53300","898.84100"
"CA","CLICB","35159.75621","58714.47430","39388.95042","45875.83956","53370.46866","63236.58748","51051.50766","53529.74806","56671.23920","57683.07361","59327.21712","50886.05291","47325.51298","66913.26400","60613.37677","56397.17178","66625.16524","75104.70460","67804.21746","68481.29783","66077.17960","78354.49583","69368.10907","31975.57962","36455.89942","44015.94558","42518.76090","44937.45481","50679.01280","57672.53559","64737.99422","62994.32221","64800.60098","53625.38257","54173.65946","57900.15795","56202.16944","62177.79206","43348.35621","46771.85328","47379.61516","46726.91697","47112.85777","47748.86230","46187.60636","46283.93245","45061.43423"
"CA","CLICP","1312.67005","2192.19812","1470.94776","1712.86929","1992.48705","2360.51599","1906.55759","1998.41264","2115.34828","2153.32892","2214.89539","1900.31753","1766.94019","2498.26992","2265.79701","2150.87279","2611.38738","2983.84462","2727.69239","2730.49597","2664.97405","3229.27338","2861.81526","1453.56758","1634.61704","1889.17016","1864.53900","1932.90100","2202.87600","2539.60100","2874.40300","2771.30300","2821.04800","2311.41300","2332.08706","2485.41200","2413.97515","2696.91085","1884.99061","2033.86038","1991.57693","1936.60774","1972.68959","1976.07229","1914.14641","1956.38546","1870.42875"
"CA","CLKCB","34469.90567","57506.74963","38329.53581","44969.44163","52528.90798","62569.79759","50062.03552","52998.18644","56293.07465","57288.84875","59012.96564","50524.17284","47093.88326","66578.76135","59760.46481","48887.90688","50814.76256","49434.84450","41703.00698","44188.20475","40466.78274","38726.09353","34705.48115","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"CA","CLKCP","1286.19051","2145.77424","1430.20656","1677.96424","1960.03388","2334.69394","1867.98640","1977.54427","2100.48786","2137.64361","2201.97633","1885.23033","1757.23445","2484.28214","2229.86809","1824.17563","1896.07323","1844.58375","1556.08235","1648.81361","1509.95458","1445.00349","1294.98064","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"CA","CLOCB","689.85054","1207.72467","1059.41461","906.39793","841.56068","666.78989","989.47214","531.56162","378.16455","394.22486","314.25148","361.88007","231.62972","334.50265","852.91196","7509.26490","15810.40268","25669.86010","26101.21048","24293.09308","25610.39686","39628.40230","34662.62792","31975.57962","36455.89942","44015.94558","42518.76090","44937.45481","50679.01280","57672.53559","64737.99422","62994.32221","64800.60098","53625.38257","54173.65946","57900.15795","56202.16944","62177.79206","43348.35621","46771.85328","47379.61516","46726.91697","47112.85777","47748.86230","46187.60636","46283.93245","45061.43423"
"CA","CLOCP","26.47954","46.42388","40.74120","34.90505","32.45317","25.82205","38.57119","20.86837","14.86042","15.68531","12.91906","15.08720","9.70574","13.98778","35.92892","326.69716","715.31415","1139.26087","1171.61004","1081.68236","1155.01947","1784.26989","1566.83462","1453.56758","1634.61704","1889.17016","1864.53900","1932.90100","2202.87600","2539.60100","2874.40300","2771.30300","2821.04800","2311.41300","2332.08706","2485.41200","2413.97515","2696.91085","1884.99061","2033.86038","1991.57693","1936.60774","1972.68959","1976.07229","1914.14641","1956.38546","1870.42875"
"CA","CLRCB","92.11693","78.94741","82.04379","49.85591","93.56496","146.73741","181.42457","169.34791","124.46861","1263.80136","1343.02786","33.96433","35.96597","0.00000","9.29474","0.00000","0.00000","0.00000","20.16932","16.72901","19.41181","8.28937","7.91740","7.39072","149.49970","274.65505","0.00000","3.20402","31.96012","51.68105","116.34195","184.64419","0.80173","592.72198","579.16778","402.34568","494.67126","275.90950","299.88408","78.52442","61.82878","0.06216","0.13307","0.69039","18.66999","35.67776","2.65454"
