"Table with row headers in column A and column headers in row 8, repeated in row 64. Leading dots indicate sub-parts.",,,,,,,,,,,,,,,,,
Census 2000 PHC-T-39,,,,,,,,,,,,,,,,,
"Table 2: Educational Attainment of the Population 15 Years and Over by Age, Nativity, and Year of Immigration: 2000",,,,,,,,,,,,,,,,,
Geographic area: Texas,,,,,,,,,,,,,,,,,
"All race and ethnic groups, male",,,,,,,,,,,,,,,,,
"(Data based on a sample.  For information on confidentiality protection, sampling error, nonsampling error and definitions, see www.census.gov/prod/cen2000/doc/sf3.pdf.)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Age,Total,No schooling completed,Nursery school-4th grade,5th-6th grade,7th-8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",,,,,,,,
..Total ,"7,820,248","182,537","107,784","276,957","346,956","412,264","377,771","367,658","317,840",,,,,,,,
,,,,,,,,,,,,,,,,,
Native ,"6,455,037","68,145","38,904","79,726","249,619","293,195","321,116","319,286","236,718",,,,,,,,
.15 to 24 years ,"1,354,435","5,996","1,679","7,135","106,110","165,462","170,356","161,596","67,774",,,,,,,,
.25 to 34 years ,"1,201,406","6,162","2,036","6,061","15,211","27,727","34,606","43,670","44,234",,,,,,,,
.35 to 44 years ,"1,366,100","9,372","2,784","10,033","19,710","28,563","37,616","45,168","48,279",,,,,,,,
.45 to 54 years ,"1,081,562","9,487","4,245","10,895","22,439","20,329","23,207","24,494","29,357",,,,,,,,
.55 to 64 years ,"668,360","8,604","6,014","12,358","25,858","18,139","20,430","17,541","20,612",,,,,,,,
.65 to 74 years ,"472,031","14,804","11,436","17,235","28,760","17,977","19,724","14,961","15,352",,,,,,,
.75 and over ,"311,143","13,720","10,710","16,009","31,531","14,998","15,177","11,856","11,110",,,,,,,
,,,,,,,,,,,,,,,,
Foreign Born ,"1,365,211","114,392","68,880","197,231","97,337","119,069","56,655","48,372","81,122",,,,,,,
.15 to 24 years ,"270,775","11,708","5,692","32,457","26,492","41,156","24,896","22,205","20,627",,,,,,,
.25 to 34 years ,"387,460","22,481","11,858","53,902","27,716","39,747","14,850","13,296","25,965",,,,,,,
.35 to 44 years ,"341,524","27,925","16,894","54,749","22,642","23,714","9,843","8,046","18,478",,,,,,,
.45 to 54 years ,"198,162","20,793","14,379","30,606","11,692","9,441","4,182","3,116","8,669",,,,,,,
.55 to 64 years ,"93,274","14,049","9,787","14,530","4,866","3,033","1,581","1,079","3,946",,,,,,,
