"Table 12-A
Federal Expenditures for Transportation General Support by Agency and Program from Own Funds: FY 1985-2001
(Current $ millions)",,,,,,,,,,,,,,,,,
Agency and Program,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001 est.
Total General Support Expenditures, 187 , 193 , 143 , 163 , 168 , 191 , 270 , 289 , 337 , 396 , 396 , 367 , 327 , 236 , 258 , 259 , 374 
Office of the Secretary Total, 65 , 62 , 46 , 51 , 58 , 74 , 160 , 179 , 197 , 219 , 220 , 232 , 171 , 70 , 75 , 87 , 111 
Salaries and Expenses, 51 , 56 , 45 , 58 , 49 , 57 , 55 , 56 , 65 , 63 , 59 , 62 , 44 , 60 , 58 , 65 , 72 
Rental payments (including Trust Fund), – , – , – , – , – , – , 107 , 112 , 132 , 137 , 140 , 142 , 122 ,-4, – , – , – 
    Rental payments, – , – , – , – , – , – , 64 , 66 , 83 , 96 , 98 , 98 , 81 ,-4, – , – , – 
    Trust Fund share of rental payments, – , – , – , – , – , – , 44 , 46 , 49 , 41 , 42 , 44 , 41 , – , – , – , – 
Transportation planning R&D, 5 , 5 , 5 , 5 , 4 , 7 , 4 , 4 , 3 , 7 , 8 , 8 , 4 , 5 , 4 , 8 , 9 
Commercial Space Transportation, – , – , – , – , – , – , 4 , 4 , 4 , 4 , 5 , – , – , – , – , – , – 
Minority Business Program, – , – , – , – , – , – , – , – , 3 , 4 , 11 , 8 , 9 , 7 , 7 , 7 , 2 
    Minority Business Direct Loan, – , – , – , – , – , – , – , – , 3 , 4 , 10 , 6 , 6 , 4 , 4 , 5 , – 
    Minority Business Outreach, – , – , – , – , – , – , – , – , – , – , – , 1 , 2 , 3 , 3 , 2 , 2 
    Minority business resource center program account, – , – , – , – , – , – , – , – , 0 , 0 , 1 , 1 , 1 , – , – , – , – 
Gifts and Bequest, – , – , 4 , 0 , – ,–,–, 0 , 0 , 0 , – , – , – , – , – , – , – 
     Transportation research overseas, – , 0 , – , – , – , – , – , – , – , – , – , – , – , – , – , – , – 
     Commission on aviation security, – , – , – , – , – , 1 , 0 , 0 , – , – , – , – , – , – , – , – , – 
Working capital fund, 10 , 1 ,-8,-13, 5 , 9 ,-10, 2 ,-11, 4 ,-3, – , – , – , – , – , – 
Transportation Administrative Service Center, – , – , – , – , – , – , – , – , – , – , – , 12 ,-8, 2 , 6 , 7 , 28 
Office of the Inspector General Total, 27 , 26 , 26 , 28 , 28 , 31 , 31 , 35 , 40 , 38 , 39 , 36 , 38 , 41 , 45 , 45 , 48 
Salaries and expenses, 27 , 26 , 26 , 28 , 28 , 31 , 31 , 35 , 40 , 38 , 39 , 36 , 38 , 41 , 45 , 45 , 48 
Bureau of Transportation Statistics Total, – , – , – , – , – , – , – , – , – , 3 , 24 , 20 , 22 , 18 , 23 , 21 , 27 
Research and Special Programs Administration Total, 23 , 38 , 6 , 17 , 14 , 16 , 6 ,-1, 21 , 57 , 39 , 19 , 36 , 34 , 41 , 18 , 84 
Research and Special Programs, 23 , 20 , 20 , 15 , 13 , 16 , 16 , 20 , 26 , 24 , 31 , 12 , 26 , 27 , 29 ,-1, 67 
Emergency Preparedness Fund, – , – , – , – , – , – , – , – , 1 , 6 , 6 , 7 , 7 , 6 , 7 , 9 , 13 
Volpe National Transportation Systems Center, 0 , 18 ,-14, 1 , 0 , 1 ,-10,-21,-5, 24 , – , – , 1 ,-1, 1 , – , – 
Cooperative Automotive Research, – , – , – , – , – , – , – , – , – , – , – , – , – , – , – , – , – 
Trust fund share of pipeline safety, – , – , – , – , – , – , – , – , – , 2 , 2 , – , 2 , 2 , 4 , 10 , 4 
Interstate Commerce Commission Total, 50 , 45 , 42 , 43 , 44 , 43 , 45 , 40 , 41 , 43 , 37 , 8 , – , – , – , – , – 
Salaries and expenses, 50 , 45 , 42 , 43 , 44 , 43 , 45 , 40 , 41 , 43 , 37 , 8 , – , – , – , – , – 
Surface Transportation Board Total, – , – , – , – , – , – , – , – , – , – , – , 13 , 14 , 14 , 14 , 16 , 15 
Salaries and expenses, – , – , – , – , – , – , – , – , – , – , – , 13 , 14 , 14 , 14 , 16 , 15 
National Transportation Safety Board Total, 22 , 22 , 23 , 24 , 24 , 26 , 29 , 36 , 37 , 37 , 37 , 39 , 46 , 59 , 60 , 72 , 89 
Salaries and expenses, 22 , 21 , 23 , 24 , 24 , 26 , 29 , 36 , 37 , 37 , 37 , 38 , 45 , 59 , 60 , 72 , 89 
Emergency Fund, – , 0 , – , – , – , 0 , – , – , – , – , – , 1 , 1 , – , – , – , – 
"KEY:  ""–"" = No activity or a value of zero; ""0"" = Value too small to report.",,,,,,,,,,,,,,,,,
"NOTES: 
Numbers may not add to totals due to rounding.
Data for FY 2001 are estimates.
Numbers in parenthesis are negative values due to offsetting collections.  Offsetting collections are collections from the public that result from business-type activities and collections from other government accounts, which are deducted from gross outlays and budget authority, rather than combined with government receipts.",,,,,,,,,,,,,,,,,
"SOURCES: 
Executive Office of the President of the United States, Office of Management and Budget, Budget of the United States Government FY 2002 – Public Budget Database (Washington, D.C.), Outlays available at: http://w3.access.gpo.gov/usbudget/fy2002/db.html, as of October 2001.",,,,,,,,,,,,,,,,,
