    "","Table 10.--U.S. International Transactions, by Area--Western Europe",
    "","[Millions of dollars]",
    "","",
    "","",
    "","",
"Line","(Credits +; debits -)/1/",
    "","",
    "","Current account ",
    "","",
   "1","Exports of goods and services and income receipts.......................................................................",
    "","",
   "2","  Exports of goods and services.........................................................................................",
    "","",
   "3","    Goods, balance of payments basis/2/.................................................................................",
    "","",
   "4","    Services/3/.........................................................................................................",
   "5","      Transfers under U.S. military agency sales contracts/4/...........................................................",
    "","",
   "6","      Travel............................................................................................................",
   "7","      Passenger fares...................................................................................................",
   "8","      Other transportation..............................................................................................",
    "","",
   "9","      Royalties and license fees/5/.....................................................................................",
  "10","      Other private services/5/.........................................................................................",
  "11","      U.S. Government miscellaneous services............................................................................",
    "","",
  "12","  Income receipts.......................................................................................................",
  "13","    Income receipts on U.S.-owned assets abroad.........................................................................",
  "14","      Direct investment receipts........................................................................................",
  "15","      Other private receipts............................................................................................",
  "16","      U.S. Government receipts..........................................................................................",
  "17","    Compensation of employees...........................................................................................",
    "","",
  "18","Imports of goods and services and income payments.......................................................................",
    "","",
  "19","  Imports of goods and services.........................................................................................",
    "","",
  "20","    Goods, balance of payments basis/2/.................................................................................",
    "","",
  "21","    Services/3/.........................................................................................................",
  "22","      Direct defense expenditures.......................................................................................",
    "","",
  "23","      Travel............................................................................................................",
  "24","      Passenger fares...................................................................................................",
  "25","      Other transportation..............................................................................................",
    "","",
  "26","      Royalties and license fees/5/.....................................................................................",
  "27","      Other private services/5/.........................................................................................",
  "28","      U.S. Government miscellaneous services............................................................................",
    "","",
  "29","  Income payments.......................................................................................................",
  "30","    Income payments on foreign-owned assets in the United States........................................................",
  "31","      Direct investment payments........................................................................................",
  "32","      Other private payments............................................................................................",
  "33","      U.S. Government payments..........................................................................................",
  "34","    Compensation of employees...........................................................................................",
    "","",
  "35","Unilateral current transfers, net.......................................................................................",
    "","",
  "36","  U.S. Government grants/4/.............................................................................................",
  "37","  U.S. Government pensions and other transfers..........................................................................",
  "38","  Private remittances and other transfers/6/............................................................................",
    "","",
    "","Capital and financial account",
    "","",
    "","Capital account",
    "","",
  "39","Capital account transactions, net ......................................................................................",
    "","",
    "","Financial account",
    "","",
  "40","U.S.-owned assets abroad, net (increase/financial outflow (-))..........................................................",
    "","",
  "41","  U.S. official reserve assets, net.....................................................................................",
  "42","    Gold/7/.............................................................................................................",
  "43","    Special drawing rights..............................................................................................",
  "44","    Reserve position in the International Monetary Fund.................................................................",
  "45","    Foreign currencies..................................................................................................",
    "","",
  "46","  U.S. Government assets, other than official reserve assets, net.......................................................",
  "47","    U.S. credits and other long-term assets.............................................................................",
  "48","    Repayments on U.S. credits and other long-term assets/8/............................................................",
  "49","    U.S. foreign currency holdings and U.S. short-term assets, net......................................................",
    "","",
  "50","  U.S. private assets, net..............................................................................................",
  "51","    Direct investment...................................................................................................",
  "52","    Foreign securities..................................................................................................",
  "53","    U.S. claims on unaffiliated foreigners reported by U.S. nonbanking concerns.........................................",
  "54","    U.S. claims reported by U.S. banks, not included elsewhere..........................................................",
    "","",
  "55","Foreign-owned assets in the United States, net (increase/financial inflow (+))..........................................",
    "","",
  "56","  Foreign official assets in the United States, net.....................................................................",
  "57","    U.S. Government securities..........................................................................................",
  "58","      U.S. Treasury securities/9/.......................................................................................",
  "59","      Other/10/.........................................................................................................",
  "60","    Other U.S. Government liabilities/11/...............................................................................",
  "61","    U.S. liabilities reported by U.S. banks, not included elsewhere.....................................................",
  "62","    Other foreign official assets/12/...................................................................................",
    "","",
  "63","  Other foreign assets in the United States, net........................................................................",
  "64","    Direct investment...................................................................................................",
  "65","    U.S. Treasury securities............................................................................................",
  "66","    U.S. securities other than U.S. Treasury securities.................................................................",
  "67","    U.S. currency.......................................................................................................",
  "68","    U.S. liabilities to unaffiliated foreigners reported by U.S. nonbanking concerns....................................",
  "69","    U.S. liabilities reported by U.S. banks, not included elsewhere.....................................................",
    "","",
  "70","Statistical discrepancy, and transfers of funds between foreign areas, net (sum of above items with sign reversed)......",
    "","",
    "","",
    "","Memoranda:                                                                                                              ",
  "71","Balance on goods (lines 3 and 20).......................................................................................",
  "72","Balance on services (lines 4 and 21)....................................................................................",
  "73","Balance on goods and services (lines 2 and 19)..........................................................................",
  "74","Balance on income (lines 12 and 29).....................................................................................",
  "75","Unilateral current transfers, net (line 35).............................................................................",
  "76","Balance on current account (lines 1, 18, and 35 or lines 73, 74, and 75)/13/............................................",
    "",            "",            "",            "",            "",            "",            "",            "",            "",
    "",            "",            "",            "",            "",            "",            "",            "",            "",
    "",            "",            "",            "",            "",            "",            "",            "",            "",
    "",            "",            "",            "",            "",            "",            "",            "",            "",
    "",            "",            "",            "",         "NSA",         "NSA",         "NSA",         "NSA",         "NSA",
"Line",        "1998",        "1999",        "2000",      "1999:I",     "1999:II",    "1999:III",     "1999:IV",      "2000:I",
    "",            "",            "",            "",            "",            "",            "",            "",            "",
    "",            "",            "",            "",            "",            "",            "",            "",            "",
    "",            "",            "",            "",            "",            "",            "",            "",            "",
   "1",        367706,        385481,        437170,         93476,         93853,         95500,        102652,        105668,
    "",            "",            "",            "",            "",            "",            "",            "",            "",
   "2",        254473,        261106,        281812,         63900,         64149,         64127,         68930,         68046,
    "",            "",            "",            "",            "",            "",            "",            "",            "",
   "3",        159320,        162770,        178793,         41117,         40338,         37867,         43448,         44135,
    "",            "",            "",            "",            "",            "",            "",            "",            "",
   "4",         95153,         98336,        103019,         22783,         23811,         26260,         25482,         23911,
   "5",          4780,          4265,          3143,          1155,          1158,          1201,           751,           768,
    "",            "",            "",            "",            "",            "",            "",            "",            "",
   "6",         22855,         24787,         26498,          4933,          6097,          7369,          6388,          5475,
   "7",          6865,          7014,          6897,          1445,          1704,          2133,          1732,          1382,
   "8",          8556,          8065,          9340,          1886,          1953,          2149,          2077,          2207,
    "",            "",            "",            "",            "",            "",            "",            "",            "",
   "9",         18644,         18605,         18201,          4693,          4506,          4509,          4897,          4462,
  "10",         33292,         35424,         38768,          8630,          8352,          8844,          9598,          9577,
  "11",           161,           176,           172,            41,            41,            55,            39,            40,
    "",            "",            "",            "",            "",            "",            "",            "",            "",
  "12",        113233,        124375,        155358,         29576,         29704,         31373,         33722,         37622,
  "13",        113089,        124220,        155207,         29538,         29665,         31334,         33683,         37584,
  "14",         50513,         55243,         65503,         13784,         13422,         13567,         14470,         16776,
  "15",         61605,         68186,         88868,         15463,         16117,         17545,         19061,         20555,
  "16",           971,           791,           836,           291,           126,           222,           152,           253,
  "17",           144,           155,           151,            38,            39,            39,            39,            38,
    "",            "",            "",            "",            "",            "",            "",            "",            "",
  "18",       -400205,       -445167,       -521433,        -99530,       -109636,       -116618,       -119383,       -121607,
    "",            "",            "",            "",            "",            "",            "",            "",            "",
  "19",       -269756,       -292660,       -336818,        -64876,        -73085,        -76050,        -78649,        -77668,
