Table 7-5: Alaska Air Quality Nonattainment Areas for Carbon Monoxide (CO),,,,,,
County,Area,    Nonattainment in year,Redesignation to attainment,Classification,Part or whole county,Population (2000)
,,,,,,
Anchorage ED,Anchorage,   95 96 97 98 99 00 01,NA,Serious,          Part,"255,286"
Fairbanks ED,Fairbanks,   95 96 97 98 99 00 01,NA,Serious,  Part  ,"39,231"
KEY: ED = election district; NA = not applicable.,,,,,,
NOTES FOR DATA ON THIS PAGE:  Nonattainment areas do not meet the national primary or secondary ambient air quality standard for the specified pollutant.  Nonattainment areas are classified based on design values:  Serious = an area with a design value of 16.5 parts per million (ppm) and above; Moderate = an area with a design value of 9.1 up to 16.4 ppm.  ,,,,,,
"SOURCES FOR DATA ON THIS PAGE:  U.S. Environmental Protection Agency, Green Book, available at http://www.epa.gov/oar/oaqps/greenbk/anay.html as of April 20, 2002.",,,,,,
,,,,,,



,,,,,,
