table with column headers in rows 5 through 7 and row headers in column A,,,,,,,,,
"Table 2 A.  Consumer Durables by Social Characteristics:  Households with Food Freezer, Television, Stove, and Microwave:  2003",,,,,,,,,
(Numbers in thousands),,,,,,,,,
(leading dot indicates sub-part),           ,       ,     ,        ,     ,      ,      ,      ,
 Characteristics,,Food ,,,,, ,,
 ,      Total,freezer,Television,Stove,Microwave,,,,
 ,Households,Percent,Percent,Percent,Percent,,,, 
All households,,      ,     ,     ,      ,,,, 
.Total,"111,209",36.9,98.8,98.8,95.9,,,, 
Age of householder, , ,,, ,,,, 
.15 to 29,"13,422",19.2,98.2,98.7,94.9,,,, 
.30 to 44,"35,018",34.4,99.0,99.1,96.7,,,, 
.45 to 64,"39,958",41.6,99.0,99.0,96.6,,,, 
.65 or older,"22,813",43.0,98.6,98.3,94.1,,,, 
Sex of householder, , ,,, ,,,, 
.Male,"58,154",39.6,98.9,98.9,96.3,,,, 
.Female,"53,055",34.0,98.8,98.8,95.5,,,, 
Race of householder, , ,,, ,,,, 
.White,"92,420",38.2,98.9,98.9,96.4,,,, 
.Black,"13,725",32.1,98.7,98.4,92.6,,,, 
.Other,"5,064",27.1,98.4,98.3,95.4,,,, 
Ethnicity of householder, , ,,, ,,,, 
.Hispanic,"11,578",17.0,99.1,99.1,94.3,,,, 
.White non-Hispanic,"81,973",40.9,98.8,98.9,96.7,,,, 
Household structure, ,,,,,,,, 
.Non-family alone,"31,007",23.6,97.8,97.8,92.2,,,, 
.Non-family with others,"4,560",24.7,98.9,99.0,96.2,,,, 
".Married, no children","29,930",50.7,99.5,99.5,98.3,,,, 
.Married with children,"27,470",44.5,99.2,99.6,98.2,,,, 
".Unmarried, no children","6,488",31.0,98.5,97.6,94.2,,,, 
.Unmarried with children,"11,755",27.3,99.1,99.0,95.0,,,, 
Householder disability, , ,,, ,,,, 
.Disabled,"10,357",36.7,98.1,97.5,92.9,,,, 
.Not disabled,"100,853",36.9,98.9,99.0,96.2,,,, 
Health insurance coverage, , ,,, ,,,, 
.Not insured,"24,454",29.3,98.3,98.8,94.2,,,, 
.Insured,"86,756",39.1,99.0,98.9,96.4,,,, 
Housing tenure*,,,,,,,,, 
.Home owner,"75,538",45.8,99.3,99.4,97.7,,,, 
.Renter,"35,495",18.1,97.9,97.6,92.2,,,, 
Footnotes:,,,,,,,,,
*Subtotal does not add to the total because not all cases had a completed interview.   ,,,,,,,,,
"Source U.S. Census Bureau, Survey of Income and Program Participation, 2001 Panel, Wave 8",,,,,,,,, 
Internet Release date: April 11, 2007,,,,,,,,,
