Table 2-18:  Hazardous Materials Incidents: 2002,,,,,,
"(Not including pipelines or bulk, nonpackaged water incidents)",,,,,,
State,Incidents,Deaths,Injuries,,,"Damages
($ thousands)"
,,,Total,Major,Minor,
Alabama,190,0,1,0,1,"1,771"
Alaska,10,0,0,0,0,57
Arizona,203,0,7,0,7,528
Arkansas,178,1,2,1,1,804
California,"1,119",0,5,0,5,"1,608"
Colorado,331,0,3,0,3,"1,703"
Connecticut,337,0,2,0,2,976
Delaware,29,0,3,0,3,109
District of Columbia,5,0,0,0,0,4
Florida,559,1,3,0,3,"2,218"
Georgia,408,0,5,0,5,"1,351"
Hawaii,6,0,0,0,0,5
Idaho,37,0,0,0,0,"2,214"
Illinois,"1,324",1,8,2,6,"1,430"
Indiana,424,1,3,0,3,728
Iowa,137,0,0,0,0,409
Kansas,393,0,1,0,1,306
Kentucky,286,0,2,1,1,"1,412"
Louisiana,242,0,8,3,5,"2,082"
Maine,29,0,0,0,0,251
Maryland,294,0,5,0,5,288
Massachusetts,272,0,2,0,2,190
Michigan,271,0,4,0,4,298
Minnesota,245,0,1,0,1,587
Mississippi,164,0,3,0,3,787
Missouri,349,0,3,0,3,"1,226"
Montana,38,0,1,0,1,301
Nebraska,76,0,0,0,0,160
Nevada,56,0,1,0,1,460
New Hampshire,15,0,0,0,0,4
New Jersey,433,0,1,0,1,506
New Mexico,61,0,0,0,0,388
New York,438,1,2,0,2,"1,033"
North Carolina,651,0,4,0,4,"1,949"
North Dakota,26,1,2,2,0,106
Ohio,"1,223",0,3,1,2,"1,769"
Oklahoma,136,0,8,1,7,182
Oregon,214,0,1,0,1,315
Pennsylvania,947,0,4,0,4,"3,406"
Rhode Island,29,0,0,0,0,95
South Carolina,167,0,2,0,2,541
South Dakota,12,0,0,0,0,10
Tennessee,868,0,8,2,6,"3,996"
Texas,"1,206",1,6,1,5,"4,610"
Utah,179,0,2,0,2,386
Vermont,13,0,0,0,0,5
Virginia,158,0,3,2,1,"2,257"
Washington,175,0,3,0,3,651
West Virginia,67,0,4,0,4,"1,071"
Wisconsin,240,0,3,0,3,120
Wyoming,32,0,0,0,0,"3,047"
"United States, total","15,302",7,129,16,113,"50,711"
"NOTES: Hazardous material incident locations are often listed as the terminals or sorting centers where they are discovered.  Therefore, states with this type of a facility may show a disproportionate number of incidents.",,,,,,
"Hazardous materials transportation incidents required to be reported are defined in the Code of Federal Regulations (CFR), 49 CFR Part 171.15, 171.16 (Form F 5800.1).",,,,,,
Hazardous materials deaths and injuries are caused by the hazardous material in commerce.,,,,,,
Hazardous materials incident data are subject to revision and correction by the Office of Hazardous Materials Safety.,,,,,,
"SOURCE:  U.S. Department of Transportation, Research and Special Programs Administration, Office of Hazardous Materials Safety, Hazmat Summary by State for Calendar Year 2002, Washington, DC: 2003, available at http://hazmat.dot.gov as of Sept. 5, 2003.",,,,,,
,,,,,,
,,,,,,
