"Table with row headers in column A and column headers for both sexes in rows 5 through 6, for male in rows 99 through 100, and for female in rows 191 through 192.",,,,,,,,,,
"Table 6.  Educational Attainment of Employed Civilians 18 to 64 Years, by Occupation, Age, Sex, Race, and Hispanic Origin:  2004",,,,,,,,,,
(Numbers in thousands.  Civilian noninstitutionalized population.),,,,,,,,,,
(leading dot indicates sub-part),,,,,,,,,,
"Black alone
and Both Sexes",Total,Educational Attainment,,,,,,,,
,,None - 8th grade,9th - 11th grade,High school graduate,Some college no degree,Associate degree,Bachelor's degree,Master's degree,Professional degree,Doctorate degree
18 to 64 years,,,,,,,,,,
.Total,"14,094",228,"1,350","5,136","3,196","1,209","2,151",617,129,78
".Management, business, and financial occupations","1,292",2,28,213,299,99,476,145,10,19
.Professional and related occupations,"2,525",6,43,419,415,315,810,368,96,53
.Service occupations,"3,394",96,541,"1,550",724,254,197,16,14,3
.Sales and related occupations,"1,258",16,132,391,393,86,198,37,5,-
.Office and Administrative occupations,"2,345",17,115,854,757,245,324,28,2,2
".Farming, forestry, and fishing occupations",51,6,12,29,3,-,0,-,-,-
.Construction and extraction occupations,483,26,94,235,84,18,21,3,1,-
".Installation, maintenance, and repair occupations",370,4,26,188,73,51,22,6,-,-
.Production occupations,"1,090",30,161,588,197,64,43,6,-,1
.Transportation and material moving occupations,"1,287",27,198,669,250,76,59,8,-,-
18 to 24 years,,,,,,,,,,
.Total,"1,839",32,309,692,582,72,137,9,6,-
".Management, business, and financial occupations",39,-,3,8,9,-,18,2,-,-
.Professional and related occupations,158,-,14,28,40,18,52,7,-,-
.Service occupations,529,14,99,210,169,17,14,-,6,-
.Sales and related occupations,385,5,81,123,149,6,23,-,-,-
.Office and Administrative occupations,376,4,34,137,150,27,24,-,-,-
".Farming, forestry, and fishing occupations",7,0,4,3,-,-,-,-,-,-
.Construction and extraction occupations,46,3,9,22,12,-,-,-,-,-
".Installation, maintenance, and repair occupations",22,-,5,13,2,1,-,-,-,-
.Production occupations,113,-,18,66,23,0,5,-,-,-
.Transportation and material moving occupations,161,6,41,82,28,3,1,-,-,-
25 to 34 years,,,,,,,,,,
.Total,"3,500",35,226,"1,242",867,313,633,140,39,6
".Management, business, and financial occupations",319,-,3,61,85,20,121,24,4,-
.Professional and related occupations,678,-,4,114,93,86,263,80,34,5
.Service occupations,838,11,106,382,213,73,50,1,1,-
.Sales and related occupations,355,1,21,115,112,40,51,14,-,-
.Office and Administrative occupations,621,2,23,208,212,59,101,14,-,1
".Farming, forestry, and fishing occupations",19,6,2,9,2,-,-,-,-,-
.Construction and extraction occupations,104,10,10,54,19,1,7,3,-,-
".Installation, maintenance, and repair occupations",80,2,3,43,11,14,5,2,-,-
.Production occupations,182,2,26,89,45,9,13,-,-,-
.Transportation and material moving occupations,305,1,29,167,74,11,22,-,-,-
35 to 44 years,,,,,,,,,,
.Total,"4,035",42,350,"1,489",839,386,688,184,32,26
".Management, business, and financial occupations",418,-,8,75,84,31,161,48,5,6
.Professional and related occupations,736,3,13,119,131,88,235,106,22,19
.Service occupations,888,18,145,432,160,76,52,2,3,-
.Sales and related occupations,276,4,10,75,77,20,79,9,3,-
.Office and Administrative occupations,656,6,33,222,193,84,110,9,-,-
".Farming, forestry, and fishing occupations",8,-,3,5,-,-,0,-,-,-
.Construction and extraction occupations,136,2,30,76,19,7,2,-,-,-
".Installation, maintenance, and repair occupations",147,-,9,73,35,18,8,3,-,-
.Production occupations,382,6,40,218,62,32,20,3,-,1
.Transportation and material moving occupations,387,4,58,195,77,30,20,3,-,-
45 to 64 years,,,,,,,,,,
