table with row headers in column A and column headers in row 4,,,,,
"Table 11.  Oregon Incorporated Place Population Estimates and Population Change, Sorted within County: July 1, 2001 to July 1, 2002",,,,,
(leading dots indicate sub-parts),,,,,
Place,State,"July 1, 2002 Population","July 1, 2001 Population",Numerical Population Change,Percent Population Change
Baker County,Oregon,"16,496","16,656",-160,-1.0
.Baker City city,Oregon,"9,738","9,831",-93,-0.9
.Haines city,Oregon,417,423,-6,-1.4
.Halfway city,Oregon,331,336,-5,-1.5
.Huntington city,Oregon,500,507,-7,-1.4
.Richland city,Oregon,144,146,-2,-1.4
.Sumpter city,Oregon,166,169,-3,-1.8
.Unity city,Oregon,129,130,-1,-0.8
.Balance of Baker County,Oregon,"5,071","5,114",-43,-0.8
Benton County,Oregon,"78,618","78,253",365,0.5
.Adair Village city,Oregon,525,534,-9,-1.7
.Albany city (pt.),Oregon,"5,298","5,226",72,1.4
.Corvallis city,Oregon,"49,781","49,328",453,0.9
.Monroe city,Oregon,594,604,-10,-1.7
.Philomath city,Oregon,"4,088","4,026",62,1.5
.Balance of Benton County,Oregon,"18,332","18,535",-203,-1.1
Clackamas County,Oregon,"351,815","345,208","6,607",1.9
.Barlow city,Oregon,142,141,1,0.7
.Canby city,Oregon,"13,577","13,163",414,3.1
.Estacada city,Oregon,"2,386","2,365",21,0.9
.Gladstone city,Oregon,"11,876","11,530",346,3.0
.Happy Valley city (pt.),Oregon,"5,912","5,420",492,9.1
.Johnson City city,Oregon,661,651,10,1.5
.Lake Oswego city (pt.),Oregon,"33,502","33,165",337,1.0
.Milwaukie city (pt.),Oregon,"20,562","20,469",93,0.5
.Molalla city,Oregon,"5,943","5,810",133,2.3
.Oregon City city,Oregon,"27,775","26,899",876,3.3
.Portland city (pt.),Oregon,775,761,14,1.8
.Rivergrove city (pt.),Oregon,291,289,2,0.7
.Sandy city,Oregon,"6,688","6,109",579,9.5
.Tualatin city (pt.),Oregon,"2,754","2,685",69,2.6
.West Linn city,Oregon,"24,172","23,349",823,3.5
.Wilsonville city (pt.),Oregon,"14,751","14,202",549,3.9
.Balance of Clackamas County,Oregon,"180,048","178,200","1,848",1.0
Clatsop County,Oregon,"35,791","35,619",172,0.5
.Astoria city,Oregon,"9,730","9,736",-6,-0.1
.Cannon Beach city,Oregon,"1,610","1,593",17,1.1
.Gearhart city,Oregon,990,989,1,0.1
.Seaside city,Oregon,"5,888","5,879",9,0.2
.Warrenton city,Oregon,"4,185","4,140",45,1.1
.Balance of Clatsop County,Oregon,"13,388","13,282",106,0.8
Columbia County,Oregon,"45,313","44,267","1,046",2.4
.Clatskanie city,Oregon,"1,533","1,521",12,0.8
.Columbia City city,Oregon,"1,635","1,592",43,2.7
.Prescott city,Oregon,71,71,-,-
.Rainier city,Oregon,"1,744","1,701",43,2.5
.St. Helens city,Oregon,"10,767","10,397",370,3.6
.Scappoose city,Oregon,"5,326","5,108",218,4.3
.Vernonia city,Oregon,"2,243","2,229",14,0.6
.Balance of Columbia County,Oregon,"21,994","21,648",346,1.6
Coos County,Oregon,"62,670","62,374",296,0.5
.Bandon city,Oregon,"2,819","2,809",10,0.4
.Coos Bay city,Oregon,"15,281","15,224",57,0.4
.Coquille city,Oregon,"4,134","4,124",10,0.2
.Lakeside city,Oregon,"1,382","1,371",11,0.8
.Myrtle Point city,Oregon,"2,442","2,432",10,0.4
.North Bend city,Oregon,"9,509","9,480",29,0.3
.Powers city,Oregon,733,729,4,0.5
.Balance of Coos County,Oregon,"26,370","26,205",165,0.6
Crook County,Oregon,"19,999","19,842",157,0.8
.Prineville city,Oregon,"7,871","7,840",31,0.4
.Balance of Crook County,Oregon,"12,128","12,002",126,1.0
Curry County,Oregon,"21,294","21,071",223,1.1
.Brookings city,Oregon,"5,684","5,530",154,2.8
.Gold Beach city,Oregon,"1,875","1,869",6,0.3
.Port Orford city,Oregon,"1,133","1,133",-,-
.Balance of Curry County,Oregon,"12,602","12,539",63,0.5
Deschutes County,Oregon,"125,258","120,702","4,556",3.8
.Bend city,Oregon,"57,010","54,610","2,400",4.4
.Redmond city,Oregon,"16,023","14,912","1,111",7.5
.Sisters city,Oregon,"1,099","1,011",88,8.7
.Balance of Deschutes County,Oregon,"51,126","50,169",957,1.9
Douglas County,Oregon,"100,921","100,309",612,0.6
.Canyonville city,Oregon,"1,370","1,368",2,0.1
.Drain city,Oregon,"1,016","1,013",3,0.3
.Elkton city,Oregon,147,148,-1,-0.7
.Glendale city,Oregon,872,864,8,0.9
.Myrtle Creek city,Oregon,"3,441","3,389",52,1.5
.Oakland city,Oregon,953,949,4,0.4
.Reedsport city,Oregon,"4,322","4,332",-10,-0.2
.Riddle city,Oregon,999,"1,003",-4,-0.4
.Roseburg city,Oregon,"19,957","19,896",61,0.3
.Sutherlin city,Oregon,"6,962","6,772",190,2.8
.Winston city,Oregon,"4,671","4,641",30,0.6
.Yoncalla city,Oregon,"1,039","1,042",-3,-0.3
.Balance of Douglas County,Oregon,"55,172","54,892",280,0.5
Gilliam County,Oregon,"1,842","1,867",-25,-1.3
.Arlington city,Oregon,508,513,-5,-1.0
.Condon city,Oregon,729,739,-10,-1.4
.Lonerock city,Oregon,23,23,-,-
.Balance of Gilliam County,Oregon,582,592,-10,-1.7
Grant County,Oregon,"7,480","7,563",-83,-1.1
.Canyon City town,Oregon,618,629,-11,-1.7
.Dayville town,Oregon,127,130,-3,-2.3
.Granite city,Oregon,22,22,-,-
.John Day city,Oregon,"1,672","1,701",-29,-1.7
.Long Creek city,Oregon,210,214,-4,-1.9
.Monument city,Oregon,139,142,-3,-2.1
.Mount Vernon city,Oregon,555,564,-9,-1.6
.Prairie City city,Oregon,"1,001","1,020",-19,-1.9
.Seneca city,Oregon,205,210,-5,-2.4
.Balance of Grant County,Oregon,"2,931","2,931",-,-
Harney County,Oregon,"7,339","7,416",-77,-1.0
.Burns city,Oregon,"2,945","2,980",-35,-1.2
.Hines city,Oregon,"1,596","1,615",-19,-1.2
.Balance of Harney County,Oregon,"2,798","2,821",-23,-0.8
Hood River County,Oregon,"20,805","20,528",277,1.3
.Cascade Locks city,Oregon,"1,124","1,117",7,0.6
.Hood River city,Oregon,"6,075","5,926",149,2.5
.Balance of Hood River County,Oregon,"13,606","13,485",121,0.9
Jackson County,Oregon,"186,430","183,800","2,630",1.4
.Ashland city,Oregon,"20,215","19,892",323,1.6
.Butte Falls town,Oregon,435,436,-1,-0.2
.Central Point city,Oregon,"13,818","13,264",554,4.2
.Eagle Point city,Oregon,"5,822","5,312",510,9.6
.Gold Hill city,Oregon,"1,067","1,069",-2,-0.2
.Jacksonville city,Oregon,"2,226","2,229",-3,-0.1
.Medford city,Oregon,"64,653","63,822",831,1.3
.Phoenix city,Oregon,"4,302","4,254",48,1.1
.Rogue River city,Oregon,"1,856","1,853",3,0.2
.Shady Cove city,Oregon,"2,317","2,314",3,0.1
.Talent city,Oregon,"5,525","5,557",-32,-0.6
.Balance of Jackson County,Oregon,"64,194","63,798",396,0.6
Jefferson County,Oregon,"19,768","19,519",249,1.3
.Culver city,Oregon,814,811,3,0.4
.Madras city,Oregon,"5,178","5,159",19,0.4
.Metolius city,Oregon,746,741,5,0.7
.Balance of Jefferson County,Oregon,"13,030","12,808",222,1.7
Josephine County,Oregon,"77,496","76,428","1,068",1.4
.Cave Junction city,Oregon,"1,378","1,366",12,0.9
.Grants Pass city,Oregon,"24,843","24,349",494,2.0
.Balance of Josephine County,Oregon,"51,275","50,713",562,1.1
Klamath County,Oregon,"64,363","64,225",138,0.2
.Bonanza town,Oregon,415,416,-1,-0.2
.Chiloquin city,Oregon,720,724,-4,-0.6
.Klamath Falls city,Oregon,"19,315","19,424",-109,-0.6
.Malin city,Oregon,634,638,-4,-0.6
.Merrill city,Oregon,895,899,-4,-0.4
.Balance of Klamath County,Oregon,"42,384","42,124",260,0.6
Lake County,Oregon,"7,444","7,493",-49,-0.7
.Lakeview town,Oregon,"2,456","2,481",-25,-1.0
.Paisley city,Oregon,249,252,-3,-1.2
.Balance of Lake County,Oregon,"4,739","4,760",-21,-0.4
Lane County,Oregon,"326,666","324,300","2,366",0.7
.Coburg city,Oregon,968,969,-1,-0.1
.Cottage Grove city,Oregon,"8,451","8,440",11,0.1
.Creswell city,Oregon,"3,810","3,644",166,4.6
.Dunes City city,Oregon,"1,243","1,242",1,0.1
.Eugene city,Oregon,"140,395","139,146","1,249",0.9
.Florence city,Oregon,"7,439","7,351",88,1.2
.Junction City city,Oregon,"5,153","5,137",16,0.3
.Lowell city,Oregon,864,861,3,0.3
.Oakridge city,Oregon,"3,137","3,134",3,0.1
.Springfield city,Oregon,"54,035","53,498",537,1.0
.Veneta city,Oregon,"2,834","2,775",59,2.1
.Westfir city,Oregon,274,274,-,-
.Balance of Lane County,Oregon,"98,063","97,829",234,0.2
Lincoln County,Oregon,"44,644","44,162",482,1.1
.Depoe Bay city,Oregon,"1,287","1,274",13,1.0
.Lincoln City city,Oregon,"7,400","7,340",60,0.8
.Newport city,Oregon,"9,588","9,495",93,1.0
.Siletz city,Oregon,"1,133","1,124",9,0.8
.Toledo city,Oregon,"3,431","3,414",17,0.5
.Waldport city,Oregon,"2,043","2,027",16,0.8
.Yachats city,Oregon,628,615,13,2.1
.Balance of Lincoln County,Oregon,"19,134","18,873",261,1.4
Linn County,Oregon,"104,941","103,802","1,139",1.1
.Albany city (pt.),Oregon,"36,892","36,205",687,1.9
