table with row headers in column A and column headers in row 4,,,,,
"Table 12.  Oregon Incorporated Place Population Estimates and Population Change, Sorted within County: April 1, 2000 to July 1, 2002",,,,,
(leading dots indicate sub-parts),,,,,
Place,State,"July 1, 2002 Population","April 1, 2000 Population Estimates Base",Numerical Population Change,Percent Population Change
Baker County,Oregon,"16,496","16,741",-245,-1.5
.Baker City city,Oregon,"9,738","9,896",-158,-1.6
.Haines city,Oregon,417,426,-9,-2.1
.Halfway city,Oregon,331,339,-8,-2.4
.Huntington city,Oregon,500,512,-12,-2.3
.Richland city,Oregon,144,147,-3,-2.0
.Sumpter city,Oregon,166,171,-5,-2.9
.Unity city,Oregon,129,131,-2,-1.5
.Balance of Baker County,Oregon,"5,071","5,119",-48,-0.9
Benton County,Oregon,"78,618","78,153",465,0.6
.Adair Village city,Oregon,525,536,-11,-2.1
.Albany city (pt.),Oregon,"5,298","5,104",194,3.8
.Corvallis city,Oregon,"49,781","49,399",382,0.8
.Monroe city,Oregon,594,607,-13,-2.1
.Philomath city,Oregon,"4,088","4,056",32,0.8
.Balance of Benton County,Oregon,"18,332","18,451",-119,-0.6
Clackamas County,Oregon,"351,815","338,391","13,424",4.0
.Barlow city,Oregon,142,140,2,1.4
.Canby city,Oregon,"13,577","12,790",787,6.2
.Estacada city,Oregon,"2,386","2,371",15,0.6
.Gladstone city,Oregon,"11,876","11,438",438,3.8
.Happy Valley city (pt.),Oregon,"5,912","5,109",803,15.7
.Johnson City city,Oregon,661,634,27,4.3
.Lake Oswego city (pt.),Oregon,"33,502","32,989",513,1.6
.Milwaukie city (pt.),Oregon,"20,562","20,490",72,0.4
.Molalla city,Oregon,"5,943","5,666",277,4.9
.Oregon City city,Oregon,"27,775","25,947","1,828",7.0
.Portland city (pt.),Oregon,775,747,28,3.7
.Rivergrove city (pt.),Oregon,291,287,4,1.4
.Sandy city,Oregon,"6,688","5,385","1,303",24.2
.Tualatin city (pt.),Oregon,"2,754","2,664",90,3.4
.West Linn city,Oregon,"24,172","22,261","1,911",8.6
.Wilsonville city (pt.),Oregon,"14,751","13,987",764,5.5
.Balance of Clackamas County,Oregon,"180,048","175,486","4,562",2.6
Clatsop County,Oregon,"35,791","35,630",161,0.5
.Astoria city,Oregon,"9,730","9,813",-83,-0.8
.Cannon Beach city,Oregon,"1,610","1,588",22,1.4
.Gearhart city,Oregon,990,995,-5,-0.5
.Seaside city,Oregon,"5,888","5,909",-21,-0.4
.Warrenton city,Oregon,"4,185","4,096",89,2.2
.Balance of Clatsop County,Oregon,"13,388","13,229",159,1.2
Columbia County,Oregon,"45,313","43,560","1,753",4.0
.Clatskanie city,Oregon,"1,533","1,528",5,0.3
.Columbia City city,Oregon,"1,635","1,571",64,4.1
.Prescott city,Oregon,71,72,-1,-1.4
.Rainier city,Oregon,"1,744","1,687",57,3.4
.St. Helens city,Oregon,"10,767","10,021",746,7.4
.Scappoose city,Oregon,"5,326","4,976",350,7.0
.Vernonia city,Oregon,"2,243","2,228",15,0.7
.Balance of Columbia County,Oregon,"21,994","21,477",517,2.4
Coos County,Oregon,"62,670","62,779",-109,-0.2
.Bandon city,Oregon,"2,819","2,833",-14,-0.5
.Coos Bay city,Oregon,"15,281","15,374",-93,-0.6
.Coquille city,Oregon,"4,134","4,169",-35,-0.8
.Lakeside city,Oregon,"1,382","1,371",11,0.8
.Myrtle Point city,Oregon,"2,442","2,451",-9,-0.4
.North Bend city,Oregon,"9,509","9,544",-35,-0.4
.Powers city,Oregon,733,734,-1,-0.1
.Balance of Coos County,Oregon,"26,370","26,303",67,0.3
Crook County,Oregon,"19,999","19,184",815,4.2
.Prineville city,Oregon,"7,871","7,563",308,4.1
.Balance of Crook County,Oregon,"12,128","11,621",507,4.4
Curry County,Oregon,"21,294","21,137",157,0.7
.Brookings city,Oregon,"5,684","5,447",237,4.4
.Gold Beach city,Oregon,"1,875","1,897",-22,-1.2
.Port Orford city,Oregon,"1,133","1,153",-20,-1.7
.Balance of Curry County,Oregon,"12,602","12,640",-38,-0.3
Deschutes County,Oregon,"125,258","115,367","9,891",8.6
.Bend city,Oregon,"57,010","52,029","4,981",9.6
.Redmond city,Oregon,"16,023","13,854","2,169",15.7
.Sisters city,Oregon,"1,099",959,140,14.6
.Balance of Deschutes County,Oregon,"51,126","48,525","2,601",5.4
Douglas County,Oregon,"100,921","100,399",522,0.5
.Canyonville city,Oregon,"1,370","1,293",77,6.0
.Drain city,Oregon,"1,016","1,021",-5,-0.5
.Elkton city,Oregon,147,149,-2,-1.3
.Glendale city,Oregon,872,855,17,2.0
.Myrtle Creek city,Oregon,"3,441","3,419",22,0.6
.Oakland city,Oregon,953,954,-1,-0.1
.Reedsport city,Oregon,"4,322","4,378",-56,-1.3
.Riddle city,Oregon,999,"1,014",-15,-1.5
