"Table with row headers in column A and column headers in row 8, repeated in row 48. Leading dots indicate sub-parts.",,,,,,,,,,,,,,,,,,
Census 2000 PHC-T-39,,,,,,,,,,,,,,,,,,
Table 1: Educational Attainment of the Population 15 Years and Over by Age: 2000,,,,,,,,,,,,,,,,,,
Geographic area: United States,,,,,,,,,,,,,,,,,,
"Hispanic or Latino, both sexes",,,,,,,,,,,,,,,,,,
"(Data based on a sample.  For information on confidentiality protection, sampling error, nonsampling error and definitions, see www.census.gov/prod/cen2000/doc/sf3.pdf.)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Age,Total,No schooling completed,Nursery school-4th grade,5th-6th grade,7th-8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",,,,,,,,,
..Total ,"24,750,718","1,368,860","804,015","2,283,150","1,667,788","1,870,682","1,422,693","1,433,012","1,699,139",,,,,,,,,
,,,,,,,,,,,,,,,,,,
15 to 19 years ,"3,099,933","38,158","20,460","96,509","332,122","567,869","584,365","549,199","238,753",,,,,,,,,
.15 years ,"580,972","2,740","1,268","10,936","202,861","243,719","101,808","10,247","2,922",,,,,,,,,
.16 years ,"580,686","4,282","2,113","10,825","52,140","176,885","221,675","92,530","9,295",,,,,,,,,
.17 years ,"614,789","7,074","3,535","17,428","27,456","60,734","164,362","216,432","64,832",,,,,,,,,
.18 years ,"654,140","9,960","5,091","25,289","24,024","43,388","56,161","163,792","96,663",,,,,,,,,
.19 years ,"669,346","14,102","8,453","32,031","25,641","43,143","40,359","66,198","65,041",,,,,,,,,
20 to 24 years ,"3,380,408","108,670","50,762","246,162","155,120","227,094","172,004","202,790","265,956",,,,,,,,,
.20 years ,"688,002","18,804","9,142","40,431","29,478","44,883","37,708","48,474","58,988",,,,,,,,,
.21 years ,"661,349","19,855","9,051","43,757","29,032","43,093","34,505","40,457","51,725",,,,,,,,,
.22 years ,"674,161","22,667","10,258","50,920","31,944","45,715","35,122","39,300","51,347",,,,,,,,,
.23 years ,"677,319","23,460","11,016","53,641","31,462","45,545","33,499","37,387","51,071",,,,,,,,,
.24 years ,"679,577","23,884","11,295","57,413","33,204","47,858","31,170","37,172","52,825",,,,,,,,,
25 to 29 years ,"3,331,821","126,397","61,347","302,099","172,160","240,895","137,873","159,015","242,507",,,,,,,,,
30 to 34 years ,"3,128,654","137,435","68,662","297,393","170,802","221,088","119,420","133,580","226,664",,,,,,,,,
35 to 39 years ,"2,917,975","145,837","83,397","291,187","157,719","171,703","105,773","115,062","191,599",,,,,,,,,
40 to 44 years ,"2,378,930","142,054","85,932","258,550","133,807","122,136","81,069","83,929","145,825",,,,,,,,,
45 to 49 years ,"1,791,347","124,921","80,891","197,426","111,175","83,192","54,533","56,983","103,090",,,,,,,,,
50 to 54 years ,"1,354,973","107,216","71,164","150,857","94,522","64,980","43,836","38,546","78,150",,,,,,,,,
55 to 59 years ,"934,258","89,482","58,838","109,445","78,415","48,279","33,568","28,341","57,110",,,,,,,,,
60 to 64 years ,"731,209","81,853","55,538","93,315","66,344","38,178","27,824","22,398","46,677",,,,,,,,,
65 to 69 years ,"590,941","79,920","52,039","77,454","59,119","30,832","23,022","15,875","36,342",,,,,,,,,
70 to 74 years ,"476,523","72,176","45,853","67,611","54,025","23,548","18,263","12,753","29,415",,,,,,,,,
75 to 79 years ,"318,581","54,410","33,517","46,395","39,151","15,821","11,004","8,172","19,192",,,,,,,,,
80 to 84 years ,"173,836","30,192","19,408","26,403","23,934","8,472","5,746","3,956","10,373",,,,,,,,,
85 years and over ,"141,329","30,139","16,207","22,344","19,373","6,595","4,393","2,413","7,486",,,,,,,,,
,,,,,,,,,,,,,,,,,,
25 years and over ,"18,270,377","1,222,032","732,793","1,940,479","1,180,546","1,075,719","666,324","681,023","1,194,430",,,,,,,,,
Note: - Represents zero or rounds to zero.,,,,,,,,,,,,,,,,,,
"Internet release date: October, 2006",,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Census 2000",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Census 2000 PHC-T-39,,,,,,,,,,,,,,,,,,
Table 1: Educational Attainment of the Population 15 Years and Over by Age: 2000 (Continued),,,,,,,,,,,,,,,,,,
Geographic area: United States,,,,,,,,,,,,,,,,,,
"Hispanic or Latino, both sexes",,,,,,,,,,,,,,,,,,
"(Data based on a sample.  For information on confidentiality protection, sampling error, nonsampling error and definitions, see www.census.gov/prod/cen2000/doc/sf3.pdf.)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Age,High school graduate,Less than 1 year college,College 1 year or more,Associate degree,Bachelor's degree,Master's degree,Professional degree,Doctoral degree,,,,,,,,,,
..Total ,"5,402,524","1,329,661","2,524,406","900,463","1,337,176","389,356","250,425","67,368",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
15 to 19 years ,"422,618","140,454","102,322","5,430","1,660",- ,- ,14,,,,,,,,,,
