Job	Nr. Sections	Submitted	Ended	User	Physics group	Total real time	Average real time	Main Exe	Exe group	User time of main exe	Total user time	Datasets
11546	224	1229238351	1229617999	kurata	???	28463080.0	127067.321429	HiggsWHlnubb_DLM_17_pole.exe	???	26048019.0	61067264	<None>
11912	263	1229376782	1229629639	kurata	???	17952038.0	68258.6996198	HiggsWHlnubb_DLM_17_pole.exe	???	16473180.0	60919808	<None>
11913	217	1229376842	1229614857	kurata	???	14703585.0	67758.4562212	HiggsWHlnubb_DLM_17_pole.exe	???	13219370.0	61100032	<None>
11915	268	1229376893	1229672616	kurata	???	18097299.0	67527.2350746	HiggsWHlnubb_DLM_17_pole.exe	???	16881897.0	60858368	<None>
11917	270	1229376961	1229652033	kurata	???	19446652.0	72024.637037	HiggsWHlnubb_DLM_17_pole.exe	???	17976097.0	60977152	<None>
11918	272	1229377000	1229667645	kurata	???	18332044.0	67397.2205882	HiggsWHlnubb_DLM_17_pole.exe	???	16777931.0	60858368	<None>
12030	366	1229433539	1229618855	cdfprd	???	13727020.0	37505.5191257	ProductionExe	Ana	2877155.0	431968256	local
12083	225	1229460873	1229629944	cdfprd	???	23843712.0	105972.053333	ProductionExe	Ana	1992221.0	429817856	local
12218	15	1229545921	1229652266	tangjian	???	936876.0	62458.4	RunPEs	Ana	791729.0	413569024	<None>
12220	427	1229547422	1229697051	rforrest	???	15145671.0	35469.9555035	root.exe	root	617875.0	245608448	<None>
12221	218	1229547482	1229692684	rforrest	???	23157486.0	106227.0	root.exe	root	532207.0	245186560	<None>
12222	15	1229547760	1229620634	tangjian	???	869874.0	57991.6	RunPEs	Ana	679628.0	407986176	<None>
12223	183	1229548025	1229695702	rforrest	???	3466434.0	18942.2622951	root.exe	root	64956.0	243712000	<None>
12230	13	1229549340	1229694241	johnpaul	???	1873826.0	144140.461538	HFJets	???	56634.0	517533696	<None>
12232	18	1229549415	1229694285	johnpaul	???	2594142.0	144119.0	HFJets	???	47793.0	501641216	<None>
12234	21	1229549489	1229694763	johnpaul	???	3026371.0	144112.904762	HFJets	???	59684.0	565518336	<None>
12235	5	1229549533	1229694534	johnpaul	???	720508.0	144101.6	HFJets	???	12246.0	538537984	<None>
12236	13	1229549565	1229694676	johnpaul	???	1873627.0	144125.153846	HFJets	???	36591.0	499290112	<None>
12237	15	1229549598	1229687375	tangjian	???	1045071.0	69671.4	RunPEs	Ana	795346.0	410157056	<None>
12238	10	1229549606	1229694667	johnpaul	???	1441205.0	144120.5	HFJets	???	21838.0	517648384	<None>
12239	15	1229549639	1229694835	johnpaul	???	2161489.0	144099.266667	HFJets	???	47719.0	495124480	<None>
12243	15	1229551436	1229620994	tangjian	???	887983.0	59198.8666667	RunPEs	Ana	690799.0	414576640	<None>
12253	15	1229555107	1229637815	tangjian	???	1008399.0	67226.6	RunPEs	Ana	646326.0	415690752	<None>
12257	15	1229556940	1229671310	tangjian	???	1000127.0	66675.1333333	RunPEs	Ana	609676.0	409174016	<None>
12260	15	1229558782	1229668725	tangjian	???	998298.0	66553.2	RunPEs	Ana	557787.0	410550272	<None>
12265	14	1229560349	1229630678	trj	???	569033.0	40645.2142857	root.exe	root	4328.0	423075840	<None>
12267	11	1229560382	1229631709	trj	???	485589.0	44144.4545455	root.exe	root	4765.0	431919104	<None>
