Estacion	"COPS, 1"	"1-29-02,4UTC"
Tiempo	Elevacio	
0.500000 18.000000 82.000000
1.000000 15.989992 76.000000
1.500000 15.183461 75.599998
2.000000 14.380000 75.400002
2.500000 13.729099 74.800003
3.000000 13.554485 73.800003
3.500000 13.380000 73.900002
4.000000 13.880000 74.199997
4.500000 14.220000 74.599998
5.000000 14.660000 75.599998
5.500000 14.910000 76.701080
6.000000 15.080000 77.900002
6.500000 15.590000 80.000000
7.000000 16.120001 82.217537
7.500000 16.983006 85.394302
8.000000 17.850000 88.000000
9.000000 18.690001 91.162132
10.000000 19.719999 94.000000
11.000000 20.280001 99.082535
12.000000 21.520000 103.699997
13.000000 22.580000 105.991447
14.000000 23.480000 108.000000
15.000000 23.980000 110.199997
16.000000 24.150000 111.170349
17.000000 24.580000 112.099998
18.000000 24.719999 112.000000
19.000000 25.719999 111.000000
20.000000 25.889999 110.120003
