SUMLEV,STATE,COUNTY,STNAME,CTYNAME,SEX,ORIGIN,RACE,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004
050,34,001,New Jersey,Atlantic County,0,0,01,187747,187747,188214,189770,192584,195791,198881
050,34,001,New Jersey,Atlantic County,0,0,02,47232,47232,47412,47468,47440,47889,48403
050,34,001,New Jersey,Atlantic County,0,0,03,811,811,787,814,834,867,892
050,34,001,New Jersey,Atlantic County,0,0,04,13270,13270,13408,14088,14836,15519,16491
050,34,001,New Jersey,Atlantic County,0,0,05,183,183,171,181,177,183,186
050,34,001,New Jersey,Atlantic County,0,0,06,3309,3309,3116,3267,3425,3604,3840
050,34,003,New Jersey,Bergen County,0,0,01,727641,727641,727852,726216,723739,721476,719557
050,34,003,New Jersey,Bergen County,0,0,02,49947,49947,50131,51019,51452,51986,52452
050,34,003,New Jersey,Bergen County,0,0,03,1628,1628,1626,1734,1809,1867,1949
050,34,003,New Jersey,Bergen County,0,0,04,95928,95928,97332,102913,108105,113214,118537
050,34,003,New Jersey,Bergen County,0,0,05,292,292,174,174,203,214,222
050,34,003,New Jersey,Bergen County,0,0,06,8682,8682,8735,9148,9539,9874,10281
050,34,005,New Jersey,Burlington County,0,0,01,338219,338216,339036,342156,345932,349362,351028
050,34,005,New Jersey,Burlington County,0,0,02,65891,65891,66438,67972,70120,72166,73956
050,34,005,New Jersey,Burlington County,0,0,03,975,975,886,895,943,994,1008
050,34,005,New Jersey,Burlington County,0,0,04,11686,11686,11834,12532,13607,14811,15703
050,34,005,New Jersey,Burlington County,0,0,05,162,162,142,143,160,173,180
050,34,005,New Jersey,Burlington County,0,0,06,6461,6461,6344,6613,7022,7435,7810
050,34,007,New Jersey,Camden County,0,0,01,383974,383974,383678,382134,382121,381309,381205
050,34,007,New Jersey,Camden County,0,0,02,97566,97566,97704,99226,100682,102351,103667
050,34,007,New Jersey,Camden County,0,0,03,1464,1464,1406,1458,1511,1521,1572
050,34,007,New Jersey,Camden County,0,0,04,19571,19571,19623,20113,20817,21475,22372
050,34,007,New Jersey,Camden County,0,0,05,376,376,395,416,427,445,457
050,34,007,New Jersey,Camden County,0,0,06,5981,5981,6016,6234,6497,6698,7009
050,34,009,New Jersey,Cape May County,0,0,01,95117,95117,95300,95028,94861,94977,94079
050,34,009,New Jersey,Cape May County,0,0,02,5426,5426,5457,5421,5321,5222,5024
050,34,009,New Jersey,Cape May County,0,0,03,194,194,162,172,159,162,164
050,34,009,New Jersey,Cape May County,0,0,04,687,687,684,708,717,713,727
050,34,009,New Jersey,Cape May County,0,0,05,48,48,29,36,33,30,35
050,34,009,New Jersey,Cape May County,0,0,06,854,854,681,710,702,723,729
050,34,011,New Jersey,Cumberland County,0,0,01,109779,109779,109828,109869,110532,111390,112583
050,34,011,New Jersey,Cumberland County,0,0,02,31278,31278,31368,31685,31956,32376,32685
050,34,011,New Jersey,Cumberland County,0,0,03,1576,1576,1478,1492,1504,1529,1547
050,34,011,New Jersey,Cumberland County,0,0,04,1498,1498,1440,1468,1540,1624,1674
