Report Date/Time:   02-14-08 04:22:11


                             DAPS
                         DAY  -   45

                     PDTS THAT ARE DEACTIVE


 OWNER   ADDRESS  FIRST ACTIVE  LAST ACTIVE    LAST TIME
--------------------------------------------------------------------------------
AAWQMO  0AA0334A       2004091      2004091            0
AAWQMO  0AA045DA       2006050      2006263       184947
AAWQMO  0AA056AC       2004265      2004265       235720
AAWQMO  0AA06336       2008133      2008133       235024
AAWQMO  0AA07040       2006018      2008102        15021
AAWQMO  0AA080C4       2004091      2004091            0
AAWQMO  0AA0A628       2004091      2004091            0
AAWQMO  0AA0B55E       2007124      2008037       185055
AAWQMO  0AA0C3CE       2004091      2004091            0
AAWQMO  0AA0D0B8       2006018      2008037       155115
AAWQMO  0AA0E522       2008174      2008174        45521
AAWQMO  0AA1042A       2004091      2004091            0
AAWQMO  0AA122C6       2004091      2004091            0
AAWQMO  0AA15456       2004091      2004091            0
AAWQMO  0AA161CC       2004091      2004091            0
AAWQMO  0AA172BA       2004091      2004091            0
AAWQMO  0AA1823E       2004091      2004091            0
ADFSFD  007005AC       2007146      2007259        22920
ADFSFD  007016DA       2007158      2007259       192933
ADFSFD  00702340       2008225      2008225       115944
ADFSFD  00703036       2007186      2007186       153737
ADFSFD  007046A6       2006192      2006246       182955
AESDEC  49500596       2003125      2003125            0
AESSSU  474F2478       2009015      2009015        52207
AESSSU  474F6772       2002323      2002323        65801
AESSSU  474F7404       2003147      2003147       194412
AESSSU  474F8480       2002307      2002307        52154
AFAEDC  373022AC       1996299      1997012         5438
AFAEDC  373031DA       2008053      2008053       220755
AKFISH  A99004F4       2008155      2008228       192334
AKFISH  A9901782       2005199      2006362        62343
AKFISH  A9902218       2006132      2006144       222358
AKFISH  A9905488       2008127      2008127       172332
AKFISH  A9906112       2007120      2008203       202435
AKFISH  A9907264       2005073      2005073            0
AKFISH  A99082E0       2005122      2005146       172502
ALBERT  01050662       2008107      2008108       144721
ALBERT  4440337A       2007010      2007089       172612
ALBERT  4440569C       2006311      2006311       130035
ALBERT  44406306       2004343      2004345       122633
ALBERT  4440A618       2009002      2009005        83121
ALBERT  4440D088       2008122      2008231       143424
ALBERT  4440E512       2008122      2008295       143522
ALBERT  4441041A       2001011      2004282       143745
ALBERT  44415466       2009042      2009043        13025
ALBERT  4441820E       2008067      2008349       142705
ALBERT  4441F49E       2009029      2009043          407
ALBERT  44427584       2007337      2008198       154844
ALBERT  4442C60A       2007337      2008052       202921
