Begin Header
	version	6.0.0
	Date	Sat Oct 02 13:39:04 EDT 2004
	Image File	C:\My Documents\Results\LBL samples\2004_09_28_E28_Salt strtess\E28_Qiang_K_Cy3_12935752.tif
	Page	0
	Page Name	
	Inverted	false
	Begin Field Dimensions
		Field	Metarows	Metacols	Rows	Cols
		A	8	4	16	18
	End Field Dimensions
	Begin Measurement parameters
		Segmentation Method	auto
		Signal Low	0.0
		Signal High	0.0
		Background Low	0.0
		Background High	0.0
		Background Buffer	3.0
		Background Width	3.0
	End Measurement parameters
	Begin Alerts
		Control Type	Minimum threshold	If tested	Percentage allowed	If failed	Maximum threshold	If tested	Percentage allowed	If failed	CV threshold	If tested	If failed
	End Alerts
	Begin Quality Flags
		Begin Flagging Settings
			Empty Spots	true	Threshold:	2.0
			Poor Spots	true
			Begin Poor Spots Parameters
				Background contamination flag	true	Threshold:	0.9995
				Background tested against subgrid data only	true
				Signal contamination flag	false	Threshold:	0.9995
				Signal contamination test connected to background contamination threshold	false
				Ignored percentage flag	true	Threshold:	25.0
				Open perimeter flag	true	Threshold:	25.0
				Shape regularity flag	true	Threshold:	0.6
				Area To Perimeter Ratio flag	false	Threshold:	0.65
				Offset flag	true	Threshold:	60.0
			End Poor Spots Parameters
			Negative Spots	true
		End Flagging Settings
		Begin Flagged spots
			# of Empty Spots: 2126
			# of Poor Spots: 88
			# of Negative Spots: 0
			# of Manually Flagged Spots: 0
		End Flagged spots
		
	End Quality Flags
End Header
Begin Raw Data
	Field	Meta Row	Meta Column	Row	Column	Gene ID	Flag	Signal Mean	Background Mean	Signal Median	Background Median	Signal Mode	Background Mode	Signal Area	Background Area	Signal Total	Background Total	Signal Stdev	Background Stdev	Shape Regularity	Ignored Area	Spot Area	Ignored Median	Area To Perimeter	Open Perimeter	XCoord	YCoord	Diameter	Position offset	Offset X	Offset Y	Expected X	Expected Y	CM-X	CM-Y	CM Offset	CM Offset-X	CM Offset-Y	Min Diam	Max Diam	Control	Failed Control	Background contamination present	Signal contamination present	Ignored % failed	Open perimeter failed	Shape regularity failed	Perim-to-area failed	Offset failed	Empty spot	Negative spot	Selected spot	Saturated spot
	A	1	1	1	1	ORF01514	0	7085.6738	998.3135	6857.0	871.0	6884.3911	545.7783	95.0	389.0	673139.0	388344.0	2747.5141	554.7216	0.8333	0.0	95.0	0.0	1.0	0.0	294.0	126.0	10.0	0.7748	0.1971	0.7493	293.8028	125.2506	294.0631	125.8526	0.6558	0.2603	0.6019	10.6177	11.5057		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	2	ORF01469	0	12670.4628	1014.4305	11742.0	888.0	12031.9306	594.4317	95.0	367.0	1203694.0	372296.0	5188.0541	560.7326	0.8189	0.0	95.0	0.0	1.0	0.0	315.5	125.5	11.0	0.6364	0.572	0.2788	314.9279	125.2211	315.7579	125.5052	0.8772	0.8299	0.2841	10.2356	11.9574		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	3	ORF01588	0	9712.8779	1129.4869	8820.5	968.0	9155.7773	719.3743	98.0	343.0	951862.0	387414.0	4310.0654	676.4821	0.8448	0.0	98.0	0.0	1.0	0.0	336.5	125.5	11.0	0.4025	0.2583	0.3087	336.2416	125.1912	336.653	125.6224	0.5959	0.4113	0.4311	10.5667	11.9842		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	4	ORF01550	0	15820.1445	955.7587	16140.0	819.5	16201.2138	562.9268	97.0	344.0	1534554.0	328781.0	5578.666	529.9422	0.8362	0.0	97.0	0.0	1.0	0.0	357.5	125.5	11.0	0.3911	0.1964	0.3382	357.3035	125.1617	357.2164	125.5257	0.3742	-0.087	0.3639	10.4625	11.9461		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	5	ORF01511	0	11445.5517	926.8695	11591.0	781.0	13140.1787	464.8888	96.0	345.0	1098773.0	319770.0	3931.5292	553.2891	0.8571	0.0	96.0	0.0	1.0	0.0	378.5	125.5	11.0	0.4169	0.1968	0.3675	378.3031	125.1324	379.0833	125.5729	0.8959	0.7801	0.4405	10.5856	11.6511		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	6	ORF01465	0	8080.7084	967.2492	7856.5	804.0	8032.7392	584.0445	96.0	345.0	775748.0	333701.0	2898.3886	614.9	0.6153	0.0	96.0	0.0	1.0	0.0	399.5	125.5	11.0	0.4009	-0.0534	0.3973	399.5534	125.1026	399.8125	125.5208	0.4918	0.259	0.4181	10.2947	12.0047		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	7	ORF00850	0	18818.0429	998.419	18085.0	850.5	20432.3007	553.7515	95.0	346.0	1787714.0	345453.0	8003.3027	586.4661	0.8558	0.0	95.0	0.0	1.0	0.0	420.5	125.5	11.0	0.664	0.5094	0.4259	419.9905	125.074	420.9684	125.5473	1.0863	0.9778	0.4733	10.4018	11.7363		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	8	ORF00816	0	21745.0996	1083.3297	20413.5	904.0	20312.7617	596.7486	110.0	373.0	2391961.0	404082.0	12951.9648	668.1038	0.7142	0.0	110.0	0.0	1.0	0.0	441.5	124.5	11.0	0.5603	0.134	-0.5441	441.3659	125.0441	441.7	124.8181	0.4032	0.334	-0.2259	11.8414	12.047		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	9	ORF00923	0	9834.4082	1040.5102	8932.0	861.5	8853.625	818.1015	93.0	390.0	914600.0	405799.0	4143.871	826.9923	0.8086	0.0	93.0	0.0	1.0	0.0	462.5	124.5	11.0	0.9697	0.8212	-0.5156	461.6787	125.0156	462.2365	124.6021	0.6943	0.5578	-0.4135	10.5071	11.3809		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	10	ORF00884	0	13482.3662	1034.0407	13508.5	761.0	14509.9003	895.2872	90.0	393.0	1213413.0	406378.0	3971.6364	1226.5748	0.7758	0.0	90.0	0.0	1.0	0.0	483.5	124.5	11.0	0.7499	0.5712	-0.4859	482.9287	124.9859	483.5888	124.4111	0.8753	0.6601	-0.5748	10.5198	11.0278		0	0	0	0	0	0	0	0	0	0	0	0
