  DATE;LATVIAI;LATVIAR;
  31DEC2008; 1.856627; 1.856627;
  30DEC2008; 1.852392; 1.852392;
  29DEC2008; 1.846963; 1.846963;
  28DEC2008; 1.841885; 1.841885;
  27DEC2008; 1.841885; 1.841885;
  26DEC2008; 1.841885; 1.841885;
  25DEC2008; 1.837650; 1.837650;
  24DEC2008; 1.833391; 1.833391;
  23DEC2008; 1.828000; 1.828000;
  22DEC2008; 1.822538; 1.822538;
  21DEC2008; 1.818217; 1.818217;
  20DEC2008; 1.818217; 1.818217;
  19DEC2008; 1.818217; 1.818217;
  18DEC2008; 1.812570; 1.812570;
  17DEC2008; 1.807514; 1.807514;
  16DEC2008; 1.805431; 1.805431;
  15DEC2008; 1.804120; 1.804120;
  14DEC2008; 1.804415; 1.804415;
  13DEC2008; 1.804415; 1.804415;
  12DEC2008; 1.804415; 1.804415;
  11DEC2008; 1.805059; 1.805059;
  10DEC2008; 1.830831; 1.830831;
  09DEC2008; 1.818512; 1.818512;
  08DEC2008; 1.822490; 1.822490;
  07DEC2008; 1.787310; 1.787310;
  06DEC2008; 1.787310; 1.787310;
  05DEC2008; 1.787310; 1.787310;
  04DEC2008; 1.795655; 1.795655;
  03DEC2008; 1.789229; 1.789229;
  02DEC2008; 1.792436; 1.792436;
  01DEC2008; 1.828129; 1.828129;
  30NOV2008; 1.832080; 1.832080;
  29NOV2008; 1.832080; 1.832080;
  28NOV2008; 1.832080; 1.832080;
  27NOV2008; 1.814882; 1.814882;
  26NOV2008; 1.817851; 1.817851;
  25NOV2008; 1.831502; 1.831502;
  24NOV2008; 1.809300; 1.809300;
  23NOV2008; 1.856166; 1.856166;
  22NOV2008; 1.856166; 1.856166;
  21NOV2008; 1.856166; 1.856166;
  20NOV2008; 1.863809; 1.863809;
  19NOV2008; 1.871000; 1.871000;
  18NOV2008; 1.878426; 1.878426;
  17NOV2008; 1.885526; 1.885526;
  16NOV2008; 1.891710; 1.891710;
  15NOV2008; 1.891710; 1.891710;
  14NOV2008; 1.891710; 1.891710;
  13NOV2008; 1.898159; 1.898159;
  12NOV2008; 1.904269; 1.904269;
  11NOV2008; 1.910143; 1.910143;
  10NOV2008; 1.915310; 1.915310;
  09NOV2008; 1.920550; 1.920550;
  08NOV2008; 1.920550; 1.920550;
  07NOV2008; 1.920550; 1.920550;
  06NOV2008; 1.924802; 1.924802;
  05NOV2008; 1.928667; 1.928667;
  04NOV2008; 1.933142; 1.933142;
  03NOV2008; 1.938643; 1.938643;
  02NOV2008; 1.944577; 1.944577;
  01NOV2008; 1.944577; 1.944577;
  31OCT2008; 1.944577; 1.944577;
  30OCT2008; 1.950339; 1.950339;
  29OCT2008; 1.956398; 1.956398;
  28OCT2008; 1.964009; 1.964009;
  27OCT2008; 1.971976; 1.971976;
  26OCT2008; 1.979408; 1.979408;
  25OCT2008; 1.979408; 1.979408;
  24OCT2008; 1.979408; 1.979408;
  23OCT2008; 1.986304; 1.986304;
  22OCT2008; 1.993093; 1.993093;
  21OCT2008; 1.998693; 1.998693;
  20OCT2008; 2.004327; 2.004327;
  19OCT2008; 2.009581; 2.009581;
  18OCT2008; 2.009581; 2.009581;
  17OCT2008; 2.009581; 2.009581;
  16OCT2008; 2.015205; 2.015205;
  15OCT2008; 2.019641; 2.019641;
  14OCT2008; 2.023797; 2.023797;
  13OCT2008; 2.028154; 2.028154;
  12OCT2008; 2.032778; 2.032778;
  11OCT2008; 2.032778; 2.032778;
  10OCT2008; 2.032778; 2.032778;
  09OCT2008; 2.037617; 2.037617;
  08OCT2008; 2.042363; 2.042363;
  07OCT2008; 2.047228; 2.047228;
  06OCT2008; 2.052922; 2.052922;
  05OCT2008; 2.057582; 2.057582;
  04OCT2008; 2.057582; 2.057582;
  03OCT2008; 2.057582; 2.057582;
  02OCT2008; 2.063467; 2.063467;
  01OCT2008; 2.068799; 2.068799;
  30SEP2008; 2.074173; 2.074173;
  29SEP2008; 2.037490; 2.037490;
  28SEP2008; 2.062706; 2.062706;
  27SEP2008; 2.062706; 2.062706;
  26SEP2008; 2.062706; 2.062706;
  25SEP2008; 2.071251; 2.071251;
  24SEP2008; 2.070822; 2.070822;
  23SEP2008; 2.079867; 2.079867;
  22SEP2008; 2.066543; 2.066543;
  21SEP2008; 2.101800; 2.101800;
  20SEP2008; 2.101800; 2.101800;
  19SEP2008; 2.101800; 2.101800;
  18SEP2008; 2.106741; 2.106741;
  17SEP2008; 2.112316; 2.112316;
  16SEP2008; 2.118532; 2.118532;
  15SEP2008; 2.124585; 2.124585;
  14SEP2008; 2.130665; 2.130665;
  13SEP2008; 2.130665; 2.130665;
  12SEP2008; 2.130665; 2.130665;
  11SEP2008; 2.137759; 2.137759;
  10SEP2008; 2.144173; 2.144173;
  09SEP2008; 2.150820; 2.150820;
  08SEP2008; 2.156904; 2.156904;
  07SEP2008; 2.162899; 2.162899;
  06SEP2008; 2.162899; 2.162899;
  05SEP2008; 2.162899; 2.162899;
  04SEP2008; 2.168078; 2.168078;
  03SEP2008; 2.172732; 2.172732;
  02SEP2008; 2.176870; 2.176870;
  01SEP2008; 2.180690; 2.180690;
  31AUG2008; 2.184009; 2.184009;
  30AUG2008; 2.184009; 2.184009;
  29AUG2008; 2.184009; 2.184009;
  28AUG2008; 2.187461; 2.187461;
  27AUG2008; 2.191486; 2.191486;
  26AUG2008; 2.195289; 2.195289;
  25AUG2008; 2.198646; 2.198646;
  24AUG2008; 2.201872; 2.201872;
  23AUG2008; 2.201872; 2.201872;
  22AUG2008; 2.201872; 2.201872;
  21AUG2008; 2.204979; 2.204979;
  20AUG2008; 2.208018; 2.208018;
  19AUG2008; 2.211233; 2.211233;
  18AUG2008; 2.214079; 2.214079;
  17AUG2008; 2.217459; 2.217459;
  16AUG2008; 2.217459; 2.217459;
  15AUG2008; 2.217459; 2.217459;
  14AUG2008; 2.219509; 2.219509;
  13AUG2008; 2.221719; 2.221719;
  12AUG2008; 2.223683; 2.223683;
  11AUG2008; 2.225164; 2.225164;
  10AUG2008; 2.226172; 2.226172;
  09AUG2008; 2.226172; 2.226172;
  08AUG2008; 2.226172; 2.226172;
  07AUG2008; 2.180549; 2.180549;
  06AUG2008; 2.187227; 2.187227;
  05AUG2008; 2.196354; 2.196354;
  04AUG2008; 2.213859; 2.213859;
  03AUG2008; 2.207506; 2.207506;
  02AUG2008; 2.207506; 2.207506;
  01AUG2008; 2.207506; 2.207506;
  31JUL2008; 2.213859; 2.213859;
  30JUL2008; 2.210433; 2.210433;
  29JUL2008; 2.216803; 2.216803;
  28JUL2008; 2.237637; 2.237637;
  27JUL2008; 2.228661; 2.228661;
  26JUL2008; 2.228661; 2.228661;
  25JUL2008; 2.228661; 2.228661;
  24JUL2008; 2.227668; 2.227668;
  23JUL2008; 2.232641; 2.232641;
  22JUL2008; 2.252252; 2.252252;
  21JUL2008; 2.255809; 2.255809;
  20JUL2008; 2.255300; 2.255300;
  19JUL2008; 2.255300; 2.255300;
  18JUL2008; 2.255300; 2.255300;
  17JUL2008; 2.258866; 2.258866;
  16JUL2008; 2.251745; 2.251745;
  15JUL2008; 2.272727; 2.272727;
  14JUL2008; 2.261932; 2.261932;
  13JUL2008; 2.264493; 2.264493;
  12JUL2008; 2.264493; 2.264493;
  11JUL2008; 2.264493; 2.264493;
  10JUL2008; 2.249213; 2.249213;
  09JUL2008; 2.239140; 2.239140;
  08JUL2008; 2.228661; 2.228661;
  07JUL2008; 2.226180; 2.226180;
  06JUL2008; 2.225684; 2.225684;
  05JUL2008; 2.225684; 2.225684;
  04JUL2008; 2.225684; 2.225684;
  03JUL2008; 2.230152; 2.230152;
  02JUL2008; 2.251745; 2.251745;
  01JUL2008; 2.234138; 2.234138;
  30JUN2008; 2.235136; 2.235136;
  29JUN2008; 2.235636; 2.235636;
  28JUN2008; 2.235636; 2.235636;
  27JUN2008; 2.235636; 2.235636;
  26JUN2008; 2.240645; 2.240645;
  25JUN2008; 2.215821; 2.215821;
  24JUN2008; 2.219756; 2.219756;
  23JUN2008; 2.204586; 2.204586;
  22JUN2008; 2.224199; 2.224199;
  21JUN2008; 2.224199; 2.224199;
  20JUN2008; 2.224199; 2.224199;
  19JUN2008; 2.199736; 2.199736;
  18JUN2008; 2.201673; 2.201673;
  17JUN2008; 2.195872; 2.195872;
  16JUN2008; 2.189621; 2.189621;
  15JUN2008; 2.229748; 2.229748;
  14JUN2008; 2.229748; 2.229748;
  13JUN2008; 2.229748; 2.229748;
  12JUN2008; 2.194426; 2.194426;
  11JUN2008; 2.212389; 2.212389;
  10JUN2008; 2.204100; 2.204100;
  09JUN2008; 2.237637; 2.237637;
  08JUN2008; 2.244669; 2.244669;
  07JUN2008; 2.244669; 2.244669;
  06JUN2008; 2.244669; 2.244669;
  05JUN2008; 2.213859; 2.213859;
  04JUN2008; 2.203614; 2.203614;
  03JUN2008; 2.199736; 2.199736;
  02JUN2008; 2.209456; 2.209456;
  01JUN2008; 2.215821; 2.215821;
  31MAY2008; 2.215821; 2.215821;
  30MAY2008; 2.215821; 2.215821;
  29MAY2008; 2.215821; 2.215821;
  28MAY2008; 2.227668; 2.227668;
  27MAY2008; 2.245677; 2.245677;
  26MAY2008; 2.257336; 2.257336;
  25MAY2008; 2.256827; 2.256827;
  24MAY2008; 2.256827; 2.256827;
  23MAY2008; 2.256827; 2.256827;
  22MAY2008; 2.246686; 2.246686;
  21MAY2008; 2.252252; 2.252252;
  20MAY2008; 2.240143; 2.240143;
  19MAY2008; 2.221235; 2.221235;
  18MAY2008; 2.226676; 2.226676;
  17MAY2008; 2.226676; 2.226676;
  16MAY2008; 2.226676; 2.226676;
  15MAY2008; 2.216312; 2.216312;
  14MAY2008; 2.215330; 2.215330;
  13MAY2008; 2.219756; 2.219756;
  12MAY2008; 2.221235; 2.221235;
  11MAY2008; 2.212389; 2.212389;
  10MAY2008; 2.212389; 2.212389;
  09MAY2008; 2.212389; 2.212389;
  08MAY2008; 2.209456; 2.209456;
  07MAY2008; 2.206531; 2.206531;
  06MAY2008; 2.228661; 2.228661;
  05MAY2008; 2.216312; 2.216312;
  04MAY2008; 2.205558; 2.205558;
  03MAY2008; 2.205558; 2.205558;
  02MAY2008; 2.205558; 2.205558;
  01MAY2008; 2.211900; 2.211900;
  30APR2008; 2.229654; 2.229654;
  29APR2008; 2.233639; 2.233639;
  28APR2008; 2.239642; 2.239642;
  27APR2008; 2.243662; 2.243662;
  26APR2008; 2.243662; 2.243662;
  25APR2008; 2.243662; 2.243662;
  24APR2008; 2.248201; 2.248201;
  23APR2008; 2.274278; 2.274278;
  22APR2008; 2.234148; 2.234148;
  21APR2008; 2.230296; 2.230296;
  20APR2008; 2.257336; 2.257336;
  19APR2008; 2.257336; 2.257336;
  18APR2008; 2.257336; 2.257336;
  17APR2008; 2.223118; 2.223118;
  16APR2008; 2.218500; 2.218500;
  15APR2008; 2.214759; 2.214759;
  14APR2008; 2.210517; 2.210517;
