#BottleID	SampleID	SMCOD	STAID	Reach	Group	AlgaeGroup	Phylum	Family	Genus	Species	Variety	TaxonAuthority	ScientificName	Quantity	Cells_cm2	Cells_mL	Biovolume_cm2	Biovolume_mL	NADEDID	ShortName	SampleProcessingStatusText
21634	21633	UIRB0700ARE4118B	05536236	A	D	Diatoms	Chrysophyta	Achnanthaceae	Cocconeis	pediculus		Ehrenberg	Cocconeis pediculus Ehrenberg	4	275.70053		885291.8737		16011	CCpedcls	Completed
21634	21633	UIRB0700ARE4118B	05536236	A	D	Diatoms	Chrysophyta	Achnanthaceae	Cocconeis	placentula		Ehrenberg	Cocconeis placentula Ehrenberg	4	275.70053		200862.0445		16004	CCplacen	Completed
21634	21633	UIRB0700ARE4118B	05536236	A	D	Diatoms	Chrysophyta	Achnanthaceae	Cocconeis	placentula	euglypta	(Ehrenberg) Cleve	Cocconeis placentula var. euglypta (Ehrenberg) Cleve	2	137.85026		94657.08988		16005	CCplaeug	Completed
21634	21633	UIRB0700ARE4118B	05536236	A	D	Diatoms	Chrysophyta	Achnanthaceae	Cocconeis	placentula	lineata	(Ehrenberg) Van Heurck	Cocconeis placentula var. lineata (Ehrenberg) Van Heurck	6	413.55093		463179.5928		16003	CCplalin	Completed
21634	21633	UIRB0700ARE4118B	05536236	A	D	Diatoms	Chrysophyta	Achnanthaceae	Planothidium	lanceolatum		(Brébisson ex Kützing) Lange-Bertalot	Planothidium lanceolatum (Brébisson ex Kützing) Lange-Bertalot	20	1378.50319		186570.831		155003	PTlanceo	Completed
21634	21633	UIRB0700ARE4118B	05536236	A	D	Diatoms	Chrysophyta	Diatomaceae	Synedra	parasitica		(Smith) Hustedt	Synedra parasitica (Smith) Hustedt	2	137.85026		12014.68901		66014	SYparasi	Completed
21634	21633	UIRB0700ARE4118B	05536236	A	D	Diatoms	Chrysophyta	Diatomaceae	Tabularia	tabulata		(Agardh) Snoeijs	Tabularia tabulata (Agardh) Snoeijs	2	137.85026		1188407.129		200001	TBtabula	Completed
21634	21633	UIRB0700ARE4118B	05536236	A	D	Diatoms	Chrysophyta	Melosiraceae	Melosira	varians		Agardh	Melosira varians Agardh	20	1378.50319		6956311.075		44073	MEvarian	Completed
21634	21633	UIRB0700ARE4118B	05536236	A	D	Diatoms	Chrysophyta	Naviculaceae	Amphora	pediculus		(Kützing) Grunow	Amphora pediculus (Kützing) Grunow	59	4066.58472		405722.8731		7043	AMpedcls	Completed
21634	21633	UIRB0700ARE4118B	05536236	A	D	Diatoms	Chrysophyta	Naviculaceae	Amphora	veneta		Kützing	Amphora veneta Kützing	2	137.85026		80063.12907		7006	AMveneta	Completed
21634	21633	UIRB0700ARE4118B	05536236	A	D	Diatoms	Chrysophyta	Naviculaceae	Caloneis	amphisbaena		(Bory) Cleve	Caloneis amphisbaena (Bory) Cleve	2	137.85026		1119356.329		12023	CAamphis	Completed
21634	21633	UIRB0700ARE4118B	05536236	A	D	Diatoms	Chrysophyta	Naviculaceae	Caloneis	bacillum		(Grunow) Cleve	Caloneis bacillum (Grunow) Cleve	2	137.85026		59246.35936		12001	CAbacill	Completed
21634	21633	UIRB0700ARE4118B	05536236	A	D	Diatoms	Chrysophyta	Naviculaceae	Diploneis	parma		Cleve	Diploneis parma Cleve	8	551.40119		4136060.363		30014	DPparma	Completed
21634	21633	UIRB0700ARE4118B	05536236	A	D	Diatoms	Chrysophyta	Naviculaceae	Fallacia	omissa		(Hustedt) Mann	Fallacia omissa (Hustedt) Mann	2	137.85026		25990.26353		115006	FAomissa	Completed
