Dataset:              Benthic Species Abundance Data
File Name:            va90_3_2.txt
Date Created:         03/10/96
# Variables:          7
# Header Records:     17
# Data Records:       3515
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              LATIN NAME   Scientific (Latin) name
              #GRABS       Number of grabs
              T_ABN        Total abundance (#)
              M_ABN        Mean abundance (#)
              SDABN        Std. dev. of mean abundance

STA_NAME   DATE LATIN NAME                       #GRABS  T_ABN    M_ABN  SDABN
VA90-021 900721 ACTEOCINA CANALICULATA                3      2     0.67   1.15
VA90-021 900721 AMPELISCA ABDITA                      3      1     0.33   0.58
VA90-021 900721 AMPELISCA SPP.                        3      3     1.00   1.00
VA90-021 900721 AMPHARETE ARCTICA                     3      2     0.67   0.58
VA90-021 900721 AMPHARETIDAE                          3      2     0.67   1.15
VA90-021 900721 ASABELLIDES OCULATA                   3      3     1.00   1.73
VA90-021 900721 BRADA VILLOSA                         3      4     1.33   2.31
VA90-021 900721 CANCER                                3      6     2.00   1.00
VA90-021 900721 CERIANTHEOPSIS AMERICANUS             3     12     4.00   1.00
VA90-021 900721 CIRRATULIDAE                          3      3     1.00   1.00
VA90-021 900721 COSSURA SOYERI                        3     15     5.00   4.36
VA90-021 900721 GAMMARIDAE                            3      1     0.33   0.58
VA90-021 900721 LEPTOCHEIRUS PINGUIS                  3     20     6.67  11.55
VA90-021 900721 LEVINSENIA GRACILIS                   3     43    14.33   5.03
VA90-021 900721 MACOMA TENTA                          3      2     0.67   1.15
VA90-021 900721 MACROCLYMENE ZONALIS                  3      6     2.00   3.46
VA90-021 900721 MALDANIDAE                            3     33    11.00  10.58
VA90-021 900721 MEDIOMASTUS AMBISETA                  3     89    29.67  39.27
VA90-021 900721 MELINNA                               3     13     4.33   3.79
VA90-021 900721 MELINNA MACULATA                      3      1     0.33   0.58
VA90-021 900721 MUCROGAMMARUS MUCRONATUS              3      1     0.33   0.58
VA90-021 900721 MULINIA LATERALIS                     3     32    10.67   9.71
VA90-021 900721 NASSARIUS TRIVITTATUS                 3     35    11.67   3.79
VA90-021 900721 NATICA PUSILLA                        3      3     1.00   1.73
VA90-021 900721 NEMERTINEA                            3     35    11.67   2.08
VA90-021 900721 NEPHTYIDAE                            3     52    17.33   2.08
VA90-021 900721 NEPHTYS INCISA                        3     26     8.67   3.51
VA90-021 900721 NUCULA ANNULATA                       3    411   137.00  70.49
VA90-021 900721 ODOSTOMIA SPP.                        3     12     4.00   3.46
VA90-021 900721 OLIGOCHAETA                           3      1     0.33   0.58
VA90-021 900721 PANDORA                               3      6     2.00   2.65
VA90-021 900721 PANDORA GOULDIANA                     3      7     2.33   4.04
VA90-021 900721 PECTINARIA GOULDII                    3      1     0.33   0.58
VA90-021 900721 PHERUSA                               3      2     0.67   1.15
VA90-021 900721 PHERUSA AFFINIS                       3     27     9.00   2.65
VA90-021 900721 PHORONIS SPP.                         3      3     1.00   1.00
VA90-021 900721 PINNIXA SPP.                          3      2     0.67   0.58
VA90-021 900721 PITAR MORRHUANUS                      3     32    10.67  11.72
VA90-021 900721 POLYCIRRUS SPP.                       3      1     0.33   0.58
VA90-021 900721 PRIONOSPIO STEENSTRUPI                3      2     0.67   0.58
VA90-021 900721 PYRAMIDELLIDAE                        3      7     2.33   4.04
VA90-021 900721 SCOLELEPIS BOUSFIELDI                 3      3     1.00   1.73
VA90-021 900721 SIGAMBRA TENTACULATA                  3      6     2.00   1.73
VA90-021 900721 SIPUNCULA                             3      7     2.33   4.04
VA90-021 900721 SPIOCHAETOPTERUS COSTARUM             3      5     1.67   2.08
VA90-021 900721 THARYX SP. A MORRIS                   3      3     1.00   1.00
VA90-021 900721 TURBONILLA SPP.                       3     39    13.00   7.21
VA90-021 900721 YOLDIA LIMATULA                       3     29     9.67   2.08
VA90-022 900723 ACTEOCINA CANALICULATA                3     37    12.33   5.51
VA90-022 900723 ACTEOCINA ORYZA                       3      2     0.67   1.15
VA90-022 900723 AMPELISCA SPP.                        3     11     3.67   4.73
VA90-022 900723 AMPHARETE ARCTICA                     3      2     0.67   1.15
VA90-022 900723 AMPHARETIDAE                          3      4     1.33   2.31
VA90-022 900723 ANCISTROSYLLIS HARTMANAE              3      1     0.33   0.58
VA90-022 900723 ANTHOZOA                              3      1     0.33   0.58
VA90-022 900723 CARIDEA                               3      1     0.33   0.58
VA90-022 900723 CERIANTHEOPSIS AMERICANUS             3     10     3.33   2.52
VA90-022 900723 CIRRATULIDAE                          3      2     0.67   1.15
VA90-022 900723 COSSURA SOYERI                        3     35    11.67   6.66
VA90-022 900723 CRANGON SEPTEMSPINOSA                 3      2     0.67   1.15
VA90-022 900723 EPITONIUM RUPICOLA                    3      3     1.00   1.73
VA90-022 900723 FLABELLIGERIDAE                       3      1     0.33   0.58
VA90-022 900723 LEVINSENIA GRACILIS                   3      8     2.67   2.31
VA90-022 900723 MACOMA TENTA                          3     13     4.33   4.04
VA90-022 900723 MEDIOMASTUS AMBISETA                  3     90    30.00   8.66
VA90-022 900723 MELINNA                               3      2     0.67   1.15
VA90-022 900723 MELINNA MACULATA                      3      9     3.00   3.00
VA90-022 900723 MULINIA LATERALIS                     3      4     1.33   2.31
VA90-022 900723 NASSARIUS TRIVITTATUS                 3     14     4.67   7.23
VA90-022 900723 NEMERTINEA                            3     44    14.67   1.15
VA90-022 900723 NEPHTYIDAE                            3     31    10.33   6.51
VA90-022 900723 NEPHTYS INCISA                        3     49    16.33   6.11
VA90-022 900723 NUCULA ANNULATA                       3    968   322.67  78.01
VA90-022 900723 ODOSTOMIA SPP.                        3      2     0.67   1.15
VA90-022 900723 OLIGOCHAETA                           3     25     8.33   2.89
VA90-022 900723 OXYUROSTYLIS SMITHI                   3      2     0.67   0.58
