-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    NCEP_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
RIOP        49718.000    1995     1     1     0
RIOP        52274.750    2001    12    31    18
RIOP      1255144.990 -6253609.537  -182569.867
RIOP           -1.651      -78.651     2817.277
RIOP     NORTH_Offset  EAST_Offset    UP_Offset
49718.00     0.261231    -0.255078     0.837440
49718.25     0.149370    -0.159479    -0.131208
49718.50     0.526659     0.050256     0.073820
49718.75     0.507946    -0.235696     0.348596
49719.00     0.735610    -0.231879     1.234915
49719.25     0.589172    -0.013366    -0.197359
49719.50     0.546587     0.160360     0.176854
49719.75     0.259983    -0.061935     0.353356
49720.00     0.298928    -0.135661     0.866809
49720.25    -0.083279     0.019593    -0.574142
49720.50    -0.017045     0.207928    -0.310588
49720.75    -0.053810    -0.026302    -0.376866
49721.00     0.145339    -0.195842     0.491183
49721.25     0.031853    -0.051929    -1.073289
49721.50     0.536549     0.069628    -1.175343
49721.75     0.752375    -0.178658    -1.148783
49722.00     1.192567    -0.338016    -0.814474
49722.25     1.184112    -0.176086    -2.562239
49722.50     1.718069    -0.072145    -2.258199
49722.75     1.804988    -0.414050    -1.621416
49723.00     2.028542    -0.467925    -1.278444
49723.25     1.869965    -0.277353    -2.606446
49723.50     1.847215    -0.115077    -2.138419
49723.75     1.461372    -0.345017    -2.098046
49724.00     1.325656    -0.589725    -1.015444
49724.25     0.869573    -0.485874    -2.232584
49724.50     0.606505    -0.387720    -1.929260
49724.75     0.437019    -0.617872    -1.744920
49725.00     0.234589    -0.770363    -0.438209
49725.25    -0.404951    -0.515954    -1.869909
49725.50    -0.307851    -0.385691    -0.985266
49725.75    -0.420127    -0.536492    -0.755972
49726.00    -0.156803    -0.613846     0.193106
49726.25    -0.414485    -0.357657    -0.973579
49726.50    -0.282504    -0.170981    -0.587988
49726.75    -0.477619    -0.357459    -0.176937
49727.00    -0.178548    -0.560210     0.834102
49727.25    -0.394681    -0.189088    -1.164512
49727.50    -0.151982    -0.035551    -0.759334
49727.75    -0.168555    -0.245807    -0.621876
49728.00     0.199836    -0.389257     0.141035
49728.25     0.085535    -0.230881    -0.928459
49728.50     0.418429    -0.076017    -0.372887
49728.75     0.299165    -0.301380    -0.026166
49729.00     0.385775    -0.465248     0.849290
49729.25    -0.109690    -0.327694    -0.162973
49729.50    -0.028605    -0.068935    -0.166904
49729.75    -0.368752    -0.319142     0.139326
49730.00    -0.546262    -0.357508     0.611140
49730.25    -1.084613    -0.185622    -0.435591
49730.50    -1.094271     0.052692    -0.448311
49730.75    -1.365929    -0.172529    -0.242529
49731.00    -1.489156    -0.359334     0.751186
49731.25    -1.788502    -0.211465    -0.645141
49731.50    -1.756126    -0.020287    -0.504570
49731.75    -1.989243    -0.317705    -0.290005
49732.00    -1.804514    -0.411172     0.236506
49732.25    -2.076089    -0.276320    -1.332086
49732.50    -1.937400    -0.171890    -1.325308
49732.75    -1.864043    -0.440964    -1.174649
49733.00    -1.726741    -0.569994    -0.119964
49733.25    -2.198057    -0.446145    -0.831638
49733.50    -2.043722    -0.275842    -0.961475
49733.75    -2.042915    -0.470180    -0.440986
49734.00    -2.005576    -0.604839     0.124572
49734.25    -2.108214    -0.414788    -1.360267
49734.50    -1.832442    -0.231763    -1.190380
49734.75    -1.793580    -0.362672    -1.035881
49735.00    -1.630501    -0.580865     0.386360
49735.25    -1.719384    -0.312338    -1.399246
49735.50    -1.688312    -0.157479    -1.119270
49735.75    -1.781714    -0.356236    -0.307269
49736.00    -1.629676    -0.455111     0.506657
49736.25    -1.840115    -0.240082    -1.023071
49736.50    -1.846970    -0.104450    -0.445258
49736.75    -2.089675    -0.239538    -0.551941
49737.00    -2.038384    -0.410287     1.147062
49737.25    -2.413017    -0.124957    -0.536773
49737.50    -2.428470     0.101738    -0.712366
49737.75    -2.574824    -0.166297    -0.071400
49738.00    -2.339751    -0.398019     1.060221
49738.25    -2.374058    -0.198001    -0.356157
