st,cty,reg,div,name,popestimate2001,popestimate2002,npopchg_2002,ppopchg_2002,srank_popest2002,srank_popest2001,srank_npchg2002,srank_ppchg2002
01,000,3,6,Alabama,4466440,4478896,12456,0.2788798238,,,,
01,001,3,6,Autauga County,44719,45616,897,2.0058588072,27,28,7,4
01,003,3,6,Baldwin County,144950,148288,3338,2.3028630562,7,7,3,2
01,005,3,6,Barbour County,28967,28971,4,0.0138088169,39,39,27,27
01,007,3,6,Bibb County,21051,21025,-26,-0.123509572,48,49,30,33
01,009,3,6,Blount County,52164,53036,872,1.671650947,24,24,8,6
01,011,3,6,Bullock County,11414,11325,-89,-0.779744174,66,66,41,53
01,013,3,6,Butler County,21145,20807,-338,-1.59848664,50,48,59,64
01,015,3,6,Calhoun County,111160,111387,227,0.2042101475,10,10,15,20
01,017,3,6,Chambers County,36411,36116,-295,-0.810194721,34,34,56,54
01,019,3,6,Cherokee County,24139,24318,179,0.741538589,43,43,17,14
01,021,3,6,Chilton County,40022,40445,423,1.0569186947,31,31,13,10
01,023,3,6,Choctaw County,15723,15464,-259,-1.647268333,55,55,54,65
01,025,3,6,Clarke County,27735,27552,-183,-0.659816117,40,40,49,52
01,027,3,6,Clay County,14256,14217,-39,-0.273569024,59,59,33,39
01,029,3,6,Cleburne County,14293,14560,267,1.8680472959,57,58,14,5
01,031,3,6,Coffee County,43573,44023,450,1.0327496385,29,29,12,11
01,033,3,6,Colbert County,54906,54616,-290,-0.528175427,22,22,55,51
01,035,3,6,Conecuh County,13929,13747,-182,-1.306626463,60,60,48,60
01,037,3,6,Coosa County,11821,11591,-230,-1.945689874,65,64,53,66
01,039,3,6,Covington County,37118,36981,-137,-0.369093162,33,33,46,44
01,041,3,6,Crenshaw County,13715,13582,-133,-0.969741159,61,61,45,56
01,043,3,6,Cullman County,77676,77897,221,0.2845151656,16,16,16,19
01,045,3,6,Dale County,49199,49299,100,0.2032561637,25,26,18,21
01,047,3,6,Dallas County,46037,45335,-702,-1.524860438,28,27,65,62
01,049,3,6,DeKalb County,65653,65703,50,0.0761579821,21,21,23,23
01,051,3,6,Elmore County,67663,69122,1459,2.1562744779,18,18,4,3
01,053,3,6,Escambia County,38519,38475,-44,-0.114229341,32,32,34,32
01,055,3,6,Etowah County,102930,102842,-88,-0.085494997,11,11,40,30
01,057,3,6,Fayette County,18414,18318,-96,-0.521342457,51,51,42,50
01,059,3,6,Franklin County,31159,30848,-311,-0.998106486,36,36,57,57
01,061,3,6,Geneva County,25535,25475,-60,-0.234971608,41,41,36,35
01,063,3,6,Greene County,9956,9912,-44,-0.441944556,67,67,34,48
01,065,3,6,Hale County,18330,18253,-77,-0.420076378,52,52,39,47
01,067,3,6,Henry County,16311,16333,22,0.134878303,54,54,26,22
01,069,3,6,Houston County,89490,90054,564,0.6302380154,12,12,11,15
01,071,3,6,Jackson County,54030,53843,-187,-0.346104016,23,23,50,43
01,073,3,6,Jefferson County,660801,658776,-2025,-0.306446267,1,1,67,41
01,075,3,6,Lamar County,15603,15393,-210,-1.34589502,56,56,52,61
01,077,3,6,Lauderdale County,87431,87064,-367,-0.419759582,13,13,62,46
01,079,3,6,Lawrence County,34869,34754,-115,-0.329805845,35,35,44,42
01,081,3,6,Lee County,116696,117972,1276,1.0934393638,8,8,5,9
01,083,3,6,Limestone County,66930,67532,602,0.8994471836,19,19,10,13
01,085,3,6,Lowndes County,13426,13475,49,0.3649635036,62,62,24,18
01,087,3,6,Macon County,24044,23667,-377,-1.567958742,45,45,63,63
01,089,3,6,Madison County,280812,285483,4671,1.6633904534,3,3,1,7
01,091,3,6,Marengo County,22307,22400,93,0.4169094903,47,47,19,17
01,093,3,6,Marion County,30672,30321,-351,-1.144366197,37,37,61,59
01,095,3,6,Marshall County,82333,83182,849,1.0311782639,14,14,9,12
01,097,3,6,Mobile County,400408,399350,-1058,-0.264230485,2,2,66,38
01,099,3,6,Monroe County,24073,23961,-112,-0.465251527,44,44,43,49
01,101,3,6,Montgomery County,222726,222819,93,0.0417553406,4,4,19,25
01,103,3,6,Morgan County,111579,111610,31,0.0277830058,9,9,25,26
01,105,3,6,Perry County,11763,11729,-34,-0.289041911,64,65,31,40
01,107,3,6,Pickens County,20867,20848,-19,-0.091052859,49,50,29,31
01,109,3,6,Pike County,29546,29208,-338,-1.14397888,38,38,59,58
01,111,3,6,Randolph County,22525,22508,-17,-0.075471698,46,46,28,28
01,113,3,6,Russell County,49472,49268,-204,-0.412354463,26,25,51,45
01,115,3,6,St. Clair County,66245,67318,1073,1.6197448864,20,20,6,8
01,117,3,6,Shelby County,149128,153733,4605,3.0879512902,6,6,2,1
01,119,3,6,Sumter County,14593,14264,-329,-2.254505585,58,57,58,67
01,121,3,6,Talladega County,80297,80229,-68,-0.084685605,15,15,38,29
01,123,3,6,Tallapoosa County,41412,41031,-381,-0.920023182,30,30,64,55
01,125,3,6,Tuscaloosa County,165443,165518,75,0.0453328337,5,5,21,24
01,127,3,6,Walker County,70728,70549,-179,-0.253082231,17,17,47,36
01,129,3,6,Washington County,17924,17890,-34,-0.189689801,53,53,31,34
01,131,3,6,Wilcox County,12969,13026,57,0.4395095998,63,63,22,16
01,133,3,6,Winston County,24705,24642,-63,-0.255009107,42,42,37,37
