King Edward Pt  (UK)          ID: 211   Lat: -54.52  Lon:  -36.50  Alt:    2
ADEOS TOMS V.7 Archive Overpass.  Generated: 20-December-2000                   
  MJD   Year Day sec-UT SCN  LAT     LON  DIS  PT  SZA  OZONE   REF   A.I.   SOI
#
50337.5 1996 255 43114  26 -54.43  -36.62  13  98 65.97 348.0  74.1  -0.80    2
50338.5 1996 256 41516  32 -54.62  -36.40  13  98 68.29 313.2  31.7  -0.60   -4
50339.5 1996 257 45897  10 -54.55  -36.40   7  98 61.46 299.5  72.8  -0.40    3
50340.5 1996 258 44287  19 -54.61  -36.45  11  98 63.16 303.3  75.2  -0.80    2
50341.5 1996 259 42682  28 -54.65  -36.72  20  99 65.32 350.2  49.3  -0.90   -3
50342.5 1996 260 41078  33 -54.51  -35.98  34  99 67.28 231.5  46.9   0.90    4
50345.5 1996 263 42244  30 -54.49  -36.84  22  98 64.41 224.7  53.2  -0.30   -2
50346.5 1996 264 46632   7 -54.44  -36.41  11  98 57.81 248.6  73.3  -0.20    1
50347.5 1996 265 45021  15 -54.59  -36.70  15  99 59.48 305.0  42.7  -0.50   -2
50348.5 1996 266 43410  24 -54.55  -36.33  11  98 61.19 359.1  62.2  -0.50    0
50349.5 1996 267 41806  31 -54.48  -36.18  21  99 63.32 348.0  57.4  -0.10    3
50354.5 1996 272 45754  11 -54.53  -36.65  10  98 55.72 278.0  29.0  -0.10   -1
50355.5 1996 273 44143  20 -54.50  -36.47   3  98 57.36 297.4  41.6   0.00   -6
50356.5 1996 274 42539  28 -54.63  -36.09  29  98 59.42 301.8  73.6  -0.30    1
50357.5 1996 275 46932   6 -54.56  -36.46   5  98 53.26 377.3  48.9  -0.90   -1
50358.5 1996 276 45315  13 -54.45  -36.38  11  98 54.53 384.6  53.2  -0.50    0
50359.5 1996 277 43704  23 -54.31  -36.66  26  97 56.37 354.7  80.4  -0.40    4
50360.5 1996 278 42106  30 -54.68  -36.38  19  98 58.76 284.6  50.4  -0.80   -1
50361.5 1996 279 46494   8 -54.56  -36.93  28  99 52.24 287.9  54.3  -0.20    2
50362.5 1996 280 44877  16 -54.36  -36.70  22  97 53.57 298.9  50.0   0.00    0
50363.5 1996 281 43273  25 -54.59  -36.53   8  98 55.67 325.5  63.0  -0.10    0
50364.5 1996 282 41668  32 -54.33  -36.78  28  97 57.97 385.6  67.6   0.00    2
50365.5 1996 283 46056   9 -54.66  -36.13  28  98 51.04 385.0  38.9  -0.40    3
50366.4 1996 284 38491  37 -55.15  -35.71  86 100 63.47 357.4  58.7   0.10   -2
50370.5 1996 288 44007  21 -54.59  -36.63  11  99 51.96 377.3  57.2  -0.60    0
50371.5 1996 289 42403  29 -54.65  -36.51  14  98 54.20 357.9  64.4  -0.40   -1
50372.5 1996 290 46790   7 -54.36  -37.01  37  98 47.58 360.2  30.2   0.40    7
50373.5 1996 291 45180  14 -54.60  -36.61  11  99 49.21 346.7  64.4  -0.40    1
50374.5 1996 292 43569  23 -54.56  -36.22  19  98 51.02 319.0  62.3   0.10    4
50375.5 1996 293 41964  31 -54.32  -36.70  26  97 53.45 178.2  53.3   0.50   -1
50376.5 1996 294 40372  35 -54.55  -36.88  25  99 56.41 243.6  24.7  -0.40   -7
50381.6 1996 299 50339   1 -54.60  -40.83 279 100 42.65 332.2  59.2  -0.60    0
50382.5 1996 300 42698  28 -54.56  -36.69  13  99 49.98 348.2  77.4  -0.70   -1
50383.5 1996 301 41100  33 -54.75  -36.25  30  96 52.55 347.3  64.9  -0.40   -1
50384.5 1996 302 45475  12 -54.53  -36.27  15  98 44.90 371.9  41.5  -0.10    0
50385.5 1996 303 43865  22 -54.46  -36.66  12  98 46.99 391.3  63.2  -0.30    1
50386.5 1996 304 42259  30 -54.34  -36.76  26  97 49.43 379.0  61.2  -0.20    1
50387.5 1996 305 46653   7 -54.66  -36.49  16  98 42.73 336.0  35.7  -0.50    1
50388.5 1996 306 45037  15 -54.55  -36.71  14  98 44.40 323.0  52.9  -0.50   -3
50389.5 1996 307 43427  24 -54.48  -36.32  12  98 46.40 327.5  48.6   0.00    0
50390.5 1996 308 41828  31 -54.68  -36.39  19  98 49.15 335.3  51.7  -0.10   -2
50391.5 1996 309 46209   9 -54.40  -36.67  17  98 41.84 366.8  36.1   0.10    7
50392.5 1996 310 44600  17 -54.63  -36.33  16  98 43.82 354.9  43.3  -0.40    1
50393.5 1996 311 42994  26 -54.76  -36.27  31  97 46.23 378.8  27.0  -0.30  -10
50394.5 1996 312 47388   5 -54.51  -36.95  29  99 39.88 349.5  18.6   0.30    7
50395.5 1996 313 45771  11 -54.52  -36.67  11  98 41.38 375.3  55.0  -0.10    6
50396.5 1996 314 44161  20 -54.57  -36.54   6  98 43.48 372.3  69.6  -0.50    0
50397.5 1996 315 42556  28 -54.71  -36.19  29  97 45.94 321.9  53.7   0.60    4
50398.5 1996 316 46944   6 -54.35  -36.42  20  99 38.98 298.2  51.9  -0.20    3
50399.5 1996 317 45334  13 -54.64  -36.49  13  98 41.00 309.8  77.0  -0.90   -1
50400.5 1996 318 43723  23 -54.54  -36.83  21  99 43.34 241.5  18.6  -0.50   -6
50401.5 1996 319 42118  30 -54.53  -36.30  13  98 45.81 261.4  71.2   0.30    4
