Natal, Brazil                 ID: 219   Lat:  -5.42  Lon:  -35.38  Alt:   42
Meteor-3 TOMS V.8 Overpass - Generated: 050328                                  
  MJD   Year Day sec-UT SCN  LAT     LON  DIS  PT  SZA  OZONE   REF   A.I.   SOI
#
48490.5 1991 234 44277  24  -5.29  -35.17  27 100 35.63 251.3  32.9   0.77  -11
48491.5 1991 235 43212  28  -5.41  -35.37   2 100 39.60 247.4  20.5   0.10   -7
48492.5 1991 236 42147  31  -5.52  -35.63  30  99 43.73 245.3  28.6   0.65    1
48493.5 1991 237 41090  33  -5.22  -35.68  40 100 47.58 248.5  24.8   1.27    2
48494.5 1991 238 46649   3  -5.47  -35.93  61  99 27.12 264.6  39.8  -0.51    6
48495.5 1991 239 45593   5  -5.27  -35.98  68  99 30.48 262.7  22.0  -0.46   -1
48496.5 1991 240 44528   7  -5.55  -35.35  15 100 33.72 258.6  18.7  -0.12   -8
48497.5 1991 241 43471  10  -5.35  -35.06  36 100 37.13 262.3  39.4   0.27   -4
48498.5 1991 242 42406  15  -5.48  -35.55  20 100 41.55 252.4  17.2  -0.10   -8
48499.5 1991 243 41349  19  -5.27  -35.11  34 100 45.02 260.8  26.4   0.06    3
48500.5 1991 244 40285  24  -5.39  -35.40   4 100 49.38 252.2  16.6   0.41   -5
48501.5 1991 245 39220  28  -5.50  -35.62  28  99 53.73 251.4  26.3   1.02   -7
48554.8 1991 298 65557  33  -5.56  -35.13  32 100 61.52 252.1  32.6   1.74 -999
48555.7 1991 299 64492  31  -5.55  -35.18  26 100 57.17 258.3  27.0   0.81    5
48556.7 1991 300 63428  28  -5.53  -35.42  13 100 52.64 250.2  21.3   0.68   -3
48557.7 1991 301 62363  24  -5.48  -35.62  27  99 48.19 261.3  15.7   0.24   -2
48558.7 1991 302 61298  20  -5.33  -35.32  12 100 44.26 271.4  48.3   0.58   -2
48559.7 1991 303 60234  15  -5.32  -35.45  14 100 39.91 267.6  22.9  -0.15   -3
48560.7 1991 304 59177  11  -5.63  -35.20  31 100 35.91 266.3  19.0  -0.18   -6
48561.7 1991 305 58112   7  -5.58  -35.59  29  99 31.40 268.4  20.9  -0.47   -5
48562.7 1991 306 57048   5  -5.41  -34.94  49 100 28.01 273.5  24.2   0.28    3
48563.6 1991 307 55983   3  -5.32  -34.97  47 100 24.06 264.6  17.4   0.05    2
48564.7 1991 308 61558  33  -5.46  -35.38   4 100 45.49 245.4  17.7   0.55   -3
48565.7 1991 309 60494  31  -5.47  -35.42   7 100 41.26 252.8  18.7   0.50    1
48566.7 1991 310 59429  28  -5.49  -35.64  30  99 36.90 256.4  16.2   0.49   -5
48567.7 1991 311 58364  25  -5.37  -35.17  24 100 33.30 244.2  15.5   0.41  -12
48568.7 1991 312 57300  20  -5.36  -35.52  17 100 29.00 258.2  17.9  -0.35    0
48569.7 1991 313 56235  15  -5.29  -35.64  32 100 25.08 258.6  15.1   0.51  -11
48570.6 1991 314 55178  11  -5.60  -35.39  20 100 21.50 262.6  15.8  -0.07   -8
48571.6 1991 315 54114   7  -5.56  -35.79  48  99 17.86 263.4  22.0   0.20   -4
48572.6 1991 316 53049   5  -5.38  -35.15  26 100 15.62 265.1  18.9  -0.18    2
48573.6 1991 317 51985   3  -5.36  -35.23  18 100 13.60 261.7  18.4   0.04    1
48574.7 1991 318 57560  33  -5.47  -35.48  12 100 30.40 266.2  32.3   0.44    4
48575.7 1991 319 56495  31  -5.50  -35.53  19 100 26.55 267.0  26.5  -0.03    5
