

"tblid","profln","totcest","totcme","cest","cme"
" ","           0"," "," "," "," "
" ","           1"," "," "," "," "
"S0201","           1","1,214,255","*****","            74,211","             +/-5,253"
" ","           2"," "," "," "," "
"S0201","           2","     49.2","               +/-0.1","              51.9","               +/-2.2"
"S0201","           3","     50.8","               +/-0.1","              48.1","               +/-2.2"
" ","           3"," "," "," "," "
"S0201","           4","      6.2","               +/-0.1","               7.0","               +/-1.2"
"S0201","           5","     18.1","               +/-0.1","              23.2","               +/-2.3"
"S0201","           6","      8.0","               +/-0.1","              11.5","               +/-1.9"
"S0201","           7","     10.7","               +/-0.1","               9.2","               +/-1.4"
"S0201","           8","     16.2","               +/-0.1","              14.4","               +/-1.5"
"S0201","           9","     16.8","               +/-0.1","              17.6","               +/-1.9"
"S0201","          10","     12.2","               +/-0.1","               9.4","               +/-1.5"
"S0201","          11","      6.0","               +/-0.1","               3.5","               +/-0.8"
"S0201","          12","      5.8","               +/-0.1","               4.4","               +/-1.1"
" ","          12"," "," "," "," "
"S0201","          13","     39.4","               +/-0.2","              34.0","               +/-2.3"
" ","          13"," "," "," "," "
"S0201","          14","     75.7","*****","              69.8","               +/-2.4"
"S0201","          15","     72.2","               +/-0.1","              64.7","               +/-2.6"
"S0201","          16","     14.7","               +/-0.2","              10.1","               +/-1.8"
"S0201","          17","     11.7","               +/-0.1","               7.8","               +/-1.5"
" ","          17"," "," "," "," "
"S0201","          18","  295,388","*****","            22,444","             +/-2,814"
"S0201","          19","     51.3","               +/-0.2","              56.9","               +/-4.8"
"S0201","          20","     48.7","               +/-0.2","              43.1","               +/-4.8"
" ","          20"," "," "," "," "
"S0201","          21","  918,867","*****","            51,767","             +/-3,395"
"S0201","          22","     48.6","               +/-0.1","              49.8","               +/-2.8"
"S0201","          23","     51.4","               +/-0.1","              50.2","               +/-2.8"
" ","          23"," "," "," "," "
"S0201","          24","  227,251","               +/-228","            15,340","             +/-2,039"
"S0201","          25","     51.0","               +/-0.1","              49.6","               +/-6.3"
"S0201","          26","     49.0","               +/-0.1","              50.4","               +/-6.3"
" ","          26"," "," "," "," "
"S0201","          27","  549,073","               +/-316","            30,621","             +/-2,475"
"S0201","          28","     49.3","               +/-0.1","              50.2","               +/-3.3"
"S0201","          29","     50.7","               +/-0.1","              49.8","               +/-3.3"
" ","          29"," "," "," "," "
"S0201","          30","  142,543","               +/-210","             5,806","             +/-1,036"
"S0201","          31","     42.2","               +/-0.1","              48.0","               +/-8.2"
"S0201","          32","     57.8","               +/-0.1","              52.0","               +/-8.2"
" ","          32"," "," "," "," "
" ","          33"," "," "," "," "
"S0201","          33","1,201,914","               +/-599","            73,599","             +/-5,202"
"S0201","          34","     60.6","               +/-0.7","              54.9","               +/-2.3"
"S0201","          35","     31.2","               +/-0.4","              40.5","               +/-2.3"
