Dataset:              EMAP Lake Watershed Characteristics
File Name:            watchar
Date Created:         10/16/98
# Variables:          41
# Header Records:     51
# Data Records:       365
Missing Value Symbol: .

Variables:    AG_TOT           % watershed agricultural/range
              AREA_WS          Area of watershed (ha) excluding sampled lake
              AV_DEP           Est. Mean depth (m) 
              BAR_TOT          % watershed barren land
              COM_STRS         Comments on data peculiarities          
              DISTOT           % watershed human disturbed land
              DOMECO           Dominant ecoregion in watershed(level 3)
              DOMLAB           Name of dominant ecoregion(level 3)
              ECOREG4          Level 4 ecoregion classification
              ELEV             Lake elevation (m) from map
              FOR_TOT          % watershed - forest
              H2O_TOT2         % watershed in H2O excluding sample lake
              HI_PT            High point of watershed (m)            
              HOUDENKM         Housing unit density (housing/sq km)
              HOUSINGU         Est. # housing units in watershed
              HYDSHRDV         Hydrologic shoreline development
              KM_SEA           Distance from ocean (km) 
              LAKENAME         Lake Name
              LAKE_ID          Lake Identification Code
              LAT_DD           Lake Latitude (decimal degrees)
              LKVOL2M3         Est. lake volume (m**3) 
              LK_HA            Lake surface area (ha) 
              LON_DD           Lake Longitude (decimal degrees)
              LTROFF_M         Long term average annual runoff (m) 
              MAPSCDIG         Denominator of map scale used to digitize 
              MINE_TOT         %watershed-strip mine/quarrie/gravel pit
              NONRES           % watershed non-res. urban land
              POPDENKM         Population density (persons/sq km
              POPEST           Est. Human population in watershed
              PRECIP_M         Long term precipitation average (m)
              RD_DEN           Road density (m/ha) (TOT_RD / AREA_WS)
              RETENT           Est. water retention time for lakes (yrs) 
              SAMPLED          Field sampled (Yes/No)
              SAMPLK           % watershed occupied by sampled lake
              SHR_LTH          Length of shoreline including islands 
              SLOPE            Est. slope of the watershed (%/100)
                                (HI_PT/watershed length) 
              STUDY            EMAP/REMAP/TIME
              TOT_RD           Meters of road in watershed
              URB_TOT          %wshed urban (including mines/quarries)
              WETL_TOT         % watershed wetlands
              YEAR             Sample Year

"AG_TOT","AREA_WS","AV_DEP","BAR_TOT","COM_STRS","DISTOT","DOMECO","DOMLAB","ECOREG4","ELEV","FOR_TOT","H2O_TOT2","HI_PT","HOUDENKM","HOUSINGU","HYDSHRDV","KM_SEA","LAKENAME","LAKE_ID","LAT_DD","LKVOL2M3","LK_HA","LON_DD","LTROFF_M","MAPSCDIG","MINE_TOT","NONRES","POPDENKM","POPEST","PRECIP_M","RD_DEN","RETENT","SAMPLED","SAMPLK","SHR_LTH","SLOPE","STUDY","TOT_RD","URB_TOT","WETL_TOT","YEAR" 
3.12,909.04,1.25,0,"XXXXX",9.21,592,"Northeastern Coastal Zone","592",205,86.26,1.25,366,7.269,65.774,1.902,60,"BISSONETTE POND","CT002L",41.92417,251186.4,20.05,-72.21889,0.634,24000,0,5.74,19.579,177.178,1.217,17.08,0.043,"Yes",2.16,3019.53,0.04,"EMAP",15528.57,6.09,1.12,1991 
0,166.68,3.9,0,"1992_REPEAT",0,593,"Northeastern Coastal Zone","593",92,72.86,0.87,163,8.794,14.738,2.276,16,"WYASSUP LAKE","CT004L",41.48833,1529808,39.25,-71.87278,0.7112,24000,0,0,16.289,27.296,1.153,16.73,1.045,"Yes",19.06,5054.841,0.04,"EMAP",2787.93,0,7.21,1991 
1.36,161.86,1.44,0," ",1.36,593,"Northeastern Coastal Zone","593",118,95.4,0,160,12.66,20.52,1.29,32,"CRANBERRY LAKE","CT250L",41.67667,103708.64,7.21,-72.03389,0.69,24000,0,0,33.62,54.49,1.14,26.54,0.09,"Yes",4.26,1223.99,0.03," ",4295.65,0,0,1992 
8.14,812.03,5.38,0,"NESTED_IN_CT501",17.23,593,"Northeastern Coastal Zone","593",120,74.47,0.94,184,43.71,355.83,2.64,18,"OXOBOXO LAKE","CT500L",41.4878,3471109.76,64.49,-72.2015,0.71,24000,0,3.46,119.92,976.14,1.19,25.93,0.56,"Yes",7.36,7503.94,0.01," ",21055.79,9.09,0,1993 
7.52,2356.82,2.69,0," ",18.86,593,"Northeastern Coastal Zone","593",77,75.16,4.33,184,57.94,1322.9,2.2,14,"WHEELER POND","CT501L",41.4637,1062754.88,39.49,-72.1489,0.71,24000,0.38,3.11,163.9,3742.14,1.18,25.11,0.06,"Yes",1.65,4904.92,0.02," ",59172.9,10.97,0,1993 
20.73,186.38,1.76,0,"1978_DAM_BREAK/SM.WSHED/RIV_OCC._FLOODS",65.62,591,"Northeastern Coastal Zone","591",11,29.35,3.48,123,322.45,579.77,1.31,21,"COMMUNITY LAKE","CT502L",41.4645,51838.08,2.94,-72.829,0.66,24000,0,26.48,878.27,1579.33,1.15,44.68,0.04,"Yes",1.55,793.42,0.06," ",8327.85,44.89,0,1993 
1.71,243.11,2.83,0.26," ",82.13,593,"Northeastern Coastal Zone","593",174,13.19,3.18,276,134,310.08,1.42,34,"LOWER KOHANZA LAKE","CT504L",41.4158,86610.24,3.06,-73.4789,0.59,24000,0,7.49,395.18,914.55,1.23,42.62,0.06,"Yes",1.25,880.73,0.04," ",10361,80.42,0,1993 
21.93,456.27,0.93,0,"XXXXX",22.96,593,"Northeastern Coastal Zone","593",159,70.68,0.78,235,22.41,101.93,1.33,33,"HOLBROOK POND","CT750L",41.677,250374.4,26.98,-72.3759,0.66,24000,0,0,72.64,330.45,1.22,13,0.08,"Yes",5.58,2444.53,0.03," ",5933.66,1.03,0,1994 
5.61,3051.97,1.48,0,"XXXXX",13.19,593,"Northeastern Coastal Zone","593",142,85.12,1.44,314,48.4,1436.99,3.31,37,"HANCOCK BROOK LAKE","CT751L",41.6264,108687.36,7.32,-73.0334,0.66,24000,2,2.21,141.83,4211.19,1.29,22.53,0.01,"Yes",0.24,3176.62,0.02," ",68776.08,5.58,0,1994 
0.08,129.83,0.88,0,"NESTED_IN_CT751L",34.57,593,"Northeastern Coastal Zone","593",251,58.96,0,314,159.71,206.99,1.66,39,"FALL MOUNTAIN LAKE","CT752L",41.6475,101648.48,11.53,-72.9882,0.66,24000,0,0,470.25,609.55,1.27,44.51,0.11,"Yes",8.16,1993.07,0.04," ",5778.6,34.49,0,1994 
