


1993 PUBLIC EMPLOYMENT DATA
KENTUCKY STATE GOVERNMENT

STATE POPULATION (JULY 1, 1993 EST.)   3789000

                                     Full-Time     Total
                                     Equivalent   October    Full-Time  Part-Time   Full-Time   Part-Time   Part-Time
                                     Employees    Payroll    Employees  Employees    Payroll     Payroll      Hours
TOTAL STATE OF KENTUCKY                  71725    158376994      62202      22375    142757061    15619933    1619544

              FUNCTION
Financial Administration                  2908      5451232       2837        109      5352640       98592      11718
Other Government Administration            972      2547696        893        108      2396292      151404      13074
Judicial and Legal                        3681      7608642       3088        662      6872318      736324      98428
Police Protection-Officers                 933      2551146        914         17      2508524       42622       3218
Police Protection-Other                    750      1486356        736         15      1457082       29274       2192
Correction                                5026      9588772       4940        207      9378596      210176      14218
Highways                                  5619     11702786       5498        128     11593340      109446      20190
Air Transportation                           0            0          0          0            0           0          0
Water Transport & Terminals                  0            0          0          0            0           0          0
Public Welfare                            4720      9008432       4509        234      8713940      294492      35016
Health                                    1694      4027160       1661         48      3971006       56154       5470
Hospitals                                 5937     12216142       5169        801     10818774     1397368     133043
Social Insurance Administration           1756      3739224       1671         91      3621518      117706      14044
Solid Waste Management                       0            0          0          0            0           0          0
Sewerage                                     0            0          0          0            0           0          0
Parks and Recreation                      2199      2670562       2018        180      2490944      179618      29928
Natural Resources                         3617      7279902       3084        870      6536171      743731      91098
Water Supply                                 0            0          0          0            0           0          0
Electric Power                               0            0          0          0            0           0          0
Transit                                      0            0          0          0            0           0          0
Elem & Sec School Instructional              0            0          0          0            0           0          0
Elem & Sec Sch.-Other (Sub-Total)            0            0          0          0            0           0          0
  Elem & Sec Admin-Clerical                  0            0          0          0            0           0          0
  Elem & Sec Oper & Maintenance              0            0          0          0            0           0          0
  Elem & Sec Cafeteria                       0            0          0          0            0           0          0
  Elem & Sec Bus Transportation              0            0          0          0            0           0          0
  Elem & Sec Health & Recreation             0            0          0          0            0           0          0
  Elem & Sec Student Employees               0            0          0          0            0           0          0
  Elem & Sec Unallocable                     0            0          0          0            0           0          0
Higher Educ Instructional                 7316     30067744       6059       4701     26616225     3451519     213650
Higher Education-Other                   17402     31752298      12491      12980     24610079     7142219     840593
Other Education                           4067      9504134       3744        878      8966418      537716      53674
Local Libraries                              0            0          0          0            0           0          0
State Liquor Stores                          0            0          0          0            0           0          0
Other and Unallocable                     3128      7174766       2890        346      6853194      321572      39990
