-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :     NCEP_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
VIC1        49718.000    1995     1     1     0
VIC1        52274.750    2001    12    31    18
VIC1       -86596.184 -5393806.190  3391546.690
VIC1           32.331      -90.920        9.644
VIC1     NORTH_Offset  EAST_Offset    UP_Offset
49718.00     0.442049    -0.033050    -2.287058
49718.25     0.415949    -0.261818    -2.722474
49718.50     0.377632    -0.407765    -2.694526
49718.75     0.389461    -0.691894    -4.298005
49719.00     0.404996    -0.640787    -4.515752
49719.25     0.368398    -0.660971    -5.576486
49719.50     0.421265    -0.524003    -5.633785
49719.75     0.375544    -0.492078    -6.258193
49720.00     0.406616    -0.281980    -4.895783
49720.25     0.437352    -0.278276    -4.825575
49720.50     0.450665    -0.273468    -4.673563
49720.75     0.463957    -0.397401    -5.324134
49721.00     0.505790    -0.375073    -5.004900
49721.25     0.510398    -0.453125    -5.498743
49721.50     0.439365    -0.478651    -5.591080
49721.75     0.352641    -0.514132    -6.924415
49722.00     0.166108    -0.341972    -6.639606
49722.25    -0.008452    -0.165698    -6.785705
49722.50    -0.200322     0.031727    -5.763245
49722.75    -0.394560     0.248818    -4.666943
49723.00    -0.560668     0.450328    -1.798742
49723.25    -0.686505     0.529471     0.538177
49723.50    -0.759028     0.560211     3.636594
49723.75    -1.011583     0.188443     5.405123
49724.00    -0.924295    -0.225987     5.324691
49724.25    -0.805324    -0.565646     2.732546
49724.50    -0.677433    -0.523979     1.104837
49724.75    -0.612285    -0.504368    -1.437879
49725.00    -0.489324    -0.213286    -1.206916
49725.25    -0.384399    -0.144770    -2.426386
49725.50    -0.314914     0.014932    -2.120842
49725.75    -0.225459    -0.033838    -3.025229
49726.00    -0.114422    -0.008432    -1.810257
49726.25     0.012286    -0.154999    -2.423445
49726.50     0.110006    -0.079076    -2.428342
49726.75     0.208448    -0.094030    -3.566858
49727.00     0.245483     0.162312    -2.332587
49727.25     0.171782     0.241483    -2.647544
49727.50     0.098679     0.414004    -2.071375
49727.75    -0.034541     0.451859    -1.885390
49728.00    -0.064430     0.595213    -0.162356
49728.25    -0.214645     0.618313    -0.257109
49728.50    -0.295612     0.644782     0.733521
49728.75    -0.437710     0.615022     0.606097
49729.00    -0.411617     0.665102     1.973994
49729.25    -0.437670     0.551303     1.380936
49729.50    -0.368007     0.547096     1.880186
49729.75    -0.310229     0.436109     1.540968
49730.00    -0.171529     0.472256     2.927880
49730.25    -0.064883     0.444733     3.406930
49730.50    -0.008648     0.429953     5.126730
49730.75    -0.080641     0.258468     5.113243
49731.00     0.000369     0.150844     5.729180
49731.25    -0.078577    -0.001116     5.614706
49731.50    -0.067516    -0.058214     6.295645
49731.75    -0.069454    -0.222951     5.051197
49732.00    -0.047785    -0.137035     5.093152
49732.25    -0.129857    -0.258416     3.887033
49732.50    -0.164036    -0.256027     3.845020
49732.75    -0.212395    -0.235767     1.932048
49733.00    -0.166213    -0.012931     2.389731
49733.25    -0.101816     0.094711     1.633381
49733.50    -0.075153     0.271568     1.910596
49733.75    -0.050436     0.373655     0.837216
49734.00    -0.041785     0.514465     2.211706
49734.25    -0.073379     0.450550     2.087220
49734.50    -0.085635     0.487756     2.173776
49734.75    -0.073602     0.372340     0.923059
49735.00     0.010386     0.409288     1.865612
49735.25     0.109374     0.373589     1.690466
49735.50     0.176282     0.398205     2.512080
49735.75     0.177521     0.333930     2.193288
49736.00     0.007911     0.198272     3.734278
49736.25    -0.220979    -0.258663     3.450191
49736.50    -0.274905    -0.522251     2.855984
49736.75    -0.279419    -0.642345     1.107728
49737.00    -0.157809    -0.572917     1.661948
49737.25    -0.124097    -0.730752     1.118995
49737.50    -0.063483    -0.718353     1.160780
49737.75    -0.010509    -0.747409     0.017250
49738.00     0.059576    -0.546291     0.980707
49738.25     0.002252    -0.560379     0.429752
49738.50     0.005477    -0.519368     0.625216
49738.75    -0.015401    -0.515538    -0.471641
49739.00     0.054383    -0.320875     0.303906
49739.25     0.068303    -0.241647    -0.291816
49739.50     0.146638    -0.142267     0.062801
49739.75     0.193143    -0.177506    -0.762694
49740.00     0.277819    -0.157086     0.569225
49740.25     0.290376    -0.429190    -0.041425
49740.50     0.193132    -0.540646    -0.756947
49740.75     0.080945    -0.591255    -2.023377
49741.00     0.212546    -0.399484    -2.221334
49741.25     0.192354    -0.328217    -3.136117
49741.50     0.192541    -0.208701    -3.263733
49741.75     0.281208    -0.221946    -4.657933
49742.00     0.313454    -0.109982    -3.804156
49742.25     0.287173    -0.084807    -4.168713
49742.50     0.303220    -0.038471    -3.841864
49742.75     0.269680    -0.108565    -4.384984
49743.00     0.239964    -0.032384    -3.023599
49743.25     0.235524    -0.009381    -3.126554
49743.50     0.244499     0.111370    -2.537590
49743.75     0.237169     0.193177    -2.580767
49744.00     0.116329     0.331882    -0.705541
49744.25     0.031656     0.408024     0.278389
49744.50    -0.083089     0.479410     2.167514
49744.75    -0.149649     0.422227     2.772380
49745.00    -0.063058     0.365935     4.160927
49745.25    -0.051751     0.155282     4.225757
49745.50    -0.024364    -0.006597     4.224002
49745.75     0.098739    -0.288320     2.699740
49746.00     0.258434    -0.337810     2.479649
49746.25     0.300520    -0.361050     0.811330
49746.50     0.276299    -0.334553    -0.036918
49746.75     0.239922    -0.379959    -1.641432
49747.00     0.182925    -0.334524    -1.133819
49747.25    -0.013991    -0.460501    -1.674497
49747.50    -0.168950    -0.484040    -1.596591
49747.75    -0.328694    -0.491192    -2.047525
49748.00    -0.455422    -0.344904    -0.858149
49748.25    -0.630559    -0.330551    -1.050815
49748.50    -0.741157    -0.210267    -0.162937
49748.75    -0.829105    -0.223651    -0.989496
49749.00    -0.864298    -0.107762     1.044809
49749.25    -0.863052    -0.137469     1.336712
49749.50    -0.860995    -0.139688     1.823920
49749.75    -0.747285    -0.225905     1.292149
49750.00    -0.662085    -0.172837     2.220505
49750.25    -0.621842    -0.245701     1.885781
49750.50    -0.525826    -0.282360     1.744414
49750.75    -0.324836    -0.336272     0.833098
49751.00    -0.178073    -0.152630     1.522925
49751.25    -0.096823    -0.188222     1.373112
49751.50    -0.043111    -0.341119     1.116652
49751.75     0.021654    -0.742081     0.366272
49752.00     0.159594    -0.897665     0.019209
49752.25     0.073538    -1.091803    -2.127759
49752.50    -0.031718    -1.064385    -2.051152
49752.75    -0.000196    -0.978543    -2.718400
49753.00    -0.016571    -0.615209    -1.039463
49753.25    -0.054298    -0.567639    -0.896370
49753.50     0.032736    -0.641679    -0.323978
49753.75     0.184250    -0.862533    -2.140208
49754.00     0.192512    -0.626905    -2.296746
49754.25     0.073654    -0.537586    -3.271988
49754.50    -0.062570    -0.428199    -2.763471
49754.75    -0.101584    -0.413325    -3.013606
49755.00    -0.126941    -0.253847    -0.855736
49755.25    -0.058285    -0.306124    -0.909158
49755.50     0.018817    -0.387102    -0.726669
49755.75     0.101992    -0.685669    -2.421732
49756.00     0.081531    -0.648924    -2.515619
49756.25     0.067253    -0.715987    -4.370329
49756.50     0.071136    -0.658509    -5.112464
49756.75     0.123091    -0.546123    -6.767859
49757.00    -0.044492    -0.216519    -4.683982
49757.25    -0.146753    -0.071295    -5.166185
49757.50    -0.328970     0.051445    -3.504065
49757.75    -0.473776     0.075628    -3.222367
49758.00    -0.576432     0.261865     0.251272
49758.25    -0.577017     0.192374     1.536938
49758.50    -0.619020     0.137743     3.632798
49758.75    -0.502881     0.016545     3.516102
49759.00    -0.402281     0.048597     5.192427
49759.25    -0.159115    -0.046970     4.484646
49759.50     0.023756    -0.082650     4.188126
49759.75     0.324391    -0.238051     2.152150
49760.00     0.336218    -0.330902     1.138586
49760.25     0.349595    -0.338769    -1.285248
49760.50     0.338424    -0.226154    -1.937900
49760.75     0.370642    -0.168922    -3.404604
49761.00     0.266611     0.040068    -2.079989
49761.25     0.280407     0.034039    -2.573311
49761.50     0.202588     0.094640    -2.310053
49761.75     0.155081     0.067239    -3.233900
49762.00     0.066437     0.181338    -1.215985
