DIUREF	TITLE	AUTHOR	KEYWORDS	REFERENCE	PDATE
1.00	Proceedings of a meeting on: UK oceanographic remote sensing requirements, held under the auspices of the Inter-Agency Committee on Marine Science and Technology, 8 September 1992, Southampton University.	SROKOSZ, M.A. AND GUYMER, T.H. (Eds)	\PLANNING\REMOTE SENSING\UNPUBW\COUNTRYGB\	British National Space Centre Remote Sensing Applications Development Unit, RSADU Report No.92/6, 79pp.	1992.00
2.00	RRS 'James Clark Ross'/'Bransfield' 7 October 1992 - 4 December 1992. ACCLAIM: Sea level measurements in the Scotia Sea and Drake Passage.	FODEN, P.R., VASSIE, J.M. AND SPENCER, R.	\ACC\ACCLAIM\ALTIMETRY\ANTATL\BOTTOM PRESSURE\DRAKE PASSAGE\FIELDW\GLOSS\MYRTLE\SATELLITE\SCOTIA SEA\COUNTRYGB\	Proudman Oceanographic Laboratory, Cruise Report, No.17, 24pp.	1993.00
3.00	WOCE - four years on.	FOFONOFF, N.P. AND HOLLIDAY, N.P.	\UNPUBW\COUNTRYIPO\	IMS Newsletter, No.69/70, 12-13.	1994.00
4.00	GPS & DGPS: navigation tools for shipboard ADCPs.	KING, B.A. AND COOPER, E.B.	\AIMS\ADCP\GPS\REF\COUNTRYGB\	Sea Technology, 35(3), 10-15.	1994.00
5.00	Carbon tetrachloride and chlorofluorocarbons in the South Atlantic Ocean, 19S.	WALLACE, D.W.R., BEINING, P. AND PUTZKA, A.	\ANGOLA BASIN\ATLSW\BRAZIL BASIN\CFC\CHEMISTRY\REF\COUNTRYDE\COUNTRYUS\	Journal of Geophysical Research, 99(C4), 7803-7819.	1994.00
6.00	Radar and infrared measurements of a cold eddy in the Tyrrhenian Sea.	TOPLISS, B.J., GUYMER, T.H. AND VIOLA, A.	\MEDW\REF\REMOTE SENSING\SST\TYRRHENIAN SEA\COUNTRYGB\	International Journal of Remote Sensing, 15(6), 1173-1188.	1994.00
7.00	WHOI CTD MicroVAX II Data Acquisition System Part III: reference manual.	ALLEN, J.	\CTD\TECHNOLOGY\UNPUBW\COUNTRYUS\	Woods Hole Oceanographic Institution, Technical Memorandum WHOI-01-92, 38pp.	1991.00
8.00	WHOI CTD MicroVAX II Data Acquistion Systems Part IV: guide to writing programs to access the CTDGBL Global Section.	ALLEN, J.	\CTD\TECHNOLOGY\UNPUBW\COUNTRYUS\	Woods Hole Oceanographic Institution, Technical Memorandum WHOI-02-92, 21pp.	1991.00
9.00	WOCE ancillary projects: cruise schedule.	ANONYMOUS	\CRUISES\FIELDW\COUNTRYUS\	EOS: Transactions, American Geophysical Union, 71(10), p.314, 324. 1990.	1990.00
10.00	Drift buoy intercomparison test results.	BITTERMAN, D.S., NIILER, P.P., AOUSTIN, Y., AND CHAFFAUT, A. DU	\DRIFTERS\OCEAN CIRCULATION\SURFACE CURRENTS\UNPUBW\COUNTRYUS\	NOAA Data Report ERL AOML-17, 52pp.	1990.00
12.00	Users manual for the current meter database of the WOCE Current Meter Data Assembly Center.	BOTTERO, J. AND PILLSBURY, R.D.	\CURRENT METER DATA\TECHNOLOGY\UNPUBW\COUNTRYUS\	Corvallis, Oregon:  Oregon State University, College of Oceanic and Atmospheric Sciences.  36pp.	1992.00
16.00	Dissolved oxygen.	CULBERSON, C.H.	\OXYGEN\TECHNOLOGY\UNPUBW\COUNTRYUS\	WOCE Hydrographic operations and methods, (ed.T.M.Joyce). WOCE Hydrographic Programme Office, WHPO-90-2, various pagination. (Unpublished manuscript), 14pp. In	1990.00
19.00	Theory of thermopile-based pyrgeometers for the measurement of downwelling longwave radiation.	DICKEY, T.D. AND MANOV, D.V.	\AIR SEA INTERACTION\TECHNOLOGY\UNPUBW\COUNTRYUS\	University of Southern California, Technical Report IMET TR-91-3-A, USC-OPG-91-2A, 16pp.	1991.00
20.00	The determination of net longwave heat flux at the air-sea interface.	DICKEY, T.D., MANOV, D.V. AND SIEGEL, D.A.	\AIR SEA INTERACTION\TECHNOLOGY\UNPUBW\COUNTRYUS\	University of Southern California, Technical Report IMET TR-91-3-D, USC-OPG-91-2D, 34pp.	1991.00
24.00	Calculation of physical properties of seawater.	FOFONOFF, N. AND MILLARD, R.C.	\HYDROGRAPHIC DATA\TECHNOLOGY\UNPUBW\COUNTRYUS\	WOCE Hydrographic operations and methods, (ed.T.M.Joyce). WOCE Hydrographic Programme Office, WHPO-90-2, various pagination. (Unpublished manuscript),?pp. in	1990.00
29.00	Subgridscale representation.	HOLLOWAY, G.	\MATHEMATICAL PROGRAMMES\OCEAN MODEL\REF\COUNTRYUS\	pp.513-593 in, Oceanic circulation models: combining data and dynamics, (ed.D.L.T.Anderson & J.Willebrande). Dordrecht:  Kluwer Academic.	1990.00
33.00	Animations of temperature, salinity, surface height, and velocity.	ISAKARI, S., MCCANN, M.P. AND SEMTNER, A.J.	\PUBLICITY MATERIAL\UNPUBW\COUNTRYUS\	Alpine Productions, 120 min. video.	1992.00
34.00	The World Ocean Circulation Experiment.	JOCHENS, A., SCHALEY, T. AND NOWLIN, W.D.	\MANAGEMENT\PROGRESS REPORT\UNPUBW\COUNTRYUS\	pp.17-18 in, Geophysics News 1991, (ed.D.Knopman & S.A.Morse). Washington, DC:  American Geophysical Union.	1991.00
35.00	Ocean circulation.	JOCHENS, A.J.	\MANAGEMENT\PROGRESS REPORT\REF\COUNTRYUS\	pp.271-275 in, McGraw-Hill yearbook of science and technology, (ed.S.P.Parker). New York:  McGraw-Hill.	1992.00
42.00	Calibration methods for pyrgeometers.	MANOV, D.V.	\AIR SEA INTERACTION\TECHNOLOGY\UNPUBW\COUNTRYUS\	University of Southern California, Technical Report IMET TR-91-3-B, USC-OPG-91-2B, 80pp.	1991.00
45.00	Illumination of a black box: analysis of gas composition during graphite target preparation.	MCNICHOL, A.P., GAGNON, A.R., JONES, G.A. AND OSBORNE, E.A.	\CARBON CYCLE\CARBON DIOXIDE\REF\COUNTRYUS\	Radiocarbon, 34(3), 321-329.	1992.00
47.00	CTD Oxygen calibration procedure.	MILLARD, R.C.	\HYDROGRAPHIC DATA\OXYGEN\TECHNOLOGY\UNPUBW\COUNTRYUS\	WOCE Hydrographic operations and methods, (ed.T.M.Joyce). WOCE Hydrographic Programme Office, WHPO-90-2, various pagination. (Unpublished manuscript),22pp. In	1990.00
50.00	Near-surface temperature, salinity and bathymetry measurements.	MULLER, T.J. AND SCHENK, H.W.	\BATHYMETRY\SALINITY\SST\TECHNOLOGY\UNPUBW\UPPER OCEAN\COUNTRYDE\	WOCE Hydrographic operations and methods, (ed.T.M.Joyce). WOCE Hydrographic Programme Office, WHPO-90-2. various pagination. (Unpublished manuscript), 3pp. In	1990.00
53.00	Improved meteorological measurements from buoys and ships (IMET): preliminary report on barometric pressure sensors.	PAYNE, R.E., CRESCENTI, G.H. AND WELLER, R.A.	\AIR SEA INTERACTION\IMET\PRESSURE MEASUREMENT\UNPUBW\COUNTRYUS\	Woods Hole Oceanographic Institution, Technical Report WHOI-89-49, 43pp. (IMET-TR-89-05)	1989.00
54.00	Improved meterological measurements from ships and buoys.	PRADA, K.E., HOSOM, D.S. AND HINTON, A.	\AIR SEA INTERACTION\IMET\PRESSURE MEASUREMENT\UNPUBW\COUNTRYUS\	pp.178-182 in, MTS Proceedings: marine instrumentation '90. Washington, DC:  Marine Technology Society.	1990.00
55.00	A model of the effects of sampling height on the determination of net longwave heat flux at the sea surface.	SIEGEL, D.A. AND DICKEY, T.D.	\AIR SEA INTERACTION\HEAT EXCHANGE\IMET\UNPUBW\COUNTRYUS\	University of Southern California, Technical Report IMET TR-91-3-C, USC-OPG-91-2C, 30pp.	1991.00
