";"
";","File:","e:\outgoing\doe\grayshbr\70anmllw.dat"
";","Date:","Friday","May",15,1998,"10:49:44"
";","Surface","Name:","70anmllw"
";","Surface","Desc:",1970,"annual","condition","moved","-1.5 to NOS mllw"
";","Point","Type:","Random"
";","Format:","Easting","Northing","Elevation"
";","Pen","Order:","One","Then","Zeroes"
";"
222420.2,178686,-7.7724
222418.8,178702.1,-7.7724
222417,178718.1,-7.7724
222412,178752.3,-7.7724
222407.8,178777.8,-7.7724
222404,178796.8,-7.7724
222400.6,178811,-7.7724
222397.9,178821.6,-7.7724
222393.1,178837.3,-7.7724
222387.6,178852.9,-7.7724
222383.9,178862,-7.7724
222380.2,178869.7,-7.7724
222373.4,178882.9,-7.7724
222362.8,178902.5,-7.7724
222357.7,178912.4,-7.7724
222353,178922.5,-7.7724
222341.2,178949.5,-7.7724
222332.6,178969.8,-7.7724
222326.3,178985.1,-7.7724
222317.2,179008.3,-7.7724
222308.9,179031.8,-7.7724
222303.5,179048.6,-7.7724
222294.7,179078.2,-7.7724
222288.7,179100.5,-7.7724
222284.6,179117.3,-7.7724
222279,179142.7,-7.7724
222274.1,179168.2,-7.7724
222269.2,179196.6,-7.7724
222262.3,179239.3,-7.7724
222078.4,179970.7,-7.7724
222075.7,179972.2,-7.7724
222073.3,179973.6,-7.7724
222071.1,179975.1,-7.7724
222069.1,179976.6,-7.7724
222065.6,179979.6,-7.7724
222062.7,179982.5,-7.7724
222060.3,179985.1,-7.7724
222058.3,179987.6,-7.7724
222055.1,179992,-7.7724
222052.8,179995.5,-7.7724
222049.7,180000.9,-7.7724
222046.9,180006.4,-7.7724
222043.3,180014.8,-7.7724
222040.5,180022.3,-7.7724
222036.1,180035.5,-7.7724
222030,180055.4,-7.7724
222026.6,180065.1,-7.7724
222024.8,180070,-7.7724
222022.7,180074.7,-7.7724
222017.1,180086.5,-7.7724
222011.6,180096.6,-7.7724
221991.6,180131.8,-7.7724
221986.9,180140.7,-7.7724
221983.5,180147.4,-7.7724
221979,180157.8,-7.7724
221975,180168.3,-7.7724
221970.8,180182.3,-7.7724
221967.5,180194.6,-7.7724
222722,177820.5,-7.7724
222719.3,177837.8,-7.7724
222716.5,177855.1,-7.7724
222716,177859.5,-7.7724
222716,177863.6,-7.7724
222716.3,177867.4,-7.7724
222716.8,177871,-7.7724
222717.5,177874.4,-7.7724
222719.1,177880.7,-7.7724
222726,177902.8,-7.7724
222727.4,177908.3,-7.7724
222728.2,177912.4,-7.7724
222728.6,177915.5,-7.7724
222729,177920.2,-7.7724
222728.8,177924.8,-7.7724
222727.9,177933.9,-7.7724
222726.8,177941.9,-7.7724
222724.5,177955.9,-7.7724
222720.9,177976.8,-7.7724
222719.3,177987.3,-7.7724
222717.9,177997.8,-7.7724
222716.8,178013.1,-7.7724
222716.5,178026.6,-7.7724
222716.5,178050.3,-7.7724
222716.5,178068.2,-7.7724
222716,178081.5,-7.7724
222715.3,178091.4,-7.7724
222714.5,178098.8,-7.7724
222712.6,178109.9,-7.7724
222710,178120.8,-7.7724
222708.7,178125,-7.7724
222706,178132.8,-7.7724
222703.2,178139.5,-7.7724
222697.9,178151,-7.7724
222689.6,178167.9,-7.7724
222685.5,178176.4,-7.7724
222681.8,178185.1,-7.7724
222674.1,178205.2,-7.7724
222661.6,178240.8,-7.7724
222652.5,178267.7,-7.7724
222645.5,178287.8,-7.7724
222640,178302.8,-7.7724
222631,178325,-7.7724
222621,178346.9,-7.7724
222618.8,178351.2,-7.7724
222614.4,178358.9,-7.7724
222610.2,178365.5,-7.7724
222606.3,178371,-7.7724
222599,178380.5,-7.7724
222593.3,178387.4,-7.7724
222584.4,178397.5,-7.7724
222575.3,178407.4,-7.7724
222555.6,178428.4,-7.7724
222525.7,178459.5,-7.7724
222496,178490.8,-7.7724
222468.5,178519.7,-7.7724
222461.8,178527.1,-7.7724
222456.9,178532.8,-7.7724
222449.7,178541.7,-7.7724
222442.8,178551.1,-7.7724
222440.3,178555,-7.7724
222438.2,178558.7,-7.7724
222436.5,178562.3,-7.7724
222435.1,178565.7,-7.7724
222432.8,178572.2,-7.7724
222431.3,178578,-7.7724
222430.1,178583.2,-7.7724
222428.6,178592.4,-7.7724
222425.5,178620.2,-7.7724
222424.1,178632.4,-7.7724
222422.4,178653.9,-7.7724
221412.4,181189.2,-7.7724
221409.3,181191.9,-7.7724
221406.4,181194.2,-7.7724
221403.9,181196.1,-7.7724
221401.7,181197.6,-7.7724
221397.6,181200.2,-7.7724
221394.5,181201.8,-7.7724
221392.1,181203,-7.7724
221388.4,181204.5,-7.7724
221384.6,181205.8,-7.7724
221348.6,181216.3,-7.7724
221312.6,181226.9,-7.7724
223005.7,177761.6,-5.9436
223005.3,177761.4,-5.9436
223005,177761.1,-5.9436
223001.2,177758.1,-5.9436
222997.7,177756.3,-5.9436
222994.7,177755.3,-5.9436
222991.9,177755.2,-5.9436
222989.5,177755.8,-5.9436
222987.3,177757,-5.9436
222985.3,177758.7,-5.9436
222983.5,177760.8,-5.9436
222982,177763.4,-5.9436
222980.6,177766.2,-5.9436
