# Database query Wed Mar 07 12:47:28 PST 2007
#  select * from test_nmol;
Method,sample,f_type,rundate,sequence,cruise,station,cast,depth,liters,poretics_l_read,Ca_44_mg_nmol,Ca_44_mg_nmol_sd,Ca_43_nmol,Ca_43_nmol_sd,Ca_44_na_nmol,Ca_44_na_nmol_sd,P_pmol,P_pmol_sd,Mn_pmol,Mn_pmol_sd,Ba_pmol,Ba_pmol_sd,Fe56_pmol,Fe56_pmol_sd,Fe_pmol,Fe_pmol_sd,Al_pmol,Al_pmol_sd,Al_MR_pmol,Al_MR_pmol_sd,Li_pmol,Li_pmol_sd,Rb_pmol,Rb_pmol_sd,Sr_pmol,Sr_pmol_sd,Y_pmol,Y_pmol_sd,Cd_pmol,Cd_pmol_sd,Pb_pmol,Pb_pmol_sd,Th_pmol,Th_pmol_sd,U_pmol,U_pmol_sd,Co_pmol,Co_pmol_sd,I_pmol,I_pmol_sd,Nd_pmol,Nd_pmol_sd,Sr88_corr_pmol,Sr88_corr_pmol_sd,Rb85_corr_pmol,Rb85_corr_pmol_sd,U238_corr_pmol,U238_corr_pmol_sd,Li7_corr_pmol,Li7_corr_pmol_sd,B11_corr_pmol,B11_corr_pmol_sd,Ca43_umol,Ca43_umol_sd,Ca44_umol,Ca44_umol_sd,Na23_umol,Na23_umol_sd,Mg25_umol,Mg25_umol_sd,Zn64_pmol,Zn64_pmol_sd,Zn66_pmol,Zn66_pmol_sd,Cu_pmol,Cu_pmol_sd,Ni58_pmol,Ni58_pmol_sd,Ni60_pmol,Ni60_pmol_sd,
SprayChamber,2002095T,1,20060630,12,200406,1,1,30,3760.6000,7.0500,55346.8460,7295.4820,89139.6670,3528.3970,87171.4960,3996.4840,15982361.4900,707795.0890,18702.6280,1051.8110,16270.2370,233.8040,1221229.2000,77583.1980,1261703.6660,2912.8650,6757091.5540,20953.7190,6710045.5200,219284.8760,732106.0450,5658.8980,15244.9040,115.8800,2368455.5080,6717.0850,456.8340,27.3790,1327.9030,73.7460,2790.5830,142.0440,0.4060,0.6170,754.3570,32.9290,3620.7910,66.4000,12326.4740,861.9270,176.4960,20.4730,1175128.2660,8486.2700,-4874.4960,145.1690,629.3650,32.9330,1014343.0790,1014343.0790,4833014.3560,87898.1320,227.0430,3.4770,225.0750,3.9510,6290.5060,27.3390,871.6760,31.4960,189530.9730,5964.7520,203581.8040,6220.1830,45046.1860,1120.0430,48377.9490,340.7120,41306.3690,1616.0150,
SprayChamber,2002095B,2,20060630,13,200406,1,1,30,3760.6000,7.0500,24299.2590,3191.6630,19283.0700,2123.8120,19415.5110,2310.0440,5775518.1220,123930.1670,7521.8540,121.1090,12363.6000,175.4540,360115.4180,1454.9870,359112.9980,18308.5910,6401853.6740,56640.3200,6401065.9450,209349.5610,560886.1150,6260.5410,27203.3710,272.1790,1729950.9420,18310.2030,89.1890,6.2270,1549.5530,67.7920,8514.4810,108.9570,-0.2320,0.2560,467.0470,50.4240,1045.9320,15.1860,2850.0450,38.5260,22.0680,7.0920,460315.5930,22833.3720,5797.4230,356.3440,334.0510,50.4440,999922.7630,999922.7630,-2054654.0570,382571.2950,166.0050,1.4230,166.1380,1.6880,6692.7560,71.9120,728.4410,13.9100,141121.0440,5780.4630,149336.6060,7195.0860,21695.9900,1298.9220,21790.4480,1402.4360,18992.1840,1814.0410,
SprayChamber,2002095p,3,20070305,10,200406,1,1,30,3760.6000,7.0500,27312.6130,2058.7810,29937.2920,1527.3040,29601.6770,2044.5530,11065960.4320,224485.1990,18834.9010,150.3890,64430.9220,471.6320,450897.5760,10336.3030,462542.7930,8802.2330,1253276.1770,27213.2690,1260036.8300,28224.7120,1099763.7100,37240.3080,6337.9330,20.6850,15208561.2420,167560.5170,238.7020,4.8200,1357.9800,61.1310,3436.6180,22.7120,0.2140,0.3310,117.6350,2.7220,1002.3200,66.4540,8464.4670,791.5160,40.6540,9.4770,14972279.1880,167579.9360,2251.7050,48.7260,86.9430,2.7420,1301335.0860,1301335.0860,-183681.1320,96026.6120,57.2430,1.4990,56.9070,2.0230,1245.5370,13.4480,151.9880,1.9580,45672.4700,1937.8070,43217.8930,870.4390,10793.9730,922.2770,16140.6360,801.8950,14250.3570,408.9480,
SprayChamber,2002095p,3,20050329,9,200406,1,1,30,3760.6000,7.0500,27027.7870,799.8580,37486.0140,1140.9260,30740.8730,807.3800,11733787.9580,158587.9060,17478.9390,324.7610,66926.7860,489.9370,450167.4720,11237.9720,453309.8580,10998.1110,1016771.6280,21197.0360,1015361.9560,9534.9490,1012569.4580,8597.8950,6375.5090,41.1600,16621836.7310,62421.7360,191.5580,3.9220,1317.2470,26.2240,3399.5540,6.3170,0.2640,0.4520,182.2980,10.5890,914.6880,155.6420,7760.3140,127.8850,43.2140,11.4800,16385509.1910,62551.7280,2643.9070,75.7930,138.5050,10.6150,1907861.9410,1907861.9410,-22605.2370,24493.7500,64.7970,1.0420,58.0510,0.6590,1245.7770,21.2470,159.3290,2.3250,0.000000,0.000000,40009.6350,1285.7540,8461.7870,326.1620,13297.2120,1500.9400,0.000000,0.000000,
SprayChamber,2002095m,4,20050308,9,200406,1,1,30,3760.6000,7.0500,219.5760,18.0700,276.9410,18.0250,292.9180,17.8940,47903.2040,4784.2580,96.5370,1.3490,176.4650,9.0170,4205.9770,105.0500,4031.6580,92.8840,12439.6390,1397.2080,13533.0810,157.0310,1083.2230,17.8720,62.0230,1.6590,21107.3130,54.8130,1.6980,0.044000,2.8480,0.1960,13.7260,0.122000,0.032000,0.013000,1.8390,0.108000,15.0780,2.1290,156.6390,22.0020,1.2770,0.4410,17330.5830,161.6020,3.7630,2.8730,1.2070,0.111000,1.4110,47.0700,10656.3220,833.9620,0.6840,0.008000,0.7000,0.007000,18.5650,0.7470,2.4670,0.085000,0.000000,0.000000,922.9870,24.8350,226.5760,13.6520,107.2760,30.1640,0.000000,0.000000,
SprayChamber,2002096T,1,20060630,14,200406,1,1,55,4019.1000,9.7000,85662.0230,7884.7390,113076.6850,2385.4640,112531.1360,7192.4660,17650544.0920,576334.9870,20525.6150,103.4010,55339.7080,602.8330,1279912.5290,12858.0830,1288670.8290,14699.1970,7166226.6070,96871.1020,6996927.6720,263512.5070,503272.4170,4358.1690,11216.7490,92.8980,2410603.9630,10969.2010,490.4610,18.2570,1374.8740,46.1180,3501.4180,136.8570,0.8950,0.5670,734.3540,35.2000,4639.6320,109.3640,25106.0100,871.7790,206.6320,5.2810,1319074.9210,16814.1400,-7186.3410,234.0750,620.0270,35.2250,1003999.5390,1003999.5390,4740381.1120,268569.9140,239.2160,1.8770,238.6710,7.0400,5753.8860,67.1750,785.8090,18.2340,128291.8070,1781.0250,130244.0920,5776.4530,29953.9030,1318.0850,45710.2400,863.0480,40579.5320,379.0810,
SprayChamber,2002096p,3,20070305,11,200406,1,1,55,4019.1000,9.7000,25657.2340,850.1550,31244.0330,2655.4910,27675.8200,989.4020,4186623.3950,155128.6630,13669.1450,96.2220,45718.2160,542.5170,448409.2040,2273.4270,437566.0920,33767.5640,2085666.2020,52393.7260,1983920.8570,41071.8810,221244.9200,689.3960,5138.7560,62.5360,6338902.3310,21439.8610,153.7680,2.7520,1191.4810,45.4280,1290.8560,33.7560,-0.0640,0.2290,74.2550,3.6190,828.2500,198.8240,9524.1080,1194.4990,66.0330,7.0560,6115264.9300,22263.1930,1271.2020,121.1290,45.2040,3.7020,1233843.9850,1233843.9850,34067.0020,47132.8370,57.0880,2.5630,53.5200,0.7060,1178.8820,31.6210,143.0950,2.4330,38156.1230,2170.8830,35808.3160,2902.1960,5759.4580,1153.2850,30116.6450,1006.2160,29262.8590,911.8430,
SprayChamber,2002096pn,3,20070305,12,200406,1,1,55,4019.1000,9.7000,27002.8150,1135.6210,26592.7130,6185.4110,29466.4540,1025.2240,5509400.2900,201401.4500,16304.9710,626.0940,137794.5910,17048.6060,555921.4980,10861.6030,564950.8220,15195.1520,1442333.4790,26466.3120,1429967.1530,42073.3790,290556.2710,4159.8010,5637.1940,74.0250,6066868.4710,42024.8020,156.4880,2.5270,654.7440,11.3860,1482.0740,27.1170,0.1940,0.2970,82.9400,3.9250,735.0850,110.2490,9716.4960,167.9950,69.2150,6.8670,5805148.1050,42293.8130,1111.0400,110.7410,48.9410,3.9740,1245544.8630,1245544.8630,-77054.2840,31805.1860,56.8380,6.1610,59.7110,0.8650,1379.6330,25.1060,167.9820,3.7790,28413.2910,1738.9420,27097.9030,1199.1060,55850.5380,1435.5740,31628.7030,1940.3510,32151.8930,1263.8090,
SprayChamber,2002096pn,3,20050329,11,200406,1,1,55,4019.1000,9.7000,29745.4380,1052.0350,36451.4110,1039.1780,34013.6950,1214.6000,5773152.4130,115727.5250,15091.9930,83.7400,148497.9060,583.8550,549359.4670,3664.3400,565233.2440,22290.4190,1200974.5320,4677.9950,1152518.7280,22583.5430,252330.7170,1970.1590,5495.1380,101.0260,6549437.9790,15410.8010,141.5240,7.7470,648.9710,40.2360,1439.1380,44.8360,0.1390,0.102000,122.2770,5.8550,615.6270,91.6810,7920.4810,238.3580,59.4830,29.1050,6289976.3890,16842.3360,1398.2500,147.3700,74.1950,5.9890,1824762.5900,1824762.5900,12985.2570,34077.1160,66.4350,0.6810,63.9980,0.9270,1367.7260,35.8190,175.9100,2.5580,0.000000,0.000000,20122.7470,1766.0220,47626.9350,2994.5950,25984.2260,1338.4560,0.000000,0.000000,
SprayChamber,2002096p,3,20050329,10,200406,1,1,55,4019.1000,9.7000,29348.4970,931.4610,35542.8620,852.8440,32810.4800,655.5490,4573495.8110,68620.2900,12603.3140,207.6540,47492.8210,326.4750,451698.7630,3538.6320,456169.7530,759.6270,1739340.0690,21876.6300,1682599.2010,19901.2860,186256.9620,2672.9060,5025.4510,94.4480,6825577.0430,58270.1110,127.6530,7.3660,1095.7470,86.0550,1190.2990,61.4300,-0.2920,0.090000,118.1950,4.2520,664.3310,54.4160,7086.1640,241.0980,51.4280,2.3730,6598612.4420,58450.7110,1441.6890,119.0640,76.1340,4.3360,1807183.9610,1807183.9610,36673.2020,23706.7680,61.7710,0.6680,59.0390,0.3850,1196.4210,24.2020,152.4820,4.3560,0.000000,0.000000,27213.3460,1056.3900,3064.0410,91.2400,26118.4310,937.3070,0.000000,0.000000,
