SUMLEV,STATE,COUNTY,REGION,DIVISION,ctyname,STNAME,POPESTIMATE2003,POPESTIMATE2002,NPOPCHG_2003,PPOPCHG_2003,SRANK_POPEST2003,SRANK_POPEST2002,SRANK_NPCHG2003,SRANK_PPCHG2003
040,08,000,4,8,Colorado,Colorado,4547633,4498077,49556,1.1017152441,,,,
050,08,001,4,8,Adams County,Colorado,381370,372920,8450,2.2659015338,5,5,2,9
050,08,003,4,8,Alamosa County,Colorado,15076,15123,-47,-0.310784897,30,30,49,43
050,08,005,4,8,Arapahoe County,Colorado,516209,510187,6022,1.1803515182,4,4,4,17
050,08,007,4,8,Archuleta County,Colorado,11363,11073,290,2.6189831121,37,37,19,7
050,08,009,4,8,Baca County,Colorado,4164,4389,-225,-5.126452495,53,53,61,64
050,08,011,4,8,Bent County,Colorado,5642,5694,-52,-0.913242009,48,48,51,54
050,08,013,4,8,Boulder County,Colorado,277467,278277,-810,-0.291076877,6,6,62,40
050,08,014,4,8,Broomfield County,Colorado,42256,40837,1419,3.4747900189,16,16,9,5
050,08,015,4,8,Chaffee County,Colorado,16870,16828,42,0.2495840266,27,27,30,32
050,08,017,4,8,Cheyenne County,Colorado,2058,2152,-94,-4.36802974,58,58,58,63
050,08,019,4,8,Clear Creek County,Colorado,9510,9548,-38,-0.397989108,39,39,43,48
050,08,021,4,8,Conejos County,Colorado,8390,8385,5,0.0596302922,40,40,34,35
050,08,023,4,8,Costilla County,Colorado,3572,3617,-45,-1.244124965,56,56,47,56
050,08,025,4,8,Crowley County,Colorado,5473,5490,-17,-0.309653916,49,49,40,42
050,08,027,4,8,Custer County,Colorado,3802,3657,145,3.9649986328,55,55,23,2
050,08,029,4,8,Delta County,Colorado,29380,29019,361,1.2440125435,18,18,16,16
050,08,031,4,8,Denver County,Colorado,556039,557666,-1627,-0.291751694,1,1,63,41
050,08,033,4,8,Dolores County,Colorado,1813,1854,-41,-2.211434736,59,59,46,61
050,08,035,4,8,Douglas County,Colorado,224419,211679,12740,6.0185469508,8,8,1,1
050,08,037,4,8,Eagle County,Colorado,45203,44335,868,1.9578211345,15,15,10,11
050,08,039,4,8,Elbert County,Colorado,22240,22031,209,0.9486632472,22,22,21,24
050,08,041,4,8,El Paso County,Colorado,547816,541833,5983,1.1042147673,2,2,5,20
050,08,043,4,8,Fremont County,Colorado,47623,47537,86,0.1809117109,13,12,27,33
050,08,045,4,8,Garfield County,Colorado,47786,46988,798,1.6983059505,12,13,11,14
050,08,047,4,8,Gilpin County,Colorado,4891,4864,27,0.5550986842,50,50,33,29
050,08,049,4,8,Grand County,Colorado,13021,12901,120,0.9301604527,35,35,24,25
050,08,051,4,8,Gunnison County,Colorado,13955,14016,-61,-0.435216895,33,33,54,49
050,08,053,4,8,Hinsdale County,Colorado,777,780,-3,-0.384615385,63,63,37,45
050,08,055,4,8,Huerfano County,Colorado,7861,7906,-45,-0.569187959,41,42,47,51
050,08,057,4,8,Jackson County,Colorado,1488,1535,-47,-3.061889251,60,60,49,62
050,08,059,4,8,Jefferson County,Colorado,528405,530455,-2050,-0.38646068,3,3,64,46
050,08,061,4,8,Kiowa County,Colorado,1463,1492,-29,-1.943699732,61,61,42,59
050,08,063,4,8,Kit Carson County,Colorado,7846,7952,-106,-1.332997988,42,41,59,57
050,08,065,4,8,Lake County,Colorado,7691,7808,-117,-1.498463115,43,43,60,58
050,08,067,4,8,La Plata County,Colorado,46155,45808,347,0.7575096053,14,14,17,27
050,08,069,4,8,Larimer County,Colorado,266609,263808,2801,1.0617570354,7,7,6,21
050,08,071,4,8,Las Animas County,Colorado,15532,15455,77,0.4982206406,29,29,28,31
050,08,073,4,8,Lincoln County,Colorado,5879,5917,-38,-0.64221734,47,47,43,52
050,08,075,4,8,Logan County,Colorado,20949,21017,-68,-0.323547604,24,24,55,44
050,08,077,4,8,Mesa County,Colorado,124755,122176,2579,2.110889209,11,11,7,10
050,08,079,4,8,Mineral County,Colorado,888,857,31,3.6172695449,62,62,32,4
050,08,081,4,8,Moffat County,Colorado,13424,13419,5,0.0372606006,34,34,34,36
050,08,083,4,8,Montezuma County,Colorado,24491,24090,401,1.6645911166,21,21,13,15
050,08,085,4,8,Montrose County,Colorado,35943,35333,610,1.7264313814,17,17,12,13
050,08,087,4,8,Morgan County,Colorado,27963,27642,321,1.1612763186,19,19,18,18
050,08,089,4,8,Otero County,Colorado,19743,19821,-78,-0.393522022,26,26,56,47
050,08,091,4,8,Ouray County,Colorado,4005,3964,41,1.034308779,54,54,31,23
050,08,093,4,8,Park County,Colorado,16522,16123,399,2.4747255474,28,28,14,8
050,08,095,4,8,Phillips County,Colorado,4501,4541,-40,-0.880863246,52,52,45,53
050,08,097,4,8,Pitkin County,Colorado,14874,14882,-8,-0.053756216,31,31,39,37
050,08,099,4,8,Prowers County,Colorado,14137,14216,-79,-0.555711874,32,32,57,50
050,08,101,4,8,Pueblo County,Colorado,149014,147375,1639,1.1121289228,10,10,8,19
050,08,103,4,8,Rio Blanco County,Colorado,5998,6004,-6,-0.099933378,46,46,38,38
050,08,105,4,8,Rio Grande County,Colorado,12315,12212,103,0.8434326892,36,36,26,26
050,08,107,4,8,Routt County,Colorado,20751,20381,370,1.8154163191,25,25,15,12
050,08,109,4,8,Saguache County,Colorado,6668,6470,198,3.0602782071,45,45,22,6
050,08,111,4,8,San Juan County,Colorado,568,567,1,0.176366843,64,64,36,34
050,08,113,4,8,San Miguel County,Colorado,7141,7159,-18,-0.251431764,44,44,41,39
050,08,115,4,8,Sedgwick County,Colorado,2654,2711,-57,-2.102545186,57,57,53,60
050,08,117,4,8,Summit County,Colorado,25005,24745,260,1.0507173166,20,20,20,22
050,08,119,4,8,Teller County,Colorado,21703,21586,117,0.5420179746,23,23,25,30
050,08,121,4,8,Washington County,Colorado,4795,4848,-53,-1.093234323,51,51,52,55
050,08,123,4,8,Weld County,Colorado,211879,204354,7525,3.682335555,9,9,3,3
050,08,125,4,8,Yuma County,Colorado,9833,9768,65,0.6654381654,38,38,29,28
