Export Name|PCHA/FireFamily Plus
Version|2.0
Creation Date|01/29/2008 10:38
Selection Criteria|BIA - Eastern Oklahoma Region - Okmulgee Field Office (OKOMA)|Fire Cause Natural, Human and not specified|All fire reports (complete and incomplete)|01/01/1972 through 12/31/2007|All fire types and protection types
Record Count|379
FireId|Organization|Unit|UnitIdentifier|FireName|FireNumber|FireCode|FireType|ProtectionType|StartTime|InitAttTime|ControlTime|ControlAcres|GeneralCause|Datum|Latitude|Longitude|Slope|Elevation|Aspect|MsgcModel|Owner|CompletionCode
387593|BIA|EOR|OKOMA|CURRY|1||1|3|01/09/1994 17:00|01/09/1994 17:10|01/09/1994 20:40|200.0|5|NAD83|35.3395|-96.4075|1|1|1||02|Incomplete
387594|BIA|EOR|OKOMA|RAY|2||1|3|02/15/1994 13:00|02/15/1994 13:05|02/15/1994 16:05|310.0|5|NAD83|35.3479|-96.4086|1|1|1||02|Incomplete
387595|BIA|EOR|OKOMA|DUMP FIRE|3||1|3|03/12/1994 01:00|03/12/1994 01:30|03/12/1994 02:00|4.0|4|NAD83|35.3479|-95.4378|1|1|1||02|Incomplete
387596|BIA|EOR|OKOMA|X-BAR|1||1|3|02/08/1995 14:00|02/08/1995 14:15|02/08/1995 15:15|10.0|5|NAD83|35.3231|-96.4014|1|1|1||02|Incomplete
387597|BIA|EOR|OKOMA|LITTLE01|1||1|3|02/22/1996 09:00|02/22/1996 11:00|02/22/1996 13:30|132.0|4|NAD83|35.3473|-96.4403|1|0|7||02|Incomplete
387598|BIA|EOR|OKOMA|LEWIS|2||1|3|02/22/1996 10:00|02/22/1996 10:45|02/22/1996 14:00|67.0|8|NAD83|35.3873|-96.3561|1|0|9||02|Incomplete
387599|BIA|EOR|OKOMA|HARJOI|3||1|3|02/23/1996 09:00|02/23/1996 10:15|02/23/1996 12:45|20.0|8|NAD83|35.3973|-96.3558|1|0|9||02|Incomplete
387600|BIA|EOR|OKOMA|BUNNER01|1||1|2|02/18/1997 09:00|02/18/1997 09:45|02/18/1997 12:00|120.0|4|NAD83|35.3184|-96.4217|1|0|7||02|Incomplete
387601|BIA|EOR|OKOMA|RAY01|2||1|3|04/09/1997 12:00|04/09/1997 12:30|04/09/1997 13:15|65.0|3|NAD83|35.4137|-96.4070|1|0|7||02|Incomplete
387603|BIA|EOR|OKOMA|HOLAHTA|4||1|3|04/29/1997 13:00|04/29/1997 13:40|04/29/1997 14:30|100.0|4|NAD83|35.4598|-96.3864|1|0|1||02|Incomplete
387602|BIA|EOR|OKOMA|SHELBY|3||1|3|05/05/1997 15:00|05/05/1997 15:45|05/05/1997 17:00|50.0|4|NAD83|35.3440|-96.4067|1|0|7||02|Incomplete
387605|BIA|EOR|OKOMA|OLLIE|2||1|3|02/18/1998 14:00|02/18/1998 14:45|02/18/1998 17:00|60.0|4|NAD83|35.3126|-96.4122|1|0|9||02|Incomplete
387606|BIA|EOR|OKOMA|FENIE|3||1|2|02/25/1998 14:00|02/25/1998 14:35|02/25/1998 17:00|120.0|4|NAD83|35.3134|-96.4214|1|0|7||02|Incomplete
387604|BIA|EOR|OKOMA|VCURRY|1||1|3|09/27/1998 12:30|09/27/1998 13:30|09/27/1998 14:30|35.0|4|NAD83|35.3390|-96.4083|1|0|7||02|Incomplete
387607|BIA|EOR|OKOMA|MCNABB|4||1|3|11/01/1998 17:00|11/01/1998 17:50|11/01/1998 19:30|120.0|4|NAD83|35.3904|-96.3747|1|0|9||02|Incomplete
387608|BIA|EOR|OKOMA|LEWIS|5||1|2|11/23/1998 11:30|11/23/1998 11:59|11/23/1998 13:40|67.0|4|NAD83|35.3870|-96.3828|1|0|7||02|Incomplete
387611|BIA|EOR|OKOMA|SHELBY RAY|3||1|1|03/01/1999 13:00|03/01/1999 14:00|03/01/1999 15:00|80.0|4|NAD83|35.3454|-96.4078|1|0|7||02|Incomplete
387609|BIA|EOR|OKOMA|TOWNSITE|1||1|1|04/28/1999 13:00|04/28/1999 14:00|04/28/1999 20:00|320.0|4|NAD83|35.3420|-96.2497|2|1|4||02|Incomplete
387613|BIA|EOR|OKOMA|HOLAHTA 01|5||1|3|08/28/1999 14:00|08/28/1999 15:00|08/28/1999 17:00|105.0|4|NAD83|35.3834|-96.3825|1|0|2||02|Incomplete
387610|BIA|EOR|OKOMA|FA#2|2||5|1|09/15/1999 16:00|09/15/1999 17:15||||NAD83|35.5279|-95.4900|||||02|Complete
387612|BIA|EOR|OKOMA|BUNNER I|4||1|1|12/23/1999 15:00|12/23/1999 15:45|12/23/1999 18:45|60.0|4|NAD83|35.3173|-96.4208|1|0|9||02|Incomplete
387614|BIA|EOR|OKOMA|BUNNER 02|6||1|3|12/24/1999 15:00|12/24/1999 16:00|12/24/1999 17:00|120.0|4|NAD83|35.3134|-96.4111|1|0|9||02|Incomplete
387615|BIA|EOR|OKOMA|WARRIOR|1||1|1|02/20/2000 18:00|02/21/2000 11:00|02/22/2000 14:00|152.0|4|NAD83|35.9876|-96.2539|1|1|8||08|Incomplete
387617|BIA|EOR|OKOMA|THLOP#4|3||4|8|03/25/2000|||240.0||NAD83|35.3268|-96.2153|||||02|Incomplete
387620|BIA|EOR|OKOMA|THLOP#2|6||4|8|03/25/2000|||80.0||NAD83|35.3320|-96.2136|||||02|Incomplete
387618|BIA|EOR|OKOMA|THLOP#5|4||4|8|03/26/2000|||60.0||NAD83|35.3601|-96.2253|||||02|Incomplete
387619|BIA|EOR|OKOMA|THLOP#3|5||4|8|03/28/2000|||80.0||NAD83|35.3668|-96.2372|||||02|Incomplete
387623|BIA|EOR|OKOMA|T. DRAKE|9||1|3|04/02/2000 12:00|04/02/2000 12:10|04/02/2000 13:10|75.0|4|NAD83|35.6101|-95.7817|1|1|0||02|Incomplete
387621|BIA|EOR|OKOMA|HECTOR|7||1|3|04/05/2000 14:00|04/05/2000 14:45|04/06/2000 18:00|450.0|5|NAD83|35.7993|-95.9544|1|1|1||02|Incomplete
387616|BIA|EOR|OKOMA|SA#1|2||3|7|05/18/2000|||||||||||||Complete
387624|BIA|EOR|OKOMA|HOLAHTA 1|10||1|3|07/20/2000 16:00|07/20/2000 16:30|07/20/2000 18:00|113.0|5|NAD83|35.3834|-96.3670|1|0|2||02|Incomplete
387626|BIA|EOR|OKOMA|LISA 00|12||1|1|09/07/2000 14:30|09/07/2000 15:00|09/07/2000 16:00|10.0|4|NAD83|35.4751|-96.5831|1|0|7||02|Incomplete
387625|BIA|EOR|OKOMA|LISA 1|11||1|3|09/11/2000 17:50|09/11/2000 18:00|09/11/2000 18:45|6.0|4|NAD83|35.3417|-96.4497|2|0|4||02|Incomplete
387629|BIA|EOR|OKOMA|CURRY I|15||1|1|09/18/2000 19:00|09/18/2000 20:00|09/18/2000 21:00|27.0|4|NAD83|35.3390|-96.4083|1|0|7||02|Incomplete
387622|BIA|EOR|OKOMA|SA#2-SEVTY|8||3|7|09/23/2000|||||||||||||Complete
387627|BIA|EOR|OKOMA|DEERE I|13||1|1|10/04/2000 15:15|10/04/2000 15:45|10/04/2000 18:00|80.0|4|NAD83|35.5304|-96.3503|1|0|9||02|Incomplete
387628|BIA|EOR|OKOMA|ALBERT I|14||1|1|11/30/2000 19:45|11/30/2000 20:00|11/30/2000 21:30|132.0|4|NAD83|35.3417|-96.4497|1|0|7||02|Incomplete
387630|BIA|EOR|OKOMA|SA#1 SFS|1||3|7|01/01/2001|||||||||||||Complete
387650|BIA|EOR|OKOMA|THLOPPICO|21||1|6|03/12/2001 16:00|03/12/2001 16:30|03/12/2001 17:00|15.0|9|NAD83|35.3001|-96.2670|1|0|2||02|Complete
387632|BIA|EOR|OKOMA|FA# 1|3||5|1|03/22/2001 08:00|03/22/2001 11:19||||NAD83|36.0481|-96.3564|||||02|Complete
387631|BIA|EOR|OKOMA|ROOKIETRN|2||3|7|03/23/2001|||||||||||||Complete
387636|BIA|EOR|OKOMA|HICKORY RI|7||4|8|03/23/2001|||1079.0||NAD83|35.3620|-96.1917|||||02|Incomplete
387651|BIA|EOR|OKOMA|IXL|22||1|1|03/26/2001 15:00|03/26/2001 17:00|03/26/2001 19:00|20.0|4|NAD83|35.5304|-96.3503|1|0|6||02|Incomplete
387652|BIA|EOR|OKOMA|ABSHER|23||1|1|03/26/2001 18:00|03/26/2001 19:00|03/26/2001 19:30|8.0|4|NAD83|35.5167|-96.3625|1|0|5||02|Incomplete
387633|BIA|EOR|OKOMA|SA# 3|4||3|7|04/10/2001|||||||||||||Complete
387634|BIA|EOR|OKOMA|SA# 4|5||3|7|04/20/2001|||||||||||||Complete
387635|BIA|EOR|OKOMA|SA# 5|6||3|7|05/01/2001|||||||||||||Complete
387637|BIA|EOR|OKOMA|SA# 6|8||3|7|05/05/2001|||||||||||||Complete
387638|BIA|EOR|OKOMA|SA# 7|9||3|7|06/18/2001|||||||||||||Complete
387653|BIA|EOR|OKOMA|LITTLE 1|24||1|1|07/08/2001 16:00|07/08/2001 16:30|07/08/2001 17:00|6.0|5|NAD83|35.3417|-96.4497|1|0|7||02|Incomplete
387640|BIA|EOR|OKOMA|T.DRAKE|11||1|3|07/14/2001 15:00|07/14/2001 15:05|07/14/2001 16:05|48.0|4|NAD83|35.6101|-95.7817|1|1|0||02|Incomplete
387639|BIA|EOR|OKOMA|S-211/212|10||3|7|07/15/2001|||||||||||||Complete
387654|BIA|EOR|OKOMA|HARJO|25||1|3|07/15/2001 14:00|07/15/2001 14:50|07/15/2001 17:00|12.0|5|NAD83|35.3834|-96.3670|1|0|2||02|Incomplete
387643|BIA|EOR|OKOMA|S. SCOTT|14||1|3|08/01/2001 14:00|08/01/2001 14:15|08/01/2001 15:45|95.0|5|NAD83|35.4051|-96.2144|1|1|0||02|Incomplete
387641|BIA|EOR|OKOMA|S-290|12||3|7|08/13/2001|||||||||||||Complete
387642|BIA|EOR|OKOMA|SA#8|13||3|7|08/17/2001|||||||||||||Complete
387644|BIA|EOR|OKOMA|SA#9|15||3|7|08/20/2001|||||||||||||Complete
387645|BIA|EOR|OKOMA|SA#10|16||3|7|08/21/2001|||||||||||||Complete
387646|BIA|EOR|OKOMA|S-230TX|17||3|7|10/10/2001|||||||||||||Complete
387647|BIA|EOR|OKOMA|SA#11|18||3|7|10/26/2001|||||||||||||Complete
387648|BIA|EOR|OKOMA|S230/260|19||3|7|11/09/2001|||||||||||||Complete
387649|BIA|EOR|OKOMA|SA#12|20||3|7|11/14/2001|||||||||||||Complete
387655|BIA|EOR|OKOMA|PACK TEST|1||3|7|01/01/2002|||||||||||||Complete
387656|BIA|EOR|OKOMA|TATERHILL|17||1|3|||||5||||||||02|Incomplete
387667|BIA|EOR|OKOMA|SA#1|11||3|7|01/01/2003|||||||||||||Complete
387663|BIA|EOR|OKOMA|COLUMBIA|7||3|7|02/05/2003|||||||||||||Complete
387666|BIA|EOR|OKOMA|SCOTT|10||3|7|03/09/2003|||||||||||||Complete
387661|BIA|EOR|OKOMA|SCOTT|5||1|3|03/09/2003 17:45|03/09/2003 17:58|03/09/2003 18:15|5.0|4|NAD83|35.3329|-96.4442|1|1|0||02|Incomplete
387658|BIA|EOR|OKOMA|THLOP 3|2||4|8|03/14/2003|||55.0||NAD83|35.3615|-96.2942|||||02|Incomplete
387659|BIA|EOR|OKOMA|THLOPTH 5|3||4|8|03/14/2003|||75.0||NAD83|35.3662|-96.2361|||||02|Incomplete
387657|BIA|EOR|OKOMA|THLOPTHL 2|1||4|8|03/15/2003|||130.0||NAD83|35.3284|-96.2133|||||02|Incomplete
387660|BIA|EOR|OKOMA|BRISTOW WU|4||4|8|03/26/2003|||19.0||NAD83|35.8540|-96.3858|||||02|Incomplete
387665|BIA|EOR|OKOMA|ROBERTS|9||3|7|07/23/2003|||||||||||||Complete
387662|BIA|EOR|OKOMA|SLIMS|6||3|7|07/27/2003|||||||||||||Complete
387664|BIA|EOR|OKOMA|MILEPOST59|8||3|7|08/16/2003|||||||||||||Complete
387668|BIA|EOR|OKOMA|LITTLE I|12|AZN9|1|3|11/29/2003 13:38|11/29/2003 14:00|11/29/2003 15:30|20.0|4|NAD83|35.3501|-96.4336|1|0|8||02|Incomplete
387669|BIA|EOR|OKOMA|LITTLE II|13||2|1|11/30/2003 13:00|11/30/2003||5.0|5|NAD83|35.3501|-96.4336|1|0|8||02|Incomplete
387671|BIA|EOR|OKOMA|PACK TEST|15||3|7|12/01/2003|||||||||||||Complete
387670|BIA|EOR|OKOMA|FRYE I|14|AZN8|1|2|12/17/2003 13:00|12/17/2003 13:30|12/17/2003 15:00|5.0|4|NAD83|35.3668|-95.9503|1|0|8||02|Incomplete
387672|BIA|EOR|OKOMA|PACK TEST|1|AV19|3|7|01/01/2004|||||||||||||Complete
387673|BIA|EOR|OKOMA|S-212|2|AVI9|3|7|01/05/2004|||||||||||||Incomplete
387674|BIA|EOR|OKOMA|SFS|3|AVI9|3|7|01/22/2004|||||||||||||Incomplete
387677|BIA|EOR|OKOMA|BOLEY|6|A0E8|1|1|02/19/2004 12:00|02/19/2004 13:00|02/19/2004 17:00|280.0|5|NAD83|35.4984|-96.4881|2|0|0||02|Complete
387675|BIA|EOR|OKOMA|WEELKA1|4|A0C0|1|1|02/21/2004 12:00|02/21/2004 15:00|02/21/2004 21:30|110.0|5|NAD83|35.3479|-96.0950|2|0|5||02|Complete
387676|BIA|EOR|OKOMA|DUSTIN|5|A0CZ|1|1|02/22/2004 13:00|02/22/2004 14:00|02/22/2004 23:59|2000.0|5|NAD83|35.2693|-96.0736|1|0|1||02|Complete
387678|BIA|EOR|OKOMA|RILEY|7|A0DR|1|1|02/24/2004 11:30|02/24/2004 12:00|02/24/2004 12:15|12.0|5|NAD83|35.3193|-96.0244|1|0|1||02|Complete
387685|BIA|EOR|OKOMA|HANNA|14||4|8|02/26/2004|||380.0||NAD83|35.0001|-96.0003|||||02|Complete
387679|BIA|EOR|OKOMA|PUNTKA|8|A0EX|1|1|02/26/2004 12:30|02/26/2004 13:30|02/26/2004 17:00|120.0|5|NAD83|34.9415|-96.4645|1|0|1||02|Complete
387684|BIA|EOR|OKOMA|HARJ/SEALY|13|A0KS|1|1|03/08/2004 13:30|03/08/2004 14:00|03/08/2004 18:00|380.0|5|NAD83|35.4032|-96.1517|2|0|0||02|Complete
387680|BIA|EOR|OKOMA|FIG|9|A0MB|1|1|03/11/2004 10:45|03/11/2004 12:00|03/11/2004 17:30|860.0|5|NAD83|35.4718|-96.0575|1|0|1||02|Complete
387681|BIA|EOR|OKOMA|WILSON SUP|10|A0BE|3|7|03/15/2004|||||||||||||Complete
387682|BIA|EOR|OKOMA|SHULTER|11|A0BE|3|7|03/16/2004|||||||||||||Complete
387683|BIA|EOR|OKOMA|CK JOHNSON|12|A9JH|1|1|03/17/2004 14:00|03/17/2004 15:00|03/17/2004 21:00|200.0|4|NAD83|35.5251|-96.0153|1|0|0||02|Complete
387686|BIA|EOR|OKOMA|HANNA CRK|15|BFD9|1|1|09/15/2004 11:00|09/15/2004 12:30|09/15/2004 17:30|4.0|4|NAD83|35.1976|-95.8431|1|0|1||02|Complete
387687|BIA|EOR|OKOMA|LHE|16|BFT4|1|1|09/19/2004 14:30|09/19/2004 15:30|09/19/2004 21:30|80.0|4|NAD83|35.5482|-95.9750|1|0|3||02|Complete
387688|BIA|EOR|OKOMA|OKM SUPPOR|17|BG4M|1|5|09/20/2004 10:00|09/20/2004 10:30|09/20/2004 16:30|250.0|4|NAD83|35.5534|-96.0033|1|0|3||08|Complete
387689|BIA|EOR|OKOMA|VERNON CRK|18|BF0G|1|1|09/22/2004 14:00|09/22/2004 14:30|09/22/2004 16:00|4.0|4|NAD83|35.1973|-95.8461|1|0|1||02|Complete
387690|BIA|EOR|OKOMA|LOTT|19||3|7|09/23/2004|||||||||||||Complete
501181|BIA|EOR|OKOMA|Streeper|1|BK1M|1|1|03/03/2005 15:00|03/03/2005 15:45|03/03/2005 16:30|3.0|4|NAD83|35.5082|-96.1225|1|0|7||02|Complete
501182|BIA|EOR|OKOMA|Tiger 1|3|BK19|2|1|03/04/2005 11:00|03/04/2005 11:30|03/04/2005 13:00|30.0||NAD83|35.1884|-96.1233|2|1|3||02|Complete
501152|BIA|EOR|OKOMA|Albert|5|BK2Y|1|1|03/04/2005 15:30|03/04/2005 15:45|03/04/2005 16:00|6.0|4|NAD83|35.3476|-96.4417|2|1|1|R|02|Complete
501150|BIA|EOR|OKOMA|Martin|2|BK13|2|1|03/04/2005 15:45|03/04/2005 16:00|03/04/2005 16:45|5.0|1|NAD83|35.4359|-96.8406|2|1|5|R|02|Complete
501157|BIA|EOR|OKOMA|Thloppthlo|6|BK2Z|1|1|03/04/2005 16:30|03/04/2005 17:00|03/04/2005 17:15|80.0|4|NAD83|35.3629|-96.2381|1|0|5|R|02|Complete
501161|BIA|EOR|OKOMA|T Creek|4|BK21|2|1|03/04/2005 17:00|03/04/2005 17:01|03/04/2005 18:00|150.0|1|NAD83|35.3626|-96.2383|1|0|1|R|02|Complete
501164|BIA|EOR|OKOMA|Trust|7|BK20|2|1|03/04/2005 18:00|03/04/2005 18:30|03/04/2005 19:00|120.0||NAD83|35.4179|-96.1942|2|1|3|D|02|Complete
501165|BIA|EOR|OKOMA|Deere|8|BK54|1|1|03/08/2005 15:00|03/08/2005 16:30|03/08/2005 18:00|126.0|4|NAD83|35.5057|-96.1767|1|0|0||02|Complete
501179|BIA|EOR|OKOMA|Counc Hill|9|BK6Z|1|1|03/09/2005 14:00|03/09/2005 14:30|03/09/2005 15:00|5.0|3|NAD83|35.5609|-95.7489|1|0|4||02|Complete
501166|BIA|EOR|OKOMA|Ruth|19|BL1R|2|1|03/09/2005 16:00|03/09/2005 16:00|03/09/2005 17:00|80.0|1|NAD83|35.2495|-96.1494|2|1|7||02|Complete
501186|BIA|EOR|OKOMA|Kellyville|10|BK71|1|1|03/10/2005 15:30|03/10/2005 16:00|03/10/2005 23:29|200.0|5|NAD83|35.9745|-96.2692|1|1|6|E|02|Complete
501188|BIA|EOR|OKOMA|Cumsey|11|BK8Q|1|1|03/11/2005 11:30|03/11/2005 12:30|03/11/2005 19:30|140.0|5|NAD83|35.9134|-96.2414|2|1|5||02|Complete
501242|BIA|EOR|OKOMA|Fife|12|BK9F|1|1|03/11/2005 15:30|03/11/2005 16:15|03/11/2005 17:30|30.0|4|NAD83|35.6901|-96.4503|1|0|0||02|Complete
501244|BIA|EOR|OKOMA|Kellyvill2|13|BK9G|1|1|03/11/2005 17:00|03/11/2005 18:00|03/11/2005 21:00|20.0|5|NAD83|35.6398|-96.2694|3|2|5|D|02|Complete
501250|BIA|EOR|OKOMA|TribalTown|17|BLP2|1|1|03/12/2005 10:00|03/12/2005 11:00|03/12/2005 12:00|100.0|4|NAD83|34.3626|-96.2336|2|0|0|D|02|Complete
501252|BIA|EOR|OKOMA|Lost|18|BLP3|2|1|03/12/2005 12:00|03/12/2005 12:30|03/12/2005 13:00|35.0|1|NAD83|35.4490|-95.8080|2|1|7||02|Complete
501246|BIA|EOR|OKOMA|Pharaoh|14|BK95|1|1|03/12/2005 14:00|03/12/2005 15:00|03/12/2005 20:00|120.0|4|NAD83|35.4012|-96.1608|2|1|3|D|02|Complete
501248|BIA|EOR|OKOMA|Tiger 2|16|BLF6|1|1|03/13/2005 13:00|03/13/2005 14:00|03/13/2005 23:59|650.0|4|NAD83|35.4415|-95.7886|3|3|5|R|02|Complete
