Lon,Lat,Line,Shot,UTMX,UTMY,YEAR,JD:HR:MIN:SEC
-80.483010,25.776846,01b01,1,551837,2851073,2001,337:18:00:42
-80.482999,25.776873,01b01,5,551838,2851076,2001,337:18:00:44
-80.482979,25.776963,01b01,21,551840,2851086,2001,337:18:00:52
-80.482969,25.777008,01b01,30,551841,2851091,2001,337:18:00:56
-80.482959,25.777044,01b01,38,551842,2851095,2001,337:18:01:00
-80.482948,25.777125,01b01,55,551843,2851104,2001,337:18:01:08
-80.482938,25.777270,01b01,82,551844,2851120,2001,337:18:01:22
-80.482927,25.777405,01b01,109,551845,2851135,2001,337:18:01:35
-80.482917,25.777541,01b01,132,551846,2851150,2001,337:18:01:47
-80.482906,25.777730,01b01,167,551847,2851171,2001,337:18:02:04
-80.482896,25.777830,01b01,184,551848,2851182,2001,337:18:02:13
-80.482885,25.777920,01b01,201,551849,2851192,2001,337:18:02:21
-80.482875,25.778055,01b01,225,551850,2851207,2001,337:18:02:34
-80.482864,25.778227,01b01,257,551851,2851226,2001,337:18:02:49
-80.482854,25.778308,01b01,269,551852,2851235,2001,337:18:02:56
-80.482843,25.778380,01b01,284,551853,2851243,2001,337:18:03:03
-80.482833,25.778525,01b01,311,551854,2851259,2001,337:18:03:17
-80.482822,25.778750,01b01,353,551855,2851284,2001,337:18:03:37
-80.482831,25.778877,01b01,372,551854,2851298,2001,337:18:03:47
-80.482821,25.778994,01b01,390,551855,2851311,2001,337:18:03:56
-80.482810,25.779193,01b01,421,551856,2851333,2001,337:18:04:11
-80.482799,25.779319,01b01,438,551857,2851347,2001,337:18:04:20
-80.482789,25.779391,01b01,448,551858,2851355,2001,337:18:04:25
-80.482779,25.779473,01b01,461,551859,2851364,2001,337:18:04:31
-80.482768,25.779563,01b01,475,551860,2851374,2001,337:18:04:38
-80.482758,25.779635,01b01,483,551861,2851382,2001,337:18:04:43
-80.482748,25.779752,01b01,502,551862,2851395,2001,337:18:04:52
-80.482737,25.779789,01b01,508,551863,2851399,2001,337:18:04:55
-80.482727,25.779897,01b01,525,551864,2851411,2001,337:18:05:03
-80.482717,25.779987,01b01,538,551865,2851421,2001,337:18:05:10
-80.482706,25.780095,01b01,554,551866,2851433,2001,337:18:05:19
-80.482696,25.780159,01b01,564,551867,2851440,2001,337:18:05:23
-80.482685,25.780330,01b01,593,551868,2851459,2001,337:18:05:38
-80.482674,25.780529,01b01,621,551869,2851481,2001,337:18:05:51
-80.482663,25.780809,01b01,662,551870,2851512,2001,337:18:06:12
-80.482653,25.780908,01b01,677,551871,2851523,2001,337:18:06:19
-80.482642,25.780998,01b01,690,551872,2851533,2001,337:18:06:26
-80.482632,25.781061,01b01,700,551873,2851540,2001,337:18:06:31
-80.482622,25.781134,01b01,711,551874,2851548,2001,337:18:06:36
-80.482612,25.781197,01b01,721,551875,2851555,2001,337:18:06:41
-80.482601,25.781260,01b01,729,551876,2851562,2001,337:18:06:46
-80.482591,25.781314,01b01,735,551877,2851568,2001,337:18:06:49
