table with row headers in column A and column headers in row 4,,,,,
"Table 14.  Michigan Minor Civil Division Population Estimates and Population Change, Sorted within County: July 1, 2001 to July  1, 2002",,,,,
(leading dots indicate sub-parts),,,,,
Place,State,"July 1, 2002 Population","July 1, 2001 Population",Numerical Population Change,Percent Population Change
Alcona County,Michigan,"11,455","11,648",-193,-1.7
.Alcona township,Michigan,"1,053","1,075",-22,-2.0
.Caledonia township,Michigan,"1,172","1,193",-21,-1.8
.Curtis township,Michigan,"1,348","1,371",-23,-1.7
.Greenbush township,Michigan,"1,443","1,476",-33,-2.2
.Gustin township,Michigan,822,833,-11,-1.3
.Harrisville city,Michigan,497,507,-10,-2.0
.Harrisville township,Michigan,"1,371","1,397",-26,-1.9
.Hawes township,Michigan,"1,141","1,160",-19,-1.6
.Haynes township,Michigan,713,722,-9,-1.2
.Mikado township,Michigan,"1,034","1,046",-12,-1.1
.Millen township,Michigan,461,466,-5,-1.1
.Mitchell township,Michigan,400,402,-2,-0.5
Alger County,Michigan,"9,796","9,816",-20,-0.2
.Au Train township,Michigan,"1,163","1,167",-4,-0.3
.Burt township,Michigan,483,482,1,0.2
.Grand Island township,Michigan,46,45,1,2.2
.Limestone township,Michigan,407,407,-,-
.Mathias township,Michigan,569,570,-1,-0.2
.Munising city,Michigan,"2,486","2,504",-18,-0.7
.Munising township,Michigan,"3,126","3,122",4,0.1
.Onota township,Michigan,310,310,-,-
.Rock River township,Michigan,"1,206","1,209",-3,-0.2
Allegan County,Michigan,"109,336","107,877","1,459",1.4
.Allegan city,Michigan,"4,907","4,896",11,0.2
.Allegan township,Michigan,"4,305","4,200",105,2.5
.Casco township,Michigan,"3,036","3,032",4,0.1
.Cheshire township,Michigan,"2,426","2,378",48,2.0
.Clyde township,Michigan,"2,142","2,128",14,0.7
.Dorr township,Michigan,"6,961","6,794",167,2.5
.Fennville city,Michigan,"1,474","1,474",-,-
.Fillmore township,Michigan,"2,822","2,792",30,1.1
.Ganges township,Michigan,"2,660","2,606",54,2.1
.Gunplain township,Michigan,"5,905","5,766",139,2.4
.Heath township,Michigan,"3,338","3,231",107,3.3
.Holland city,Michigan,"7,330","7,295",35,0.5
.Hopkins township,Michigan,"2,726","2,704",22,0.8
.Laketown township,Michigan,"5,755","5,665",90,1.6
.Lee township,Michigan,"4,243","4,200",43,1.0
.Leighton township,Michigan,"3,878","3,787",91,2.4
.Manlius township,Michigan,"2,659","2,650",9,0.3
.Martin township,Michigan,"2,619","2,571",48,1.9
.Monterey township,Michigan,"2,207","2,137",70,3.3
.Otsego city,Michigan,"3,984","3,965",19,0.5
.Otsego township,Michigan,"5,066","4,980",86,1.7
.Overisel township,Michigan,"2,680","2,648",32,1.2
.Plainwell city,Michigan,"4,015","4,032",-17,-0.4
.Salem township,Michigan,"3,615","3,562",53,1.5
.Saugatuck city,Michigan,"1,047","1,057",-10,-0.9
.Saugatuck township,Michigan,"3,807","3,720",87,2.3
.South Haven city,Michigan,8,8,-,-
.Trowbridge township,Michigan,"2,551","2,540",11,0.4
.Valley township,Michigan,"1,865","1,852",13,0.7
.Watson township,Michigan,"2,129","2,113",16,0.8
.Wayland city,Michigan,"3,983","3,978",5,0.1
.Wayland township,Michigan,"3,193","3,116",77,2.5
Alpena County,Michigan,"31,026","31,245",-219,-0.7
.Alpena city,Michigan,"11,071","11,211",-140,-1.2
.Alpena township,Michigan,"9,777","9,796",-19,-0.2
.Green township,Michigan,"1,205","1,210",-5,-0.4
.Long Rapids township,Michigan,"1,016","1,021",-5,-0.5
.Maple Ridge township,Michigan,"1,725","1,729",-4,-0.2
.Ossineke township,Michigan,"1,752","1,763",-11,-0.6
.Sanborn township,Michigan,"2,124","2,144",-20,-0.9
.Wellington township,Michigan,297,298,-1,-0.3
.Wilson township,Michigan,"2,059","2,073",-14,-0.7
