 Incident particle is a   Muon with M =   105.65839 MeV
 Index =  310:  seaborgium
     Absorber with Z = 106,  A = [266.], density = ??          
 Sternheimer coef:  a     k=m_s   x_0    x_1    I[eV]   Cbar  delta0 
                 0.2717  3.0000  0.6247  3.0000 1074.0  6.5174 0.00
 ( Restricted energy loss for Tcut =16.64 MeV
 Table written with (1X, 1P9E10.3,0PF8.4,1pE10.3)          post-Born included in pair prod
 *** Results below 10 MeV are not dependable ***
      T         p     Ionization  brems     pair     photonuc  Radloss    dE/dx   CSDA Range dltterm dE/dx|_R
    [MeV]    [MeV/c]  -----------------------[MeV cm^2/g]------------------------  [g/cm^2]  --[MeV cm^2/g]--
  1.000E+00 1.457E+01 1.875E+00 0.000E+00 0.000E+00 3.782E-05 3.782E-05 3.753E+00 5.829E-03  0.0000 1.740E+01
  1.200E+00 1.597E+01 1.522E+01 0.000E+00 0.000E+00 3.789E-05 3.789E-05 1.522E+01 1.813E-02  0.0000 1.522E+01
  1.400E+00 1.726E+01 1.348E+01 0.000E+00 0.000E+00 3.796E-05 3.796E-05 1.348E+01 3.212E-02  0.0000 1.347E+01
  1.700E+00 1.903E+01 1.161E+01 0.000E+00 0.000E+00 3.807E-05 3.807E-05 1.161E+01 5.621E-02  0.0000 1.161E+01
  2.000E+00 2.066E+01 1.032E+01 0.000E+00 0.000E+00 3.818E-05 3.818E-05 1.032E+01 8.369E-02  0.0000 1.032E+01
  2.500E+00 2.312E+01 8.855E+00 0.000E+00 0.000E+00 3.835E-05 3.835E-05 8.855E+00 1.362E-01  0.0000 8.855E+00
  3.000E+00 2.536E+01 7.853E+00 0.000E+00 0.000E+00 3.853E-05 3.853E-05 7.853E+00 1.964E-01  0.0000 7.853E+00
  3.500E+00 2.742E+01 7.107E+00 0.000E+00 0.000E+00 3.871E-05 3.871E-05 7.107E+00 2.634E-01  0.0000 7.106E+00
  4.000E+00 2.935E+01 6.520E+00 0.000E+00 0.000E+00 3.888E-05 3.888E-05 6.520E+00 3.370E-01  0.0000 6.520E+00
  4.500E+00 3.116E+01 6.043E+00 0.000E+00 0.000E+00 3.906E-05 3.906E-05 6.043E+00 4.167E-01  0.0000 6.043E+00
  5.000E+00 3.289E+01 5.645E+00 0.000E+00 0.000E+00 3.924E-05 3.924E-05 5.645E+00 5.024E-01  0.0000 5.645E+00
