 Incident particle is a   Muon with M =   105.65839 MeV
 Index =  311:  bohrium
     Absorber with Z = 107,  A = [264.], density = ??          
 Sternheimer coef:  a     k=m_s   x_0    x_1    I[eV]   Cbar  delta0 
                 0.2722  3.0000  0.6270  3.0000 1087.0  6.5246 0.00
 ( Restricted energy loss for Tcut =16.64 MeV
 Table written with (1X, 1P9E10.3,0PF8.4,1pE10.3)          post-Born included in pair prod
 *** Results below 10 MeV are not dependable ***
      T         p     Ionization  brems     pair     photonuc  Radloss    dE/dx   CSDA Range dltterm dE/dx|_R
    [MeV]    [MeV/c]  -----------------------[MeV cm^2/g]------------------------  [g/cm^2]  --[MeV cm^2/g]--
  1.000E+00 1.457E+01 1.906E+00 0.000E+00 0.000E+00 3.784E-05 3.784E-05 3.814E+00 5.759E-03  0.0000 1.762E+01
  1.200E+00 1.597E+01 1.540E+01 0.000E+00 0.000E+00 3.791E-05 3.791E-05 1.540E+01 1.791E-02  0.0000 1.540E+01
  1.400E+00 1.726E+01 1.363E+01 0.000E+00 0.000E+00 3.798E-05 3.798E-05 1.363E+01 3.174E-02  0.0000 1.363E+01
  1.700E+00 1.903E+01 1.173E+01 0.000E+00 0.000E+00 3.809E-05 3.809E-05 1.173E+01 5.556E-02  0.0000 1.173E+01
  2.000E+00 2.066E+01 1.042E+01 0.000E+00 0.000E+00 3.820E-05 3.820E-05 1.042E+01 8.277E-02  0.0000 1.042E+01
  2.500E+00 2.312E+01 8.946E+00 0.000E+00 0.000E+00 3.837E-05 3.837E-05 8.946E+00 1.348E-01  0.0000 8.946E+00
  3.000E+00 2.536E+01 7.936E+00 0.000E+00 0.000E+00 3.855E-05 3.855E-05 7.936E+00 1.943E-01  0.0000 7.936E+00
  3.500E+00 2.742E+01 7.184E+00 0.000E+00 0.000E+00 3.873E-05 3.873E-05 7.184E+00 2.606E-01  0.0000 7.184E+00
  4.000E+00 2.935E+01 6.594E+00 0.000E+00 0.000E+00 3.891E-05 3.891E-05 6.594E+00 3.334E-01  0.0000 6.594E+00
  4.500E+00 3.116E+01 6.113E+00 0.000E+00 0.000E+00 3.908E-05 3.908E-05 6.113E+00 4.122E-01  0.0000 6.113E+00
  5.000E+00 3.289E+01 5.712E+00 0.000E+00 0.000E+00 3.926E-05 3.926E-05 5.712E+00 4.969E-01  0.0000 5.712E+00
  5.500E+00 3.453E+01 5.371E+00 0.000E+00 0.000E+00 3.944E-05 3.944E-05 5.371E+00 5.872E-01  0.0000 5.371E+00
  6.000E+00 3.611E+01 5.076E+00 0.000E+00 0.000E+00 3.962E-05 3.962E-05 5.076E+00 6.830E-01  0.0000 5.076E+00
  7.000E+00 3.909E+01 4.592E+00 0.000E+00 0.000E+00 3.997E-05 3.997E-05 4.592E+00 8.905E-01  0.0000 4.592E+00
  8.000E+00 4.189E+01 4.210E+00 0.000E+00 0.000E+00 4.033E-05 4.033E-05 4.210E+00 1.118E+00  0.0000 4.210E+00
