Bridge Label,Structure ID,Bridge Description,Location Description
1,B55091900000000,STH 64,AT MINNESOTA STATE LINE
2,B47001100000000,USH 63,0.4M N JCT CTH VV TO N
3,B47017000000000,USH 63,1.2M N JCT CTH J
4,B55062800000000,USH 63,1.4M N JCT CTH G
5,B55061000000000,USH 63,0.8M N JCT USH 12 TO W
6,B06002400000000,STH 25,0.4M N MINN STATE LINE
7,B06038600000000,STH 25,2.2M N JCT STH 35 TO N
8,B06001900000000,STH 25,2.1M N MINN STATE LINE
9,B03005600000000,USH 53 SB,2.5M S JCT CTH V
10,B17036600000000,CTH X,0.2M E JCT CTH H TO N
11,B17005800000000,IH 94 EB,4.0M E JCT USH 12 TO E
12,B17005700000000,IH 94 WB,3.2M W JCT CTH EE TO W
13,B09037200000000,CTH X,1.9M E JCT CTH H TO N
14,B03001500000000,USH 53 NB,1.5M N JCT CTH M TO E
15,B18002700000000,IH 94 EB,0.6M E JCT STH 37 TO N
16,B18007600000000,USH 12-CLAIREMONT,0.9M E JCT STH 37
17,B09005200000000,USH 53 SB,5.4M S JCT CTH B TO E
18,B09005100000000,USH 53 NB,2.7M N JCT STH 124 TO N
19,B18003700000000,USH 53 SB,2.1M S JCT STH 93 TO S
20,B18003800000000,USH 53 NB,0.6M N JCT IH 94 TO E
21,B18003600000000,USH 53 NB,0.2M N JCT CTH II
22,B57001900000000,USH 63,5.5M N JCT STH 77 TO E
23,B09001100000000,CTH X,1.1M E JCT STH 124 TO N
24,B27039300000000,USH 10,4.3M E JCT CTH T
25,B18084500000000,USH 10-USH 12-STH,0.5M E JCT USH 12 TO W
26,B41008300000000,STH 27 NB-BLACK RI,4.0M N JCT CTH J
27,B41012300000000,STH 27 SB,1.3M S JCT STH 16
28,B12001200000000,USH 61-PINE ST,1.5M N JCT CTH H
29,B12056900000000,USH 61- KNUTSON RD,0.6M N JCT CTH H
30,B27006000000000,IH 94 WB,7.4M W JCT CTH E TO N
31,B41006500000000,IH 94 WB,1.5M W JCT CTH E TO N
32,B41003200000000,IH 94 EB,7.6M E JCT CTH E    (E)
33,B22034700000000,USH Business USH 1,0.2M N JCT STH 80
34,B71074200000000,USH 10,0.1M E JCT CTH B TO S
35,B26000500000000,USH 51,2.1M N JCT CTH FF
36,B29003800000000,STH 58,1.0M N JCT STH 82 TO E
37,B29000800000000,STH 21-3RD ST,0.3M E JCT STH 80
38,B56092400000000,USH 14,1.6M E JCT STH 23 TO W
39,B37014200000000,IH USH 51-IH 39 NB,1.6M N JCT CTH DB TO E
40,B23000700000000,STH 69,5.5M N JCT CTH FF
41,B11001500000000,IH 90 EB-IH 94 EB,3.9M E JCT CTH CS TO W
42,B11001600000000,IH 90 WB-IH 94 WB,7.2M W JCT CTH V TO E
43,B13008800000000,IH 90 WB-IH 94 WB,2.4M W JCT STH 19 TO E
44,B13009200000000,IH 90 WB-IH 94 WB,1.7M W JCT USH 51 TO N
45,B13010700000000,IH 90 EB-IH 94 EB,1.0M E JCT USH 151 TO N
46,B13010800000000,IH 90 WB-IH 94 WB,1.5M W JCT IH 94 TO E
47,B13079100000000,IH 94 WB,4.6M W JCT STH 73 TO N
48,B13015900000000,IH 94 WB,9.2M W JCT STH 89 TO N
49,B13016300000000,IH 94 WB,8.1M W JCT STH 89 TO N
50,B13017600000000,IH 90 EB,1.8M E JCT USH 51 TO S
51,B53008800000000,IH 90 EB,0.4M E JCT STH 59 TO E
52,B53008900000000,IH 90 WB,7.8M W JCT STH 26 TO N
53,B28004200000000,IH 94,1.2M E JCT STH 89 TO N
54,B14005200000000,USH 151 NB,4.6M N JCT CTH DE
55,B28003100000000,IH 94 WB,2.9M W JCT CTH F TO N
56,B70002700000000,USH 41 SB,3.2M S JCT USH 45 TO N
57,B67013100000000,IH 43 SB,0.7M S JCT STH 83 TO N
58,B67012700000000,IH 43 SB,5.3M S JCT STH 164
59,B67012600000000,IH 43 NB,3.7M N JCT STH 83 TO N
60,B67012500000000,IH 43 SB,3.6M S JCT STH 164
61,B51000100000000,STH 11-JEFFERSON S,0.2M E JCT STH 83 TO S
62,B67012300000000,IH 43 SB,2.4M S JCT STH 164
63,B67012100000000,IH 43 SB,1.2M S JCT STH 164
64,B67011900000000,IH 43 SB,9.4M S JCT USH 45 TO S
65,B67011800000000,IH 43 NB,7.0M N JCT STH 83 TO N
66,B05072800000000,STH 54,0.5M E JCT CTH J
67,B67004400000000,USH 18 WB,0.3M W JCT CTH Y
68,B67011200000000,IH 43 NB,0.9M N JCT CTH Y
69,B67011100000000,IH 43 SB,5.3M S JCT USH 45 TO S
70,B67005000000000,IH 94 WB,4.1M W JCT STH 100 TO N
71,B67010700000000,IH 43 SB,3.1M S JCT USH 45 TO S
72,B67010800000000,IH 43 NB,3.1M N JCT CTH Y
73,B67010500000000,IH 43 SB,2.8M S JCT USH 45 TO S
74,B67010600000000,IH 43 NB,3.4M N JCT CTH Y
75,B40010300000000,IH 894 WB-ZOO INTE,0.9M W JCT STH 59 TO E
76,B40010000000000,USH 45 NB-ZOO INTR,0.1M N JCT IH 894 TO W
77,B40012900000000,USH 18 EB-BLUE MOU,0.7M E JCT STH 100
78,B40010100000000,USH 45 NB-ZOO INTR,0.3M N JCT IH 894 TO W
79,B40010200000000,USH RAMP USH 45 SB,ZOO INTERCHANGE
80,B36001500000000,STH 32-STH 57,0.4M N JCT STH 67
81,B40016600000000,STH RAMP IH 894WB-,AT JCT IH 894-STH 24
82,B38051300000000,USH 141-MAIN ST,0.9M N JCT STH 180
83,B30003200000000,STH 50,0.3M E JCT IH 94 TO E
84,B400285005E0000,IH 94 WB-MARQUETTE,X 0.2M W JCT IH 43 TO N
85,B400285006C0000,IH 43 NB,0.1M N JCT IH 94 TO W
86,B400285010A0000,IH 794 WB-MARQUETT,3.4M W JCT CARFERRY DR
87,B40011500000000,IH 43-N-S FREEWAY,X 0.4M N JCT STH 190 TO E
88,B40011600000000,IH 43-N-S FREEWAY,X 0.3M N JCT STH 190 TO E
89,B40007300000000,IH 43-N-S FREEWAY,X 0.9M N JCT STH 190 TO E
90,B40002500000000,STH 32 SB-STH 100,3.9M S JCT STH 67   (K)
91,B400285038B0000,IH 794 EB-E-W FREE,1.0M E JCT IH 94 TO E
92,B400285038C0000,IH 794 EB-E-W FREE,1.0M E JCT IH 94 TO E
93,B30003500000000,STH 50 EB,0.6M E JCT CTH H
94,B4004000S170000,IH 794 WB-LAKE FRE,0.3M W JCT CARFERRY DR
