"date"	"origin"	"destination"	"owac"	"dwac"	"carrier"	"Group"	"type"	"Total"	"Schedule"	"Charter"
200001.00	"ABE"	"YYZ"	23	936	"US"	3	"Seats"	144	144	0
200001.00	"AEX"	"SJO"	72	110	"XG"	1	"Seats"	216	0	216
200001.00	"ALB"	"YOW"	22	936	"US"	3	"Seats"	126	126	0
200001.00	"ALB"	"YQB"	22	941	"RU"	2	"Seats"	50	50	0
200001.00	"ALN"	"NAS"	41	204	"1I"	1	"Seats"	172	0	172
200001.00	"ANC"	"GDX"	1	770	"H5"	0	"Seats"	606	606	0
200001.00	"ANC"	"HKG"	1	729	"CX"	0	"Seats"	7719	7719	0
200001.00	"ANC"	"NGO"	1	736	"NW"	3	"Seats"	418	418	0
200001.00	"ANC"	"NRT"	1	736	"AA"	3	"Seats"	235	235	0
200001.00	"ANC"	"NRT"	1	736	"NW"	3	"Seats"	742	742	0
200001.00	"ANC"	"NRT"	1	736	"UA"	3	"Seats"	372	372	0
200001.00	"ANC"	"SEL"	1	778	"KE"	0	"Seats"	22342	18502	3840
200001.00	"ANC"	"SEL"	1	778	"OZ"	0	"Seats"	10327	10327	0
200001.00	"ANC"	"TPE"	1	781	"CI"	0	"Seats"	7940	7940	0
200001.00	"ANC"	"YEG"	1	916	"NW"	3	"Seats"	190	190	0
200001.00	"ANC"	"YVR"	1	906	"UA"	3	"Seats"	126	126	0
200001.00	"ANC"	"YXY"	1	911	"NW"	3	"Seats"	190	190	0
200001.00	"ANC"	"YYZ"	1	936	"CX"	0	"Seats"	7719	7719	0
200001.00	"ANC"	"YYZ"	1	936	"KE"	0	"Seats"	10752	6912	3840
200001.00	"ATL"	"ACA"	34	148	"DL"	3	"Seats"	870	0	870
200001.00	"ATL"	"ACA"	34	148	"MMQ"	1	"Seats"	346	0	346
200001.00	"ATL"	"AMS"	34	461	"DL"	3	"Seats"	11270	11270	0
200001.00	"ATL"	"AMS"	34	461	"KL"	0	"Seats"	12656	12656	0
200001.00	"ATL"	"ARN"	34	484	"DL"	3	"Seats"	780	780	0
200001.00	"ATL"	"ATH"	34	433	"DL"	3	"Seats"	195	195	0
200001.00	"ATL"	"AUA"	34	277	"5X"	3	"Seats"	791	0	791
200001.00	"ATL"	"AUA"	34	277	"DL"	3	"Seats"	9240	9240	0
200001.00	"ATL"	"AUA"	34	277	"FCQ"	1	"Seats"	340	0	340
200001.00	"ATL"	"BCN"	34	482	"DL"	3	"Seats"	195	195	0
200001.00	"ATL"	"BDA"	34	207	"DL"	3	"Seats"	10277	10277	0
200001.00	"ATL"	"BON"	34	259	"LM"	0	"Seats"	1697	1697	0
200001.00	"ATL"	"BRU"	34	409	"DL"	3	"Seats"	11635	11635	0
200001.00	"ATL"	"BRU"	34	409	"SN"	0	"Seats"	16068	16068	0
200001.00	"ATL"	"CCS"	34	388	"DL"	3	"Seats"	8830	8830	0
200001.00	"ATL"	"CDG"	34	427	"AF"	0	"Seats"	13104	13104	0
200001.00	"ATL"	"CDG"	34	427	"DL"	3	"Seats"	16462	16462	0
200001.00	"ATL"	"CUN"	34	148	"AM"	0	"Seats"	9446	9446	0
200001.00	"ATL"	"CUN"	34	148	"DL"	3	"Seats"	366	366	0
200001.00	"ATL"	"CUN"	34	148	"LGQ"	0	"Seats"	6325	0	6325
200001.00	"ATL"	"CUN"	34	148	"TZ"	3	"Seats"	4152	0	4152
200001.00	"ATL"	"CUN"	34	148	"X9"	1	"Seats"	370	0	370
200001.00	"ATL"	"CUR"	34	259	"LM"	0	"Seats"	1419	1419	0
200001.00	"ATL"	"CZM"	34	148	"AM"	0	"Seats"	1744	1744	0
200001.00	"ATL"	"DUB"	34	441	"DL"	3	"Seats"	3300	3300	0
200001.00	"ATL"	"EZE"	34	303	"MJ"	0	"Seats"	5408	5408	0
200001.00	"ATL"	"FCO"	34	450	"DL"	3	"Seats"	15363	15363	0
200001.00	"ATL"	"FRA"	34	429	"DL"	3	"Seats"	22612	22612	0
200001.00	"ATL"	"FRA"	34	429	"LH"	0	"Seats"	14984	14984	0
200001.00	"ATL"	"GCM"	34	233	"DL"	3	"Seats"	10956	10956	0
200001.00	"ATL"	"GDL"	34	148	"DL"	3	"Seats"	8940	8940	0
200001.00	"ATL"	"GRU"	34	316	"DL"	3	"Seats"	16032	16032	0
200001.00	"ATL"	"GUA"	34	127	"DL"	3	"Seats"	8266	8266	0
200001.00	"ATL"	"HAM"	34	429	"DL"	3	"Seats"	4600	4600	0
200001.00	"ATL"	"IST"	34	679	"DL"	3	"Seats"	195	195	0
200001.00	"ATL"	"LGW"	34	493	"BA"	0	"Seats"	16104	16104	0
200001.00	"ATL"	"LGW"	34	493	"DL"	3	"Seats"	31380	31380	0
200001.00	"ATL"	"LIM"	34	368	"DL"	3	"Seats"	9666	9666	0
200001.00	"ATL"	"MAD"	34	482	"DL"	3	"Seats"	8150	8150	0
200001.00	"ATL"	"MAN"	34	493	"DL"	3	"Seats"	11065	11065	0
200001.00	"ATL"	"MBJ"	34	243	"JM"	0	"Seats"	25794	25794	0
200001.00	"ATL"	"MBJ"	34	243	"MMQ"	1	"Seats"	346	0	346
200001.00	"ATL"	"MEX"	34	148	"AM"	0	"Seats"	20326	20326	0
200001.00	"ATL"	"MEX"	34	148	"DL"	3	"Seats"	32335	32335	0
200001.00	"ATL"	"MTY"	34	148	"AM"	0	"Seats"	16928	16928	0
200001.00	"ATL"	"MUC"	34	429	"DL"	3	"Seats"	11530	11530	0
200001.00	"ATL"	"NAS"	34	204	"DL"	3	"Seats"	21758	21758	0
200001.00	"ATL"	"NAS"	34	204	"MMQ"	1	"Seats"	173	0	173
200001.00	"ATL"	"NCE"	34	427	"DL"	3	"Seats"	195	195	0
200001.00	"ATL"	"NRT"	34	736	"DL"	3	"Seats"	13805	13805	0
200001.00	"ATL"	"PLS"	34	281	"MMQ"	1	"Seats"	865	0	865
200001.00	"ATL"	"PTP"	34	235	"FCQ"	1	"Seats"	170	0	170
200001.00	"ATL"	"PTY"	34	162	"DL"	3	"Seats"	9240	9240	0
200001.00	"ATL"	"SAL"	34	118	"DL"	3	"Seats"	9412	9412	0
200001.00	"ATL"	"SID"	34	507	"SA"	0	"Seats"	343	343	0
200001.00	"ATL"	"SJO"	34	110	"DL"	3	"Seats"	10928	10928	0
200001.00	"ATL"	"SNN"	34	441	"DL"	3	"Seats"	3485	3485	0
200001.00	"ATL"	"SNN"	34	441	"SR"	0	"Seats"	248	248	0
200001.00	"ATL"	"STR"	34	429	"DL"	3	"Seats"	8740	8740	0
200001.00	"ATL"	"SVO"	34	475	"DL"	3	"Seats"	195	195	0
200001.00	"ATL"	"YUL"	34	941	"DL"	3	"Seats"	16756	16756	0
200001.00	"ATL"	"YYZ"	34	936	"AC"	0	"Seats"	25812	25812	0
200001.00	"ATL"	"YYZ"	34	936	"DL"	3	"Seats"	32376	32376	0
200001.00	"ATL"	"YYZ"	34	936	"PCQ"	1	"Seats"	46	0	46
200001.00	"ATL"	"YYZ"	34	936	"US"	3	"Seats"	126	126	0
200001.00	"ATL"	"ZLO"	34	148	"MMQ"	1	"Seats"	173	0	173
200001.00	"ATL"	"ZRH"	34	486	"DL"	3	"Seats"	8160	8160	0
200001.00	"ATL"	"ZRH"	34	486	"SR"	0	"Seats"	16786	16786	0
200001.00	"AUS"	"AUA"	74	277	"XG"	1	"Seats"	216	0	216
200001.00	"AUS"	"PVR"	74	148	"MMQ"	1	"Seats"	173	0	173
200001.00	"AVP"	"FPO"	23	204	"7Z"	0	"Seats"	350	350	0
200001.00	"AVP"	"YYZ"	23	936	"US"	3	"Seats"	108	108	0
