Tarawa, Kiribati              ID: 728   Lat:   1.37  Lon:  172.93  Alt:    0
ADEOS TOMS V.7 Archive Overpass.  Generated: 20-December-2000                   
  MJD   Year Day sec-UT SCN  LAT     LON  DIS  PT  SZA  OZONE   REF   A.I.   SOI
#
50338.0 1996 255 84529   9   1.28  172.63  35 100 14.51 253.3   6.5   0.80    3
50339.0 1996 256 82919  24   1.24  173.07  21 100 20.56 255.4   5.9   0.50    0
50339.9 1996 257 81308  35   1.36  172.87   7 100 27.29 258.4  11.4   0.30    1
50341.0 1996 258 85695   3   1.58  172.41  62 100  9.45 257.2  12.0  -0.10    2
50342.0 1996 259 84091  12   1.24  172.98  15 100 15.42 251.0  13.6   1.40    2
50343.0 1996 260 82480  28   1.27  173.08  20 100 21.89 251.7   8.7   0.50    2
50346.0 1996 263 83653  17   1.28  172.75  22 100 17.06 250.1  12.1   2.20   -2
50346.9 1996 264 82042  31   1.27  173.20  32 100 23.23 253.7   7.0   0.60    0
50347.9 1996 265 80432  37   1.29  173.66  82 100 29.39 253.6  10.9   0.60    1
50349.0 1996 266 84819   7   1.59  172.67  38 100 12.14 253.2   5.0   0.60   -1
50354.9 1996 272 81163  35   1.40  173.50  63 100 26.17 264.1  11.5   0.30    0
50356.0 1996 273 85558   3   1.22  172.94  17 100  9.03 265.3   5.9   0.20   -2
50357.0 1996 274 83947  14   1.39  172.75  20 100 15.58 257.4  12.9   2.00   -2
50358.0 1996 275 82337  29   1.39  173.19  29 100 21.64 257.7  29.8   0.70    5
50358.9 1996 276 80726  37   1.65  172.51  56 100 28.92 257.5   5.1   0.50    1
50360.0 1996 277 85119   5   1.40  172.87   7 100 11.25 259.1   6.5   0.20    0
50361.0 1996 278 83509  18   1.48  173.01  15 100 17.29 248.6  10.1   1.50    1
50361.9 1996 279 81904  32   1.16  173.08  29 100 23.50 253.8   4.0   0.40   -2
50363.0 1996 280 86292   1   1.31  172.76  20 100  8.27 256.9   8.3   0.10   -1
50364.0 1996 281 84681   7   1.43  173.23  34 100 13.06 255.3   8.7   0.20    2
50365.0 1996 282 83077  23   1.20  172.84  21 100 19.30 254.7   8.6   0.50    0
50365.9 1996 283 81466  34   1.24  173.26  39 100 25.26 254.5   9.1   0.80    1
50371.0 1996 288 85416   4   1.54  172.55  46 100 12.85 260.8   4.6   0.20   -3
50372.0 1996 289 83812  15   1.21  172.89  18 100 17.46 253.2  12.6   2.20    1
50373.0 1996 290 82200  30   1.28  173.19  31 100 23.11 257.6   4.6   0.50   -2
50373.9 1996 291 80590  37   1.42  173.04  13 100 29.47 260.4   4.0   0.40   -2
