! Converted to time format with year at start.
!
! 01/17/86 KAYE DUA0:[DATA.S378SC.N]S378SC.620;
! DRB0:[DRS.REFMT]REFORMAT.EXE;5
! (dy,hr,min,sec,tenths,event,numpair(station,range))
! (i3.3,3i2.2,i1.1,t12,i3.3,<numpair>(1x,a2,1x,f8.1))
!  
19781450244310 000 02  80692.0 01 162605.0
19781450247420 000 02  80385.0 01 162156.0
19781450257500 000 02  80817.0 01 161640.0
19781450259140 000 02  80935.0 01 161590.0
19781450300310 000 01 161561.0 02  81003.0
19781450302420 000 01 161470.0 02  81161.0
19781450307010 000 01 161343.0 02  81444.0
19781450308020 000 02  81508.0 01 161316.0
19781450313410 000 01 161127.0 02  81890.0
19781450320310 000 02  82352.0 01 160888.0
19781450323540 000 01 160785.0 02  82615.0
19781450327130 000 01 160677.0 02  82839.0
19781450346110 000 02  84192.0 01 160035.0
19781450347410 000 02  84295.0 01 159971.0
19781450349080 000 01 159915.0 02  84411.0
19781450352100 000 02  84635.0 01 159820.0
19781450354360 000 02  84802.0 01 159743.0
19781450400340 000 01 159465.0 02  85270.0
19781450403560 000 01 159220.0 02  85695.0
19781450406060 000 02  85984.0 01 159053.0
19781450407190 000 01 158963.0 02  86109.0
19781450408270 000 02  86257.0 01 158895.0
19781450411230 000 01 158688.0 02  86639.0
19781450412320 000 02  86765.0 01 158626.0
19781450414160 000 01 158522.0 02  86969.0
19781450415120 000 02  87084.0 01 158464.0
19781450416210 000 01 158398.0 02  87230.0
19781450418330 000 01 158222.0 02  87437.0
19781450420420 000 01 157884.0 02  87272.0
19781450421390 000 01 157716.0 02  87197.0
19781450422480 000 02  87097.0 01 157548.0
19781450427250 000 02  86686.0 01 156840.0
19781450433310 000 01 156024.0 02  86219.0
19781450434270 000 01 156000.0 02  86082.0
19781450435130 000 01 156097.0 02  86088.0
19781450436270 000 02  86187.0 01 156282.0
19781450437310 000 02  86297.0 01 156510.0
19781450438410 000 02  86398.0 01 156741.0
19781450441170 000 02  86666.0 01 157253.0
19781450446160 000 02  87164.0 01 158279.0
19781450450060 000 01 159063.0 02  87568.0
19781450451260 000 02  87706.0 01 159330.0
19781450452360 000 01 159555.0 02  87825.0
19781450453290 000 01 159696.0 02  87913.0
19781450454410 000 02  88007.0 01 159780.0
19781450455460 000 02  88045.0 01 159804.0
19781450458270 000 02  88076.0 01 159827.0
19781450502260 000 02  88146.0 01 159863.0
19781450503480 000 01 159869.0 02  88172.0
19781450505300 000 02  88206.0 01 159888.0
19781450506410 000 01 159907.0 02  88213.0
19781450510500 000 02  88280.0 01 159921.0
19781450512020 000 01 159942.0 02  88296.0
19781450515180 000 02  88330.0 01 159950.0
19781450516260 000 02  88344.0 01 159955.0
19781450517440 000 01 159947.0 02  88352.0
19781450518480 000 02  88375.0 01 159967.0
19781450520210 000 02  88393.0 01 159960.0
19781450522150 000 02  88417.0 01 159990.0
19781450524040 000 01 160007.0 02  88435.0
19781450526410 000 01 160024.0 02  88472.0
19781450527550 000 01 160022.0 02  88477.0
19781450529240 000 01 160018.0 02  88490.0
19781450531020 000 01 160033.0 02  88517.0
19781450533510 000 02  88548.0 01 160062.0
19781450535520 000 02  88578.0 01 160055.0
19781450537410 000 02  88605.0 01 160066.0
19781450539350 000 01 160072.0 02  88635.0
19781450540390 000 02  88650.0 01 160092.0
19781450542150 000 02  88680.0 01 160098.0
19781450543380 000 01 160105.0 02  88691.0
19781450546300 000 02  88730.0 01 160089.0
19781450547330 000 01 160080.0 02  88760.0
19781450549190 000 01 160093.0 02  88777.0
19781450551580 000 01 160080.0 02  88826.0
19781450553120 000 01 160072.0 02  88851.0
19781450556340 000 02  88941.0 01 160083.0
19781450557450 000 01 160077.0 02  88972.0
19781450558280 000 01 160074.0 02  88981.0
19781450601020 000 01 160081.0 02  89027.0
19781450602120 000 02  89043.0 01 160058.0
19781450603280 000 02  89055.0 01 160062.0
19781450604400 000 01 160071.0 02  89079.0
19781450605430 000 01 160061.0 02  89098.0
19781450606510 000 01 160069.0 02  89110.0
19781450607360 000 01 160066.0 02  89121.0
19781450609430 000 02  89155.0 01 160067.0
19781450611210 000 01 160068.0 02  89176.0
19781450612480 000 02  89193.0 01 160072.0
19781450614000 000 02  89212.0 01 160075.0
19781450617220 000 01 160080.0 02  89268.0
19781450618560 000 02  89303.0 01 160073.0
19781450619520 000 01 160092.0 02  89315.0
19781450622390 000 01 160108.0 02  89337.0
19781450623260 000 02  89348.0 01 160114.0
19781450634500 000 01 160179.0 02  89504.0
19781450636160 000 01 160184.0 02  89518.0
19781450637230 000 02  89538.0 01 160182.0
19781450639130 000 02  89556.0 01 160200.0
19781450640220 000 01 160206.0 02  89563.0
19781450641520 000 02  89574.0 01 160211.0
19781450643070 000 01 160211.0 02  89575.0
19781450644070 000 01 160222.0 02  89586.0
19781450646490 000 02  89635.0 01 160212.0
19781450649070 000 02  89664.0 01 160229.0
19781450650240 000 01 160222.0 02  89679.0
19781450652170 000 02  89730.0 01 160237.0
19781450654320 000 01 160250.0 02  89778.0
19781450655570 000 01 160244.0 02  89798.0
19781450658410 000 01 160271.0 02  89826.0
19781450659210 000 01 160273.0 02  89830.0
19781450700570 000 01 160284.0 02  89839.0
19781450702210 000 02  89857.0 01 160285.0
19781450703510 000 02  89882.0 01 160290.0
19781450704450 000 01 160286.0 02  89902.0
19781450705400 000 01 160258.0 02  89943.0
19781450709280 000 01 160075.0 02  90199.0
19781450711230 000 02  90396.0 01 159961.0
19781450713010 000 01 159851.0 02  90537.0
19781450723210 000 02  91443.0 01 159187.0
19781450724200 000 02  91518.0 01 159136.0
19781450726320 000 01 158998.0 02  91713.0
19781450727470 000 02  91816.0 01 158918.0
19781450728440 000 02  91930.0 01 158852.0
19781450730350 000 02  92110.0 01 158740.0
19781450731550 000 02  92238.0 01 158674.0
19781450733420 000 01 158548.0 02  92406.0
19781450735130 000 01 158460.0 02  92554.0
19781450736470 000 02  92685.0 01 158343.0
19781450738070 000 02  92812.0 01 158270.0
19781450739450 000 01 158155.0 02  92950.0
19781450740370 000 01 158122.0 02  93020.0
19781450742390 000 01 157995.0 02  93208.0
19781450744030 000 01 157921.0 02  93306.0
19781450744440 000 01 157880.0 02  93370.0
19781450746270 000 02  93518.0 01 157772.0
19781450750570 000 01 157510.0 02  93873.0
19781450752340 000 02  93998.0 01 157450.0
19781450754120 000 01 157343.0 02  94130.0
19781450756270 000 02  94321.0 01 157230.0
19781450759000 000 02  94530.0 01 157060.0
19781450802460 000 02  94806.0 01 156865.0
19781450803360 000 01 156860.0 02  94845.0
19781450804450 000 01 156830.0 02  94894.0
19781450810440 000 01 156826.0 02  94904.0
19781450813520 000 02  94878.0 01 156868.0
19781450814540 000 02  94871.0 01 156879.0
19781450816500 000 02  94861.0 01 156913.0
19781450817490 000 01 156915.0 02  94856.0
19781450820330 000 01 156959.0 02  94832.0
19781450821450 000 01 156951.0 02  94839.0
19781450822480 000 02  94840.0 01 156956.0
19781450823390 000 01 156981.0 02  94846.0
19781450824260 000 01 156984.0 02  94856.0
19781450825520 000 01 156983.0 02  94866.0
19781450826410 000 01 157002.0 02  94869.0
19781450829350 000 02  94873.0 01 157032.0
19781450834140 000 01 157082.0 02  94823.0
19781450835380 000 02  94818.0 01 157095.0
19781450836560 000 02  94802.0 01 157114.0
19781450838150 000 01 157123.0 02  94804.0
19781450839460 000 01 157135.0 02  94794.0
19781450840350 000 01 157139.0 02  94800.0
19781450843120 000 01 157167.0 02  94770.0
19781450844190 000 01 157186.0 02  94766.0
19781450845150 000 02  94752.0 01 157196.0
19781450846180 000 01 157221.0 02  94746.0
19781450847480 000 01 157230.0 02  94730.0
19781450849160 000 01 157252.0 02  94724.0
19781450851340 000 02  94680.0 01 157292.0
19781450853050 000 02  94648.0 01 157288.0
19781450854390 000 02  94632.0 01 157315.0
19781450855250 000 02  94620.0 01 157321.0
19781450857310 000 01 157361.0 02  94600.0
19781450901040 000 02  94577.0 01 157431.0
19781450902570 000 01 157427.0 02  94542.0
19781450904240 000 02  94513.0 01 157482.0
19781450907070 000 01 157518.0 02  94483.0
19781450908070 000 02  94476.0 01 157522.0
19781450909510 000 02  94447.0 01 157568.0
19781450911550 000 01 157615.0 02  94416.0
19781450913050 000 02  94408.0 01 157621.0
19781450915460 000 02  94393.0 01 157653.0
19781450918030 000 02  94369.0 01 157679.0
19781450919090 000 01 157698.0 02  94368.0
19781450920380 000 01 157706.0 02  94365.0
19781450921490 000 01 157715.0 02  94361.0
19781450925460 000 01 157772.0 02  94353.0
19781450926450 000 02  94435.0 01 157768.0
19781450927580 000 02  94326.0 01 157778.0
19781450929240 000 02  94319.0 01 157807.0
19781450930070 000 01 157798.0 02  19717.0
19781450931100 000 01 157809.0 02  94309.0
19781450935020 000 02  94280.0 01 157882.0
19781450936160 000 01 157888.0 02  94274.0
19781450940380 000 01 157948.0 02  94222.0
19781450942360 000 02  94209.0 01 157981.0
19781450944000 000 02  94184.0 01 158000.0
19781450945390 000 02  94164.0 01 158015.0
19781450947250 000 01 158028.0 02  94129.0
19781450948400 000 02  94131.0 01 158052.0
19781450951010 000 01 158085.0 02  94117.0
19781450953570 000 02  94063.0 01 158113.0
19781450958070 000 01 158171.0 02  93998.0
19781450959580 000 01 158206.0 02  93964.0
19781451001540 000 02  93954.0 01 158223.0
19781451005170 000 01 158215.0 02  93987.0
19781451007130 000 01 158214.0 02  94011.0
19781451008250 000 01 158177.0 02  94022.0
19781451009520 000 01 158158.0 02  94053.0
19781451010500 000 01 158159.0 02  94069.0
19781451011530 000 01 158145.0 02  94071.0
19781451012460 000 02  94071.0 01 158149.0
19781451013370 000 02  94056.0 01 158160.0
19781451014490 000 02  19708.0 01 158168.0
19781451015290 000 02  94062.0 01 158167.0
19781451017000 000 02  94079.0 01 158144.0
19781451018160 000 01 158103.0 02  94149.0
19781451019410 000 02  94248.0 01 158051.0
19781451022020 000 02  94408.0 01 157947.0
19781451023240 000 01 157869.0 02  94480.0
19781451024440 000 02  94546.0 01 157809.0
19781451026200 000 01 157716.0 02  94676.0
19781451028060 000 01 157629.0 02  94795.0
19781451029050 000 02  94869.0 01 157553.0
19781451030320 000 02  94972.0 01 157483.0
