Header:
Instrument	ASRC_U111
Source	Sun
Location	TMTF
Environment	Outdoors
Year	2004
Day	128
Date	2004MAY07
Operation	Discrete
Measurement_purpose	Irradiance
Number_of_scans	1
Number_of_columns	4
Number_of_rows	701
Start_time	13.50000	[UTC]
Stop_time	13.78278	[UTC]
Start_wavelength	290.00	[nm]
Stop_wavelength	360.00	[nm]
Increment_wavelength	0.10	[nm]
Dark_signal	0.55457	[p_s^-1]
ForeOptic_temperature	25.30	[ns]
Front_temperature	25.30	[ns]
Back_temperature	31.32	[ns]
Inside_temperature	30.91	[ns]
Shelter_temperature	29.27	[ns]
PSUnit_temperature	33.44	[ns]
AirCond_temperature	14.12	[ns]
Outside_temperature	32.90	[ns]
Comments	none
Formatted_file	2004128f03.u11
Responsivity_file	03352Rsm.u11
Analysis_program	Calc_Irrad.c
Labels:
Wavelength	Irradiance	dE(R)/E	dE(S)/E
[nm]	[mW_m^-2_nm^-1]
Data:
290.019	0.00225	0.0832	0.0000
290.119	0.00069	0.1498	-0.0000
290.219	0.00069	0.1498	-0.0000
290.319	-0.00086	0.1343	-0.0000
290.419	0.00069	0.1498	-0.0000
290.519	-0.00086	0.1343	-0.0000
290.619	0.00069	0.1498	-0.0000
290.719	0.00069	0.1498	-0.0000
290.819	0.00069	0.1498	-0.0000
290.919	-0.00086	0.1343	-0.0000
291.019	0.00069	0.1498	-0.0000
291.120	-0.00086	0.1343	0.0000
291.220	0.00069	0.1498	0.0000
291.320	-0.00085	0.1343	0.0000
291.420	0.00069	0.1498	0.0000
291.520	0.00069	0.1498	0.0000
291.620	-0.00085	0.1343	0.0000
291.720	0.00068	0.1498	0.0000
291.820	0.00068	0.1498	0.0000
291.920	0.00068	0.1498	0.0000
292.020	-0.00085	0.1343	0.0000
292.120	0.00068	0.1498	-0.0000
292.220	0.00068	0.1498	-0.0000
292.320	-0.00085	0.1343	-0.0000
292.420	-0.00085	0.1343	-0.0000
292.520	0.00068	0.1498	-0.0000
292.620	-0.00085	0.1343	-0.0000
292.720	-0.00085	0.1343	-0.0000
292.820	-0.00085	0.1343	-0.0000
292.920	0.00068	0.1498	-0.0000
293.020	0.00068	0.1498	-0.0000
293.120	0.00068	0.1498	0.0000
293.220	-0.00084	0.1343	0.0000
293.320	0.00068	0.1498	0.0000
293.420	-0.00084	0.1343	0.0000
293.520	-0.00084	0.1343	0.0000
293.620	-0.00084	0.1343	0.0000
293.720	-0.00084	0.1343	0.0000
293.820	-0.00084	0.1343	0.0000
293.921	0.00219	0.0832	0.0000
294.021	0.00068	0.1498	0.0000
294.121	0.00068	0.1498	-0.0000
294.221	-0.00084	0.1343	-0.0000
294.321	-0.00084	0.1343	-0.0000
294.421	0.00067	0.1498	-0.0000
294.521	0.00219	0.0832	-0.0000
294.621	-0.00084	0.1343	-0.0000
294.721	0.00067	0.1498	-0.0000
294.821	0.00067	0.1498	-0.0000
294.921	0.00067	0.1498	-0.0000
295.021	0.00067	0.1498	-0.0000
295.121	0.00067	0.1498	0.0000
295.221	0.00067	0.1498	0.0000
295.321	0.00067	0.1498	0.0000
295.421	0.00067	0.1498	0.0000
295.521	0.00067	0.1498	0.0000
295.621	-0.00083	0.1343	0.0000
295.721	-0.00083	0.1343	0.0000
295.821	0.00067	0.1498	0.0000
295.921	0.00067	0.1498	0.0000
296.021	-0.00083	0.1343	0.0000
296.121	0.00067	0.1498	-0.0000
