Header:
Instrument	ASRC_U111
Source	Sun
Location	TMTF
Environment	Outdoors
Year	2004
Day	115
Date	2004APR24
Operation	Discrete
Measurement_purpose	Irradiance
Number_of_scans	1
Number_of_columns	4
Number_of_rows	701
Start_time	18.99984	[UTC]
Stop_time	19.28262	[UTC]
Start_wavelength	290.00	[nm]
Stop_wavelength	360.00	[nm]
Increment_wavelength	0.10	[nm]
Dark_signal	0.43014	[p_s^-1]
ForeOptic_temperature	25.42	[ns]
Front_temperature	25.42	[ns]
Back_temperature	25.38	[ns]
Inside_temperature	24.98	[ns]
Shelter_temperature	23.98	[ns]
PSUnit_temperature	27.77	[ns]
AirCond_temperature	13.91	[ns]
Outside_temperature	26.98	[ns]
Comments	none
Formatted_file	2004115f14.u11
Responsivity_file	03352Rsm.u11
Analysis_program	Calc_Irrad.c
Labels:
Wavelength	Irradiance	dE(R)/E	dE(S)/E
[nm]	[mW_m^-2_nm^-1]
Data:
290.086	-0.00067	0.1525	0.0000
290.186	-0.00067	0.1525	-0.0000
290.286	0.00088	0.1325	-0.0000
290.387	0.00088	0.1325	-0.0000
290.487	0.00088	0.1325	-0.0000
290.587	0.00088	0.1325	-0.0000
290.687	-0.00067	0.1525	-0.0000
290.787	0.00088	0.1325	-0.0000
290.887	-0.00066	0.1525	-0.0000
290.987	0.00088	0.1325	-0.0000
291.087	0.00242	0.0798	-0.0000
291.188	0.00088	0.1325	0.0000
291.288	0.00088	0.1325	0.0000
291.388	0.00242	0.0798	0.0000
291.488	0.00242	0.0798	0.0000
291.588	0.00242	0.0798	0.0000
291.688	0.00241	0.0798	0.0000
291.788	0.00395	0.0624	0.0000
291.889	0.00395	0.0624	0.0000
291.989	0.00394	0.0624	0.0000
292.089	0.00701	0.0468	0.0000
292.189	0.00700	0.0468	-0.0000
292.289	0.00394	0.0624	-0.0000
292.389	0.00547	0.0529	-0.0000
292.489	0.00546	0.0529	-0.0000
292.589	0.00546	0.0529	-0.0000
292.690	0.00698	0.0468	-0.0000
292.790	0.01003	0.0390	-0.0000
292.890	0.00698	0.0468	-0.0000
292.990	0.01307	0.0342	-0.0000
293.090	0.01764	0.0294	0.0000
293.190	0.02372	0.0253	0.0000
293.290	0.02676	0.0239	0.0000
293.390	0.02065	0.0271	0.0000
293.491	0.03433	0.0210	0.0000
293.591	0.04495	0.0184	0.0000
293.691	0.01758	0.0294	0.0000
293.791	0.03276	0.0215	0.0000
293.891	0.03274	0.0215	0.0000
293.991	0.05244	0.0170	0.0000
294.091	0.03877	0.0198	-0.0000
294.191	0.05693	0.0163	-0.0000
294.292	0.07659	0.0141	-0.0000
294.392	0.06595	0.0151	-0.0000
294.492	0.05835	0.0161	-0.0000
294.592	0.10369	0.0121	-0.0000
294.692	0.10363	0.0121	-0.0000
294.792	0.03712	0.0202	-0.0000
294.892	0.07484	0.0142	-0.0000
294.992	0.09744	0.0124	-0.0000
295.093	0.13963	0.0104	0.0000
295.193	0.19534	0.0088	0.0000
295.293	0.24196	0.0079	0.0000
295.393	0.14394	0.0102	0.0000
295.493	0.27785	0.0074	0.0000
295.593	0.31985	0.0069	0.0000
295.693	0.25353	0.0077	0.0000
295.793	0.28348	0.0073	0.0000
295.894	0.42609	0.0059	0.0000
295.994	0.33728	0.0067	0.0000
296.094	0.40168	0.0061	-0.0000
296.194	0.53505	0.0053	-0.0000
296.294	0.71180	0.0046	-0.0000
