table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,
"Annual Estimates of the Population by Sex, Race and Hispanic or Latino Origin for Colorado: April 1, 2000 to July 1, 2003",,,,,,,
"Sex, Race and Hispanic or Latino Origin",Population estimates,,,,"April 1, 2000",,
,"July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates base,Census,
BOTH SEXES,"4,550,688","4,501,051","4,428,786","4,326,872","4,301,997","4,301,261",
.One race,"4,470,390","4,423,164","4,353,713","4,255,130","4,231,167","4,230,438",
..White,"4,105,438","4,067,764","4,009,830","3,925,154","3,903,878","3,903,166",
..Black,"190,157","186,178","180,853","174,313","173,421","173,417",
..AIAN,"51,005","50,889","50,447","49,928","49,582","49,570",
..Asian,"117,353","112,155","106,679","100,180","98,768","98,767",
..NHPI,"6,437","6,178","5,904","5,555","5,518","5,518",
.Two or more races,"80,298","77,887","75,073","71,742","70,830","70,823",
.Race alone or in combination:(1),,,,,,,
..White,"4,178,141","4,138,244","4,077,732","3,989,987","3,967,836","3,967,117",
..Black,"217,575","212,197","205,328","197,035","195,660","195,655",
..AIAN,"84,369","84,296","83,648","82,844","82,325","82,307",
..Asian,"144,580","138,254","131,566","123,648","121,953","121,952"
..NHPI,"12,133","11,744","11,312","10,735","10,698","10,698"
.NOT HISPANIC OR LATINO ORIGIN,"3,703,216","3,684,316","3,643,980","3,581,208","3,566,291","3,565,660"
..One race,"3,636,688","3,619,680","3,581,623","3,521,534","3,507,365","3,506,738"
...White,"3,314,357","3,305,505","3,277,668","3,229,715","3,217,862","3,217,247"
...Black,"174,526","171,462","167,015","161,493","160,710","160,706"
...AIAN,"30,218","30,250","29,907","29,751","29,611","29,604"
...Asian,"113,031","108,070","102,811","96,589","95,218","95,217"
...NHPI,"4,556","4,393","4,222","3,986","3,964","3,964"
..Two or more races,"66,528","64,636","62,357","59,674","58,926","58,922"
..Race alone or in combination:(1),,,,,,
...White,"3,374,523","3,363,916","3,333,999","3,283,556","3,270,993","3,270,374"
...Black,"197,822","193,599","187,867","180,897","179,700","179,696"
...AIAN,"55,607","55,755","55,304","55,014","54,759","54,748"
...Asian,"137,071","131,201","124,936","117,517","115,899","115,898"
...NHPI,"9,369","9,125","8,828","8,427","8,399","8,399"
.HISPANIC OR LATINO ORIGIN,"847,472","816,735","784,806","745,664","735,706","735,601"
